placename,aint,arent,ent,innit,int,isnt,longitude,latitude
Stornoway,0.07331976,0.0000000000,0.0000000000,0.07881874,0.0073319756,0.8405295, -6.3848692,58.20943
Drogheda,0.04984411,0.0014389639,0.0004796546,0.06571269,0.0000000000,0.8825246, -6.3560985,53.71786
Rosslare,0.07896932,0.0000000000,0.0000000000,0.06127944,0.0022752266,0.8574760, -6.3414908,52.25131
Newry,0.05513017,0.0061255743,0.0030627871,0.07120980,0.0000000000,0.8644717, -6.3402300,54.17510
Scilly Isles,0.09071683,0.0013357079,0.0000000000,0.10730187,0.0000000000,0.8006456, -6.3274966,49.92773
Ballymena,0.04622396,0.0019531250,0.0000000000,0.04904514,0.0000000000,0.9027778, -6.2802213,54.86529
Banbridge,0.04435346,0.0034118048,0.0000000000,0.05379279,0.0000000000,0.8984419, -6.2704803,54.34873
Dublin,0.05001411,0.0004836175,0.0000000000,0.06456293,0.0000000000,0.8849393, -6.2603097,53.34981
Antrim,0.04957555,0.0033955857,0.0000000000,0.05489530,0.0000000000,0.8921336, -6.2072498,54.71953
Antrim,0.04957555,0.0033955857,0.0000000000,0.05489530,0.0000000000,0.8921336, -6.2072498,54.71953
Portree,0.07275132,0.0000000000,0.0000000000,0.07341270,0.0079365079,0.8458995, -6.1960231,57.41247
Islay,0.07915567,0.0000000000,0.0000000000,0.12840809,0.0580474934,0.7343887, -6.1770670,55.73625
Wicklow,0.05053084,0.0004862631,0.0000000000,0.06394359,0.0000000000,0.8850393, -6.0445890,52.98082
Kilkeel,0.05235921,0.0042617960,0.0012176560,0.05834602,0.0000000000,0.8838153, -6.0070040,54.06312
Mull,0.11206897,0.0000000000,0.0000000000,0.12835249,0.0555555556,0.7040230, -6.0008870,56.43920
Belfast,0.04691113,0.0019821606,0.0000000000,0.05737254,0.0000000000,0.8937342, -5.9301200,54.59728
Broadford,0.07559682,0.0000000000,0.0000000000,0.07360743,0.0079575597,0.8428382, -5.9096592,57.24139
Down,0.04620020,0.0020087044,0.0000000000,0.05646691,0.0000000000,0.8953242, -5.7156922,54.32875
Kyle of Lochalsh,0.07275132,0.0000000000,0.0000000000,0.07605820,0.0079365079,0.8432540, -5.7143293,57.28261
Campbeltown,0.06987897,0.0000000000,0.0000000000,0.16236584,0.0808403745,0.6869148, -5.6053740,55.42412
Penzance,0.09132676,0.0013446885,0.0000000000,0.10802331,0.0000000000,0.7993052, -5.5375920,50.11880
Oban,0.11524501,0.0000000000,0.0000000000,0.14156080,0.0562613430,0.6869328, -5.4710470,56.41516
Lochgilphead,0.11087369,0.0000000000,0.0000000000,0.14577398,0.0707502374,0.6726021, -5.4323449,56.03829
Helston,0.09342521,0.0013556258,0.0000000000,0.10890194,0.0000000000,0.7963172, -5.2749960,50.10159
Redruth,0.09132676,0.0013446885,0.0000000000,0.10936800,0.0000000000,0.7979606, -5.2266660,50.23302
Ullapool,0.07422680,0.0000000000,0.0000000000,0.07917526,0.0074226804,0.8391753, -5.1613130,57.89542
Ballachulish,0.12689805,0.0000000000,0.0000000000,0.10520607,0.0325379610,0.7353579, -5.1337200,56.67393
Fort William,0.12054381,0.0000000000,0.0000000000,0.08791541,0.0163141994,0.7752266, -5.1052179,56.81982
Achnasheen,0.07204969,0.0000000000,0.0000000000,0.08260870,0.0074534161,0.8378882, -5.0787658,57.57859
Newquay,0.05622215,0.0020569078,0.0000000000,0.09941721,0.0000000000,0.8423037, -5.0737190,50.41550
Falmouth,0.09355204,0.0013574661,0.0000000000,0.10904977,0.0000000000,0.7960407, -5.0662700,50.15257
Rothesay,0.10096364,0.0000000000,0.0000000000,0.15812527,0.0784056067,0.6625055, -5.0557930,55.83596
Truro,0.09132676,0.0013446885,0.0000000000,0.10936800,0.0000000000,0.7979606, -5.0510410,50.26320
Milford Haven,0.14871279,0.0034517474,0.0000000000,0.09535452,0.0008629369,0.7516180, -5.0426971,51.71431
Stranraer,0.05530813,0.0018643190,0.0000000000,0.07167271,0.0111859140,0.8599689, -5.0240550,54.90337
