placename,needs to be Xed,needs Xed,needs Xing,longitude,latitude
Milford Haven,0.7443223,0.08937729,0.16630037, -5.0426971,51.71431
Stranraer,0.5682257,0.36180905,0.06996521, -5.0240550,54.90337
Fishguard,0.7498515,0.08496732,0.16518122, -4.9759890,51.99393
Inchnadamph,0.6388889,0.28009259,0.08101852, -4.9742950,58.15221
Haverfordwest,0.7625088,0.08174771,0.15574348, -4.9713190,51.80047
Dunoon,0.5033784,0.42680180,0.06981982, -4.9262140,55.95097
Pembroke,0.7443223,0.08937729,0.16630037, -4.9086370,51.67404
Girvan,0.4285714,0.49776786,0.07366071, -4.8542179,55.24016
Wadebridge,0.7028862,0.08998302,0.20713073, -4.8364560,50.51665
Invergarry,0.6461916,0.28501229,0.06879607, -4.8002610,57.07095
St Austell,0.7037671,0.08732877,0.20890411, -4.7834252,50.34038
Greenock,0.5000000,0.42475728,0.07524272, -4.7719830,55.95648
Helensburgh,0.4902913,0.43446602,0.07524272, -4.7340140,56.00232
Bodmin,0.7108434,0.09122203,0.19793460, -4.7188629,50.47150
Tenby,0.7525698,0.08516887,0.16226138, -4.7035790,51.67274
Camelford,0.7074653,0.09548611,0.19704861, -4.6823640,50.62206
Irvine,0.4474170,0.47693727,0.07564576, -4.6696364,55.61157
Cardigan,0.7480267,0.08318154,0.16879174, -4.6608640,52.08370
Holyhead,0.7132964,0.07894737,0.20775623, -4.6330380,53.30944
Ayr,0.4249471,0.50105708,0.07399577, -4.6291790,55.45856
Dumbarton,0.5477181,0.36861787,0.08366405, -4.5645540,55.94529
Bude,0.6931217,0.12169312,0.18518519, -4.5436780,50.82664
Isle of Man,0.5612999,0.26587888,0.17282127, -4.5126331,54.27697
Kilmarnock,0.4593698,0.45439469,0.08623549, -4.4987920,55.61472
Newton Stewart,0.4510574,0.45347432,0.09546828, -4.4831640,54.96030
Liskeard,0.7194056,0.08916084,0.19143357, -4.4647190,50.45552
Altnaharra,0.6380510,0.27610209,0.08584687, -4.4426550,58.28023
Pwllheli,0.7181009,0.08902077,0.19287834, -4.4176339,52.88882
Lairg,0.6299766,0.28337237,0.08665105, -4.4024140,58.02206
Launceston,0.6982456,0.11754386,0.18421053, -4.3604516,50.63683
Carmarthen,0.7613803,0.07635830,0.16226138, -4.3121310,51.85762
Llangefni,0.7118644,0.07203390,0.21610169, -4.3114020,53.25579
Caernarfon,0.7094017,0.07264957,0.21794872, -4.2739110,53.13955
Cumnock,0.4335605,0.48126065,0.08517888, -4.2658289,55.45355
Aberaeron,0.7607306,0.08675799,0.15251142, -4.2581619,52.24279
Alness,0.6378505,0.27803738,0.08411215, -4.2568250,57.69595
Glasgow,0.5550209,0.35811357,0.08686550, -4.2518060,55.86424
Dalwhinnie,0.6098191,0.31266150,0.07751938, -4.2427830,56.93660
Inverness,0.6396181,0.28400955,0.07637232, -4.2247210,57.47777
Saltash,0.6915323,0.10483871,0.20362903, -4.2164300,50.40921
Bideford,0.6925231,0.16465976,0.14281714, -4.2066660,51.01668
Invergordon,0.6352941,0.28000000,0.08470588, -4.1728820,57.68811
Llanelli,0.7526652,0.10021322,0.14712154, -4.1602480,51.68089
Plymouth,0.7120690,0.11379310,0.17413793, -4.1426565,50.37546
Tavistock,0.6873630,0.13586560,0.17677137, -4.1416540,50.55112
Porthmadog,0.7214076,0.08797654,0.19061584, -4.1333840,52.92784
Bangor,0.7118644,0.07203390,0.21610169, -4.1292630,53.22739
Tywyn,0.7535597,0.08871851,0.15772180, -4.0872490,52.58701
Aberystwyth,0.7723669,0.08833522,0.13929785, -4.0829200,52.41530
Lampeter,0.7360759,0.09493671,0.16898734, -4.0785090,52.11290
Barnstaple,0.6974087,0.17052104,0.13207021, -4.0583380,51.07816
Tain,0.6285714,0.28809524,0.08333333, -4.0552300,57.81150
Okehampton,0.7063642,0.13232514,0.16131065, -4.0042630,50.73831
Llandeilo,0.7434359,0.09902476,0.15753938, -3.9914300,51.88469
Motherwell,0.5408240,0.36443285,0.09474316, -3.9810968,55.78321
Golspie,0.6365796,0.27790974,0.08551069, -3.9760860,57.97341
Airdrie,0.5432858,0.37579931,0.08091490, -3.9625660,55.86627
Swansea,0.7310195,0.10195228,0.16702820, -3.9436460,51.62144
Stirling,0.5159071,0.38177128,0.10232158, -3.9369029,56.11652
Tregaron,0.7523810,0.08888889,0.15873016, -3.9343850,52.22000
Tregaron,0.7523810,0.08888889,0.15873016, -3.9343850,52.22000
Castle Douglas,0.4637596,0.39893930,0.13730112, -3.9314140,54.94042
Dolgellau,0.7607555,0.09129066,0.14795383, -3.8844000,52.74215
Aberfeldy,0.5758384,0.34641768,0.07774390, -3.8669690,56.62175
Machynlleth,0.7629870,0.08766234,0.14935065, -3.8534850,52.59027
Brora,0.6365796,0.27790974,0.08551069, -3.8525480,58.01216
Llandudno,0.6265060,0.09337349,0.28012048, -3.8276090,53.32406
Llandudno,0.6265060,0.09337349,0.28012048, -3.8276090,53.32406
Aviemore,0.6313364,0.29493088,0.07373272, -3.8238120,57.19449
Dalbeattie,0.4689326,0.38024429,0.15082315, -3.8225270,54.93422
Falkirk,0.4924357,0.39258699,0.11497731, -3.7839131,56.00188
Kingsbridge,0.6981132,0.12718379,0.17470300, -3.7774930,50.28395
Pitlochry,0.5248227,0.39651838,0.07865893, -3.7297110,56.70436
Colwyn Bay,0.6058981,0.09383378,0.30026810, -3.7276400,53.29318
Totnes,0.7030260,0.12807882,0.16889514, -3.6857970,50.43374
