placename,control,doubled,longitude,latitude
Colchester,0.9791123,0.0208877285,  0.8918740,51.89593
New Romney,0.9847779,0.0152221303,  0.9394730,50.98512
Canterbury,0.9827482,0.0172518160,  1.0789089,51.28023
Ipswich,0.9815690,0.0184310019,  1.1482200,52.05674
Clacton,0.9807074,0.0192926045,  1.1530350,51.78953
Folkestone,0.9836661,0.0163339383,  1.1694560,51.08140
Sheringham,0.9768836,0.0231164384,  1.2109589,52.94442
Harwich,0.9820276,0.0179723502,  1.2602970,51.93473
Norwich,0.9754290,0.0245709828,  1.2973550,52.63089
Cromer,0.9771767,0.0228233305,  1.3018660,52.93145
Dover,0.9836957,0.0163043478,  1.3134027,51.12788
Felixstowe,0.9817757,0.0182242991,  1.3512550,51.96173
Margate,0.9833024,0.0166975881,  1.3868339,51.38965
Ramsgate,0.9830668,0.0169332079,  1.4198950,51.33555
Great Yarmouth,0.9754098,0.0245901639,  1.7280470,52.59823
Lowestoft,0.9726527,0.0273473108,  1.7534490,52.48114
Swaffham,0.9768935,0.0231065469,  0.6874810,52.64747
Dereham,0.9748704,0.0251296370,  0.9378270,52.68162
Ely,0.9725325,0.0274674968,  0.2623630,52.39954
March,0.9741220,0.0258780037,  0.0886220,52.55172
St Neots,0.9828256,0.0171744020, -0.2651030,52.23008
Banham,0.9774194,0.0225806452,  1.0402849,52.45125
Holt,0.9757771,0.0242228502,  1.0867470,52.90936
Cromer,0.9771767,0.0228233305,  1.3018660,52.93145
Hunstanton,0.9906716,0.0093283582,  0.4910320,52.93891
Horncastle,0.9917165,0.0082834791, -0.1124500,53.20731
Market Weighton,0.9826199,0.0173801094, -0.6677465,53.86484
Hawes,0.9831144,0.0168855535, -2.1968695,54.30383
Reeth,0.9927419,0.0072580645, -1.9428115,54.38946
Aysgarth,0.9846252,0.0153747598, -1.9967434,54.29159
Stanhope,0.9825277,0.0174723355, -2.0113020,54.74946
Keswick,0.9816870,0.0183129856, -3.1347060,54.60128
Oxenholme,0.9819910,0.0180090045, -2.7243328,54.30134
