placename,control,doubled,longitude,latitude
Camelford,0.9850808,0.0149191877, -4.6823640,50.62206
Irvine,0.9990479,0.0009520787, -4.6696364,55.61157
Cardigan,0.9852941,0.0147058824, -4.6608640,52.08370
Holyhead,0.9747634,0.0252365931, -4.6330380,53.30944
Ayr,0.9989316,0.0010683761, -4.6291790,55.45856
Dumbarton,0.9930234,0.0069766194, -4.5645540,55.94529
Bude,0.9863076,0.0136923779, -4.5436780,50.82664
Isle of Man,0.9838213,0.0161787365, -4.5126331,54.27697
Kilmarnock,1.0000000,0.0000000000, -4.4987920,55.61472
Newton Stewart,0.9958391,0.0041608877, -4.4831640,54.96030
Liskeard,0.9850125,0.0149875104, -4.4647190,50.45552
Altnaharra,0.9894737,0.0105263158, -4.4426550,58.28023
Pwllheli,0.9820225,0.0179775281, -4.4176339,52.88882
Lairg,0.9892280,0.0107719928, -4.4024140,58.02206
Launceston,0.9831303,0.0168697282, -4.3604516,50.63683
Carmarthen,0.9886975,0.0113024758, -4.3121310,51.85762
Llangefni,0.9747634,0.0252365931, -4.3114020,53.25579
Caernarfon,0.9803922,0.0196078431, -4.2739110,53.13955
Cumnock,0.9966102,0.0033898305, -4.2658289,55.45355
Aberaeron,0.9876340,0.0123660346, -4.2581619,52.24279
Alness,0.9893428,0.0106571936, -4.2568250,57.69595
Glasgow,0.9920343,0.0079656592, -4.2518060,55.86424
Dalwhinnie,0.9942803,0.0057197331, -4.2427830,56.93660
Inverness,0.9891501,0.0108499096, -4.2247210,57.47777
Saltash,0.9846626,0.0153374233, -4.2164300,50.40921
Bideford,0.9802539,0.0197461213, -4.2066660,51.01668
Invergordon,0.9889908,0.0110091743, -4.1728820,57.68811
Llanelli,0.9888594,0.0111405836, -4.1602480,51.68089
Plymouth,0.9845758,0.0154241645, -4.1426565,50.37546
Tavistock,0.9845815,0.0154185022, -4.1416540,50.55112
Porthmadog,0.9817073,0.0182926829, -4.1333840,52.92784
Bangor,0.9747634,0.0252365931, -4.1292630,53.22739
Tywyn,0.9827586,0.0172413793, -4.0872490,52.58701
Aberystwyth,0.9861496,0.0138504155, -4.0829200,52.41530
Lampeter,0.9848812,0.0151187905, -4.0785090,52.11290
