placename,preposition_drop_determiner,preposition_drop_no_determiner,preposition_retained,longitude,latitude
Truro,0.018128627,0.215025658,0.7668457, -5.0510410,50.26320
Milford Haven,0.024386382,0.054315123,0.9212985, -5.0426971,51.71431
Stranraer,0.015313447,0.017387143,0.9672994, -5.0240550,54.90337
Fishguard,0.023335494,0.054287434,0.9223771, -4.9759890,51.99393
Inchnadamph,0.008637613,0.014396021,0.9769664, -4.9742950,58.15221
Haverfordwest,0.024332438,0.049770896,0.9258967, -4.9713190,51.80047
Dunoon,0.012740277,0.014751900,0.9725078, -4.9262140,55.95097
Pembroke,0.024332438,0.054194976,0.9214726, -4.9086370,51.67404
Girvan,0.008219178,0.010958904,0.9808219, -4.8542179,55.24016
Wadebridge,0.018406700,0.221391702,0.7602016, -4.8364560,50.51665
Invergarry,0.014288034,0.010716025,0.9749959, -4.8002610,57.07095
St Austell,0.018238842,0.220386007,0.7613752, -4.7834252,50.34038
Greenock,0.012885296,0.016675088,0.9704396, -4.7719830,55.95648
Helensburgh,0.012257406,0.016853933,0.9708887, -4.7340140,56.00232
Bodmin,0.018232684,0.222843913,0.7589234, -4.7188629,50.47150
Tenby,0.024278732,0.051868201,0.9238531, -4.7035790,51.67274
Camelford,0.016223263,0.228139636,0.7556371, -4.6823640,50.62206
Irvine,0.011462882,0.013100437,0.9754367, -4.6696364,55.61157
Cardigan,0.020756848,0.057575544,0.9216676, -4.6608640,52.08370
Holyhead,0.114245416,0.068406206,0.8173484, -4.6330380,53.30944
Ayr,0.008010681,0.010680908,0.9813084, -4.6291790,55.45856
Dumbarton,0.019042747,0.013642565,0.9673147, -4.5645540,55.94529
Bude,0.014392011,0.222048169,0.7635598, -4.5436780,50.82664
Isle of Man,0.070264766,0.071283096,0.8584521, -4.5126331,54.27697
Kilmarnock,0.009803922,0.011867905,0.9783282, -4.4987920,55.61472
Newton Stewart,0.041162228,0.026634383,0.9322034, -4.4831640,54.96030
Liskeard,0.016391843,0.222314372,0.7612938, -4.4647190,50.45552
Altnaharra,0.008869776,0.014782959,0.9763473, -4.4426550,58.28023
Pwllheli,0.053994316,0.049415851,0.8965898, -4.4176339,52.88882
Lairg,0.008951580,0.014919300,0.9761291, -4.4024140,58.02206
Launceston,0.012860424,0.219698903,0.7674407, -4.3604516,50.63683
Carmarthen,0.024549657,0.052446995,0.9230033, -4.3121310,51.85762
Llangefni,0.121418827,0.066166439,0.8124147, -4.3114020,53.25579
Caernarfon,0.114245416,0.068406206,0.8173484, -4.2739110,53.13955
Cumnock,0.005809859,0.011619718,0.9825704, -4.2658289,55.45355
Aberaeron,0.023011597,0.049538855,0.9274495, -4.2581619,52.24279
Alness,0.009527934,0.009527934,0.9809441, -4.2568250,57.69595
Glasgow,0.020625271,0.014654798,0.9647199, -4.2518060,55.86424
Dalwhinnie,0.015010234,0.010006823,0.9749829, -4.2427830,56.93660
Inverness,0.009150146,0.009150146,0.9816997, -4.2247210,57.47777
Saltash,0.011388286,0.246746204,0.7418655, -4.2164300,50.40921
Bideford,0.011878878,0.152198123,0.8359230, -4.2066660,51.01668
Invergordon,0.009497769,0.009497769,0.9810045, -4.1728820,57.68811
