placename,preposition_drop_determiner,preposition_drop_no_determiner,preposition_retained,longitude,latitude
Aylesbury,0.010976356,0.184978587,0.8040451, -0.8084000,51.81561
Newark-on-Trent,0.020723110,0.173562357,0.8057145, -0.8065700,53.07004
Malton,0.023300971,0.071138570,0.9055605, -0.7978970,54.13684
Chichester,0.017619048,0.128214286,0.8541667, -0.7749360,50.83761
Gainsborough,0.020646753,0.196653617,0.7826996, -0.7744650,53.40058
Milton Keynes,0.014905084,0.220476009,0.7646189, -0.7594171,52.04062
Aldershot,0.009587582,0.112007305,0.8784051, -0.7557509,51.24837
High Wycombe,0.018149466,0.108540925,0.8733096, -0.7482290,51.62861
Midhurst,0.016366392,0.100151541,0.8834821, -0.7372740,50.98690
Kettering,0.010097823,0.331492584,0.6584096, -0.7302490,52.39632
Wellingborough,0.012722278,0.320225531,0.6670522, -0.6939640,52.30242
Corby,0.004324844,0.354637194,0.6410380, -0.6842333,52.49230
Bognor Regis,0.019769217,0.127972158,0.8522586, -0.6730610,50.78300
Scunthorpe,0.022629768,0.142072510,0.8352977, -0.6544130,53.58865
Grantham,0.023634794,0.162529678,0.8138355, -0.6435820,52.91252
Whitby,0.077202543,0.051771117,0.8710263, -0.6133470,54.48633
Slough,0.015082746,0.146253753,0.8386635, -0.5950406,51.51054
Guildford,0.015191114,0.099477295,0.8853316, -0.5704090,51.23622
Woking,0.014869253,0.109212100,0.8759186, -0.5600349,51.31677
Lincoln,0.016197142,0.129692833,0.8541100, -0.5405790,53.23069
Bedford,0.006438906,0.217029013,0.7765321, -0.4667782,52.13864
Heathrow,0.015019072,0.173951049,0.8110299, -0.4542955,51.47002
Driffield,0.017576318,0.080481036,0.9019426, -0.4433770,54.00600
Beverley,0.014677104,0.087165688,0.8981572, -0.4350930,53.84196
Luton,0.020836951,0.198891590,0.7802715, -0.4200255,51.87867
Scarborough,0.019591244,0.066392550,0.9140162, -0.3997520,54.28311
Worthing,0.014472826,0.075417172,0.9101100, -0.3728820,50.81787
Dorking,0.015306122,0.127551020,0.8571429, -0.3323780,51.23220
Hull,0.012525442,0.082119931,0.9053546, -0.3274198,53.76762
Horsham,0.024274339,0.095491909,0.8802338, -0.3258580,51.06288
Biggleswade,0.019034435,0.166551306,0.8144143, -0.2642200,52.08694
Peterborough,0.011749347,0.302001741,0.6862489, -0.2405299,52.56950
Welwyn Garden City,0.013090637,0.188801272,0.7981081, -0.2086610,51.80317
Bridlington,0.017210145,0.080615942,0.9021739, -0.1988020,54.08535
Stevenage,0.018173702,0.185164520,0.7966618, -0.1966120,51.90376
Crawley,0.021565495,0.131498693,0.8469358, -0.1872275,51.10914
Huntingdon,0.015338346,0.210526316,0.7741353, -0.1825520,52.33146
Hove,0.014164377,0.073469898,0.9123657, -0.1687490,50.82793
Spalding,0.011402027,0.225295608,0.7633024, -0.1537024,52.79010
Brighton,0.014729951,0.070844050,0.9144260, -0.1371630,50.82253
London,0.019764340,0.163959340,0.8162763, -0.1277583,51.50735
Grimsby,0.014993719,0.081432103,0.9035742, -0.0807840,53.56747
Boston,0.014227424,0.184741759,0.8010308, -0.0265770,52.97894
Royston,0.015841166,0.134385891,0.8497729, -0.0240660,52.04814
Louth_Lincs,0.017198624,0.092472602,0.8903288, -0.0077110,53.36596
Lewes,0.013200556,0.070518759,0.9162807,  0.0087800,50.87387
Chatteris,0.016340823,0.194339072,0.7893201,  0.0540120,52.45610
Uckfield,0.011649007,0.083839858,0.9045111,  0.0959130,50.96641
Cambridge,0.019537121,0.134956417,0.8455065,  0.1218170,52.20534
Bishop's Stortford,0.020365447,0.180177632,0.7994569,  0.1536502,51.87216
Wisbech,0.010136624,0.216174526,0.7736888,  0.1587970,52.66632
Sevenoaks,0.014793741,0.215647226,0.7695590,  0.1908980,51.27241
Tunbridge Wells,0.005907525,0.142386488,0.8517060,  0.2636950,51.13238
Eastbourne,0.011834320,0.079707623,0.9084581,  0.2904720,50.76803
Brentwood,0.015728358,0.297580529,0.6866911,  0.3071749,51.62047
Skegness,0.014660802,0.103025456,0.8823137,  0.3378810,53.14640
Downham Market,0.015002885,0.085978073,0.8990190,  0.3854720,52.60661
King's Lynn,0.014690983,0.103596758,0.8817123,  0.4022963,52.75168
Bexhill,0.010689965,0.078881381,0.9104287,  0.4662071,50.84991
Chelmsford,0.011087448,0.270983819,0.7179287,  0.4685497,51.73559
Mildenhall,0.014235831,0.128659683,0.8571045,  0.5156095,52.34757
Medway,0.010066327,0.256641096,0.7332926,  0.5417861,51.40474
Braintree,0.006476984,0.160305344,0.8332177,  0.5509269,51.88009
Gillingham,0.010064656,0.216262700,0.7736726,  0.5514380,51.38632
Hastings,0.004783841,0.105155918,0.8900602,  0.5734530,50.85426
Maldon,0.012806964,0.239973849,0.7472192,  0.6714480,51.73181
Southend,0.015420589,0.278024149,0.7065553,  0.7077123,51.54593
Bury St Edmunds,0.011473646,0.167443528,0.8210828,  0.7104932,52.24292
Thetford,0.014774495,0.097589425,0.8876361,  0.7516570,52.41286
Ashford,0.007416345,0.168044969,0.8245387,  0.8750190,51.14647
Faversham,0.010885828,0.187664448,0.8014497,  0.8893580,51.31599
Colchester,0.005653140,0.175651121,0.8186957,  0.8918740,51.89593
New Romney,0.008365167,0.145418110,0.8462167,  0.9394730,50.98512
Canterbury,0.013659458,0.163524806,0.8228157,  1.0789089,51.28023
Ipswich,0.008149406,0.161290323,0.8305603,  1.1482200,52.05674
Clacton,0.012371686,0.177717591,0.8099107,  1.1530350,51.78953
Folkestone,0.016055813,0.120418598,0.8635256,  1.1694560,51.08140
Sheringham,0.012978986,0.090852905,0.8961681,  1.2109589,52.94442
Harwich,0.007103534,0.157698455,0.8351980,  1.2602970,51.93473
Norwich,0.016088061,0.102455546,0.8814564,  1.2973550,52.63089
Cromer,0.012781497,0.092209373,0.8950091,  1.3018660,52.93145
Dover,0.013121645,0.161322389,0.8255560,  1.3134027,51.12788
Felixstowe,0.006559767,0.159985423,0.8334548,  1.3512550,51.96173
Margate,0.024663384,0.141400497,0.8339361,  1.3868339,51.38965
Ramsgate,0.024663384,0.136171511,0.8391651,  1.4198950,51.33555
Great Yarmouth,0.016252390,0.112810707,0.8709369,  1.7280470,52.59823
Lowestoft,0.016314779,0.114203455,0.8694818,  1.7534490,52.48114
Swaffham,0.015960374,0.070445790,0.9135938,  0.6874810,52.64747
Dereham,0.012592832,0.092024540,0.8953826,  0.9378270,52.68162
Ely,0.018807870,0.140335648,0.8408565,  0.2623630,52.39954
March,0.013519814,0.226573427,0.7599068,  0.0886220,52.55172
St Neots,0.022774327,0.184265010,0.7929607, -0.2651030,52.23008
Banham,0.012569832,0.103910615,0.8835196,  1.0402849,52.45125
Holt,0.012256442,0.090509114,0.8972344,  1.0867470,52.90936
Cromer,0.012781497,0.092209373,0.8950091,  1.3018660,52.93145
Hunstanton,0.012965964,0.094813614,0.8922204,  0.4910320,52.93891
Horncastle,0.018462350,0.104905710,0.8766319, -0.1124500,53.20731
Market Weighton,0.019546423,0.075554442,0.9048991, -0.6677465,53.86484
Hawes,0.071454846,0.078857826,0.8496873, -2.1968695,54.30383
Reeth,0.053038944,0.047620987,0.8993401, -1.9428115,54.38946
Aysgarth,0.036302272,0.068282845,0.8954149, -1.9967434,54.29159
Stanhope,0.021499449,0.056780595,0.9217200, -2.0113020,54.74946
Keswick,0.070558589,0.084628307,0.8448131, -3.1347060,54.60128
Oxenholme,0.050866677,0.092337599,0.8567957, -2.7243328,54.30134
