placename,after_perfective,after_perfective_with_modifier,control,longitude,latitude
Achnasheen,0.0035505480,0.0000000000,0.9964495, -5.0787658,57.57859
Newquay,0.0000000000,0.0000000000,1.0000000, -5.0737190,50.41550
Falmouth,0.0000000000,0.0000000000,1.0000000, -5.0662700,50.15257
Rothesay,0.0043684019,0.0020281866,0.9936034, -5.0557930,55.83596
Truro,0.0000000000,0.0000000000,1.0000000, -5.0510410,50.26320
Milford Haven,0.0010500525,0.0000000000,0.9989499, -5.0426971,51.71431
Stranraer,0.0038033143,0.0059766368,0.9902200, -5.0240550,54.90337
Fishguard,0.0010654355,0.0000000000,0.9989346, -4.9759890,51.99393
Inchnadamph,0.0030275847,0.0000000000,0.9969724, -4.9742950,58.15221
Haverfordwest,0.0010657194,0.0000000000,0.9989343, -4.9713190,51.80047
Dunoon,0.0038414430,0.0021712504,0.9939873, -4.9262140,55.95097
Pembroke,0.0010449321,0.0000000000,0.9989551, -4.9086370,51.67404
Girvan,0.0026275116,0.0000000000,0.9973725, -4.8542179,55.24016
Wadebridge,0.0000000000,0.0000000000,1.0000000, -4.8364560,50.51665
Invergarry,0.0035942779,0.0000000000,0.9964057, -4.8002610,57.07095
St Austell,0.0000000000,0.0000000000,1.0000000, -4.7834252,50.34038
Greenock,0.0045170645,0.0021748829,0.9933081, -4.7719830,55.95648
Helensburgh,0.0043680349,0.0021840175,0.9934479, -4.7340140,56.00232
Bodmin,0.0000000000,0.0000000000,1.0000000, -4.7188629,50.47150
Tenby,0.0010493179,0.0000000000,0.9989507, -4.7035790,51.67274
Camelford,0.0000000000,0.0000000000,1.0000000, -4.6823640,50.62206
Irvine,0.0022908414,0.0002863552,0.9974228, -4.6696364,55.61157
Cardigan,0.0009285051,0.0000000000,0.9990715, -4.6608640,52.08370
Holyhead,0.0000000000,0.0000000000,1.0000000, -4.6330380,53.30944
Ayr,0.0023308816,0.0000000000,0.9976691, -4.6291790,55.45856
Dumbarton,0.0038165732,0.0022552478,0.9939282, -4.5645540,55.94529
Bude,0.0000000000,0.0000000000,1.0000000, -4.5436780,50.82664
Isle of Man,0.0025644157,0.0010990353,0.9963365, -4.5126331,54.27697
Kilmarnock,0.0025392795,0.0003174099,0.9971433, -4.4987920,55.61472
Newton Stewart,0.0024916944,0.0000000000,0.9975083, -4.4831640,54.96030
Liskeard,0.0000000000,0.0000000000,1.0000000, -4.4647190,50.45552
Altnaharra,0.0033787243,0.0000000000,0.9966213, -4.4426550,58.28023
Pwllheli,0.0000000000,0.0000000000,1.0000000, -4.4176339,52.88882
Lairg,0.0034337801,0.0000000000,0.9965662, -4.4024140,58.02206
Launceston,0.0000000000,0.0000000000,1.0000000, -4.3604516,50.63683
Carmarthen,0.0000000000,0.0000000000,1.0000000, -4.3121310,51.85762
Llangefni,0.0000000000,0.0000000000,1.0000000, -4.3114020,53.25579
Caernarfon,0.0000000000,0.0000000000,1.0000000, -4.2739110,53.13955
Cumnock,0.0031124735,0.0002829521,0.9966046, -4.2658289,55.45355
Aberaeron,0.0000000000,0.0000000000,1.0000000, -4.2581619,52.24279
Alness,0.0034477715,0.0000000000,0.9965522, -4.2568250,57.69595
Glasgow,0.0034432487,0.0006621632,0.9958946, -4.2518060,55.86424
Dalwhinnie,0.0048426150,0.0000000000,0.9951574, -4.2427830,56.93660
Inverness,0.0035666422,0.0000000000,0.9964334, -4.2247210,57.47777
Saltash,0.0000000000,0.0000000000,1.0000000, -4.2164300,50.40921
Bideford,0.0000000000,0.0000000000,1.0000000, -4.2066660,51.01668
Invergordon,0.0034542676,0.0000000000,0.9965457, -4.1728820,57.68811
Llanelli,0.0000000000,0.0000000000,1.0000000, -4.1602480,51.68089
Plymouth,0.0000000000,0.0000000000,1.0000000, -4.1426565,50.37546
Tavistock,0.0000000000,0.0000000000,1.0000000, -4.1416540,50.55112
Porthmadog,0.0000000000,0.0000000000,1.0000000, -4.1333840,52.92784
Bangor,0.0000000000,0.0000000000,1.0000000, -4.1292630,53.22739
Tywyn,0.0000000000,0.0000000000,1.0000000, -4.0872490,52.58701
Aberystwyth,0.0000000000,0.0000000000,1.0000000, -4.0829200,52.41530
Lampeter,0.0000000000,0.0000000000,1.0000000, -4.0785090,52.11290
Barnstaple,0.0000000000,0.0000000000,1.0000000, -4.0583380,51.07816
Tain,0.0034488525,0.0000000000,0.9965511, -4.0552300,57.81150
Okehampton,0.0000000000,0.0000000000,1.0000000, -4.0042630,50.73831
Llandeilo,0.0000000000,0.0000000000,1.0000000, -3.9914300,51.88469
Motherwell,0.0044761034,0.0011551235,0.9943688, -3.9810968,55.78321
Golspie,0.0033808011,0.0000000000,0.9966192, -3.9760860,57.97341
Airdrie,0.0051344338,0.0009937614,0.9938718, -3.9625660,55.86627
Swansea,0.0000000000,0.0000000000,1.0000000, -3.9436460,51.62144
Stirling,0.0054132082,0.0000000000,0.9945868, -3.9369029,56.11652
Tregaron,0.0000000000,0.0000000000,1.0000000, -3.9343850,52.22000
Tregaron,0.0000000000,0.0000000000,1.0000000, -3.9343850,52.22000
Castle Douglas,0.0010723861,0.0000000000,0.9989276, -3.9314140,54.94042
Dolgellau,0.0000000000,0.0000000000,1.0000000, -3.8844000,52.74215
Aberfeldy,0.0029950083,0.0000000000,0.9970050, -3.8669690,56.62175
Machynlleth,0.0000000000,0.0000000000,1.0000000, -3.8534850,52.59027
Brora,0.0033235975,0.0000000000,0.9966764, -3.8525480,58.01216
Llandudno,0.0000000000,0.0000000000,1.0000000, -3.8276090,53.32406
Llandudno,0.0000000000,0.0000000000,1.0000000, -3.8276090,53.32406
Aviemore,0.0028743203,0.0000000000,0.9971257, -3.8238120,57.19449
Dalbeattie,0.0009955202,0.0000000000,0.9990045, -3.8225270,54.93422
Falkirk,0.0057707721,0.0000000000,0.9942292, -3.7839131,56.00188
Kingsbridge,0.0000000000,0.0000000000,1.0000000, -3.7774930,50.28395
Pitlochry,0.0030100334,0.0000000000,0.9969900, -3.7297110,56.70436
Colwyn Bay,0.0000000000,0.0000000000,1.0000000, -3.7276400,53.29318
Totnes,0.0000000000,0.0000000000,1.0000000, -3.6857970,50.43374
Grantown-on-Spey,0.0034140698,0.0000000000,0.9965859, -3.6096280,57.33041
Dumfries,0.0025293777,0.0000000000,0.9974706, -3.6051200,55.07086
Whitehaven,0.0014702279,0.0000000000,0.9985298, -3.5892330,54.54970
Dartmouth,0.0000000000,0.0000000000,1.0000000, -3.5788070,50.35252
Bridgend,0.0000000000,0.0000000000,1.0000000, -3.5769450,51.50429
Paignton,0.0000000000,0.0000000000,1.0000000, -3.5642350,50.43508
Workington,0.0023191991,0.0000000000,0.9976808, -3.5427520,54.64357
Llanidloes,0.0000000000,0.0000000000,1.0000000, -3.5401950,52.44779
Exeter,0.0000000000,0.0000000000,1.0000000, -3.5338990,50.71841
Torquay,0.0000000000,0.0000000000,1.0000000, -3.5253150,50.46192
Thurso,0.0020971898,0.0000000000,0.9979028, -3.5220800,58.59357
Livingston,0.0044022337,0.0000000000,0.9955978, -3.5180680,55.90071
Rhyl,0.0000000000,0.0000000000,1.0000000, -3.4916340,53.31914
Tiverton,0.0000000000,0.0000000000,1.0000000, -3.4912070,50.90205
Tiverton,0.0000000000,0.0000000000,1.0000000, -3.4912070,50.90205
Minehead,0.0000000000,0.0000000000,1.0000000, -3.4811520,51.20428
Dunfermline,0.0036663611,0.0000000000,0.9963336, -3.4521510,56.07174
Perth,0.0055423970,0.0002842255,0.9941734, -3.4308381,56.39499
Prestatyn,0.0000000000,0.0000000000,1.0000000, -3.4076130,53.33651
Builth Wells,0.0000000000,0.0000000000,1.0000000, -3.4045920,52.15002
Braemar,0.0024610336,0.0000000000,0.9975390, -3.3979439,57.00647
Brecon,0.0000000000,0.0000000000,1.0000000, -3.3914630,51.94895
Merthyr Tydfil,0.0000000000,0.0000000000,1.0000000, -3.3816460,51.74873
Llandrindod Wells,0.0000000000,0.0000000000,1.0000000, -3.3777420,52.24170
Corwen,0.0000000000,0.0000000000,1.0000000, -3.3692420,52.98005
Cockermouth,0.0024190622,0.0000000000,0.9975809, -3.3679850,54.66326
Lockerbie,0.0025866250,0.0000000000,0.9974134, -3.3490080,55.12224
Blairgowrie,0.0036511800,0.0003174939,0.9960313, -3.3378318,56.58941
Elgin,0.0033498117,0.0000000000,0.9966502, -3.3184850,57.64945
Newtown,0.0000000000,0.0000000000,1.0000000, -3.3131060,52.51211
