placename,a load of,a lot of,bare,loads of,lots of,longitude,latitude
Antrim,0.014573974,0.6403834,0.0000000000,0.10397103,0.2410716, -6.2072498,54.71953
Portree,0.010131186,0.5434472,0.0000000000,0.11079361,0.3356280, -6.1960231,57.41247
Islay,0.005256439,0.6070186,0.0000000000,0.12740607,0.2603189, -6.1770670,55.73625
Wicklow,0.019082520,0.6280889,0.0040697317,0.11857480,0.2301840, -6.0445890,52.98082
Kilkeel,0.015217797,0.6442894,0.0007803998,0.11060000,0.2291124, -6.0070040,54.06312
Mull,0.008106445,0.5819809,0.0017580242,0.12659402,0.2815606, -6.0008870,56.43920
Belfast,0.014714583,0.6428301,0.0000000000,0.10406396,0.2383914, -5.9301200,54.59728
Broadford,0.010115420,0.5371547,0.0000000000,0.11373363,0.3389962, -5.9096592,57.24139
Down,0.015027694,0.6445593,0.0000000000,0.10090023,0.2395128, -5.7156922,54.32875
Kyle of Lochalsh,0.010099702,0.5448660,0.0000000000,0.11278001,0.3322543, -5.7143293,57.28261
Campbeltown,0.003172002,0.6460575,0.0000000000,0.11154873,0.2392218, -5.6053740,55.42412
Penzance,0.009667103,0.4808838,0.0065416485,0.12872511,0.3741823, -5.5375920,50.11880
Oban,0.007803378,0.5833675,0.0025445796,0.12605565,0.2802289, -5.4710470,56.41516
Lochgilphead,0.007420392,0.5914752,0.0024196931,0.12785389,0.2708309, -5.4323449,56.03829
Helston,0.008881504,0.4763351,0.0058446023,0.13333715,0.3756017, -5.2749960,50.10159
Redruth,0.008725003,0.4785378,0.0064959878,0.12718125,0.3790600, -5.2266660,50.23302
Ullapool,0.011326861,0.5416667,0.0000000000,0.10477346,0.3422330, -5.1613130,57.89542
Ballachulish,0.004631774,0.5496372,0.0018527096,0.13030724,0.3135711, -5.1337200,56.67393
Fort William,0.006290250,0.5412610,0.0000000000,0.11217613,0.3402726, -5.1052179,56.81982
Achnasheen,0.010760953,0.5453497,0.0000000000,0.10645657,0.3374327, -5.0787658,57.57859
Newquay,0.009562842,0.4795801,0.0064710958,0.13078804,0.3735979, -5.0737190,50.41550
Falmouth,0.008924459,0.4755297,0.0058728696,0.13398204,0.3756909, -5.0662700,50.15257
Rothesay,0.007196346,0.5926243,0.0021119710,0.12845216,0.2696153, -5.0557930,55.83596
Truro,0.008875401,0.4760078,0.0058405863,0.13324553,0.3760307, -5.0510410,50.26320
Milford Haven,0.020363879,0.5192789,0.0060090135,0.15990653,0.2944417, -5.0426971,51.71431
Stranraer,0.012051438,0.6387404,0.0000000000,0.11172392,0.2374842, -5.0240550,54.90337
Fishguard,0.017812552,0.5220576,0.0044947561,0.15831530,0.2973198, -4.9759890,51.99393
Inchnadamph,0.010727969,0.5467433,0.0000000000,0.10383142,0.3386973, -4.9742950,58.15221
Haverfordwest,0.021139861,0.5286657,0.0050735667,0.15592762,0.2891933, -4.9713190,51.80047
Dunoon,0.007393260,0.5925671,0.0026519301,0.12714532,0.2702424, -4.9262140,55.95097
Pembroke,0.018163967,0.5192276,0.0063819342,0.16265750,0.2935690, -4.9086370,51.67404
Girvan,0.001605351,0.6120401,0.0000000000,0.14127090,0.2450836, -4.8542179,55.24016
Wadebridge,0.009683996,0.4832532,0.0065530799,0.13069754,0.3698121, -4.8364560,50.51665
Invergarry,0.009533121,0.5477878,0.0000000000,0.11244195,0.3302371, -4.8002610,57.07095
St Austell,0.008881504,0.4763351,0.0058446023,0.13333715,0.3756017, -4.7834252,50.34038
Greenock,0.007354254,0.5921587,0.0026379389,0.12871277,0.2691364, -4.7719830,55.95648
Helensburgh,0.007385544,0.5921092,0.0026491626,0.12677179,0.2710843, -4.7340140,56.00232
Bodmin,0.008731676,0.4789038,0.0065009560,0.12727852,0.3785851, -4.7188629,50.47150
Tenby,0.021565003,0.5179708,0.0073937153,0.17149312,0.2815773, -4.7035790,51.67274
Camelford,0.009259259,0.4755675,0.0060931900,0.13363202,0.3754480, -4.6823640,50.62206
Irvine,0.007081408,0.5935118,0.0020782393,0.13101888,0.2663097, -4.6696364,55.61157
Cardigan,0.017360496,0.5080602,0.0047829938,0.16439327,0.3054030, -4.6608640,52.08370
Holyhead,0.011220946,0.5403754,0.0060112209,0.11928934,0.3231031, -4.6330380,53.30944
Ayr,0.007266543,0.5915334,0.0021325723,0.13302249,0.2660450, -4.6291790,55.45856
Dumbarton,0.007454625,0.5911727,0.0025895013,0.12893885,0.2698443, -4.5645540,55.94529
Bude,0.008543787,0.4609247,0.0060309084,0.13318256,0.3913180, -4.5436780,50.82664
Isle of Man,0.015034374,0.6190351,0.0008470070,0.11229901,0.2527845, -4.5126331,54.27697
Kilmarnock,0.007718900,0.5912422,0.0020634682,0.13226576,0.2667096, -4.4987920,55.61472
Newton Stewart,0.007171971,0.6160840,0.0000000000,0.13626744,0.2404766, -4.4831640,54.96030
Liskeard,0.008785112,0.4751474,0.0062420529,0.13316380,0.3766617, -4.4647190,50.45552
Altnaharra,0.008801669,0.5655561,0.0023471117,0.10434868,0.3189464, -4.4426550,58.28023
Pwllheli,0.016446482,0.5165813,0.0032353734,0.11566460,0.3480723, -4.4176339,52.88882
Lairg,0.009421617,0.5646100,0.0023554043,0.10471735,0.3188956, -4.4024140,58.02206
Launceston,0.008111240,0.4703940,0.0055619930,0.13279258,0.3831402, -4.3604516,50.63683
Carmarthen,0.019928128,0.5135577,0.0044103234,0.16579549,0.2963084, -4.3121310,51.85762
Llangefni,0.015575566,0.5268922,0.0116816744,0.11839864,0.3274519, -4.3114020,53.25579
Caernarfon,0.016756032,0.5278150,0.0040214477,0.11036640,0.3410411, -4.2739110,53.13955
Cumnock,0.008080952,0.5935891,0.0020583557,0.13407265,0.2621989, -4.2658289,55.45355
Aberaeron,0.018246137,0.5094023,0.0016756656,0.15490598,0.3157699, -4.2581619,52.24279
Alness,0.009511229,0.5681968,0.0023778071,0.10690225,0.3130119, -4.2568250,57.69595
Glasgow,0.008133091,0.5860335,0.0025806923,0.12955596,0.2736968, -4.2518060,55.86424
Dalwhinnie,0.006354650,0.5614283,0.0000000000,0.11710712,0.3151099, -4.2427830,56.93660
Inverness,0.011254019,0.5534566,0.0000000000,0.10329582,0.3319936, -4.2247210,57.47777
Saltash,0.008803429,0.4744006,0.0059075640,0.13135642,0.3795320, -4.2164300,50.40921
Bideford,0.013132296,0.4871109,0.0072957198,0.14263132,0.3498298, -4.2066660,51.01668
Invergordon,0.009579564,0.5674894,0.0023948909,0.10767030,0.3128659, -4.1728820,57.68811
Llanelli,0.020750988,0.5077075,0.0053359684,0.17826087,0.2879447, -4.1602480,51.68089
