placename,a load of,a lot of,bare,loads of,lots of,longitude,latitude
Worcester,0.012682243,0.4892252,0.0115068154,0.13709195,0.3494937, -2.2215750,52.19364
Trowbridge,0.016928658,0.4869004,0.0140624300,0.12029200,0.3618165, -2.2088530,51.31966
Shaftesbury,0.018386517,0.4935714,0.0070614882,0.11578176,0.3651989, -2.1980830,51.00460
Alderney,0.011384615,0.5056154,0.0078461538,0.12407692,0.3510769, -2.1973557,49.71500
Stoke-on-Trent,0.011697728,0.5319351,0.0089219963,0.12065938,0.3267858, -2.1794040,53.00267
Colne,0.014097240,0.5240343,0.0128713933,0.14157000,0.3074271, -2.1769910,53.85564
Blandford Forum,0.015964081,0.5066101,0.0073168704,0.12072836,0.3493806, -2.1653530,50.85691
Rochdale,0.019407783,0.5553773,0.0242483389,0.13635106,0.2646156, -2.1561000,53.60971
Jersey,0.009456265,0.5187219,0.0077785404,0.11911843,0.3449249, -2.1312500,49.21444
Wolverhampton,0.015282953,0.5608007,0.0272410116,0.11576289,0.2809125, -2.1288200,52.58697
Stafford,0.014726812,0.5508291,0.0161084185,0.12423308,0.2941025, -2.1206600,52.80669
Macclesfield,0.011106997,0.5182155,0.0169937060,0.12950759,0.3241762, -2.1192870,53.25866
Hexham,0.013843821,0.5415722,0.0041091200,0.18495932,0.2555155, -2.1121439,54.97266
Aberdeen,0.005272245,0.5788370,0.0022198927,0.12579392,0.2878769, -2.0942780,57.14972
Dudley,0.015458889,0.5582510,0.0275942984,0.11790291,0.2807929, -2.0811120,52.51226
Cheltenham,0.013901761,0.5009689,0.0136490016,0.12098745,0.3504929, -2.0782533,51.89939
Bromsgrove,0.015567525,0.5411880,0.0256920890,0.12472830,0.2928241, -2.0619060,52.33559
Skipton,0.014483084,0.5087631,0.0119607492,0.13700347,0.3277896, -2.0162787,53.96285
Fraserburgh,0.008237017,0.5764343,0.0018827467,0.11327859,0.3001674, -2.0076310,57.69335
Berwick,0.005993079,0.5514857,0.0005799754,0.11837942,0.3235618, -2.0053950,55.77024
Poole,0.016992644,0.5154816,0.0101499686,0.12453669,0.3328391, -1.9872480,50.71505
Walsall,0.015274416,0.5638032,0.0276596395,0.11629520,0.2769676, -1.9829190,52.58621
Cirencester,0.012436780,0.5114833,0.0104468950,0.10819998,0.3574330, -1.9682430,51.71849
Evesham,0.014022511,0.4785261,0.0075457461,0.12337295,0.3765327, -1.9467700,52.09215
Buxton,0.009124484,0.5216163,0.0165109711,0.12853936,0.3242088, -1.9148300,53.25908
Keighley,0.013799899,0.5350598,0.0138534992,0.14272128,0.2945655, -1.9123580,53.86780
Birmingham,0.015417035,0.5558220,0.0267134015,0.11943569,0.2826119, -1.8904010,52.48624
Bournemouth,0.016794409,0.5194432,0.0100315600,0.12274572,0.3309851, -1.8807690,50.71916
Halifax,0.014812671,0.5361035,0.0155776823,0.13609001,0.2974161, -1.8575400,53.72702
Salisbury,0.017354056,0.5210610,0.0083475205,0.11219727,0.3410401, -1.7944720,51.06878
Ringwood,0.016266859,0.5204880,0.0082363842,0.11880984,0.3361989, -1.7888170,50.84495
Huddersfield,0.017198249,0.5360851,0.0139462164,0.12270169,0.3100688, -1.7850351,53.64579
Peterhead,0.007137740,0.5777732,0.0018419975,0.11266885,0.3005782, -1.7840660,57.50812
Swindon,0.019123335,0.4909755,0.0141813494,0.10174044,0.3739794, -1.7797176,51.55577
Bradford,0.014201350,0.5366276,0.0149347886,0.13875799,0.2954783, -1.7593980,53.79598
Ashbourne,0.009757161,0.5302527,0.0220762585,0.14267804,0.2952359, -1.7321790,53.01663
Marlborough,0.022143305,0.4927930,0.0142051389,0.10204721,0.3688114, -1.7270620,51.42007
Stratford-upon-Avon,0.010299636,0.5112698,0.0128745447,0.11715469,0.3484013, -1.7082980,52.19173
Alnwick,0.014293030,0.5447647,0.0040970250,0.18781135,0.2490339, -1.7062990,55.41274
Otley,0.012687081,0.5362345,0.0124987982,0.13936961,0.2992100, -1.6917860,53.90583
Bishop Auckland,0.013466206,0.5570814,0.0056842276,0.17986520,0.2439030, -1.6787880,54.66382
Burton upon Trent,0.019275574,0.5347147,0.0312199062,0.12425833,0.2905315, -1.6371359,52.81403
Newcastle,0.013670795,0.5468318,0.0039443606,0.19215311,0.2433999, -1.6177800,54.97825
Durham,0.015654640,0.5516143,0.0048534142,0.18790326,0.2399744, -1.5848520,54.77525
Ashington,0.014883591,0.5428545,0.0041058181,0.18784118,0.2503149, -1.5659829,55.18298
Darlington,0.016868006,0.5477092,0.0050102989,0.17678005,0.2536325, -1.5594580,54.52361
Leeds,0.013412326,0.5438600,0.0125076088,0.14475473,0.2854653, -1.5490774,53.80076
Harrogate,0.013030591,0.5247709,0.0111235348,0.14187994,0.3091950, -1.5418120,53.99212
Leamington Spa,0.012315365,0.5216624,0.0146085227,0.11158425,0.3398295, -1.5200789,52.28519
Coventry,0.014602013,0.5423873,0.0231726651,0.11158732,0.3082507, -1.5196930,52.40682
Blyth,0.015595177,0.5449932,0.0040966435,0.18919045,0.2461245, -1.5102770,55.12696
Wakefield,0.014774171,0.5496735,0.0133475067,0.13659215,0.2856127, -1.5059240,53.68330
Andover,0.021895055,0.5008808,0.0138417013,0.10960111,0.3537813, -1.4919233,51.21120
Witney,0.012667443,0.5099010,0.0126674432,0.10796447,0.3567997, -1.4850544,51.78594
Barnsley,0.017524112,0.5184991,0.0176307060,0.14712863,0.2992175, -1.4797260,53.55263
Derby,0.016643282,0.5278194,0.0298756592,0.12932411,0.2963375, -1.4746186,52.92253
Sheffield,0.015275099,0.5130165,0.0167193788,0.15204925,0.3029398, -1.4700850,53.38113
Nuneaton,0.014335548,0.5412210,0.0266959241,0.11452744,0.3032201, -1.4653820,52.52049
Northallerton,0.013120757,0.5464185,0.0073232131,0.13959875,0.2935388, -1.4299590,54.33796
South Shields,0.012947563,0.5460533,0.0039699845,0.19231868,0.2447104, -1.4274060,54.99942
Chesterfield,0.014250751,0.5062235,0.0172712909,0.15868590,0.3035685, -1.4216290,53.23505
Southampton,0.014238495,0.5162471,0.0130180524,0.13531655,0.3211798, -1.4043509,50.90970
Wetherby,0.011578277,0.5352101,0.0113050392,0.14068493,0.3012217, -1.3848160,53.92706
Sunderland,0.013701057,0.5423511,0.0043073558,0.19273126,0.2469092, -1.3838010,54.90687
Rotherham,0.016008380,0.5115056,0.0168730298,0.15374303,0.3018700, -1.3635009,53.43260
Castleford,0.013858536,0.5615486,0.0108796868,0.14210106,0.2716121, -1.3459680,53.72347
Thirsk,0.013687415,0.5250551,0.0068017214,0.14222735,0.3122284, -1.3413770,54.23385
Banbury,0.008667164,0.5141826,0.0082109978,0.10862984,0.3603094, -1.3397750,52.06290
Stockton,0.015690377,0.5532284,0.0051350323,0.17965481,0.2462914, -1.3289821,54.57046
Newbury,0.019082498,0.5114688,0.0237085582,0.10871241,0.3370278, -1.3231139,51.40141
Isle of Wight,0.014638440,0.5215176,0.0132487145,0.13318201,0.3174133, -1.3047340,50.69385
Isle of Wight,0.014638440,0.5215176,0.0132487145,0.13318201,0.3174133, -1.3047340,50.69385
Abingdon,0.017149694,0.5078437,0.0135602233,0.10861473,0.3528317, -1.2879529,51.67078
Shetland Islands,0.008681114,0.5648511,0.0023149637,0.10822455,0.3159282, -1.2659409,60.52965
Rugby,0.013433089,0.5336965,0.0228916709,0.11086021,0.3191186, -1.2650320,52.37088
Oxford,0.014664144,0.5024440,0.0130085147,0.10635446,0.3635289, -1.2577263,51.75202
Middlesbrough,0.015458847,0.5560266,0.0050592589,0.17911182,0.2443435, -1.2349560,54.57423
Hartlepool,0.014636516,0.5431954,0.0047335116,0.18585261,0.2515820, -1.2129260,54.69174
Loughborough,0.016852355,0.5404378,0.0334472428,0.11620323,0.2930593, -1.2061660,52.77210
Mansfield,0.013004200,0.5289622,0.0234478393,0.13265052,0.3019353, -1.1986740,53.14720
Nottingham,0.017113058,0.5251802,0.0323274771,0.13292154,0.2924578, -1.1581086,52.95478
Bicester,0.012497609,0.5130396,0.0091819167,0.11885481,0.3464261, -1.1535899,51.89960
Leicester,0.017286243,0.5436848,0.0306617770,0.10535072,0.3030165, -1.1397592,52.63688
Doncaster,0.017412711,0.5189071,0.0177879852,0.15309509,0.2927971, -1.1284620,53.52282
Worksop,0.015976452,0.5106122,0.0193896027,0.16097485,0.2930469, -1.1227450,53.30930
Basingstoke,0.017112226,0.5163219,0.0185554257,0.11311937,0.3348911, -1.0923964,51.26654
Portsmouth,0.012918939,0.5125218,0.0126012601,0.13363689,0.3283211, -1.0879769,50.81977
York,0.011650047,0.5284456,0.0093188871,0.14139398,0.3091915, -1.0872979,53.95997
Selby,0.012895915,0.5282739,0.0063130632,0.13511034,0.3174068, -1.0671890,53.78352
Helmsley,0.013801681,0.5262894,0.0057774479,0.13879917,0.3153323, -1.0562636,54.24651
Towcester,0.010352105,0.5421526,0.0177940686,0.11418416,0.3155170, -0.9896880,52.13511
Reading,0.016518329,0.5310002,0.0253431890,0.11683512,0.3103032, -0.9781303,51.45426
Retford,0.013775291,0.5342708,0.0133448127,0.15688525,0.2817238, -0.9455030,53.32136
Petersfield,0.010196278,0.5026128,0.0160591384,0.14083609,0.3302957, -0.9389900,51.00759
Northampton,0.012209152,0.5522293,0.0200746637,0.12279590,0.2926909, -0.9026560,52.24048
Melton Mowbray,0.016973900,0.5323432,0.0293164811,0.11280952,0.3085569, -0.8871260,52.76640
Aylesbury,0.017056171,0.5306273,0.0203362034,0.11242312,0.3195572, -0.8084000,51.81561
Newark-on-Trent,0.016660630,0.5283196,0.0209292699,0.13242269,0.3016678, -0.8065700,53.07004
Malton,0.015377056,0.5116051,0.0036419343,0.13642801,0.3329479, -0.7978970,54.13684
Chichester,0.007224308,0.4925278,0.0135986968,0.15305617,0.3335930, -0.7749360,50.83761
Gainsborough,0.013041297,0.5300674,0.0135428858,0.15320738,0.2901410, -0.7744650,53.40058
Milton Keynes,0.012172465,0.5477609,0.0207572554,0.12377475,0.2955346, -0.7594171,52.04062
Aldershot,0.011053856,0.5346991,0.0192819149,0.11170213,0.3232630, -0.7557509,51.24837
High Wycombe,0.009085023,0.5449134,0.0189010255,0.11413713,0.3129634, -0.7482290,51.62861
Midhurst,0.006741127,0.5005618,0.0142753288,0.14671866,0.3317031, -0.7372740,50.98690
Kettering,0.008240106,0.5594551,0.0211115121,0.11894021,0.2922531, -0.7302490,52.39632
Wellingborough,0.009524507,0.5511026,0.0208806506,0.12279288,0.2956993, -0.6939640,52.30242
Corby,0.009906693,0.5512230,0.0304688400,0.11365818,0.2947433, -0.6842333,52.49230
Bognor Regis,0.009698425,0.5076895,0.0127465016,0.14293631,0.3269293, -0.6730610,50.78300
Scunthorpe,0.015871935,0.5479791,0.0057220708,0.14171208,0.2887148, -0.6544130,53.58865
Grantham,0.015498343,0.5213782,0.0186336987,0.12410570,0.3203841, -0.6435820,52.91252
Whitby,0.017758503,0.5246063,0.0041086510,0.15937001,0.2941566, -0.6133470,54.48633
Slough,0.007318764,0.5728153,0.0208006985,0.10580108,0.2932642, -0.5950406,51.51054
Guildford,0.010180044,0.5249032,0.0092545852,0.11198048,0.3436816, -0.5704090,51.23622
Woking,0.011717029,0.5300855,0.0146242622,0.10695093,0.3366223, -0.5600349,51.31677
Lincoln,0.014829268,0.5228618,0.0096585366,0.14617886,0.3064715, -0.5405790,53.23069
Bedford,0.010671124,0.5392132,0.0214065312,0.12323219,0.3054770, -0.4667782,52.13864
Heathrow,0.010720545,0.5661157,0.0299778215,0.08219085,0.3109951, -0.4542955,51.47002
Driffield,0.016323259,0.5406029,0.0056300583,0.13643117,0.3010126, -0.4433770,54.00600
Beverley,0.016532689,0.5396983,0.0060586861,0.13639964,0.3013107, -0.4350930,53.84196
Luton,0.015038810,0.5280563,0.0218305304,0.10470569,0.3303687, -0.4200255,51.87867
Scarborough,0.016960577,0.5325366,0.0065583327,0.14867376,0.2952707, -0.3997520,54.28311
Worthing,0.011325517,0.5098748,0.0087368273,0.13207710,0.3379858, -0.3728820,50.81787
Dorking,0.008933422,0.5318706,0.0108649725,0.11088308,0.3374479, -0.3323780,51.23220
Hull,0.018459208,0.5330664,0.0058428911,0.14128976,0.3013417, -0.3274198,53.76762
Horsham,0.011750692,0.5023394,0.0093361664,0.13392570,0.3426480, -0.3258580,51.06288
Biggleswade,0.010860811,0.5274627,0.0107687706,0.10384500,0.3470627, -0.2642200,52.08694
Peterborough,0.008716058,0.5340261,0.0127388535,0.11654934,0.3279696, -0.2405299,52.56950
Welwyn Garden City,0.015130862,0.5546619,0.0229007634,0.09726009,0.3100463, -0.2086610,51.80317
Bridlington,0.016329005,0.5386812,0.0056320401,0.13683120,0.3025266, -0.1988020,54.08535
Stevenage,0.015299827,0.5277618,0.0182610841,0.09788599,0.3407913, -0.1966120,51.90376
Crawley,0.009247607,0.5194581,0.0129657171,0.11888419,0.3394444, -0.1872275,51.10914
Huntingdon,0.006725412,0.5253921,0.0083944920,0.11239292,0.3470951, -0.1825520,52.33146
Hove,0.012020572,0.5085767,0.0094338666,0.13532019,0.3346487, -0.1687490,50.82793
Spalding,0.011720227,0.5331758,0.0096408318,0.11767486,0.3277883, -0.1537024,52.79010
Brighton,0.011495897,0.5136980,0.0098098323,0.13815514,0.3268411, -0.1371630,50.82253
London,0.012120314,0.5938259,0.0181119284,0.09413107,0.2818108, -0.1277583,51.50735
Grimsby,0.018342685,0.5439505,0.0051791109,0.15084161,0.2816861, -0.0807840,53.56747
Boston,0.012459547,0.5080906,0.0077669903,0.13001618,0.3416667, -0.0265770,52.97894
Royston,0.007611284,0.5097842,0.0070711287,0.10255592,0.3729775, -0.0240660,52.04814
Louth_Lincs,0.016452268,0.5380501,0.0048747461,0.14319567,0.2974272, -0.0077110,53.36596
Lewes,0.013380082,0.5096249,0.0096688185,0.13394732,0.3333789,  0.0087800,50.87387
Chatteris,0.008676121,0.5268431,0.0087201621,0.10387122,0.3518894,  0.0540120,52.45610
Uckfield,0.013764852,0.5076588,0.0092499807,0.13131669,0.3380097,  0.0959130,50.96641
Cambridge,0.010631709,0.5331596,0.0065028902,0.09509187,0.3546140,  0.1218170,52.20534
Bishop's Stortford,0.012337217,0.5375502,0.0111622442,0.10643298,0.3325174,  0.1536502,51.87216
Wisbech,0.007209805,0.5143984,0.0049620425,0.10746851,0.3659612,  0.1587970,52.66632
Sevenoaks,0.010982734,0.5309848,0.0299242758,0.12810950,0.2999987,  0.1908980,51.27241
Tunbridge Wells,0.012628541,0.5124727,0.0160726879,0.13015597,0.3286701,  0.2636950,51.13238
Eastbourne,0.013353355,0.5067825,0.0096748836,0.13212263,0.3380666,  0.2904720,50.76803
Brentwood,0.013278647,0.5874904,0.0257882594,0.10776724,0.2656755,  0.3071749,51.62047
Skegness,0.012764633,0.4958748,0.0060709838,0.12531133,0.3599782,  0.3378810,53.14640
Downham Market,0.008504907,0.5236867,0.0069270733,0.10005773,0.3608236,  0.3854720,52.60661
King's Lynn,0.011703728,0.5119545,0.0095301789,0.11452934,0.3522822,  0.4022963,52.75168
Bexhill,0.012701437,0.5224965,0.0092614644,0.12949291,0.3260476,  0.4662071,50.84991
Chelmsford,0.014837139,0.5718094,0.0187202967,0.11324910,0.2813840,  0.4685497,51.73559
Mildenhall,0.009012786,0.5083840,0.0045273528,0.09849088,0.3795850,  0.5156095,52.34757
Medway,0.011298938,0.5620219,0.0183913443,0.12439592,0.2838919,  0.5417861,51.40474
Braintree,0.017413645,0.5535446,0.0170139880,0.11192311,0.3001047,  0.5509269,51.88009
Gillingham,0.011584522,0.5598784,0.0176526048,0.12443080,0.2864536,  0.5514380,51.38632
Hastings,0.012395292,0.5242295,0.0091333733,0.13013752,0.3241043,  0.5734530,50.85426
Maldon,0.015782755,0.5666319,0.0166531275,0.11554679,0.2853855,  0.6714480,51.73181
Southend,0.013923528,0.5710241,0.0142516924,0.12026741,0.2805333,  0.7077123,51.54593
Bury St Edmunds,0.011907622,0.5165917,0.0074122371,0.09982499,0.3642634,  0.7104932,52.24292
Thetford,0.011912485,0.5209648,0.0053075426,0.11039689,0.3514183,  0.7516570,52.41286
Ashford,0.013404997,0.5214161,0.0153199964,0.11977684,0.3300821,  0.8750190,51.14647
Faversham,0.012904897,0.5501324,0.0177502303,0.12124846,0.2979640,  0.8893580,51.31599
Colchester,0.016843463,0.5432435,0.0077408257,0.11420107,0.3179711,  0.8918740,51.89593
New Romney,0.012981778,0.5174572,0.0156492667,0.12278747,0.3311243,  0.9394730,50.98512
Canterbury,0.013089177,0.5349154,0.0153143366,0.12175552,0.3149256,  1.0789089,51.28023
Ipswich,0.015929477,0.5298742,0.0088153418,0.10426333,0.3411176,  1.1482200,52.05674
Clacton,0.017032361,0.5325499,0.0085877453,0.12384483,0.3179851,  1.1530350,51.78953
Folkestone,0.013629876,0.5297751,0.0147413248,0.11853897,0.3233147,  1.1694560,51.08140
Sheringham,0.011456967,0.4861619,0.0045551798,0.12181655,0.3760094,  1.2109589,52.94442
Harwich,0.018004903,0.5395597,0.0082745939,0.10874451,0.3254163,  1.2602970,51.93473
Norwich,0.011684151,0.4979584,0.0056536215,0.12117595,0.3635279,  1.2973550,52.63089
Cromer,0.011293133,0.4823980,0.0046009062,0.12136633,0.3803416,  1.3018660,52.93145
Dover,0.012272348,0.5382897,0.0154631584,0.11704138,0.3169334,  1.3134027,51.12788
Felixstowe,0.015716374,0.5126401,0.0093201754,0.11443104,0.3478923,  1.3512550,51.96173
Margate,0.014364143,0.5383348,0.0149727933,0.12232245,0.3100058,  1.3868339,51.38965
Ramsgate,0.013494761,0.5358905,0.0148951610,0.12181780,0.3139017,  1.4198950,51.33555
Great Yarmouth,0.013442581,0.4974395,0.0049929586,0.12155934,0.3625656,  1.7280470,52.59823
Lowestoft,0.013442581,0.4971835,0.0049929586,0.12207144,0.3623096,  1.7534490,52.48114
Swaffham,0.012916427,0.5033570,0.0049875312,0.11324253,0.3654965,  0.6874810,52.64747
Dereham,0.013149002,0.4972043,0.0051612903,0.11311828,0.3713671,  0.9378270,52.68162
Ely,0.006809051,0.5305350,0.0091351237,0.10101501,0.3525058,  0.2623630,52.39954
March,0.009295689,0.5295949,0.0085606814,0.10132301,0.3512257,  0.0886220,52.55172
St Neots,0.005866980,0.5223479,0.0072003840,0.10563230,0.3589525, -0.2651030,52.23008
Banham,0.012562814,0.5086227,0.0061671996,0.11380767,0.3588397,  1.0402849,52.45125
Holt,0.011135355,0.4890527,0.0049657663,0.11970506,0.3751411,  1.0867470,52.90936
Cromer,0.011293133,0.4823980,0.0046009062,0.12136633,0.3803416,  1.3018660,52.93145
Hunstanton,0.011115575,0.5020758,0.0064282845,0.12695862,0.3534217,  0.4910320,52.93891
Horncastle,0.015005737,0.5162268,0.0058257569,0.13216818,0.3307735, -0.1124500,53.20731
Market Weighton,0.014661427,0.5432285,0.0062186906,0.14175592,0.2941354, -0.6677465,53.86484
Hawes,0.012752256,0.5430867,0.0076513533,0.11676284,0.3197469, -2.1968695,54.30383
Reeth,0.010322518,0.5577068,0.0056701156,0.14320677,0.2830938, -1.9428115,54.38946
Aysgarth,0.010127782,0.5398108,0.0077574504,0.12069300,0.3216110, -1.9967434,54.29159
Stanhope,0.015521792,0.5484979,0.0045429635,0.18139404,0.2500433, -2.0113020,54.74946
Keswick,0.011391423,0.5656771,0.0029084485,0.11826075,0.3017623, -3.1347060,54.60128
Oxenholme,0.010710448,0.5337528,0.0116059701,0.11669015,0.3272406, -2.7243328,54.30134
