placename,merger,no merger,longitude,latitude
Holyhead,0.00000000,1.00000000, -4.6330380,53.30944
Ayr,0.00000000,1.00000000, -4.6291790,55.45856
Dumbarton,0.00000000,1.00000000, -4.5645540,55.94529
Bude,0.00000000,1.00000000, -4.5436780,50.82664
Isle of Man,0.00000000,1.00000000, -4.5126331,54.27697
Kilmarnock,0.00000000,1.00000000, -4.4987920,55.61472
Newton Stewart,0.00000000,1.00000000, -4.4831640,54.96030
Liskeard,0.00000000,1.00000000, -4.4647190,50.45552
Altnaharra,0.00000000,1.00000000, -4.4426550,58.28023
Pwllheli,0.00000000,1.00000000, -4.4176339,52.88882
Lairg,0.00000000,1.00000000, -4.4024140,58.02206
Launceston,0.00000000,1.00000000, -4.3604516,50.63683
Carmarthen,0.00000000,1.00000000, -4.3121310,51.85762
Llangefni,0.00000000,1.00000000, -4.3114020,53.25578
Caernarfon,0.00000000,1.00000000, -4.2739110,53.13955
Cumnock,0.00000000,1.00000000, -4.2658289,55.45355
Aberaeron,0.00000000,1.00000000, -4.2581619,52.24279
Alness,0.00000000,1.00000000, -4.2568250,57.69595
Glasgow,0.00000000,1.00000000, -4.2518060,55.86424
Dalwhinnie,0.00000000,1.00000000, -4.2427830,56.93660
Inverness,0.00000000,1.00000000, -4.2247210,57.47777
Saltash,0.00000000,1.00000000, -4.2164300,50.40921
Bideford,0.00000000,1.00000000, -4.2066660,51.01668
Invergordon,0.00000000,1.00000000, -4.1728820,57.68811
Llanelli,0.00000000,1.00000000, -4.1602480,51.68089
Plymouth,0.00000000,1.00000000, -4.1426565,50.37546
Tavistock,0.00000000,1.00000000, -4.1416540,50.55112
Porthmadog,0.00000000,1.00000000, -4.1333840,52.92784
Bangor,0.00000000,1.00000000, -4.1292630,53.22739
Tywyn,0.00000000,1.00000000, -4.0872490,52.58701
Aberystwyth,0.00000000,1.00000000, -4.0829200,52.41530
Lampeter,0.00000000,1.00000000, -4.0785090,52.11290
Barnstaple,0.00000000,1.00000000, -4.0583380,51.07816
Tain,0.00000000,1.00000000, -4.0552300,57.81150
Okehampton,0.00000000,1.00000000, -4.0042630,50.73831
Llandeilo,0.00000000,1.00000000, -3.9914300,51.88469
Motherwell,0.00000000,1.00000000, -3.9810968,55.78321
Golspie,0.00000000,1.00000000, -3.9760860,57.97341
Airdrie,0.00000000,1.00000000, -3.9625660,55.86627
Swansea,0.05882353,0.94117647, -3.9436460,51.62144
Stirling,0.00000000,1.00000000, -3.9369029,56.11652
Tregaron,0.00000000,1.00000000, -3.9343850,52.22000
Tregaron,0.00000000,1.00000000, -3.9343850,52.22000
Castle Douglas,0.00000000,1.00000000, -3.9314140,54.94042
Dolgellau,0.00000000,1.00000000, -3.8844000,52.74215
Aberfeldy,0.00000000,1.00000000, -3.8669690,56.62175
Machynlleth,0.00000000,1.00000000, -3.8534850,52.59027
Brora,0.00000000,1.00000000, -3.8525480,58.01216
Llandudno,0.00000000,1.00000000, -3.8276090,53.32406
Llandudno,0.00000000,1.00000000, -3.8276090,53.32406
Aviemore,0.00000000,1.00000000, -3.8238120,57.19449
Dalbeattie,0.00000000,1.00000000, -3.8225270,54.93422
Falkirk,0.00000000,1.00000000, -3.7839131,56.00188
Kingsbridge,0.05882353,0.94117647, -3.7774930,50.28395
Pitlochry,0.00000000,1.00000000, -3.7297110,56.70436
Colwyn Bay,0.00000000,1.00000000, -3.7276400,53.29318
Totnes,0.05882353,0.94117647, -3.6857970,50.43374
Grantown-on-Spey,0.00000000,1.00000000, -3.6096280,57.33041
Dumfries,0.00000000,1.00000000, -3.6051200,55.07086
Whitehaven,0.00000000,1.00000000, -3.5892330,54.54970
Dartmouth,0.17647059,0.82352941, -3.5788070,50.35252
Bridgend,0.17647059,0.82352941, -3.5769450,51.50429
Paignton,0.17647059,0.82352941, -3.5642350,50.43508
Workington,0.00000000,1.00000000, -3.5427520,54.64357
Llanidloes,0.00000000,1.00000000, -3.5401950,52.44779
Exeter,0.11764706,0.88235294, -3.5338990,50.71841
Torquay,0.17647059,0.82352941, -3.5253150,50.46192
Thurso,0.00000000,1.00000000, -3.5220800,58.59357
Livingston,0.00000000,1.00000000, -3.5180680,55.90071
Rhyl,0.00000000,1.00000000, -3.4916340,53.31914
Tiverton,0.17647059,0.82352941, -3.4912070,50.90205
Tiverton,0.17647059,0.82352941, -3.4912070,50.90205
Minehead,0.23529412,0.76470588, -3.4811520,51.20428
Dunfermline,0.00000000,1.00000000, -3.4521510,56.07174
Perth,0.00000000,1.00000000, -3.4308381,56.39499
Prestatyn,0.00000000,1.00000000, -3.4076130,53.33651
Builth Wells,0.00000000,1.00000000, -3.4045920,52.15002
Braemar,0.00000000,1.00000000, -3.3979439,57.00647
Brecon,0.00000000,1.00000000, -3.3914630,51.94895
Merthyr Tydfil,0.11764706,0.88235294, -3.3816460,51.74873
