placename,merger,no merger,longitude,latitude
Swaffham,0.00000000,1.00000000,  0.6874810,52.64747
Dereham,0.00000000,1.00000000,  0.9378270,52.68162
Ely,0.00000000,1.00000000,  0.2623630,52.39954
March,0.00000000,1.00000000,  0.0886220,52.55172
St Neots,0.00000000,1.00000000, -0.2651030,52.23008
Banham,0.00000000,1.00000000,  1.0402849,52.45125
Holt,0.00000000,1.00000000,  1.0867470,52.90936
Cromer,0.00000000,1.00000000,  1.3018660,52.93145
Hunstanton,0.00000000,1.00000000,  0.4910320,52.93891
Horncastle,0.00000000,1.00000000, -0.1124500,53.20731
Market Weighton,0.00000000,1.00000000, -0.6677465,53.86484
Hawes,0.00000000,1.00000000, -2.1968695,54.30383
Reeth,0.00000000,1.00000000, -1.9428115,54.38946
Aysgarth,0.00000000,1.00000000, -1.9967434,54.29159
Stanhope,0.00000000,1.00000000, -2.0113020,54.74946
Keswick,0.00000000,1.00000000, -3.1347060,54.60128
Oxenholme,0.00000000,1.00000000, -2.7243328,54.30134
