,negation,participial_form,verb_stem,variant,latitude,longitude,weight
85,affirmative,sat,sit,past participle,50.74022017169794,-3.069315575821069,1.0
86,affirmative,sat,sit,past participle,50.740978166116065,-3.993825069079358,0.5
87,affirmative,sat,sit,past participle,50.742267678880474,-1.8526065848436408,0.08333333333333333
88,affirmative,sat,sit,past participle,50.7424473,-1.8961022,1.0
89,affirmative,sat,sit,past participle,50.74391267949184,-1.746065585634172,0.5
90,affirmative,sat,sit,past participle,50.74612608360889,-1.8524391574588681,1.0
91,affirmative,sat,sit,past participle,50.7487635,-2.3444786,2.066666666666667
92,affirmative,sat,sit,past participle,50.75211317034961,-3.2805390742075318,1.0
93,affirmative,sat,sit,past participle,50.752988182129535,-1.281754589083907,3.0
94,affirmative,sat,sit,past participle,50.7531235,-1.6550806,2.0
95,affirmative,sat,sit,past participle,50.75657117743766,-2.081908083047971,1.0
96,affirmative,sat,sit,past participle,50.758531,-1.5419098999999998,0.5
97,affirmative,sat,sit,past participle,50.758596999999995,-3.2591050999999998,1.0
98,affirmative,sat,sit,past participle,50.7656856844417,-0.8659810921677059,1.0
99,affirmative,sat,sit,past participle,50.7658195,-1.2999216999999998,1.0
100,affirmative,sat,sit,past participle,50.768035,0.29047199999999995,5.125
101,affirmative,sat,sit,past participle,50.7695534,-2.0177914,2.0
102,affirmative,sat,sit,past participle,50.775527200000006,-2.5816958,1.0
103,affirmative,sat,sit,past participle,50.782025190888355,0.286119399083241,0.3333333333333333
104,affirmative,sat,sit,past participle,50.782727,-2.9949369999999997,1.0
105,affirmative,sat,sit,past participle,50.782998,-0.673061,0.5
106,affirmative,sat,sit,past participle,50.783565,-1.085559,2.3333333333333335
107,affirmative,sat,sit,past participle,50.784159685417464,-0.673983593526433,1.0
108,affirmative,sat,sit,past participle,50.794995,-1.1175469999999998,2.1666666666666665
109,affirmative,sat,sit,past participle,50.79578517056297,-3.194417074601884,1.0
110,affirmative,sat,sit,past participle,50.799468,-3.188683,1.0
111,affirmative,sat,sit,past participle,50.8004646,-1.9830004,0.5
112,affirmative,sat,sit,past participle,50.8008185,-1.0910861,1.0
113,affirmative,sat,sit,past participle,50.80182118228282,-1.1974090894476899,1.0
114,affirmative,sat,sit,past participle,50.8020939,-1.202352,1.0
115,affirmative,sat,sit,past participle,50.80531367779954,-1.963016083666498,1.0
116,affirmative,sat,sit,past participle,50.808838182513504,-1.1491975897732971,1.0
117,affirmative,sat,sit,past participle,50.811057,-0.5386609,0.5
118,affirmative,sat,sit,past participle,50.81115517317169,-2.739765077861909,1.0
119,affirmative,sat,sit,past participle,50.814141690470436,0.250689399542371,1.0
120,affirmative,sat,sit,past participle,50.81705868834003,-0.12226959756546499,1.0
121,affirmative,sat,sit,past participle,50.81787,-0.372882,2.111111111111111
122,affirmative,sat,sit,past participle,50.81846710000001,-0.12033669999999999,0.2
123,affirmative,sat,sit,past participle,50.81886418291968,-1.066985090339948,2.05
124,affirmative,sat,sit,past participle,50.819758665082034,-4.073271568087049,1.0
125,affirmative,sat,sit,past participle,50.8197675,-1.0879769,0.5166666666666667
126,affirmative,sat,sit,past participle,50.82253,-0.137163,3.514705882352941
127,affirmative,sat,sit,past participle,50.8226288,-0.137047,0.5
128,affirmative,sat,sit,past participle,50.82521285577883,-1.2639374424777061,1.0
129,affirmative,sat,sit,past participle,50.826636,-4.543678,4.333333333333333
130,affirmative,sat,sit,past participle,50.82664017813681,-1.880395584166328,1.0
131,affirmative,sat,sit,past participle,50.82728348099361,-2.936467907868612,1.0
132,affirmative,sat,sit,past participle,50.82789868742786,-0.269735596370704,1.0
133,affirmative,sat,sit,past participle,50.827931899999996,-0.168749,0.16666666666666666
134,affirmative,sat,sit,past participle,50.828179,-0.328092,1.0
135,affirmative,sat,sit,past participle,50.828391488306245,-1.3995283215139729,1.0
136,affirmative,sat,sit,past participle,50.828868799999995,-0.1410116,3.0
137,affirmative,sat,sit,past participle,50.83078931603287,-3.820055602276038,1.0
138,affirmative,sat,sit,past participle,50.83126221259574,-1.066673577157277,1.0
139,affirmative,sat,sit,past participle,50.83133918671886,-0.390040595428803,1.0
140,affirmative,sat,sit,past participle,50.83246568708218,-0.324963095921038,1.0
141,affirmative,sat,sit,past participle,50.834208600000004,-0.2715558,1.0
142,affirmative,sat,sit,past participle,50.835313899999996,-0.238234,1.0
143,affirmative,sat,sit,past participle,50.83545316562231,-3.966570068773111,1.0
144,affirmative,sat,sit,past participle,50.83607868831502,-0.10385959759800804,1.0
145,affirmative,sat,sit,past participle,50.8367078,-0.1364536,0.5
146,affirmative,sat,sit,past participle,50.83761,-0.774936,2.142857142857143
147,affirmative,sat,sit,past participle,50.83882513128338,-2.432650731102932,2.0
148,affirmative,sat,sit,past participle,50.8395746877921,-0.191722596902755,2.142857142857143
149,affirmative,sat,sit,past participle,50.840331688135606,-0.130355597369922,1.0769230769230769
150,affirmative,sat,sit,past participle,50.84034031736586,-0.133083058324286,2.0
151,affirmative,sat,sit,past participle,50.8409176843784,-0.787455592339399,5.0
152,affirmative,sat,sit,past participle,50.844949,-1.7888169999999999,1.0
153,affirmative,sat,sit,past participle,50.84515367273554,-2.7734880774272455,2.0
154,affirmative,sat,sit,past participle,50.845374678634,-1.773391584863835,1.0
155,affirmative,sat,sit,past participle,50.846824,-1.075367,1.0
156,affirmative,sat,sit,past participle,50.84751030910771,-1.5925359097354361,1.0
157,affirmative,sat,sit,past participle,50.84764393720123,-1.066261888465698,1.0
158,affirmative,sat,sit,past participle,50.84780469142617,0.460998898109147,3.0
159,affirmative,sat,sit,past participle,50.848132,-0.9379280000000001,1.0
160,affirmative,sat,sit,past participle,50.848354401410354,-1.066244031719856,1.0
161,affirmative,sat,sit,past participle,50.848861444043216,-1.38757493104294,1.0
162,affirmative,sat,sit,past participle,50.84990620000001,0.4662071,0.3333333333333333
163,affirmative,sat,sit,past participle,50.851062682101706,-1.170351089375269,4.0
164,affirmative,sat,sit,past participle,50.8518324,-0.9847132,0.5
165,affirmative,sat,sit,past participle,50.854259000000006,0.573453,2.5
166,affirmative,sat,sit,past participle,50.8548464,-1.1865868,8.2
167,affirmative,sat,sit,past participle,50.855171,-0.5551189999999999,1.0
168,affirmative,sat,sit,past participle,50.855229,-3.3917010000000003,1.0
169,affirmative,sat,sit,past participle,50.856908000000004,-2.165353,0.5
170,affirmative,sat,sit,past participle,50.8574684,-1.9210983,1.0
171,affirmative,sat,sit,past participle,50.85833818310557,-0.987895090717109,0.3333333333333333
172,affirmative,sat,sit,past participle,50.858827500000004,-1.3201169,2.0
173,affirmative,sat,sit,past participle,50.86100818064007,-1.4107270875034184,0.25
174,affirmative,sat,sit,past participle,50.86372545231549,-0.130281319252353,2.0
175,affirmative,sat,sit,past participle,50.864437,-1.2707,1.0
176,affirmative,sat,sit,past participle,50.86655568142131,-1.2695270885380459,0.3333333333333333
177,affirmative,sat,sit,past participle,50.86659874644066,0.24945651989526701,1.0
178,affirmative,sat,sit,past participle,50.868004690066975,0.2440418999042589,1.0
179,affirmative,sat,sit,past participle,50.8697919,-2.963316,1.0
180,affirmative,sat,sit,past participle,50.871073684187095,-0.784849092188251,1.0
181,affirmative,sat,sit,past participle,50.87179219185224,0.56582339743532,1.0
182,affirmative,sat,sit,past participle,50.873379688683976,0.0059604017711,1.0
183,affirmative,sat,sit,past participle,50.87344771562852,-0.071671582751949,1.0
184,affirmative,sat,sit,past participle,50.873872,0.00878,3.0
185,affirmative,sat,sit,past participle,50.8758752,-1.6327718,0.5
186,affirmative,sat,sit,past participle,50.882291682706395,-1.028649090272634,2.25
187,affirmative,sat,sit,past participle,50.88273561692112,-1.047008805099547,2.0
188,affirmative,sat,sit,past participle,50.884083675871295,-2.1986195814722778,1.0
189,affirmative,sat,sit,past participle,50.890312,-1.028751,0.14285714285714285
190,affirmative,sat,sit,past participle,50.890946928463386,-1.409732132587837,1.0
191,affirmative,sat,sit,past participle,50.892148680221894,-1.4458895870637882,1.0
192,affirmative,sat,sit,past participle,50.89444866820176,-3.4729560720349815,2.3333333333333335
193,affirmative,sat,sit,past participle,50.89734517974895,-1.521034086468985,1.0
194,affirmative,sat,sit,past participle,50.8980097,-1.3969836000000002,0.5
195,affirmative,sat,sit,past participle,50.902049,-3.491207,1.0
196,affirmative,sat,sit,past participle,50.908595500000004,0.24941660000000002,0.25
197,affirmative,sat,sit,past participle,50.9097004,-1.4043508999999998,3.3
198,affirmative,sat,sit,past participle,50.9141239,-1.4985933999999999,3.0
199,affirmative,sat,sit,past participle,50.9146461809198,-1.299115588044193,2.0
200,affirmative,sat,sit,past participle,50.91549917777872,-1.8370640839963002,2.0
201,affirmative,sat,sit,past participle,50.918466179719324,-1.5011945864999492,2.0
202,affirmative,sat,sit,past participle,50.92132718030879,-1.3964665872724658,2.0625
203,affirmative,sat,sit,past participle,50.921453791979296,-1.4003515185700712,1.0
204,affirmative,sat,sit,past participle,50.9246755,-0.1460982,1.0
205,affirmative,sat,sit,past participle,50.9258359,-1.7925259999999998,0.5
206,affirmative,sat,sit,past participle,50.92699317133255,-2.913673575948595,1.0
207,affirmative,sat,sit,past participle,50.9280143,-0.4617075,0.1111111111111111
208,affirmative,sat,sit,past participle,50.928494,-2.911062,1.0
209,affirmative,sat,sit,past participle,50.93443900000001,-0.179902,1.0
210,affirmative,sat,sit,past participle,50.93529218722552,-0.17667809646995605,1.0
211,affirmative,sat,sit,past participle,50.9355606,-1.0000067,1.0
212,affirmative,sat,sit,past participle,50.942060999999995,-2.633308,0.3333333333333333
213,affirmative,sat,sit,past participle,50.942900172840574,-2.6420490778618895,1.5
214,affirmative,sat,sit,past participle,50.95707176250443,-1.3173859686719958,1.0
215,affirmative,sat,sit,past participle,50.96481168944511,0.25040440041357304,2.0
216,affirmative,sat,sit,past participle,50.967182,-1.374688,0.16666666666666666
217,affirmative,sat,sit,past participle,50.967225664523106,-3.9960010678588014,2.0
218,affirmative,sat,sit,past participle,50.967608674602644,-2.3158845801395374,1.0
219,affirmative,sat,sit,past participle,50.96888968046808,-1.312816587635832,0.5
220,affirmative,sat,sit,past participle,50.97366218007797,-1.3743520871452282,0.3333333333333333
221,affirmative,sat,sit,past participle,50.975626,-2.767086,1.0
222,affirmative,sat,sit,past participle,50.97833818848411,0.096722901676023,1.0
223,affirmative,sat,sit,past participle,50.983953,-1.379259,1.0
224,affirmative,sat,sit,past participle,50.9849756779912,-1.7190315844926851,2.0
225,affirmative,sat,sit,past participle,50.985755983701665,-0.74232416268681,1.0
226,affirmative,sat,sit,past participle,50.988929999999996,-1.49658,2.3333333333333335
227,affirmative,sat,sit,past participle,50.99218550835797,-1.488501994723394,1.0
228,affirmative,sat,sit,past participle,50.99750666473128,-3.927118568193401,9.035714285714285
229,affirmative,sat,sit,past participle,50.997936687256725,-0.096129596728785,1.0
230,affirmative,sat,sit,past participle,50.999041,-0.106333,0.3333333333333333
231,affirmative,sat,sit,past participle,51.0044966824319,-0.9311720903206341,0.5
232,affirmative,sat,sit,past participle,51.00515364065134,-1.704943970709109,2.0
233,affirmative,sat,sit,past participle,51.00654558992528,0.049117770335426,1.0
234,affirmative,sat,sit,past participle,51.007497350818355,-1.3515100970758132,1.0
235,affirmative,sat,sit,past participle,51.00845517502643,-2.196334580801388,1.0
236,affirmative,sat,sit,past participle,51.013258169594614,-3.104082074083297,2.25
