,variant,theme,goal,theme_type,goal_type,goal_det,goal_noun,theme_det,theme_noun,verb_form,verb_stem,verb_tag,latitude,longitude,weight
0,goal_theme_ditransitive,it,her,pronominal_it,pronominal,no value,no value,no value,no value,gave,give,VBD,55.864237,-4.251806,1.0
1,goal_theme_ditransitive,it,her,pronominal_it,pronominal,no value,no value,no value,no value,get,get,VB,55.864237,-4.251806,1.0
2,goal_theme_ditransitive,it,her,pronominal_it,pronominal,no value,no value,no value,no value,get,get,VBP,50.700803,-1.291633,1.0
3,goal_theme_ditransitive,it,her,pronominal_it,pronominal,no value,no value,no value,no value,getting,get,VAG,51.5073509,-0.12775830000000002,1.0
4,goal_theme_ditransitive,it,her,pronominal_it,pronominal,no value,no value,no value,no value,give,give,VB,53.72895716594938,-0.5612720774607529,1.0
5,goal_theme_ditransitive,it,her,pronominal_it,pronominal,no value,no value,no value,no value,give,give,VB,54.5704551,-1.3289821000000002,2.0
6,goal_theme_ditransitive,it,her,pronominal_it,pronominal,no value,no value,no value,no value,give,give,VBP,50.91409159275493,-1.2806672612917558,1.0
7,goal_theme_ditransitive,it,her,pronominal_it,pronominal,no value,no value,no value,no value,give,give,VBP,55.864237,-4.251806,1.0
8,goal_theme_ditransitive,it,her,pronominal_it,pronominal,no value,no value,no value,no value,sent,send,VBD,53.589888166427485,-0.641934077673822,1.0
9,goal_theme_ditransitive,it,her,pronominal_it,pronominal,no value,no value,no value,no value,sent,send,VBD,53.801955659532176,-1.565489569728704,1.0
10,goal_theme_ditransitive,it,her,pronominal_it,pronominal,no value,no value,no value,no value,show,show,VB,53.883407465769345,-9.426629333850975,1.0
11,goal_theme_ditransitive,it,her,pronominal_it,pronominal,no value,no value,no value,no value,show,show,VBP,55.94319513486961,-3.203008046263737,1.0
12,goal_theme_ditransitive,it,her,pronominal_it,pronominal,no value,no value,no value,no value,showed,show,VBD,55.864237,-4.251806,1.0
13,goal_theme_ditransitive,it,her,pronominal_it,pronominal,no value,no value,no value,no value,shown,show,VBN,53.385218166279536,-0.906226076912984,1.0
14,goal_theme_ditransitive,it,him,pronominal_it,pronominal,no value,no value,no value,no value,get,get,VB,51.2787075,0.5217254,1.0
15,goal_theme_ditransitive,it,him,pronominal_it,pronominal,no value,no value,no value,no value,get,get,VBP,53.4807593,-2.2426305,1.0
16,goal_theme_ditransitive,it,him,pronominal_it,pronominal,no value,no value,no value,no value,give,give,VB,50.83761,-0.774936,1.0
17,goal_theme_ditransitive,it,him,pronominal_it,pronominal,no value,no value,no value,no value,give,give,VB,52.412856,0.751657,1.0
18,goal_theme_ditransitive,it,him,pronominal_it,pronominal,no value,no value,no value,no value,give,give,VB,53.230688,-0.540579,1.0
19,goal_theme_ditransitive,it,him,pronominal_it,pronominal,no value,no value,no value,no value,give,give,VB,53.47043665864209,-2.0964380677891667,1.0
20,goal_theme_ditransitive,it,him,pronominal_it,pronominal,no value,no value,no value,no value,give,give,VB,53.723466,-1.345968,1.0
21,goal_theme_ditransitive,it,him,pronominal_it,pronominal,no value,no value,no value,no value,give,give,VB,53.8007554,-1.5490774,1.0
22,goal_theme_ditransitive,it,him,pronominal_it,pronominal,no value,no value,no value,no value,give,give,VB,54.59746360000001,-1.0779515,1.0
23,goal_theme_ditransitive,it,him,pronominal_it,pronominal,no value,no value,no value,no value,give,give,VB,54.90686899999999,-1.383801,1.0
24,goal_theme_ditransitive,it,him,pronominal_it,pronominal,no value,no value,no value,no value,give,give,VB,55.6115669,-4.6696364,2.0
