,userid,construction_type,tag,verb,pronoun,preposition,goal,goal_det,goal_noun,theme_type,goal_type,latitude,longitude
5321,1567310,it+nominal,prepositional_dative,gave,it,to,my boyfriend,my,boyfriend,pronominal,nominal,51.88870118683203,0.898891400791073
5322,2111191,it+nominal,prepositional_dative,say,it,to,my face,my,face,pronominal,nominal,54.97825200000001,-1.61778
5323,459044,it+nominal,prepositional_dative,say,it,to,my face,my,face,pronominal,nominal,51.29169868538228,-0.073952595210092
5324,6093578,it+nominal,prepositional_dative,give,it,to,my friend,my,friend,pronominal,nominal,52.95478320000001,-1.1581086
5325,3483253,it+nominal,prepositional_dative,say,it,to,my face,my,face,pronominal,nominal,51.903862625520325,-9.033306029107486
8313,2230324,it+nominal,prepositional_dative,say,it,to,my face,my,face,pronominal,nominal,51.3932587,0.4753439999999999
5327,6462568,it+nominal,prepositional_dative,show,it,to,the wife,the,wife,pronominal,nominal,54.597285,-5.93012
5328,6400154,it+nominal,prepositional_dative,give,it,to,the kids,the,kids,pronominal,nominal,53.40837140000001,-2.9915726
5329,6028873,it+nominal,prepositional_dative,read,it,to,my daughter,my,daughter,pronominal,nominal,53.3727181,-3.073754
5330,1457990,it+nominal,prepositional_dative,sing,it,to,my daughter,my,daughter,pronominal,nominal,53.342078,-2.729673
5331,2618292,it+nominal,prepositional_dative,owe,it,to,your game,your,game,pronominal,nominal,52.399539,0.262363
5332,6496947,it+nominal,prepositional_dative,say,it,to,his face,his,face,pronominal,nominal,53.4807593,-2.2426305
5333,1048717,it+nominal,prepositional_dative,bringing,it,to,our attention,our,attention,pronominal,nominal,52.6308859,1.297355
5334,56576,it+nominal,prepositional_dative,bringing,it,to,the attention,the,attention,pronominal,nominal,53.013208,-2.2273002
5335,1495708,it+nominal,prepositional_dative,say,it,to,his face,his,face,pronominal,nominal,53.40837140000001,-2.9915726
5336,6388497,it+nominal,prepositional_dative,bringing,it,to,my attention,my,attention,pronominal,nominal,53.424812593779315,-6.241674499652665
5337,1499797,it+nominal,prepositional_dative,prove,it,to,the world,the,world,pronominal,nominal,54.89370079999999,-2.9340058
5338,1499797,it+nominal,prepositional_dative,prove,it,to,the world,the,world,pronominal,nominal,54.89370079999999,-2.9340058
5339,1499797,it+nominal,prepositional_dative,prove,it,to,the world,the,world,pronominal,nominal,54.3244806,-2.7472737
5340,1761306,it+nominal,prepositional_dative,saying,it,to,my face,my,face,pronominal,nominal,53.7676236,-0.3274198
5341,1176184,it+nominal,prepositional_dative,bring,it,to,my attention,my,attention,pronominal,nominal,56.46201800000001,-2.970721
5342,859471,it+nominal,prepositional_dative,bring,it,to,your attention,your,attention,pronominal,nominal,53.763201,-2.70309
5343,4499241,it+nominal,prepositional_dative,say,it,to,your face,your,face,pronominal,nominal,51.87867070000001,-0.4200255
5344,3066112,it+nominal,prepositional_dative,say,it,to,your face,your,face,pronominal,nominal,53.763201,-2.70309
5345,3066112,it+nominal,prepositional_dative,say,it,to,your face,your,face,pronominal,nominal,53.763201,-2.70309
5346,5004292,it+nominal,prepositional_dative,gave,it,to,the dog,the,dog,pronominal,nominal,53.22739,-4.129263
5347,1845458,it+nominal,prepositional_dative,say,it,to,my face,my,face,pronominal,nominal,53.588646,-0.654413
5348,4417431,it+nominal,prepositional_dative,give,it,to,my boy,my,boy,pronominal,nominal,53.478764,-2.094523
5349,5823228,it+nominal,prepositional_dative,send,it,to,a friend,a,friend,pronominal,nominal,53.4807593,-2.2426305
5350,6487476,it+nominal,prepositional_dative,say,it,to,their face,their,face,pronominal,nominal,52.710560824838545,-7.81937105124628
5351,6572537,it+nominal,prepositional_dative,say,it,to,his face,his,face,pronominal,nominal,54.95268000000001,-1.603411
5352,6091598,it+nominal,prepositional_dative,say,it,to,his face,his,face,pronominal,nominal,50.44755867087375,-3.545694573906754
5353,4286895,it+nominal,prepositional_dative,said,it,to,a man,a,man,pronominal,nominal,52.95478320000001,-1.1581086
5354,111218,it+nominal,prepositional_dative,suggest,it,to,the team,the,team,pronominal,nominal,51.5073509,-0.12775830000000002
5355,111218,it+nominal,prepositional_dative,suggest,it,to,the team,the,team,pronominal,nominal,51.3147593,-0.5599501
5356,111218,it+nominal,prepositional_dative,suggest,it,to,the team,the,team,pronominal,nominal,51.3147593,-0.5599501
5357,111218,it+nominal,prepositional_dative,suggest,it,to,the team,the,team,pronominal,nominal,51.3147593,-0.5599501
5358,111218,it+nominal,prepositional_dative,suggest,it,to,the team,the,team,pronominal,nominal,51.49973120000001,-0.0333865
