index,userid,negation,participial_form,verb_stem,variant,latitude,longitude
2701,1903098,affirmative,sat,sit,past participle,53.456952157913115,-2.233479566883483
2702,3106154,affirmative,sat,sit,past participle,53.81750529999999,-3.0356748
2703,435361,affirmative,standing,stand,present participle,51.5073509,-0.12775830000000002
2704,2950426,affirmative,sat,sit,past participle,55.864237,-4.251806
2705,2950426,affirmative,sat,sit,past participle,56.0018775,-3.7839131
2706,2950426,affirmative,sat,sit,past participle,55.900708,-3.518068
2707,1438821,affirmative,standing,stand,present participle,51.5742447,0.4856781
2708,5727973,affirmative,sat,sit,past participle,50.3754565,-4.1426565
2709,2653036,affirmative,standing,stand,present participle,51.8642449,-2.238156
2710,1213038,affirmative,sitting,sit,present participle,50.8197675,-1.0879769
2711,5685058,affirmative,sat,sit,past participle,50.8197675,-1.0879769
2712,135915,affirmative,standing,stand,present participle,53.37127857431118,-2.416198061868931
2713,2723396,affirmative,sitting,sit,present participle,52.51841412293697,-8.76131852793751
2714,4428300,affirmative,stood,stand,past participle,53.795984,-1.759398
2715,3569320,affirmative,sitting,sit,present participle,51.8097823,-0.2376744
2716,5274812,affirmative,sat,sit,past participle,53.72648666180728,-1.2690620723040802
2717,6319435,affirmative,standing,stand,present participle,54.595868626946924,-5.928412535622676
2718,6319435,affirmative,standing,stand,present participle,54.595868626946924,-5.928412535622676
2719,4024272,affirmative,standing,stand,present participle,51.454513,-2.58791
2720,4515616,affirmative,sitting,sit,present participle,51.5073509,-0.12775830000000002
2721,1887928,affirmative,sitting,sit,present participle,52.486243,-1.890401
2722,305107,affirmative,sat,sit,past participle,54.64356899999999,-3.542752
2723,2847410,affirmative,sat,sit,past participle,53.55263000000001,-1.479726
2724,723100,affirmative,sat,sit,past participle,53.81750529999999,-3.0356748
2725,1443635,affirmative,stood,stand,past participle,51.4577208608346,-2.582850593154236
2726,1443635,affirmative,sitting,sit,present participle,51.4577208608346,-2.582850593154236
2727,4044781,affirmative,sat,sit,past participle,51.562254,0.218605
2728,2755132,affirmative,sat,sit,past participle,50.845374678634,-1.773391584863835
2729,3828094,affirmative,sitting,sit,present participle,53.383164163093134,-1.449611572954178
2730,3563116,affirmative,sat,sit,past participle,53.763201,-2.70309
2731,5556002,affirmative,sitting,sit,present participle,52.7063657,-2.7417849
2732,1999670,affirmative,sat,sit,past participle,53.381129,-1.470085
2733,1999670,affirmative,stood,stand,past participle,53.381129,-1.470085
2734,319794,affirmative,sitting,sit,present participle,52.66383670000001,-8.6267343
2735,331062,affirmative,sat,sit,past participle,53.4807593,-2.2426305
2736,4990255,affirmative,sat,sit,past participle,51.3679705,0.070062
2737,964014,affirmative,sitting,sit,present participle,52.45973313779458,-6.579387542254006
2738,3988797,affirmative,sitting,sit,present participle,52.6308859,1.297355
2739,2836584,affirmative,sat,sit,past participle,51.5073509,-0.12775830000000002
2740,876218,affirmative,sitting,sit,present participle,51.5073509,-0.12775830000000002
