,userid,construction_type,verb,theme,preposition,goal,theme_type,goal_type,tag,latitude,longitude
825,3518105,it+pronominal_object,mention,it,to,him,pronominal,pronominal,prepositional_dative,53.34980529999999,-6.260309700000001
826,4965110,it+pronominal_object,give,it,to,me,pronominal,pronominal,prepositional_dative,51.5073509,-0.12775830000000002
827,2857444,it+pronominal_object,give,it,to,you,pronominal,pronominal,prepositional_dative,51.5366539,-0.1011841
498,1980271,it+pronominal_object,give,it,to,me,pronominal,pronominal,prepositional_dative,51.4542645,-0.9781303
829,732486,it+pronominal_object,give,it,to,me,pronominal,pronominal,prepositional_dative,51.5073509,-0.12775830000000002
830,5502461,it+pronominal_object,leave,it,to,you,pronominal,pronominal,prepositional_dative,52.41056615399539,-4.069733559620148
831,2535748,it+pronominal_object,putting,it,to,you,pronominal,pronominal,prepositional_dative,51.248366,-0.7557509
832,871336,it+pronominal_object,give,it,to,me,pronominal,pronominal,prepositional_dative,51.5001962697494,-0.175319135850559
833,6250407,it+pronominal_object,leave,it,to,you,pronominal,pronominal,prepositional_dative,51.613554,-3.4071839999999995
834,6504868,it+pronominal_object,give,it,to,her,pronominal,pronominal,prepositional_dative,51.800475,-4.971319
835,2225314,it+pronominal_object,send,it,to,you,pronominal,pronominal,prepositional_dative,51.438798,-3.173507
836,2225314,it+pronominal_object,send,it,to,you,pronominal,pronominal,prepositional_dative,51.438798,-3.173507
837,2100191,it+pronominal_object,hand,it,to,me,pronominal,pronominal,prepositional_dative,51.573445,-0.0724376
497,1930798,it+pronominal_object,report,it,to,us,pronominal,pronominal,prepositional_dative,51.13240769420169,1.302505393221118
496,1498006,it+pronominal_object,send,it,to,you,pronominal,pronominal,prepositional_dative,54.92103111183631,-7.866290521939138
495,2348001,it+pronominal_object,hand,it,to,ya,pronominal,pronominal,prepositional_dative,52.64148268384246,1.2730819023563922
493,1773583,it+pronominal_object,leave,it,to,you,pronominal,pronominal,prepositional_dative,53.8007554,-1.5490774
492,5804501,it+pronominal_object,give,it,to,them,pronominal,pronominal,prepositional_dative,51.45410668459496,-0.017989594702288003
3391,4561460,it+pronominal_object,give,it,to,me,pronominal,pronominal,prepositional_dative,51.5073509,-0.12775830000000002
490,4835128,it+pronominal_object,sock,it,to,them,pronominal,pronominal,prepositional_dative,52.49396616659272,-1.890640074770749
845,4233411,it+pronominal_object,put,it,to,you,pronominal,pronominal,prepositional_dative,52.5684861323629,-7.293810037033281
846,4233411,it+pronominal_object,put,it,to,you,pronominal,pronominal,prepositional_dative,52.5684861323629,-7.293810037033281
847,1229187,it+pronominal_object,give,it,to,me,pronominal,pronominal,prepositional_dative,51.5073509,-0.12775830000000002
848,5024125,it+pronominal_object,dm,it,to,you,pronominal,pronominal,prepositional_dative,53.2326344,-2.6103158
849,5983967,it+pronominal_object,send,it,to,me,pronominal,pronominal,prepositional_dative,51.49162110752995,-3.1818340925503765
850,6290665,it+pronominal_object,give,it,to,me,pronominal,pronominal,prepositional_dative,50.7531235,-1.6550806
851,384955,it+pronominal_object,email,it,to,you,pronominal,pronominal,prepositional_dative,51.4542645,-0.9781303
852,3170092,it+pronominal_object,sent,it,to,them,pronominal,pronominal,prepositional_dative,51.577076,0.178319
853,1748692,it+pronominal_object,emailed,it,to,you,pronominal,pronominal,prepositional_dative,53.00382239999999,-2.2873404
854,4990245,it+pronominal_object,give,it,to,him,pronominal,pronominal,prepositional_dative,55.6115669,-4.6696364
489,4835128,it+pronominal_object,sock,it,to,them,pronominal,pronominal,prepositional_dative,52.49396616659272,-1.890640074770749
856,3294414,it+pronominal_object,show,it,to,him,pronominal,pronominal,prepositional_dative,52.7006431832736,1.243008902938338
857,6159287,it+pronominal_object,send,it,to,you,pronominal,pronominal,prepositional_dative,55.953252,-3.188267
488,1367989,it+pronominal_object,sending,it,to,me,pronominal,pronominal,prepositional_dative,51.5073509,-0.12775830000000002
859,2934848,it+pronominal_object,give,it,to,me,pronominal,pronominal,prepositional_dative,54.382893127492025,-6.07485353577779
486,6453896,it+pronominal_object,give,it,to,him,pronominal,pronominal,prepositional_dative,51.58498968425536,0.07886340531342599
861,2869376,it+pronominal_object,hand,it,to,ya,pronominal,pronominal,prepositional_dative,54.478562125825796,-6.227676534309532
862,1805805,it+pronominal_object,give,it,to,him,pronominal,pronominal,prepositional_dative,53.40837140000001,-2.9915726
863,4633204,it+pronominal_object,hand,it,to,her,pronominal,pronominal,prepositional_dative,53.35490213361106,-6.247621039910087
3390,4561460,it+pronominal_object,give,it,to,me,pronominal,pronominal,prepositional_dative,51.5073509,-0.12775830000000002
485,789944,it+pronominal_object,owe,it,to,you,pronominal,pronominal,prepositional_dative,53.95996510000001,-1.0872979
866,6455746,it+pronominal_object,give,it,to,him,pronominal,pronominal,prepositional_dative,53.34980529999999,-6.260309700000001
867,3898290,it+pronominal_object,sock,it,to,them,pronominal,pronominal,prepositional_dative,55.864237,-4.251806
868,2661321,it+pronominal_object,leave,it,to,me,pronominal,pronominal,prepositional_dative,51.527668683884016,-0.054850593996501
869,4691584,it+pronominal_object,show,it,to,me,pronominal,pronominal,prepositional_dative,53.645708,-3.010113
870,1455258,it+pronominal_object,stick,it,to,them,pronominal,pronominal,prepositional_dative,55.240164,-4.8542179
3388,1708978,it+pronominal_object,give,it,to,them,pronominal,pronominal,prepositional_dative,51.5073509,-0.12775830000000002
872,759403,it+pronominal_object,send,it,to,me,pronominal,pronominal,prepositional_dative,51.2111975,-1.4919233
873,3875573,it+pronominal_object,explain,it,to,you,pronominal,pronominal,prepositional_dative,53.35490213361106,-6.247621039910087
874,4661600,it+pronominal_object,give,it,to,you,pronominal,pronominal,prepositional_dative,51.517083,0.578411
875,5063276,it+pronominal_object,give,it,to,ya,pronominal,pronominal,prepositional_dative,53.27066800000001,-9.0567905
876,982979,it+pronominal_object,dm,it,to,you,pronominal,pronominal,prepositional_dative,51.544821184222144,0.024996405492847
877,2245387,it+pronominal_object,give,it,to,me,pronominal,pronominal,prepositional_dative,55.864237,-4.251806
878,4305865,it+pronominal_object,send,it,to,you,pronominal,pronominal,prepositional_dative,52.31045917920263,0.058698409672115
879,6116256,it+pronominal_object,send,it,to,me,pronominal,pronominal,prepositional_dative,53.4807593,-2.2426305
880,3429621,it+pronominal_object,send,it,to,you,pronominal,pronominal,prepositional_dative,51.481581,-3.17909
881,3429621,it+pronominal_object,send,it,to,you,pronominal,pronominal,prepositional_dative,51.716154,-3.4518160000000004
3387,5961435,it+pronominal_object,prove,it,to,ya,pronominal,pronominal,prepositional_dative,58.459754105909326,-5.045824520806503
3385,5888844,it+pronominal_object,give,it,to,them,pronominal,pronominal,prepositional_dative,52.467449629152156,-7.888808033694062
884,2724760,it+pronominal_object,describe,it,to,you,pronominal,pronominal,prepositional_dative,51.23642018292308,-0.570117091743099
3384,4097177,it+pronominal_object,forwarded,it,to,her,pronominal,pronominal,prepositional_dative,51.4183389,-0.2206288
886,1721093,it+pronominal_object,send,it,to,me,pronominal,pronominal,prepositional_dative,51.5073509,-0.12775830000000002
887,1190919,it+pronominal_object,sing,it,to,you,pronominal,pronominal,prepositional_dative,53.2200604,-3.0589148999999995
3381,1141955,it+pronominal_object,say,it,to,him,pronominal,pronominal,prepositional_dative,54.97825200000001,-1.61778
3380,568808,it+pronominal_object,applying,it,to,you,pronominal,pronominal,prepositional_dative,53.35490213361106,-6.247621039910087
890,4759854,it+pronominal_object,give,it,to,me,pronominal,pronominal,prepositional_dative,51.5073509,-0.12775830000000002
484,5754255,it+pronominal_object,leave,it,to,me,pronominal,pronominal,prepositional_dative,52.5694985,-0.2405299
892,2715304,it+pronominal_object,leave,it,to,me,pronominal,pronominal,prepositional_dative,53.34980529999999,-6.260309700000001
483,5551067,it+pronominal_object,give,it,to,me,pronominal,pronominal,prepositional_dative,51.5073509,-0.12775830000000002
3379,2735536,it+pronominal_object,reported,it,to,them,pronominal,pronominal,prepositional_dative,57.222914016475976,-2.256860542489668
895,4809676,it+pronominal_object,give,it,to,me,pronominal,pronominal,prepositional_dative,54.574227,-1.234956
3378,317736,it+pronominal_object,giving,it,to,him,pronominal,pronominal,prepositional_dative,51.5073509,-0.12775830000000002
3376,5321831,it+pronominal_object,sock,it,to,me,pronominal,pronominal,prepositional_dative,53.4807593,-2.2426305
481,5930249,it+pronominal_object,sell,it,to,you,pronominal,pronominal,prepositional_dative,51.3689461,-0.3824197
480,3058870,it+pronominal_object,give,it,to,me,pronominal,pronominal,prepositional_dative,52.67669077668554,-0.9438017875475908
900,322688,it+pronominal_object,give,it,to,ya,pronominal,pronominal,prepositional_dative,53.4807593,-2.2426305
901,4376459,it+pronominal_object,give,it,to,him,pronominal,pronominal,prepositional_dative,51.64528235852713,-0.102013253538336
902,3090401,it+pronominal_object,sending,it,to,you,pronominal,pronominal,prepositional_dative,51.5073509,-0.12775830000000002
903,5294428,it+pronominal_object,leave,it,to,me,pronominal,pronominal,prepositional_dative,51.546926183442935,-0.109181093471064
904,3689116,it+pronominal_object,leave,it,to,me,pronominal,pronominal,prepositional_dative,55.92701612792518,-4.328934538921573
905,1893068,it+pronominal_object,sock,it,to,me,pronominal,pronominal,prepositional_dative,52.48582617095313,-1.159884080192802
3375,2797052,it+pronominal_object,sent,it,to,me,pronominal,pronominal,prepositional_dative,55.953252,-3.188267
907,5866270,it+pronominal_object,send,it,to,ya,pronominal,pronominal,prepositional_dative,53.34980529999999,-6.260309700000001
908,1702141,it+pronominal_object,send,it,to,you,pronominal,pronominal,prepositional_dative,54.664097,-2.752708
909,1702141,it+pronominal_object,send,it,to,you,pronominal,pronominal,prepositional_dative,54.664097,-2.752708
3374,2797052,it+pronominal_object,sent,it,to,me,pronominal,pronominal,prepositional_dative,55.953252,-3.188267
3373,477627,it+pronominal_object,give,it,to,you,pronominal,pronominal,prepositional_dative,51.5073509,-0.12775830000000002
912,3625491,it+pronominal_object,give,it,to,me,pronominal,pronominal,prepositional_dative,54.595868626946924,-5.928412535622676
3372,1593908,it+pronominal_object,sold,it,to,me,pronominal,pronominal,prepositional_dative,51.454513,-2.58791
914,1061221,it+pronominal_object,handed,it,to,him,pronominal,pronominal,prepositional_dative,53.34980529999999,-6.260309700000001
915,5790683,it+pronominal_object,send,it,to,you,pronominal,pronominal,prepositional_dative,54.52361,-1.559458
916,1596272,it+pronominal_object,give,it,to,me,pronominal,pronominal,prepositional_dative,52.49396616659272,-1.890640074770749
917,6060767,it+pronominal_object,feeding,it,to,you,pronominal,pronominal,prepositional_dative,52.406822,-1.519693
918,6060767,it+pronominal_object,feeding,it,to,you,pronominal,pronominal,prepositional_dative,52.406822,-1.519693
919,6526037,it+pronominal_object,offer,it,to,you,pronominal,pronominal,prepositional_dative,52.6308859,1.297355
920,1357497,it+pronominal_object,give,it,to,them,pronominal,pronominal,prepositional_dative,53.000988206206344,-2.248219496602299
921,4265786,it+pronominal_object,get,it,to,you,pronominal,pronominal,prepositional_dative,54.76543414611225,-2.6934130563098777
922,2479686,it+pronominal_object,say,it,to,me,pronominal,pronominal,prepositional_dative,51.969083158269385,-3.8753700633604513
