,placename,at,at_the,down_,down_the,in_,in_the,up_,up_the,longitude,latitude
132,Aldershot,0.2361447759227904,0.935233959794113,0.24039003809589346,0.5774763332999828,0.18914739621446608,0.06808571628495114,0.6368596306557657,0.2629114325762276,-0.7557509,51.24837
133,Liverpool,0.236213733444984,0.417571358406804,0.2085057573257542,0.10844989157329454,0.2845243604882471,0.6855676846374114,0.1882381596222973,0.1320452301726747,-2.9915726,53.40837
134,Luton,0.2396929414987649,0.8060069802274203,0.4103894063956245,0.5796007435295282,0.17454223641712402,0.1564893818044393,0.4936296490323814,0.5026045071146836,-0.4200255,51.87867
135,Alnwick,0.2416487086947915,0.5580591868601997,0.15306220862550993,0.10294002749732728,0.20554160014822084,0.6074047982757497,0.2283873544232235,0.2258185030461124,-1.7062990000000002,55.41274
136,Southport,0.24318187607780184,0.4466317280714153,0.2375826630601217,0.09228551578847967,0.3245422675153109,0.6440150344576271,0.3114554349101434,0.1449425857971846,-3.010113,53.64571
137,Sheringham,0.2440342411832249,0.8588044660139542,0.8890937341418244,0.6777619721856554,0.11504407960665905,0.058057899360808685,0.6980317122267987,0.6823579430974988,1.2109589,52.94442
138,Dereham,0.2443718905599713,0.8689198559815859,0.9074544030541182,0.6837026764364993,0.08995903815934114,0.05515383817101272,0.7813932333674322,0.6964493171331926,0.937827,52.68162
139,Dunfermline,0.2482344653837189,0.5209620165078905,0.07283399032049534,0.03146145034349174,0.16591414813393254,0.6987564695729361,0.22356439693148847,0.15334084273131612,-3.452151,56.07174000000001
140,Norwich,0.24859483723123146,0.8227408448412228,0.9632032400504328,0.7322824355482209,0.10393276654929748,0.05284201481203017,0.8054726611805931,0.7710897087235621,1.297355,52.63089
141,Brentwood,0.2498361543662221,0.6964107601996072,0.4568493166079373,0.8465961658878006,0.17600861958811215,0.12051735625302742,0.6272551282908352,0.3428971312676272,0.30717490000000003,51.62047000000001
142,Witney,0.2501602356489138,0.9138948129561144,0.3505410685485061,0.6137498159162984,0.1088567152422649,0.09369662211474172,0.747213917593867,0.3182563540911888,-1.4850544,51.78594
143,Swaffham,0.2511717670303761,0.8775184444064605,0.9584877811863362,0.6578466450675124,0.09300831904141288,0.05472994191539566,0.7790565988150593,0.7200839813452586,0.687481,52.64747
144,Livingston,0.25119307275236546,0.5193298832970257,0.07576949617161677,0.03175162808684478,0.18725531341892984,0.6877088001741557,0.2325749483969443,0.16677206019213622,-3.518068,55.90071
145,Banham,0.2513572248942921,0.8322024352133858,0.9976626359121766,0.7539262524155717,0.08938959580442613,0.0425556008898438,0.7393480090351957,0.7673604968838699,1.0402849,52.45125
146,Nuneaton,0.25144936805512125,0.8189798918180503,0.4514702892286369,0.4792650085830782,0.0540405632310104,0.27595105384192314,0.27310068953528954,0.2539731278161335,-1.465382,52.52049
147,Loughrea,0.2516024041681838,0.3131220992290015,0.26250229761100896,0.04374088715416153,0.1340331162518641,0.857309894867644,0.2797751673416258,0.261675428126442,-8.5660931,53.19891
148,Crewe,0.251650055968388,0.5940220512459579,0.12154285033796328,0.16176165573031484,0.2165717123843416,0.5545367547462688,0.2798074187036937,0.08141951928661298,-2.4438209,53.1004
149,Bishop's Stortford,0.2519226711272457,0.7856073429011583,0.5059581194599114,0.6891970831024089,0.13501194895999716,0.12749237645908676,0.9451075858113216,0.4226042462101873,0.1536502,51.87216
150,Dungannon,0.25461100642155,0.21335479882397185,0.3283571785718717,0.28466942501807113,0.3027744351066188,0.7399061816851804,0.839912032774021,0.01,-6.7669352,54.50827
