,placename,b._fairly_acceptable,did_it,done_it,longitude,latitude
382,Gainsborough,0.01,0.5,0.5,-0.774465,53.40057
383,Milton Keynes,0.01,0.4622642,0.5377358,-0.7594171,52.04062
384,Aldershot,0.01,0.5092593,0.4907407,-0.7557509,51.24837
385,High Wycombe,0.01,0.4339623,0.5660377,-0.748229,51.62861
386,Midhurst,0.01,0.5188679,0.4811321,-0.737274,50.9869
387,Kettering,0.01,0.4803922000000001,0.5196078,-0.7302489999999999,52.39632
388,Wellingborough,0.01,0.4716981,0.5283019,-0.693964,52.30242
389,Corby,0.01,0.51,0.49,-0.6842333,52.4923
390,Bognor Regis,0.01,0.5185185,0.4814815,-0.673061,50.783
391,Scunthorpe,0.01,0.462963,0.537037,-0.654413,53.58865
392,Grantham,0.01,0.5096154,0.4903846,-0.643582,52.91252
393,Whitby,0.01,0.3942308,0.6057691999999999,-0.613347,54.48634000000001
394,Slough,0.01,0.4607843,0.5392157,-0.5950406,51.51054
395,Guildford,0.01,0.4907407,0.5092593,-0.570409,51.23622
396,Woking,0.01,0.4622642,0.5377358,-0.5600349,51.31677
397,Lincoln,0.01,0.51,0.49,-0.540579,53.23069
398,Bedford,0.01,0.4907407,0.5092593,-0.4667782,52.13864
399,Heathrow,0.01,0.4528302,0.5471698,-0.4542955,51.47002
400,Driffield,0.01,0.4464286,0.5535714,-0.443377,54.006
401,Beverley,0.01,0.4649123,0.5350876999999999,-0.435093,53.84196
402,Luton,0.01,0.4166667000000001,0.5833333,-0.4200255,51.87867
403,Scarborough,0.01,0.4375,0.5625,-0.399752,54.28311
404,Worthing,0.9629630014814798,0.5185185,0.462963,-0.372882,50.81787
405,Dorking,0.01,0.4722222,0.5277778000000001,-0.332378,51.2322
406,Hull,0.01,0.4553571,0.5446429,-0.3274198,53.76762
407,Horsham,0.9285712428571502,0.4910714,0.4910714,-0.325858,51.06288
408,Biggleswade,0.01,0.4811321,0.5188679,-0.26421999999999995,52.08694000000001
409,Peterborough,0.01,0.4803922000000001,0.5196078,-0.2405299,52.5695
410,Welwyn Garden City,0.01,0.4166667000000001,0.5833333,-0.208661,51.80317
411,Bridlington,0.01,0.4375,0.5625,-0.198802,54.08535
412,Stevenage,0.01,0.4351852,0.5648148000000001,-0.196612,51.90376
413,Crawley,0.9811318007547281,0.4716981,0.509434,-0.1872275,51.10914
414,Huntingdon,0.01,0.490566,0.509434,-0.182552,52.33146
415,Hove,0.945454602181816,0.5,0.4818182,-0.168749,50.82793
416,Spalding,0.01,0.5,0.5,-0.1537024,52.7901
417,Brighton,0.945454602181816,0.5,0.4818182,-0.137163,50.82253
418,London,0.01,0.3653846,0.6346154,-0.12775830000000002,51.50735
419,Grimsby,0.01,0.4636364000000001,0.5363635999999999,-0.08078400000000001,53.56746999999999
420,Boston,0.01,0.5196078,0.4803922000000001,-0.026577,52.97894
421,Royston,0.01,0.4722222,0.5277778000000001,-0.024066,52.04814
422,Louth_Lincs,0.01,0.4528302,0.5471698,-0.007711,53.36596
423,Lewes,0.945454602181816,0.4909090999999999,0.4909090999999999,0.00878,50.87387
424,Chatteris,0.01,0.490566,0.509434,0.054012,52.4561
425,Uckfield,0.945454602181816,0.4909090999999999,0.4909090999999999,0.095913,50.96641
426,Cambridge,0.01,0.5,0.5,0.121817,52.20534
427,Bishop's Stortford,0.01,0.4615385,0.5384614999999999,0.1536502,51.87216
428,Wisbech,0.01,0.5384614999999999,0.4615385,0.158797,52.66631999999999
429,Sevenoaks,0.01,0.3846154000000001,0.6153846,0.190898,51.27241
430,Tunbridge Wells,1.0,0.4230769,0.5576923,0.263695,51.13238
431,Eastbourne,0.9629630014814798,0.4907407,0.4907407,0.29047199999999995,50.76803
432,Brentwood,0.01,0.377551,0.622449,0.30717490000000003,51.62047000000001
433,Skegness,0.01,0.4615385,0.5384614999999999,0.337881,53.1464
434,Downham Market,0.01,0.5384614999999999,0.4615385,0.385472,52.60661
435,King's Lynn,0.01,0.5384614999999999,0.4615385,0.4022963,52.75168000000001
436,Bexhill,0.9629630014814798,0.4814815,0.5,0.4662071,50.84991
437,Chelmsford,0.01,0.4387755,0.5612245,0.4685497,51.73559
438,Mildenhall,0.01,0.5192308,0.4807692,0.5156095,52.34757000000001
439,Medway,0.01,0.3942308,0.6057691999999999,0.5417860999999999,51.40474
440,Braintree,0.01,0.4903846,0.5096154,0.5509269,51.88009
441,Gillingham,0.01,0.3942308,0.6057691999999999,0.551438,51.38632
442,Hastings,0.9811318007547281,0.4716981,0.509434,0.573453,50.85426
443,Maldon,0.01,0.44,0.56,0.6714479999999999,51.7318
444,Southend,0.01,0.4215686,0.5784314,0.7077123000000001,51.54593
445,Bury St Edmunds,0.01,0.5,0.5,0.7104931999999999,52.24292
446,Thetford,0.01,0.5096154,0.4903846,0.751657,52.41286
447,Ashford,0.01,0.4433962,0.5566038000000001,0.8750190000000001,51.14647
448,Faversham,0.01,0.4245283,0.5754716999999999,0.889358,51.31599
449,Colchester,0.01,0.4807692,0.5192308,0.891874,51.89593
450,New Romney,0.9629630014814798,0.4537037,0.5277778000000001,0.939473,50.98512
451,Canterbury,0.01,0.4245283,0.5754716999999999,1.0789089,51.28023
452,Ipswich,0.01,0.4711538,0.5288461999999999,1.14822,52.05674000000001
453,Clacton,0.01,0.4423077,0.5576923,1.153035,51.78953
454,Folkestone,0.01,0.4339623,0.5660377,1.169456,51.0814
455,Sheringham,0.01,0.5196078,0.4803922000000001,1.2109589,52.94442
456,Harwich,0.01,0.4423077,0.5576923,1.260297,51.93473
457,Norwich,0.01,0.5096154,0.4903846,1.297355,52.63089
458,Cromer,0.01,0.5098039000000001,0.4901960999999999,1.301866,52.93145
459,Dover,0.01,0.4433962,0.5566038000000001,1.3134027,51.12788
460,Felixstowe,0.01,0.4423077,0.5576923,1.351255,51.96173
461,Margate,0.01,0.4326923,0.5673077,1.3868339,51.38965
462,Ramsgate,0.01,0.4423077,0.5576923,1.419895,51.33555
463,Great Yarmouth,0.01,0.5098039000000001,0.4901960999999999,1.728047,52.59823000000001
464,Lowestoft,0.01,0.5,0.5,1.7534490000000005,52.48114
465,Swaffham,0.01,0.5096154,0.4903846,0.687481,52.64747
466,Dereham,0.01,0.5192308,0.4807692,0.937827,52.68162
467,Ely,0.01,0.490566,0.509434,0.262363,52.39954
468,March,0.01,0.5192308,0.4807692,0.088622,52.55172
469,St Neots,0.01,0.490566,0.509434,-0.26510300000000003,52.23008
470,Banham,0.01,0.5192308,0.4807692,1.0402849,52.45125
471,Holt,0.01,0.5196078,0.4803922000000001,1.086747,52.90936
472,Cromer,0.01,0.5098039000000001,0.4901960999999999,1.301866,52.93145
473,Hunstanton,0.01,0.5196078,0.4803922000000001,0.491032,52.93891
474,Horncastle,0.01,0.4615385,0.5384614999999999,-0.11245,53.20731
475,Market Weighton,0.01,0.4649123,0.5350876999999999,-0.6677465,53.86484
476,Hawes,0.01,0.4705882000000001,0.5294118,-2.1968695,54.30383000000001
477,Reeth,0.01,0.4285714,0.5714286,-1.9428115,54.38946
478,Aysgarth,0.01,0.3979592,0.6020408,-1.9967434,54.29159
479,Stanhope,0.01,0.3909091,0.6090909000000001,-2.011302,54.74946
480,Keswick,0.01,0.4722222,0.5277778000000001,-3.134706,54.60128
481,Oxenholme,0.01,0.4811321,0.5188679,-2.7243328,54.30134
