,placename,b._fairly_acceptable,did_it,done_it,longitude,latitude
76,Penzance,0.01,0.44,0.56,-5.537592,50.1188
77,Oban,0.01,0.4411765,0.5588234999999999,-5.471047,56.41516
78,Lochgilphead,0.01,0.4215686,0.5784314,-5.4323449,56.03829
79,Helston,0.01,0.44,0.56,-5.274996,50.10159
80,Redruth,0.01,0.44,0.56,-5.226666000000002,50.23302
81,Ullapool,0.01,0.45,0.55,-5.161313,57.89542
82,Ballachulish,0.01,0.44,0.56,-5.1337199999999985,56.67393000000001
83,Fort William,0.01,0.45,0.55,-5.1052179,56.81981999999999
84,Achnasheen,0.01,0.45,0.55,-5.078765799999998,57.57859000000001
85,Newquay,0.01,0.44,0.56,-5.0737190000000005,50.4155
86,Falmouth,0.01,0.44,0.56,-5.0662699999999985,50.15257
87,Rothesay,0.01,0.4313725000000001,0.5686275,-5.055793,55.83596
88,Truro,0.01,0.44,0.56,-5.0510410000000014,50.2632
89,Milford Haven,0.01,0.4230769,0.5769231,-5.0426971,51.71431
90,Stranraer,0.01,0.4423077,0.5576923,-5.0240550000000015,54.90337
91,Fishguard,0.01,0.4074074,0.5925925999999999,-4.975989,51.99393
92,Inchnadamph,0.01,0.45,0.55,-4.974295,58.15221
93,Haverfordwest,0.01,0.4038462,0.5961538000000001,-4.971319,51.80048
94,Dunoon,0.01,0.4313725000000001,0.5686275,-4.926214,55.95097
95,Pembroke,0.01,0.4230769,0.5769231,-4.9086370000000015,51.67404000000001
96,Girvan,0.01,0.4326923,0.5673077,-4.8542179,55.24016
97,Wadebridge,0.01,0.44,0.56,-4.836456,50.51665
98,Invergarry,0.01,0.45,0.55,-4.800261,57.07095
99,St Austell,0.01,0.44,0.56,-4.7834252,50.34038
100,Greenock,0.01,0.4313725000000001,0.5686275,-4.7719830000000005,55.956480000000006
101,Helensburgh,0.01,0.4313725000000001,0.5686275,-4.734014,56.00232
102,Bodmin,0.01,0.44,0.56,-4.7188629,50.4715
103,Tenby,0.01,0.4038462,0.5961538000000001,-4.703579,51.67274000000001
104,Camelford,0.01,0.4411765,0.5588234999999999,-4.682364,50.62206
105,Irvine,0.01,0.4215686,0.5784314,-4.6696364,55.61156999999999
106,Cardigan,0.01,0.4074074,0.5925925999999999,-4.660864,52.0837
107,Holyhead,0.01,0.4181818000000001,0.5818182,-4.633038,53.30944
108,Ayr,0.01,0.4326923,0.5673077,-4.629179,55.45856
109,Dumbarton,0.01,0.4313725000000001,0.5686275,-4.564554,55.94529
110,Bude,0.01,0.4411765,0.5588234999999999,-4.543678,50.82664000000001
111,Isle of Man,0.01,0.4807692,0.5192308,-4.5126331,54.27697
112,Kilmarnock,0.01,0.4215686,0.5784314,-4.498792,55.61472
113,Newton Stewart,0.01,0.4423077,0.5576923,-4.483164,54.9603
114,Liskeard,0.01,0.44,0.56,-4.4647190000000005,50.45552
115,Altnaharra,0.01,0.45,0.55,-4.442655,58.28023
116,Pwllheli,0.01,0.4454545,0.5545455,-4.417633900000001,52.88882
117,Lairg,0.01,0.45,0.55,-4.402414,58.02206
118,Launceston,0.01,0.4411765,0.5588234999999999,-4.360451599999998,50.63683
119,Carmarthen,0.01,0.4056604,0.5943396,-4.312131,51.85762
120,Llangefni,0.01,0.4272727,0.5727273,-4.311401999999998,53.25578
121,Caernarfon,0.01,0.4272727,0.5727273,-4.273911,53.13955
122,Cumnock,0.01,0.4326923,0.5673077,-4.265828900000002,55.45355
123,Aberaeron,0.01,0.4074074,0.5925925999999999,-4.2581619,52.24279
124,Alness,0.01,0.45,0.55,-4.256825,57.69595
125,Glasgow,0.01,0.4326923,0.5673077,-4.251806,55.86424
126,Dalwhinnie,0.01,0.45,0.55,-4.242783,56.9366
127,Inverness,0.01,0.45,0.55,-4.224721,57.47776999999999
128,Saltash,0.01,0.4607843,0.5392157,-4.21643,50.40921
129,Bideford,0.01,0.4411765,0.5588234999999999,-4.206666,51.01668
130,Invergordon,0.01,0.45,0.55,-4.172882,57.68811
131,Llanelli,0.01,0.4056604,0.5943396,-4.160248,51.68089000000001
132,Plymouth,0.01,0.4607843,0.5392157,-4.1426565,50.37546
133,Tavistock,0.01,0.4607843,0.5392157,-4.141654,50.55112
134,Porthmadog,0.01,0.4545455,0.5454545,-4.133384,52.92784
135,Bangor,0.01,0.4272727,0.5727273,-4.129263,53.22739
136,Tywyn,0.01,0.4339623,0.5660377,-4.087249,52.58701
137,Aberystwyth,0.01,0.4259259,0.5740741,-4.08292,52.4153
138,Lampeter,0.01,0.4339623,0.5660377,-4.078509,52.1129
139,Barnstaple,0.01,0.4411765,0.5588234999999999,-4.058338,51.07816
140,Tain,0.01,0.45,0.55,-4.05523,57.8115
141,Okehampton,0.01,0.4607843,0.5392157,-4.004263,50.73831
142,Llandeilo,0.01,0.4056604,0.5943396,-3.99143,51.88469
143,Motherwell,0.01,0.4423077,0.5576923,-3.9810968,55.78321
144,Golspie,0.01,0.45,0.55,-3.976086,57.97341
145,Airdrie,0.01,0.4326923,0.5673077,-3.962566,55.86626999999999
146,Swansea,0.01,0.4134615,0.5865385000000001,-3.943646,51.62144
147,Stirling,0.01,0.4411765,0.5588234999999999,-3.9369029,56.11652
148,Tregaron,0.01,0.4245283,0.5754716999999999,-3.934385,52.22
149,Tregaron,0.01,0.4245283,0.5754716999999999,-3.934385,52.22
150,Castle Douglas,0.01,0.4519231,0.5480769,-3.931414,54.94042
151,Dolgellau,0.01,0.4339623,0.5660377,-3.8844,52.74215
152,Aberfeldy,0.01,0.4509804,0.5490195999999999,-3.866969,56.62175
153,Machynlleth,0.01,0.4537037,0.5462963000000001,-3.853485,52.59027
154,Brora,0.01,0.45,0.55,-3.852548000000001,58.01216
155,Llandudno,0.01,0.4181818000000001,0.5818182,-3.827609,53.32406
156,Llandudno,0.01,0.4181818000000001,0.5818182,-3.827609,53.32406
157,Aviemore,0.01,0.45,0.55,-3.823812,57.19449
158,Dalbeattie,0.01,0.4716981,0.5283019,-3.822527,54.93422
159,Falkirk,0.01,0.4326923,0.5673077,-3.7839131,56.00188000000001
160,Kingsbridge,0.01,0.4387755,0.5612245,-3.777493,50.28395
161,Pitlochry,0.01,0.4509804,0.5490195999999999,-3.729711,56.70436
