index,placename,longitude,latitude,hw,kw,w
0,Dingle,-10.264013499999999,52.14094,0.030290443336283338,0.2343735414723956,0.10776832044754718
1,Tralee,-9.6999325,52.27131,0.04255812192950608,0.3292952052334088,0.16897529871264605
2,Killarney,-9.5044265,52.059940000000005,0.024875086099637764,0.4811800827913418,0.27671114128346563
3,Bantry,-9.4539805,51.68035,0.01,0.01,0.12698300060743203
4,Mayo,-9.4289369,54.01526,0.040829835668856396,0.3159225197599895,0.16035238128066395
5,Ballycastle,-9.3724643,54.279669999999996,0.02317467119066003,0.11207186113588474,0.026624208191201627
6,Abbeyfeale,-9.2970823,52.386179999999996,0.014484170602201522,0.11207186113588474,0.02890627785852478
7,Ennistymon,-9.2934951,52.940369999999994,0.014484170602201522,0.11207186113588474,0.02890627785852478
8,Galway,-9.0567905,53.270669999999996,0.0812249784087918,0.6284815852425636,0.36189537125308624
9,Claremorris,-9.0017356,53.72388,0.05745342572363102,0.4445482262202132,0.24329225514829267
10,Clare,-8.9811351,52.90453,0.05644761147033139,0.4367656973878646,0.23827395843692892
11,Adare,-8.7925892,52.56363,0.02859682926537098,0.22126913348204647,0.09931839254634953
12,Charleville,-8.681017599999999,52.36206,0.014484170602201522,0.11207186113588474,0.02890627785852478
13,Mallow,-8.6539164,52.13898,0.014939446402585538,0.28898649950633154,0.1488681368455149
14,Limerick,-8.6267343,52.66384,0.07667795619900815,0.5932988153296492,0.33920896913957627
15,Loughrea,-8.5660931,53.19891,0.014484170602201522,0.11207186113588474,0.02890627785852478
16,Sligo,-8.476088800000001,54.27661,0.09551024341112607,0.4618840391979435,0.24506551927905382
17,Cork,-8.4756035,51.898509999999995,0.01,0.01,0.4662080417450774
18,Nenagh,-8.19834,52.8635,0.04613902366169787,0.35700257852342304,0.1868414477828378
19,Roscommon,-8.1890955,53.627590000000005,0.04810274990657852,0.3721969904831734,0.19663904303899446
20,Tipperary,-8.161851400000002,52.47379,0.05851350127554371,0.45275060406499273,0.2485812770909712
21,Donegal,-8.1096143,54.653830000000006,0.1415223566588258,0.4977431956845022,0.2573225232646328
22,Leitrim,-8.0020132,54.12469,0.06888286115965112,0.3331149938230033,0.1646552852641508
23,Athlone,-7.9406898,53.423930000000006,0.04450858054310108,0.3443869583546323,0.17870669793883995
24,Longford,-7.7932573000000005,53.727630000000005,0.04703217595018608,0.3639133808052902,0.1912976415356739
25,Offaly,-7.7122229,53.235690000000005,0.05691694084430964,0.4403971525724292,0.24061557772324843
26,Fermanagh,-7.6318728,54.343830000000004,0.0584431499436372,0.28262893272318546,0.1331291061602628
27,Enniskillen,-7.631533599999999,54.343819999999994,0.07162479675709534,0.34637489395242366,0.17293547146353092
28,Doon,-7.60964,54.185930000000006,0.04663547117259486,0.22552743062728012,0.09747189419006527
29,Westmeath,-7.4653217000000005,53.534530000000004,0.04492313030454867,0.34759455405167605,0.18077500597657598
30,Strabane,-7.4633103,54.82739,0.10223793939522813,0.3595773832219163,0.17385786739316997
31,Cavan,-7.3633319,53.98972,0.05138553643146911,0.39759768519056465,0.21301780956365224
32,Mullingar,-7.340186800000001,53.525819999999996,0.044077985022310716,0.34105520793984384,0.17655833299091703
33,Laois,-7.332300699999999,52.99429,0.05541870868011271,0.42880452005885794,0.23314046637164082
34,Omagh,-7.309959700000001,54.59771,0.10774590124110217,0.37894923792811536,0.1855602209481257
35,Derry,-7.308574799999999,54.99661,0.1560424765517444,0.5488113876497236,0.28817233330363373
36,Derry,-7.308574799999999,54.99661,0.1560424765517444,0.5488113876497236,0.28817233330363373
37,Kilkenny,-7.2447879,52.65415,0.0625583704717173,0.48404794454215366,0.2687622933357346
38,Tyrone,-7.131232000000001,54.491209999999995,0.08287541126284936,0.2914781312261699,0.1327197556445191
39,Waterford,-7.110070200000001,52.25932,0.027605728139606642,0.534001229122364,0.31184662254873013
40,Monaghan,-6.9683132,54.2492,0.07963072753953873,0.3850912820095328,0.19711204134349838
41,Carlow,-6.934135899999999,52.83651,0.05767404965668256,0.4462553129058979,0.24439301143012954
42,Kildare,-6.8194707999999995,53.21204,0.0700558520927268,0.542060014558155,0.30616938638377256
43,Dungannon,-6.7669352,54.508269999999996,0.08499298026877516,0.2989257570923282,0.13721879573916365
44,Cookstown,-6.7443895000000005,54.641819999999996,0.101194476665888,0.355907457948332,0.1716409003694597
45,Coleraine,-6.6646103000000005,55.132580000000004,0.21255674987324275,0.48372546061518645,0.22915473448522422
46,Meath,-6.656416900000001,53.60555,0.06249163249284939,0.4835315567070754,0.26842931835672906
47,Armagh,-6.652792,54.350280000000005,0.07919372374775377,0.3829779476771554,0.19579236309533402
48,Armagh,-6.652792,54.350280000000005,0.07919372374775377,0.3829779476771554,0.19579236309533402
49,Magherafelt,-6.607980499999999,54.75536999999999,0.10735301602068792,0.3775674354358234,0.18472548717827425
50,Louth,-6.4889423,53.925230000000006,0.06292856419236882,0.48691233356336056,0.27060929632343206
51,Wexford,-6.4633381,52.33692,0.02628477180147349,0.5084488399728079,0.29484972731626724
52,Craigavon,-6.4175653,54.442930000000004,0.12233465862697766,0.4302588323536595,0.21655585992207257
53,Drogheda,-6.3560985,53.717859999999995,0.04906373469109072,0.37963264947128145,0.20143367263185186
54,Rosslare,-6.3414908,52.25131,0.01,0.01,0.03423112260038668
55,Newry,-6.34023,54.1751,0.0888851479073818,0.4298453199773299,0.22505884063539372
56,Ballymena,-6.2802213,54.86529,0.1186916413006515,0.41744610700941603,0.20881581415697106
57,Banbridge,-6.2704803,54.34873,0.07570458253654812,0.3661045885650171,0.1852557411076977
58,Dublin,-6.2603097000000005,53.34981,0.12924002916878283,1.0,0.6014562748039793
59,Antrim,-6.2072498,54.719530000000006,0.1281014849497875,0.45054113001064855,0.2288082034218915
60,Antrim,-6.2072498,54.719530000000006,0.1281014849497875,0.45054113001064855,0.2288082034218915
61,Wicklow,-6.044589,52.980819999999994,0.06257501055133502,0.48417669783728007,0.2688453154807763
62,Kilkeel,-6.007004,54.06312,0.03452961822009798,0.26717433013732567,0.12891878367527945
63,Belfast,-5.93012,54.597280000000005,0.2333545245863373,0.8207228139582973,0.4524314450177514
64,Down,-5.7156921999999994,54.32875,0.09422288392066284,0.4556584158499279,0.2411779092649781
65,Balivanich,-7.3743509000000005,57.472269999999995,0.11646559382143667,0.12873676252824692,0.013437917569847056
66,Western Isles,-7.0194034,57.759890000000006,0.2603475823691256,0.26505922762151074,0.06818468381096755
67,Dunvegan,-6.581398200000001,57.4366,0.1100796918490985,0.11207186113588474,0.01
68,Stornoway,-6.384869200000001,58.209430000000005,0.352808876823135,0.01,0.10629876598243124
69,Scilly Isles,-6.327496599999999,49.92773,0.01,0.01,0.14530611154670964
70,Portree,-6.1960231,57.41246999999999,0.3367705947971861,0.34286530694960915,0.100927588925597
71,Islay,-6.177067,55.73625,0.20797838552267695,0.2774553949817348,0.09035046907028796
72,Mull,-6.0008870000000005,56.4392,0.2531313836676425,0.279802075088633,0.08008637834227134
73,Broadford,-5.9096592,57.24139,0.1100796918490985,0.11207186113588474,0.01
74,Kyle of Lochalsh,-5.7143293,57.28261,0.11297652537858466,0.01,0.01
