index,placename,longitude,latitude,avoid,demsel,demsels,emsel,emself,emsels,emsen,hersel,himself,himsen,theirsel,theirself,theirselfs,theirseln,theirsels,theirselves,theirsen,theirsens,them,themsel,themself,themselfs,themselns,themsels,themselves,themsen,themsens,theysen
83,Fort William,-5.1052179,56.81981999999999,0.10945456129292298,0.01,0.01,0.363408367583701,0.01,0.01,0.01,0.01,0.01,0.01,0.24191064450399097,0.09488366907411563,0.09878631275691939,0.01,0.19197870909375614,0.0989550082567579,0.0328976059382724,0.01,0.12959398772095343,0.39547993637838813,0.186679506090216,0.03374910741909078,0.01,0.08129822230157824,0.11104194227098509,0.01,0.01,0.01
84,Achnasheen,-5.078765799999999,57.578590000000005,0.05105208440363764,0.01,0.01,0.01,0.01,0.049951556199938116,0.01,0.15771162311493916,0.01,0.01,0.01511180872065152,0.022542323499091,0.07950397715948965,0.01,0.03873634197460507,0.031586800501449415,0.010229457577344163,0.01,0.0822731273284266,0.05439601592274573,0.042789998741623696,0.01,0.01,0.09635347363569469,0.05880313424853553,0.01,0.01,0.01
85,Newquay,-5.0737190000000005,50.4155,0.01,0.01,0.01,0.01,0.635275206676741,0.01,0.01,0.01,0.13909946595934264,0.01,0.01,0.24631731743646595,0.01,0.01,0.01,0.11380866954817578,0.01,0.01,0.25016502870068685,0.01,0.2861474777360364,0.01,0.01,0.01,0.23291890370665966,0.01,0.01,0.01
86,Falmouth,-5.066269999999999,50.152570000000004,0.01,0.01,0.01,0.01,0.6848687906059882,0.01,0.01,0.01,0.14995844639343722,0.01,0.01,0.2655463986710629,0.01,0.01,0.01,0.1226932911197295,0.01,0.01,0.26969448651147016,0.01,0.30848595215483365,0.01,0.01,0.01,0.251102020375279,0.01,0.01,0.01
87,Rothesay,-5.055793,55.83596,0.01,0.01,0.01,0.3549993187412135,0.01,0.01,0.01,0.01,0.01,0.01,0.35499931874121343,0.06352781176268996,0.0965004574958931,0.01,0.23621333246571138,0.12403947967210363,0.01,0.01,0.15428797400972097,0.37208810943979614,0.12482508233957176,0.041210217527820406,0.01,0.15509189846133192,0.1497658036898956,0.01,0.01,0.01
88,Truro,-5.051041000000001,50.2632,0.01,0.01,0.01,0.01,0.9469288412479568,0.01,0.01,0.01,0.20733895284239248,0.01,0.01,0.36715579252584346,0.01,0.01,0.01,0.16964098464189506,0.01,0.01,0.37289111594251734,0.01,0.42652585315908415,0.01,0.01,0.01,0.3471843781618289,0.01,0.01,0.01
89,Milford Haven,-5.0426971,51.71431,0.01,0.01,0.01,0.01,0.11720568839107133,0.01,0.01,0.01,0.10265313987543062,0.01,0.01,0.036355633935210116,0.01,0.01,0.01,0.03919484003136792,0.01,0.01,0.15440754412125396,0.01,0.2844958555405908,0.047204333441399814,0.01,0.01,0.16062857973426667,0.01,0.01,0.01
90,Stranraer,-5.024055000000001,54.903369999999995,0.01,0.01,0.01,0.33352841376271297,0.01,0.01,0.01,0.01,0.01,0.01,0.2865357553873173,0.061922012787237884,0.10285407371113128,0.01,0.17619394607226868,0.11837442345124467,0.01,0.01,0.04088513853122179,0.17068245012756628,0.11179059156478222,0.10066617351006403,0.01,0.5176085950525698,0.15354242722455813,0.01,0.3837150063454164,0.01
91,Fishguard,-4.975989,51.99393,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.08231701764038378,0.01,0.01,0.01093252289638712,0.01,0.01,0.01,0.03143013786221606,0.01,0.01,0.09690151682404378,0.01,0.26106256024635277,0.03785290886682647,0.01,0.01,0.10979510301469754,0.01,0.01,0.01
92,Inchnadamph,-4.974295,58.15221,0.08508680393592377,0.01,0.01,0.01,0.01,0.049951556199938116,0.01,0.15771162311493916,0.01,0.01,0.028334641223715713,0.01989028590370107,0.065048711068715,0.01,0.03486270746338019,0.01,0.010229457577344163,0.01,0.04701321501178816,0.13599003882773605,0.04210535950116883,0.01,0.01,0.08894166735566049,0.051885125047052595,0.01,0.01,0.01
93,Haverfordwest,-4.971319,51.80048,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.11277068911363196,0.01,0.01,0.014977074924678811,0.01,0.01,0.01,0.043057904759655916,0.01,0.01,0.132750810727169,0.01,0.33831205380841695,0.05185681819178732,0.01,0.01,0.16994877886858423,0.01,0.01,0.01
94,Dunoon,-4.926214,55.95097,0.01,0.01,0.01,0.32506969184635803,0.01,0.01,0.01,0.01,0.01,0.01,0.325069691846358,0.05817184739000909,0.08836460332502809,0.01,0.21629842971784752,0.11358183890822272,0.01,0.01,0.14128011384579664,0.3407177442035083,0.11430120822400922,0.03773582653677002,0.01,0.14201626025497735,0.13713920304755933,0.01,0.01,0.01
95,Pembroke,-4.908637000000001,51.674040000000005,0.01,0.01,0.01,0.01,0.16324873982152602,0.01,0.01,0.01,0.14297937202050942,0.01,0.01,0.050637571493397614,0.01,0.01,0.01,0.05459213055664752,0.01,0.01,0.215064962654591,0.01,0.3962571317057885,0.06574807122595834,0.01,0.01,0.22372986824194235,0.01,0.01,0.01
96,Girvan,-4.8542179,55.240159999999996,0.01,0.01,0.01,0.31562617962687245,0.01,0.01,0.01,0.01,0.01,0.01,0.30507390336085216,0.0490744482074376,0.0454222365315377,0.01,0.19919527435932094,0.10419766762814328,0.01,0.01,0.03869061688790855,0.2852392469015221,0.11767368173791092,0.029311658152866134,0.01,0.48982580391098196,0.13122292510097902,0.01,0.01,0.01
97,Wadebridge,-4.836456,50.51665,0.01,0.01,0.01,0.01,0.5318529890432309,0.01,0.01,0.01,0.1164542012143068,0.01,0.01,0.20621708537471112,0.01,0.01,0.01,0.09528072312922953,0.01,0.01,0.20943839279446144,0.01,0.23956293231908415,0.01,0.01,0.01,0.19499992104066935,0.01,0.01,0.01
98,Invergarry,-4.800261,57.07095,0.08508680393592377,0.01,0.01,0.01,0.01,0.01,0.01,0.15771162311493916,0.01,0.01,0.036362789128414764,0.04342712376958215,0.030717444833684052,0.01,0.019852374778265024,0.024234700425296053,0.010229457577344163,0.01,0.07345814872036834,0.12919053634782868,0.05562698912147182,0.01,0.01,0.015750086343885177,0.03623311288488437,0.01,0.01,0.01
99,St Austell,-4.7834252,50.340379999999996,0.01,0.01,0.01,0.01,0.5749367691880796,0.01,0.01,0.01,0.1258877990419451,0.01,0.01,0.22292209926281278,0.01,0.01,0.01,0.1029991224085617,0.01,0.01,0.22640435492110017,0.01,0.2589691910400477,0.01,0.01,0.01,0.21079626683444316,0.01,0.01,0.01
100,Greenock,-4.7719830000000005,55.956480000000006,0.01,0.01,0.01,0.49940714142658926,0.01,0.01,0.01,0.01,0.01,0.01,0.49940714142658915,0.08936986973943792,0.13575523974318857,0.01,0.3323009901873769,0.17449667843516112,0.01,0.01,0.21704975753168754,0.5234473681613278,0.1756018512108401,0.057973849093889564,0.01,0.21818070508878595,0.21068804348537276,0.01,0.01,0.01
101,Helensburgh,-4.734014,56.00232,0.01,0.01,0.01,0.34335485064872173,0.01,0.01,0.01,0.01,0.01,0.01,0.3433548506487217,0.061444011772088504,0.09333510917295466,0.01,0.22846520882797774,0.11997081337614375,0.01,0.01,0.12244276210467736,0.43426025924006684,0.11605003181038263,0.0398584654602702,0.01,0.09933285281212056,0.14485327842478468,0.01,0.01,0.01
102,Bodmin,-4.7188629,50.4715,0.01,0.01,0.01,0.01,0.49527449389108674,0.01,0.01,0.01,0.108444996561293,0.01,0.01,0.19203438674733714,0.01,0.01,0.01,0.08872773660687304,0.01,0.01,0.19503414689695014,0.01,0.22308685389329427,0.01,0.01,0.01,0.18158868934055977,0.01,0.01,0.01
103,Tenby,-4.703579,51.672740000000005,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.11277068911363196,0.01,0.01,0.014977074924678811,0.01,0.01,0.01,0.043057904759655916,0.01,0.01,0.16962603556040812,0.01,0.32542398771971354,0.05185681819178732,0.01,0.01,0.17646021982336604,0.01,0.01,0.01
104,Camelford,-4.682364,50.62206,0.01,0.01,0.01,0.01,0.3794606516784,0.01,0.01,0.01,0.08308646936997184,0.01,0.01,0.14712950987504478,0.01,0.01,0.01,0.06797984788249033,0.01,0.01,0.14942781304892347,0.01,0.17092073991972817,0.01,0.01,0.01,0.1391264101917351,0.01,0.01,0.01
105,Irvine,-4.6696364,55.61156999999999,0.01,0.01,0.01,0.5349652895761875,0.01,0.01,0.01,0.01,0.01,0.01,0.5349652895761875,0.09573306883031908,0.1454211105857306,0.01,0.3559610600165502,0.18692096761469892,0.01,0.01,0.23250385659022219,0.4834614685561229,0.17351944191294472,0.06210162890295343,0.01,0.5495129924814205,0.22568918392201415,0.01,0.01,0.01
106,Cardigan,-4.660864,52.0837,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0967086542974163,0.01,0.01,0.012843876122968362,0.01,0.01,0.01,0.03692512707780623,0.01,0.01,0.11384298848594716,0.01,0.3067046111796579,0.04447080303304898,0.01,0.01,0.12899078423109028,0.01,0.01,0.01
107,Holyhead,-4.633038,53.30944,0.0988817730571236,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0809027209613584,0.09449367569380887,0.01,0.01,0.06645398088954442,0.01,0.01,0.24756659451646584,0.01,0.18647797279706024,0.011433415039540267,0.01,0.01,0.23365153854333642,0.01,0.37770544822230284,0.01
108,Ayr,-4.629179,55.45856,0.01,0.01,0.01,0.5749890553992805,0.01,0.01,0.01,0.01,0.01,0.01,0.5557655443151109,0.08940091931662135,0.08274753668490661,0.01,0.3628821372779273,0.1898211312988732,0.01,0.01,0.24989877938326024,0.5196319434991017,0.18301772948426787,0.0533982404546653,0.01,0.5529113443252972,0.2707352233577138,0.01,0.01,0.01
109,Dumbarton,-4.564554,55.94529,0.01,0.01,0.01,0.4727081175692627,0.01,0.01,0.01,0.01,0.01,0.01,0.4727081175692626,0.08459202800196615,0.12849756942973095,0.01,0.314535701450251,0.16516783510453478,0.01,0.01,0.2054459654072665,0.42719811017923803,0.15332592664716352,0.05487448376315503,0.01,0.20651645088182022,0.22546990401771508,0.01,0.01,0.01
110,Bude,-4.543678,50.826640000000005,0.01,0.01,0.01,0.01,0.5170473301042949,0.01,0.01,0.01,0.11321236329912099,0.01,0.01,0.20047643918800473,0.01,0.01,0.01,0.09262830992639258,0.01,0.01,0.20360807224288954,0.01,0.2328940084935203,0.01,0.01,0.01,0.189571536912865,0.01,0.01,0.01
111,Isle of Man,-4.5126330999999995,54.27697,0.16398969797590782,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.22000024593985126,0.3422767345006126,0.2462621819151887,0.01,0.033595841476796895,0.013495112641601421,0.07393298954471157,0.01,0.24634491861050653,0.061779925424930535,0.2724341326255022,0.11376993266520379,0.01,0.7874572947949456,0.25428409891627946,0.01,0.6264026267211851,0.01
112,Kilmarnock,-4.498792,55.61472,0.01,0.01,0.01,0.5086553628497543,0.01,0.01,0.01,0.01,0.01,0.01,0.5086553628497544,0.09102485677376178,0.1382692096333937,0.01,0.3384546729873687,0.1777280778003471,0.01,0.01,0.22106917185516575,0.4596845318826383,0.1649856474943239,0.05904743204595126,0.01,0.2222210627519933,0.24261583750574356,0.01,0.01,0.01
113,Newton Stewart,-4.483164,54.9603,0.01,0.01,0.01,0.2760495762760322,0.01,0.01,0.01,0.01,0.01,0.01,0.2267726674001507,0.043962175607037114,0.04540195090171971,0.01,0.13518372766623737,0.0440931820354508,0.01,0.01,0.0338391714223192,0.17116655766810857,0.11510383397573715,0.08331780261022363,0.01,0.40803667603591204,0.12518033294546926,0.01,0.31758722957788693,0.01
114,Liskeard,-4.4647190000000005,50.45552,0.01,0.01,0.01,0.01,0.5297507374978887,0.01,0.01,0.01,0.11599389351742842,0.01,0.01,0.20540197256095252,0.01,0.01,0.01,0.09490410768931241,0.01,0.01,0.20861054714166516,0.01,0.23861601361213003,0.01,0.01,0.01,0.194229146232979,0.01,0.01,0.01
115,Altnaharra,-4.442655,58.28023,0.08508680393592377,0.01,0.01,0.01,0.01,0.049951556199938116,0.01,0.15771162311493916,0.01,0.01,0.028334641223715713,0.01989028590370107,0.065048711068715,0.01,0.03486270746338019,0.01,0.010229457577344163,0.01,0.04701321501178816,0.13599003882773605,0.04210535950116883,0.01,0.01,0.08894166735566049,0.051885125047052595,0.01,0.01,0.01
116,Pwllheli,-4.417633900000001,52.888819999999996,0.0915726956090685,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.07492260718524968,0.01,0.01,0.01,0.07472942456383652,0.01,0.01,0.205549839689388,0.01,0.15611540728258969,0.026470716681019416,0.01,0.01,0.24150871036500696,0.01,0.01,0.01
117,Lairg,-4.402414,58.022059999999996,0.08508680393592377,0.01,0.01,0.01,0.01,0.049951556199938116,0.01,0.15771162311493916,0.01,0.01,0.028334641223715713,0.01989028590370107,0.065048711068715,0.01,0.03486270746338019,0.01,0.010229457577344163,0.01,0.04701321501178816,0.13599003882773605,0.04210535950116883,0.01,0.01,0.08894166735566049,0.051885125047052595,0.01,0.01,0.01
118,Launceston,-4.360451599999999,50.636829999999996,0.01,0.01,0.01,0.01,0.4912473373820127,0.01,0.01,0.01,0.10756321286525158,0.01,0.01,0.19047292428542076,0.01,0.01,0.01,0.08800627712042842,0.01,0.01,0.19344829290314353,0.01,0.22127289883034126,0.01,0.01,0.01,0.18011216252306356,0.01,0.01,0.01
119,Carmarthen,-4.312131,51.857620000000004,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.13890662861969238,0.01,0.01,0.0184481889817607,0.01,0.01,0.01,0.053037082885650365,0.01,0.01,0.16351737946782552,0.01,0.4405324821298654,0.06387524845846457,0.01,0.01,0.18527478322102575,0.01,0.01,0.01
120,Llangefni,-4.311401999999999,53.25578,0.1250653885308268,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.10232553399288406,0.11951533532398333,0.01,0.01,0.08405080817644445,0.01,0.01,0.3131215326465558,0.01,0.2358568156624001,0.014460951193990424,0.01,0.01,0.3069613159343776,0.01,0.01,0.01
121,Caernarfon,-4.273911,53.13955,0.11865433834445618,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.09708016481855129,0.11338878966811541,0.01,0.01,0.07974223043359936,0.01,0.01,0.29707042623084634,0.01,0.20228486486376349,0.013719659898801452,0.01,0.01,0.3129323216072824,0.01,0.01,0.01
122,Cumnock,-4.265828900000001,55.45355,0.01,0.01,0.01,0.40329138708792867,0.01,0.01,0.01,0.01,0.01,0.01,0.38980821488310935,0.06270488180527085,0.058038267919015785,0.01,0.29599575080893165,0.13313858171954726,0.01,0.01,0.17527642382526887,0.40329138708792867,0.12836674592725827,0.06554270483845186,0.01,0.3878063084779187,0.16767010754390377,0.01,0.01,0.01
123,Aberaeron,-4.2581619,52.24279,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.09046608418701106,0.01,0.01,0.012014800403018732,0.01,0.01,0.01,0.01,0.01,0.01,0.10649439241288021,0.01,0.2791524931339658,0.04160020052268765,0.01,0.01,0.1363350765828259,0.01,0.01,0.01
124,Alness,-4.256825,57.69595,0.3681629641659711,0.01,0.01,0.01,0.01,0.15438277553483148,0.01,0.4874314228195708,0.01,0.01,0.08757245797091512,0.061473911477426785,0.20104279673600992,0.01,0.10774842568092374,0.030297024418992593,0.03161567272669197,0.01,0.14530139143782375,0.2689904699150278,0.13013292796452225,0.01,0.01,0.2748875613024363,0.16998024637480838,0.01,0.01,0.01
125,Glasgow,-4.251806,55.86424,0.01,0.01,0.01,1.0,0.01,0.01,0.01,0.01,0.01,0.01,1.0,0.17895192584580794,0.27183279629401136,0.01,0.7682296656545587,0.3494076555187015,0.01,0.01,0.43461484533775524,1.0,0.2698282619222023,0.18573654560288913,0.01,0.43687942560360365,0.47697489346515937,0.01,0.01,0.01
126,Dalwhinnie,-4.242783,56.9366,0.08508680393592377,0.01,0.01,0.01,0.01,0.01,0.01,0.15771162311493916,0.01,0.01,0.055913691756387086,0.05715142117202494,0.07950397715948965,0.01,0.015494536999018276,0.01,0.010229457577344163,0.01,0.08051013139525548,0.0990007480785992,0.059940232973087613,0.01,0.01,0.01,0.035454829845226216,0.01,0.01,0.01
127,Inverness,-4.224721,57.47776999999999,0.5923706878888277,0.01,0.01,0.01,0.01,0.24840040917458317,0.01,0.7842724970676102,0.01,0.01,0.14090324725047734,0.09891093557331274,0.32347593698728566,0.01,0.17336618631409448,0.04874762250113936,0.05086931501544446,0.01,0.2337885490253315,0.4328030932173591,0.20938263638213173,0.01,0.01,0.44229145685441335,0.2734965905673367,0.01,0.01,0.01
128,Saltash,-4.21643,50.409209999999995,0.01,0.01,0.01,0.01,0.49762931243111813,0.01,0.01,0.01,0.10896060617096598,0.01,0.01,0.19294742818155977,0.01,0.01,0.01,0.08914959907254409,0.01,0.01,0.19596145090859818,0.01,0.22414753653709038,0.01,0.01,0.01,0.18245206594806415,0.01,0.01,0.01
129,Bideford,-4.206666,51.01668,0.01,0.01,0.01,0.01,0.13957262583363608,0.01,0.01,0.01,0.24448592262537852,0.01,0.01,0.13529236877828413,0.01,0.01,0.01,0.03333898967925737,0.01,0.01,0.21984922175795765,0.01,0.3248169892896817,0.01,0.01,0.01,0.17293032297085836,0.01,0.01,0.01
130,Invergordon,-4.1728819999999995,57.688109999999995,0.3724984877364407,0.01,0.01,0.01,0.01,0.15620080240704026,0.01,0.49317146358496705,0.01,0.01,0.08860371991904988,0.06219783435430583,0.20341029664436347,0.01,0.10901728182531867,0.030653805182590588,0.031987982023509325,0.01,0.14701247503045997,0.27215812835995096,0.13166538622729868,0.01,0.01,0.27812466448025175,0.17198195061016427,0.01,0.01,0.01
131,Llanelli,-4.160248,51.680890000000005,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.1557768848092115,0.01,0.01,0.020688727661934567,0.01,0.01,0.01,0.05947845422060216,0.01,0.01,0.18337661952334258,0.01,0.49403529842586175,0.07163291860258551,0.01,0.01,0.2077764671900024,0.01,0.01,0.01
132,Plymouth,-4.1426565,50.37546,0.01,0.01,0.01,0.01,1.0,0.01,0.01,0.01,0.21895938090674336,0.01,0.01,0.3877332451316713,0.39626045545959354,0.01,0.01,0.17914860890531684,0.01,0.01,0.3937900079704874,0.01,0.41289487718109835,0.01,0.01,0.01,0.38560682922937356,0.01,0.01,0.01
133,Tavistock,-4.141654,50.551120000000004,0.01,0.01,0.01,0.01,0.5585356902992554,0.01,0.01,0.01,0.1222966289622455,0.01,0.01,0.21656285572158843,0.22132560702842144,0.01,0.01,0.10006089194108247,0.01,0.01,0.2199457739347455,0.01,0.25158164103516467,0.01,0.01,0.01,0.19419075483189085,0.01,0.01,0.01
134,Porthmadog,-4.1333839999999995,52.92784,0.10874543197887127,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.08897293269737937,0.01,0.01,0.01,0.07308290127822044,0.01,0.01,0.24409684526089934,0.01,0.19031380441759702,0.012573921553270105,0.01,0.01,0.2917725005523636,0.01,0.01,0.01
135,Bangor,-4.129263,53.22739,0.15479279541839014,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.1266477930905231,0.14792352278668724,0.01,0.01,0.10402925787576979,0.01,0.01,0.38754892871183294,0.01,0.2919187813970125,0.01789824575785761,0.01,0.01,0.3799244598123012,0.01,0.01,0.01
136,Tywyn,-4.087249,52.58701,0.07152847195805975,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.05016248412596629,0.01,0.01,0.01,0.05150470809063026,0.01,0.01,0.03705168845290187,0.01,0.18453398769607396,0.012405945761567344,0.01,0.01,0.15375128493809634,0.01,0.01,0.01
137,Aberystwyth,-4.08292,52.4153,0.14201698264344445,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01991913113726786,0.01,0.01,0.01,0.11862227437399313,0.01,0.01,0.25011990112223065,0.01,0.3792406531957291,0.044336737680149216,0.01,0.01,0.27149287281418266,0.01,0.01,0.01
138,Lampeter,-4.0785089999999995,52.1129,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.09765036268869341,0.01,0.01,0.012968944411937884,0.01,0.01,0.01,0.010652768829865739,0.01,0.01,0.1628480214131736,0.01,0.301321124319191,0.0449038410965739,0.01,0.01,0.13870439473560756,0.01,0.01,0.01
139,Barnstaple,-4.058338,51.07816,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.3027573909878233,0.01,0.01,0.13403066619044715,0.2739566652823003,0.01,0.01,0.04128509905630933,0.01,0.01,0.049499764857845366,0.01,0.45846113980764897,0.01,0.01,0.01,0.20103603564247677,0.01,0.01,0.01
140,Tain,-4.05523,57.8115,0.2770078387159596,0.01,0.01,0.01,0.01,0.11615844924204771,0.01,0.36674608284777155,0.01,0.01,0.03953399983013608,0.04625330903219668,0.15126570577085083,0.01,0.0810705079760943,0.022795647772018618,0.01,0.01,0.1093255659101775,0.20238990870564944,0.10746518161951242,0.01,0.01,0.2068269126928298,0.12789407207039238,0.01,0.01,0.01
141,Okehampton,-4.004263,50.73831,0.01,0.01,0.01,0.01,0.4378493555432152,0.01,0.01,0.01,0.1917424764016879,0.01,0.01,0.1061054704059505,0.17350238505024393,0.01,0.01,0.07844010295565648,0.01,0.01,0.17242070120923547,0.01,0.18900325662187586,0.01,0.01,0.01,0.16053419181159267,0.01,0.01,0.01
142,Llandeilo,-3.9914300000000003,51.88469,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.1210931184450958,0.01,0.01,0.01608237674230875,0.01,0.01,0.01,0.013210160844927593,0.01,0.01,0.20194266772363156,0.01,0.39441757179522613,0.05568382952024383,0.01,0.01,0.15102697417432934,0.01,0.01,0.01
143,Motherwell,-3.9810968,55.78321,0.01,0.01,0.01,0.626994698191431,0.01,0.01,0.01,0.01,0.01,0.01,0.6034122147490767,0.1221345366317899,0.08020599704777125,0.01,0.4574961778213989,0.22723546772509434,0.01,0.01,0.2725012037820613,0.6949041525557997,0.15892421404371002,0.20816479251271672,0.01,0.22765559935501825,0.2843784100530597,0.01,0.01,0.01
144,Golspie,-3.976086,57.97341,0.08508680393592377,0.01,0.01,0.01,0.01,0.049951556199938116,0.01,0.15771162311493916,0.01,0.01,0.017000784938238842,0.01989028590370107,0.065048711068715,0.01,0.03486270746338019,0.01,0.01,0.01,0.04701321501178816,0.11967123385508667,0.046213194943897994,0.01,0.01,0.08894166735566049,0.05499821984839817,0.01,0.01,0.01
145,Airdrie,-3.9625660000000003,55.86626999999999,0.01,0.01,0.01,0.5491324299987458,0.01,0.01,0.01,0.01,0.01,0.01,0.19801551581978158,0.10696746731805494,0.2282986749550918,0.01,0.4006827945545082,0.19901661837606904,0.01,0.01,0.23866110613385058,0.6086086644909379,0.16164590088362712,0.18231420246841107,0.01,0.28042475424571056,0.271755697531545,0.01,0.01,0.01
146,Swansea,-3.9436459999999998,51.62144,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.22726302398953444,0.01,0.01,0.030182801618518124,0.01,0.01,0.01,0.0867731652546041,0.01,0.01,0.37899842640682235,0.01,0.7207484988247387,0.10450532323045345,0.01,0.01,0.28344176197270493,0.01,0.01,0.01
147,Stirling,-3.9369029,56.116519999999994,0.01,0.01,0.01,0.588252923125088,0.01,0.01,0.01,0.01,0.1871123172343667,0.01,0.39010826538513804,0.12563250364248588,0.07525009757117342,0.01,0.3939388013024558,0.1678341020340282,0.01,0.01,0.24648579436715123,0.5821175616191249,0.17601291382258208,0.18164485630233143,0.01,0.17500504937552275,0.2794114480089582,0.01,0.01,0.01
148,Tregaron,-3.934385,52.22,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.09587122382015896,0.01,0.01,0.012732656983485626,0.01,0.01,0.01,0.023532030886696937,0.01,0.01,0.11285718645123993,0.01,0.2835049095854146,0.05983061665861625,0.01,0.01,0.14863251261392116,0.01,0.01,0.01
149,Tregaron,-3.934385,52.22,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.09587122382015896,0.01,0.01,0.012732656983485626,0.01,0.01,0.01,0.023532030886696937,0.01,0.01,0.11285718645123993,0.01,0.2835049095854146,0.05983061665861625,0.01,0.01,0.14863251261392116,0.01,0.01,0.01
150,Castle Douglas,-3.9314139999999997,54.940419999999996,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.3286431015837015,0.048487857545233555,0.05007585036910421,0.01,0.1356811845410468,0.048632350417815946,0.04134295803202149,0.01,0.047501672510171046,0.154240254490075,0.12873196672635817,0.09189494578379638,0.01,0.6040975477288846,0.1230886712710211,0.01,0.3502812163712162,0.01
151,Dolgellau,-3.8844,52.74215,0.07501063548990458,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.061371922494433136,0.01,0.01,0.01,0.061213679351087555,0.01,0.01,0.09066270634010688,0.01,0.15504036124620588,0.021683158575926537,0.01,0.01,0.18410659935206317,0.01,0.01,0.01
152,Aberfeldy,-3.866969,56.62175,0.2627867566404258,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.2426951233352566,0.1912528454714208,0.044644449459707226,0.01,0.11963544522469831,0.039021762438419205,0.01,0.01,0.24865190990116848,0.3729592012050155,0.19210047607210293,0.04699588731935295,0.01,0.022891029432062143,0.07488775412469553,0.01,0.01,0.01
153,Machynlleth,-3.853485,52.59027,0.0880671159046548,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.06176093494877325,0.01,0.01,0.01,0.0634135047609087,0.01,0.01,0.04561869213923831,0.01,0.17936960483490563,0.015274419170193166,0.01,0.01,0.23763353396331674,0.01,0.01,0.01
154,Brora,-3.8525480000000005,58.012159999999994,0.17422990947517822,0.01,0.01,0.01,0.01,0.10228442851624202,0.01,0.3229417553301469,0.01,0.01,0.0348120399848013,0.04072879168251516,0.13319845753654225,0.01,0.07138740773455995,0.020072924700982056,0.01,0.01,0.0962676680370955,0.2450474959319938,0.09462948893576509,0.01,0.01,0.18212340733373794,0.11261834294185644,0.01,0.01,0.01
155,Llandudno,-3.827609,53.324059999999996,0.1344768208709051,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.11002574466787059,0.12850911453993474,0.01,0.01,0.012910830634750495,0.01,0.01,0.33668458357009967,0.01,0.2779517164585611,0.015549168048662961,0.01,0.01,0.3300607976525007,0.01,0.01,0.01
156,Llandudno,-3.827609,53.324059999999996,0.1344768208709051,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.11002574466787059,0.12850911453993474,0.01,0.01,0.012910830634750495,0.01,0.01,0.33668458357009967,0.01,0.2779517164585611,0.015549168048662961,0.01,0.01,0.3300607976525007,0.01,0.01,0.01
157,Aviemore,-3.823812,57.19449,0.33729084536814524,0.01,0.01,0.01,0.01,0.14143708612403896,0.01,0.44655810785925537,0.01,0.01,0.01,0.14079761742671118,0.18418445489181712,0.01,0.09871323604571479,0.02775648278900367,0.01,0.01,0.20799565213722146,0.10781505470931951,0.1439371692025627,0.01,0.01,0.2518370041455037,0.14250456383633772,0.01,0.01,0.01
158,Dalbeattie,-3.8225269999999996,54.934219999999996,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.26116162035762575,0.038531669714533055,0.03979359420648141,0.01,0.10782127431254483,0.03864649334098954,0.03285385835877687,0.01,0.037747981633182076,0.08762890519895004,0.09570239566374808,0.07302582293047176,0.01,0.4800560050056679,0.11114557245636683,0.01,0.2783567024760689,0.01
