index,placename,longitude,latitude,avoid,demsel,demsels,emsel,emself,emsels,emsen,hersel,himself,himsen,theirsel,theirself,theirselfs,theirseln,theirsels,theirselves,theirsen,theirsens,them,themsel,themself,themselfs,themselns,themsels,themselves,themsen,themsens,theysen
20,Tipperary,-8.161851400000002,52.47379,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.27381668604795106,0.19077680338500672,0.01,0.01,0.42759781788086,0.01,0.01,0.01
21,Donegal,-8.1096143,54.653830000000006,0.9069476451938796,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.32839363031584695,0.01,0.01,0.01,0.33182879712300145,0.01,0.01,0.01
22,Leitrim,-8.0020132,54.12469,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.6288253868330032,0.01,0.2197776746776793,0.01,0.01,0.01,0.22207666254866887,0.01,0.01,0.01
23,Athlone,-7.9406898,53.423930000000006,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.43534591974467385,0.01,0.01,0.45918261113950976,0.01,0.01,0.01
24,Longford,-7.7932573000000005,53.727630000000005,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.6869638914548017,0.01,0.01,0.01,0.01,0.01,0.4852178410737203,0.01,0.01,0.01
25,Offaly,-7.7122229,53.235690000000005,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.1452793538595077,0.5567141809189847,0.01,0.01,0.4403971525724291,0.01,0.01,0.01
26,Fermanagh,-7.6318728,54.343830000000004,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.5335222107843263,0.01,0.18646872936479203,0.01,0.01,0.01,0.18841928848212366,0.01,0.01,0.01
27,Enniskillen,-7.631533599999999,54.343819999999994,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.6538562680087695,0.01,0.22852609510588348,0.01,0.01,0.01,0.23091659596828246,0.01,0.01,0.01
28,Doon,-7.60964,54.185930000000006,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.4257309831001052,0.01,0.1487951464161097,0.01,0.01,0.01,0.15035162041818673,0.01,0.01,0.01
29,Westmeath,-7.4653217000000005,53.534530000000004,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.6561586358034915,0.01,0.01,0.01,0.01,0.01,0.4634594054022347,0.01,0.01,0.01
30,Strabane,-7.4633103,54.82739,0.6551930067664976,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.23723663784761256,0.01,0.01,0.01,0.2397182554812775,0.01,0.01,0.01
31,Cavan,-7.3633319,53.98972,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.7505501788571796,0.01,0.26232110931290065,0.01,0.01,0.01,0.2650651234603764,0.01,0.01,0.01
32,Mullingar,-7.340186800000001,53.525819999999996,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.6438142294433484,0.01,0.11250817574659883,0.01,0.01,0.01,0.34105520793984384,0.01,0.01,0.01
33,Laois,-7.332300699999999,52.99429,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.282910292413581,0.01,0.01,0.01,0.42880452005885794,0.01,0.01,0.01
34,Omagh,-7.309959700000001,54.59771,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.7153472691080156,0.01,0.25001751310231357,0.01,0.01,0.01,0.25263282528541026,0.01,0.01,0.01
35,Derry,-7.308574799999999,54.99661,1.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.3620866453053591,0.01,0.01,0.01,0.365874258433149,0.01,0.01,0.01
36,Derry,-7.308574799999999,54.99661,1.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.3620866453053591,0.01,0.01,0.01,0.365874258433149,0.01,0.01,0.01
37,Kilkenny,-7.2447879,52.65415,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.47903697067075024,0.01,0.01,0.01,0.3226986296947691,0.01,0.01,0.01
38,Tyrone,-7.131232000000001,54.491209999999995,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.5502269547165609,0.01,0.19230712242968204,0.01,0.01,0.01,0.1943187541507799,0.01,0.01,0.01
39,Waterford,-7.110070200000001,52.25932,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.2348769749345437,0.22501360921653218,0.01,0.01,0.5933347286915838,0.01,0.01,0.01
40,Monaghan,-6.9683132,54.2492,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.7269416834005612,0.01,0.2540698199363283,0.01,0.01,0.01,0.25672752133968857,0.01,0.01,0.01
41,Carlow,-6.934135899999999,52.83651,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.2944237179402691,0.01,0.01,0.01,0.4462553129058979,0.01,0.01,0.01
42,Kildare,-6.8194707999999995,53.21204,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.3576323244057878,0.01,0.01,0.01,0.542060014558155,0.01,0.01,0.01
43,Dungannon,-6.7669352,54.508269999999996,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.5642859322561997,0.01,0.39444161333622907,0.01,0.01,0.01,0.01,0.01,0.01,0.01
44,Cookstown,-6.7443895000000005,54.641819999999996,0.6485059639022804,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.6718510096247006,0.01,0.3522230233948425,0.01,0.01,0.01,0.01,0.01,0.01,0.01
45,Coleraine,-6.6646103000000005,55.132580000000004,0.8814056550224538,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.3191452167802529,0.01,0.01,0.01,0.3224836404101243,0.01,0.01,0.01
46,Meath,-6.656416900000001,53.60555,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.31901728573293964,0.01,0.01,0.01,0.4835315567070753,0.01,0.01,0.01
47,Armagh,-6.652792,54.350280000000005,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.08156417491194637,0.01,0.01,0.01,0.06699730313716923,0.01,0.01,0.8434443668240867,0.01,0.336900666310296,0.08068824963771903,0.01,0.01,0.08510618931837076,0.01,0.01,0.01
48,Armagh,-6.652792,54.350280000000005,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.08156417491194637,0.01,0.01,0.01,0.06699730313716923,0.01,0.01,0.8434443668240867,0.01,0.336900666310296,0.08068824963771903,0.01,0.01,0.08510618931837076,0.01,0.01,0.01
49,Magherafelt,-6.607980499999999,54.75536999999999,0.6879730339648201,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.3736587718933074,0.01,0.01,0.01,0.1258558118119411,0.01,0.01,0.01
50,Louth,-6.4889423,53.925230000000006,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.9191505701764571,0.01,0.40155975574045205,0.01,0.01,0.01,0.24345616678168025,0.01,0.01,0.01
