,placename,after_perfective,after_perfective_with_modifier,control,longitude,latitude
107,Holyhead,0.01,0.01,1.0,-4.633038,53.30944
108,Ayr,0.01,0.01,0.9968617207613064,-4.629179,55.45856
109,Dumbarton,0.01,0.044140011229380084,0.9877771490973306,-4.564554,55.94529
110,Bude,0.01,0.01,1.0,-4.543678,50.82664000000001
111,Isle of Man,0.01,0.01,1.0,-4.5126331,54.27697
112,Kilmarnock,0.01,0.01,0.9951928498151472,-4.498792,55.61472
113,Newton Stewart,0.01,0.01,0.9982033326300356,-4.483164,54.9603
114,Liskeard,0.01,0.01,1.0,-4.4647190000000005,50.45552
115,Altnaharra,0.01,0.01,0.9969043195692412,-4.442655,58.28023
116,Pwllheli,0.01,0.01,1.0,-4.417633900000001,52.88882
117,Lairg,0.01,0.01,0.996855205649504,-4.402414,58.02206
118,Launceston,0.01,0.01,1.0,-4.360451599999998,50.63683
119,Carmarthen,0.01,0.01,1.0,-4.312131,51.85762
120,Llangefni,0.01,0.01,1.0,-4.311401999999998,53.25578
121,Caernarfon,0.01,0.01,1.0,-4.273911,53.13955
122,Cumnock,0.01,0.01,0.9970646915520548,-4.265828900000002,55.45355
123,Aberaeron,0.01,0.01,0.9959275539614132,-4.2581619,52.24279
124,Alness,0.01,0.01,0.9968426765883472,-4.256825,57.69595
125,Glasgow,0.01,0.016805530235067104,0.995678977388052,-4.251806,55.86424
126,Dalwhinnie,0.01,0.01,1.0,-4.242783,56.9366
127,Inverness,0.01,0.01,1.0,-4.224721,57.47776999999999
128,Saltash,0.01,0.01,1.0,-4.21643,50.40921
129,Bideford,0.01,0.01,0.996211211906016,-4.206666,51.01668
130,Invergordon,0.01,0.01,0.9968346579892068,-4.172882,57.68811
131,Llanelli,0.01,0.01,1.0,-4.160248,51.68089000000001
132,Plymouth,0.01,0.01,1.0,-4.1426565,50.37546
133,Tavistock,0.01,0.01,1.0,-4.141654,50.55112
134,Porthmadog,0.01,0.01,1.0,-4.133384,52.92784
135,Bangor,0.01,0.01,1.0,-4.129263,53.22739
136,Tywyn,0.01,0.01,1.0,-4.087249,52.58701
137,Aberystwyth,0.01,0.01,0.9953737694582586,-4.08292,52.4153
138,Lampeter,0.01,0.01,0.9959465981343728,-4.078509,52.1129
139,Barnstaple,0.01,0.01,0.9961069701171869,-4.058338,51.07816
140,Tain,0.01,0.01,0.9968156138162472,-4.05523,57.8115
141,Okehampton,0.01,0.01,0.9974811575449254,-4.004263,50.73831
142,Llandeilo,0.01,0.01,1.0,-3.99143,51.88469
143,Motherwell,0.01,0.01,0.9985421184437304,-3.9810968,55.78321
144,Golspie,0.01,0.01,0.9968807649342648,-3.976086,57.97341
145,Airdrie,0.01,0.0253195515181318,0.994991883674182,-3.962566,55.86626999999999
146,Swansea,0.01,0.01,1.0,-3.943646,51.62144
147,Stirling,0.01,0.01,1.0,-3.9369029,56.11652
148,Tregaron,0.01,0.01,0.995359736909762,-3.934385,52.22
149,Tregaron,0.01,0.01,0.995359736909762,-3.934385,52.22
150,Castle Douglas,0.01,0.01,0.9972982332520279,-3.931414,54.94042
151,Dolgellau,0.01,0.01,1.0,-3.8844,52.74215
152,Aberfeldy,0.01,0.01,1.0,-3.866969,56.62175
153,Machynlleth,0.01,0.01,1.0,-3.853485,52.59027
154,Brora,0.01,0.01,0.9969569416261016,-3.852548000000001,58.01216
155,Llandudno,0.01,0.01,1.0,-3.827609,53.32406
156,Llandudno,0.01,0.01,1.0,-3.827609,53.32406
157,Aviemore,0.01,0.01,1.0,-3.823812,57.19449
158,Dalbeattie,0.01,0.01,0.9972952262773508,-3.822527,54.93422
159,Falkirk,0.01,0.01,1.0,-3.7839131,56.00188000000001
160,Kingsbridge,0.01,0.01,1.0,-3.777493,50.28395
161,Pitlochry,0.01,0.01,1.0,-3.729711,56.70436
162,Colwyn Bay,0.01,0.01,1.0,-3.72764,53.29318000000001
163,Totnes,0.01,0.01,1.0,-3.685797,50.43374
164,Grantown-on-Spey,0.01,0.01,0.9942175876946572,-3.609628,57.33041
165,Dumfries,0.01,0.01,0.99840830807057,-3.60512,55.07086
166,Whitehaven,0.01,0.01,0.9980459676218992,-3.589233,54.5497
167,Dartmouth,0.01,0.01,1.0,-3.578807,50.35252
168,Bridgend,0.01,0.01,1.0,-3.576945,51.50429000000001
169,Paignton,0.01,0.01,1.0,-3.564235,50.43508
170,Workington,0.01,0.01,0.9988332938250264,-3.542752,54.64357
171,Llanidloes,0.01,0.01,0.9946014781285196,-3.540195,52.44779000000001
172,Exeter,0.01,0.01,1.0,-3.533899,50.71841
173,Torquay,0.01,0.01,1.0,-3.525315,50.46192
174,Thurso,0.01,0.01,0.9968968021325468,-3.5220800000000003,58.59356999999999
175,Livingston,0.01,0.01,1.0,-3.518068,55.90071
176,Rhyl,0.01,0.01,1.0,-3.4916339999999995,53.31914
177,Tiverton,0.01,0.01,1.0,-3.491207,50.90205
178,Tiverton,0.01,0.01,1.0,-3.491207,50.90205
179,Minehead,0.01,0.01,1.0,-3.481152,51.20428
180,Dunfermline,0.01,0.01,1.0,-3.452151,56.07174000000001
181,Perth,0.01,0.01,0.9971353554569824,-3.4308381000000003,56.39499
182,Prestatyn,0.01,0.01,1.0,-3.407613,53.33651
183,Builth Wells,0.018728815134407897,0.08460046012798983,0.9665333741613672,-3.404592,52.15002
184,Braemar,0.01,0.01,1.0,-3.3979439,57.00646999999999
185,Brecon,0.01,0.033078117311395434,0.9869146485272589,-3.391463,51.94895
186,Merthyr Tydfil,0.01,0.01,0.9951813230788816,-3.381646,51.74873
187,Llandrindod Wells,0.017835548939604585,0.08056546215535765,0.9681295765528141,-3.377742,52.2417
188,Corwen,0.01,0.01,1.0,-3.369242,52.98005
189,Cockermouth,0.01,0.01,0.9987821752555052,-3.367985,54.66326
190,Lockerbie,0.01,0.01,0.9983371430031954,-3.349008,55.12224000000001
191,Blairgowrie,0.01,0.01,0.9951712998299556,-3.3378318,56.58941
192,Elgin,0.01,0.01,0.9968973032949934,-3.318485,57.64945
193,Newtown,0.01,0.01,1.0,-3.313106,52.51211
194,Ruthin,0.01,0.01,1.0,-3.3103108,53.11487
195,Ruthin,0.01,0.01,1.0,-3.3103108,53.11487
196,Sidmouth,0.01,0.01,1.0,-3.23756,50.67865
197,Barrow-in-Furness,0.01,0.01,0.9987130148379164,-3.218894,54.10896999999999
198,Peebles,0.01,0.01,1.0,-3.193642,55.65306999999999
199,Edinburgh,0.01,0.01,0.9978334747446701,-3.188267,55.95325
200,Cardiff,0.01,0.01,0.9988713821709452,-3.17909,51.48158
201,Llangollen,0.01,0.01,1.0,-3.17166,52.96921
202,Kirkcaldy,0.01,0.01,0.9979056421369368,-3.158137,56.11682
203,Welshpool,0.01,0.01,0.9981025989783302,-3.146407,52.66035
204,Mold,0.01,0.01,0.9965805686289348,-3.141903,53.1672
205,Mold,0.01,0.01,0.9965805686289348,-3.141903,53.1672
206,Taunton,0.01,0.01,1.0,-3.106849,51.01534
207,Wick,0.01,0.01,0.996284882785621,-3.093716,58.43894
208,John o' Groats,0.01,0.01,0.9962878897602994,-3.0688997,58.63734
209,Dalkeith,0.01,0.01,0.997885094476639,-3.066606,55.89312
210,Oswestry,0.01,0.01,0.9986403462832041,-3.056412,52.85715
211,Blackpool,0.01,0.01,1.0,-3.0356748,53.81751
212,Birkenhead,0.01,0.01,0.998403797608553,-3.023009,53.38999
213,Cupar,0.01,0.01,0.9968000777804116,-3.010137,56.32023
214,Southport,0.01,0.01,1.0,-3.010113,53.64571
215,Bridgwater,0.01,0.01,1.0,-3.003632,51.12789
216,Langholm,0.01,0.01,0.9983917697098416,-2.998913,55.15306
217,Newport,0.01,0.01,0.9971749472902406,-2.997664,51.58415
218,Axminster,0.01,0.01,1.0,-2.994937,50.78273
219,Wrexham,0.01,0.01,0.9940456889755792,-2.992494,53.04304000000001
220,Liverpool,0.01,0.01,0.9978309689324382,-2.9915726,53.40837
221,Weston-super-Mare,0.01,0.01,0.9988112426773904,-2.977255,51.34741
222,Dundee,0.01,0.01,0.996597106989662,-2.970721,56.46202
223,Kirkwall,0.01,0.01,0.9962878897602994,-2.9622491,58.98467
224,Ambleside,0.01,0.01,0.9958132889236588,-2.961333,54.42874000000001
225,Orkney Islands,0.01,0.01,0.9962878897602994,-2.9605206,58.98094
226,Lyme Regis,0.01,0.01,1.0,-2.936639,50.72516
227,Carlisle,0.01,0.01,0.9986017567748384,-2.932931,54.89247
228,Chester,0.01086017450689498,0.01,0.9902969938772992,-2.893075,53.19339
229,Forfar,0.01,0.01,0.995926050474074,-2.889062,56.64356
230,Morecambe,0.01,0.01,0.9983451616023368,-2.864968,54.07417
231,Selkirk,0.01,0.01,1.0,-2.838524,55.55066
232,Galashiels,0.01,0.01,1.0,-2.814449,55.62373
233,Lancaster,0.01,0.01,0.9983135883682204,-2.8007399,54.04657
234,St Andrews,0.01,0.01,0.9966617569452344,-2.7967214,56.33978000000001
235,Hawick,0.01,0.01,1.0,-2.780914,55.42706
236,Bridport,0.01,0.01,1.0,-2.758301,50.73358
237,Shrewsbury,0.01,0.01,0.9984779696506044,-2.7553268,52.7073
238,Penrith,0.01,0.01,0.9973854355176841,-2.752708,54.6641
239,Kendal,0.01,0.01,0.9953211474013977,-2.74629,54.32801
240,Street,0.01,0.01,1.0,-2.742919,51.12468
241,Glastonbury,0.01,0.01,1.0,-2.718454,51.14743
242,Hereford,0.01,0.01,1.0,-2.715974,52.0564
243,Ludlow,0.01,0.01,1.0,-2.7139129,52.36775
244,Preston,0.01,0.01,0.9988959391308132,-2.70309,53.7632
245,Whitchurch,0.01,0.01,0.9918190242266932,-2.682045,52.96872
246,Wells,0.01,0.01,1.0,-2.6445979,51.20935
247,Yeovil,0.01,0.01,1.0,-2.633308,50.94206
248,Wigan,0.01,0.01,0.9974195145640312,-2.6325074,53.54506
249,Warrington,0.01,0.01,1.0,-2.5969501,53.39004
250,Arbroath,0.01,0.01,0.9956614367024316,-2.591543,56.55911
251,Bristol,0.01,0.01,0.999555468910138,-2.58791,51.45451
252,Guernsey,0.01,0.01,1.0,-2.585278,49.46569
253,Ross-on-Wye,0.01,0.01,1.0,-2.582446,51.91445
254,Jedburgh,0.01,0.01,1.0,-2.5549369,55.47772
255,Sedbergh,0.010201782614240118,0.01,0.9908853585892479,-2.5281740000000004,54.32363
256,Sedbergh,0.010201782614240118,0.01,0.9908853585892479,-2.5281740000000004,54.32363
257,Nantwich,0.01,0.01,0.9979452339701936,-2.524102,53.06718000000001
258,Banff,0.01,0.01,0.9915809720647036,-2.524038,57.66651
259,Dunbar,0.01,0.01,1.0,-2.516737,56.00209
260,Cinderford,0.01,0.01,1.0,-2.5009579,51.8253
261,Banchory,0.01,0.01,0.9987360683104464,-2.4909599,57.05386
262,Blackburn,0.01,0.01,1.0,-2.487529,53.74858
263,Market Drayton,0.01,0.01,1.0,-2.483485,52.90355
264,Telford,0.01,0.01,1.0,-2.4672611,52.67759
265,Montrose,0.01,0.01,0.9956218448691744,-2.4661150000000003,56.70692
266,Turriff,0.01,0.01,0.9986293207093851,-2.4623,57.53893000000001
267,Weymouth,0.01,0.01,1.0,-2.457621,50.61443
268,Crewe,0.01,0.01,0.9979738002296332,-2.4438209,53.1004
269,Fortuneswell,0.01,0.01,0.9981306640753228,-2.442219,50.55919
270,Dorchester,0.01,0.01,1.0,-2.4411810000000003,50.71116
271,Alston,0.01,0.01,1.0,-2.438685,54.81217
272,Kelso,0.01,0.01,1.0,-2.432207,55.60003
273,Wincanton,0.01,0.01,1.0,-2.416007,51.05569000000001
274,Clitheroe,0.01,0.01,1.0,-2.3930830000000003,53.8711
275,Sark,0.01,0.01,0.9983782383237928,-2.3666256000000003,49.43007
276,Bath,0.01,0.01,0.9973383262477316,-2.3590167,51.38106
277,Kidderminster,0.01,0.01,1.0,-2.2496839,52.3886
278,Manchester,0.01,0.01,0.9992136761217648,-2.2426305,53.48076
279,Burnley,0.01,0.01,1.0,-2.2405035,53.78929
280,Gloucester,0.01,0.01,1.0,-2.238156,51.86424
281,Newcastle-under-Lyme,0.01,0.01,1.0,-2.2273002,53.01321
282,Worcester,0.01,0.01,1.0,-2.221575,52.19364
283,Trowbridge,0.01,0.01,0.9981451977862656,-2.208853,51.31966
284,Shaftesbury,0.01,0.01,1.0,-2.198083,51.0046
285,Alderney,0.01,0.01,0.9983226092922532,-2.1973557,49.715
286,Stoke-on-Trent,0.01,0.01,1.0,-2.179404,53.00267
287,Colne,0.01,0.01,1.0,-2.176991,53.85564
288,Blandford Forum,0.01,0.0110148549821778,0.9978214468459592,-2.165353,50.85691
289,Rochdale,0.01,0.01,0.9975282668148778,-2.1561,53.60971
290,Jersey,0.01,0.01,0.9984609301274304,-2.13125,49.21444
291,Wolverhampton,0.01,0.01,0.9969414055902664,-2.12882,52.58697
292,Stafford,0.01,0.01,0.9969048207316872,-2.12066,52.80669
293,Macclesfield,0.01,0.01,1.0,-2.119287,53.25866
294,Hexham,0.01,0.01,0.9979547560566734,-2.1121439,54.97266
295,Aberdeen,0.01,0.01,0.9986794369540152,-2.094278,57.14972
296,Dudley,0.01,0.01,0.9970987705984028,-2.081112,52.51225
297,Cheltenham,0.01,0.01,1.0,-2.0782533,51.89939
298,Bromsgrove,0.01,0.01,1.0,-2.061906,52.33559
299,Skipton,0.01,0.01,1.0,-2.0162787,53.96285
300,Fraserburgh,0.01,0.01,0.9986654044055184,-2.007631,57.69335
301,Berwick,0.01,0.01,1.0,-2.005395,55.77024
302,Poole,0.01,0.01,0.9981386826744632,-1.987248,50.71505
303,Walsall,0.01,0.01,0.99627285488691,-1.982919,52.58621
304,Cirencester,0.01,0.01,1.0,-1.968243,51.71849
305,Evesham,0.01,0.01,1.0,-1.94677,52.09215
306,Buxton,0.01,0.01,1.0,-1.91483,53.25908
307,Keighley,0.01,0.01,1.0,-1.912358,53.8678
308,Birmingham,0.01,0.01,0.9979988583519472,-1.890401,52.48624
309,Bournemouth,0.01,0.010664073140991213,0.9978906072635476,-1.880769,50.71916
310,Halifax,0.01,0.01,1.0,-1.85754,53.72702
311,Salisbury,0.01,0.01,1.0,-1.794472,51.06878
312,Ringwood,0.01,0.010990170353801508,0.9978264584704224,-1.788817,50.84495
313,Huddersfield,0.01,0.01,1.0,-1.7850351000000002,53.64579000000001
314,Peterhead,0.01,0.01,0.9986623974308412,-1.784066,57.50812
315,Swindon,0.01,0.01,1.0,-1.7797176,51.55577
316,Bradford,0.01,0.01,1.0,-1.759398,53.79598000000001
317,Ashbourne,0.01,0.01,1.0,-1.732179,53.016630000000006
318,Marlborough,0.01,0.01,1.0,-1.727062,51.42007
319,Stratford-upon-Avon,0.01,0.01,1.0,-1.708298,52.19173
320,Alnwick,0.01,0.01,0.996605626751249,-1.7062990000000002,55.41274
321,Otley,0.01,0.01,0.9963685769141526,-1.691786,53.90583
322,Bishop Auckland,0.01,0.01,1.0,-1.6787880000000002,54.66382
323,Burton upon Trent,0.01,0.01,1.0,-1.6371359,52.81403
324,Newcastle,0.01,0.01,0.9990708448245712,-1.61778,54.97825
325,Durham,0.01,0.01,1.0,-1.584852,54.77525
326,Ashington,0.01,0.01,0.9967710103585258,-1.5659829,55.18298000000001
327,Darlington,0.01,0.01,1.0,-1.559458,54.52361
328,Leeds,0.01,0.01,0.9983521778765848,-1.5490774,53.80076
329,Harrogate,0.01,0.01,0.9964091710723016,-1.5418120000000002,53.99211999999999
330,Leamington Spa,0.01,0.01,1.0,-1.5200789,52.28519
331,Coventry,0.01,0.01,1.0,-1.519693,52.40682
332,Blyth,0.01,0.01,0.9948425372651872,-1.510277,55.12696
333,Wakefield,0.01,0.01,1.0,-1.505924,53.6833
334,Andover,0.01,0.01,0.9984814777877284,-1.4919233,51.2112
335,Witney,0.01,0.01,1.0,-1.4850544,51.78594
336,Barnsley,0.01,0.01,1.0,-1.479726,53.55263000000001
337,Derby,0.01,0.01,1.0,-1.4746186,52.92253
338,Sheffield,0.01,0.01,0.9995634875092784,-1.470085,53.38113000000001
339,Nuneaton,0.01,0.01,1.0,-1.465382,52.52049
340,Northallerton,0.01,0.01,1.0,-1.429959,54.33796
341,South Shields,0.01,0.01,0.9930478745450076,-1.427406,54.99941999999999
342,Chesterfield,0.01,0.01,1.0,-1.421629,53.23505
343,Southampton,0.01,0.01,1.0,-1.4043508999999998,50.9097
344,Wetherby,0.01,0.01,1.0,-1.384816,53.92706
345,Sunderland,0.01,0.01,0.9937013903749744,-1.383801,54.90687
346,Rotherham,0.01,0.01,0.9995855386569154,-1.3635008999999998,53.4326
347,Castleford,0.01,0.01,0.9981341722124468,-1.345968,53.72346999999999
348,Thirsk,0.01,0.01,1.0,-1.341377,54.23385
349,Banbury,0.01,0.01,1.0,-1.339775,52.0629
350,Stockton,0.01,0.01,1.0,-1.3289821000000002,54.57046
351,Newbury,0.01,0.01,1.0,-1.3231138999999998,51.40141
352,Isle of Wight,0.01,0.01,1.0,-1.304734,50.69385
353,Isle of Wight,0.01,0.01,1.0,-1.304734,50.69385
354,Abingdon,0.01,0.01,1.0,-1.2879528999999998,51.67078
355,Shetland Islands,0.01,0.01,0.9965304523843048,-1.2659409,60.52965
356,Rugby,0.01,0.01,1.0,-1.265032,52.37088
357,Oxford,0.01,0.01,1.0,-1.2577263,51.75202
358,Middlesbrough,0.01,0.01,1.0,-1.234956,54.57423000000001
359,Hartlepool,0.01,0.01,1.0,-1.212926,54.69174
360,Loughborough,0.01,0.01,1.0,-1.206166,52.7721
361,Mansfield,0.01,0.01,1.0,-1.198674,53.1472
362,Nottingham,0.01,0.01,0.9982399174886154,-1.1581086,52.95478000000001
363,Bicester,0.01,0.01,1.0,-1.1535898999999998,51.8996
364,Leicester,0.01,0.01,0.9961520747373532,-1.1397592,52.63688000000001
365,Doncaster,0.01,0.01,0.9951086545241692,-1.128462,53.52282
366,Worksop,0.01,0.01,1.0,-1.122745,53.3093
367,Basingstoke,0.01,0.01,1.0,-1.0923964,51.26654
368,Portsmouth,0.01,0.01,1.0,-1.0879769,50.81977
369,York,0.01,0.01,0.9981411884866944,-1.0872979,53.95997
370,Selby,0.01,0.01,0.994552364208782,-1.067189,53.78352
371,Helmsley,0.01,0.01,0.9963831106250958,-1.0562636,54.24651
372,Towcester,0.01,0.01,0.9975412970384812,-0.989688,52.13511
373,Reading,0.01,0.01,1.0,-0.9781303,51.45426
374,Retford,0.01,0.01,1.0,-0.945503,53.32136
375,Petersfield,0.01,0.01,1.0,-0.93899,51.00759
376,Northampton,0.01,0.01,0.997565352835903,-0.902656,52.24048
377,Melton Mowbray,0.01,0.01,1.0,-0.887126,52.7664
