,Unnamed:_0,Unnamed:_0,placename,should_have,should_of,longitude,latitude
0,0,0,Abbeyfeale,0.8954328777675831,0.10456684623687326,-9.2970823,52.386179999999996
1,1,1,Aberaeron,0.6076449296274004,0.3923551985889904,-4.2581619,52.24279
2,2,2,Aberdeen,0.6268120252396701,0.3731880406960887,-2.094278,57.149719999999995
3,3,3,Aberfeldy,0.7272730485134532,0.27272682299017703,-3.866969,56.62175
4,4,4,Aberystwyth,0.618879574454552,0.38112031620030057,-4.08292,52.4153
5,5,5,Abingdon,0.7800698719994921,0.21992987238758088,-1.2879528999999998,51.67078
6,6,6,Achnasheen,0.7757311412151752,0.22426907509162305,-5.078765799999998,57.57859000000001
7,7,7,Adare,0.895419332116973,0.10458062746644987,-8.7925892,52.56363
8,8,8,Airdrie,1.0,0.01,-3.9625660000000003,55.86626999999999
9,9,9,Alderney,0.42289992355541545,0.5770997661490244,-2.1973557,49.715
10,10,10,Aldershot,0.6353728764247969,0.3646271879984101,-0.7557509,51.24837
11,11,11,Alness,0.7011352433093326,0.29886486838896303,-4.256825,57.69595
12,12,12,Alnwick,0.4033494271367678,0.5966507960691927,-1.7062990000000002,55.41274
13,13,13,Alston,0.25693684546532913,0.7430634036091625,-2.438685,54.812169999999995
14,14,14,Altnaharra,0.6679065844818672,0.3320935919814917,-4.442655,58.28023
15,15,15,Ambleside,0.357155813852136,0.6428441819388505,-2.961333,54.42874000000001
16,16,16,Andover,0.7513654604755581,0.2486344656655093,-1.4919233,51.2112
17,17,17,Antrim,0.8332265386386747,0.16677337303897954,-6.2072498,54.719530000000006
18,18,18,Antrim,0.8332265386386747,0.16677337303897954,-6.2072498,54.719530000000006
19,19,19,Arbroath,0.6710320961246489,0.328968020892344,-2.591543,56.55911
20,20,20,Armagh,0.8174994493398566,0.1825007595872156,-6.652792,54.35028000000001
21,21,21,Armagh,0.8174994493398566,0.1825007595872156,-6.652792,54.35028000000001
22,22,22,Ashbourne,0.38000968219547976,0.6199900739810561,-1.7321790000000001,53.016630000000006
23,23,23,Ashford,0.5995434526803314,0.4004562647084442,0.8750190000000001,51.14647
24,24,24,Ashington,0.4681300288227893,0.5318700062551469,-1.5659829,55.18298000000001
25,25,25,Athlone,0.8163251003261562,0.18367457876111096,-7.9406898,53.42393000000001
26,26,26,Aviemore,0.6754597570499221,0.32454030029063663,-3.823812,57.19449
27,27,27,Axminster,0.2492794302817144,0.7507205256749899,-2.9949369999999997,50.78273
28,28,28,Aylesbury,0.7186615483738743,0.2813384424395438,-0.8084,51.81561
29,29,29,Ayr,0.7250386051042372,0.2749610901117498,-4.629179,55.45856
30,30,30,Aysgarth,0.5460646351331775,0.4539352094926522,-1.9967433999999997,54.29159
31,31,31,Balivanich,0.6499126600006363,0.3500873429595025,-7.3743509000000005,57.472269999999995
32,32,32,Ballachulish,0.6860271313492293,0.3139730419125472,-5.133719999999999,56.67393000000001
33,33,33,Ballycastle,0.8262734972867475,0.1737262978310994,-9.3724643,54.279669999999996
34,34,34,Ballymena,0.6843286245510798,0.31567125454007583,-6.2802213,54.86529
35,35,35,Banbridge,0.7885135238597804,0.2114865135061645,-6.2704803,54.34873
36,36,36,Banbury,0.5772708694305292,0.4227291463641376,-1.339775,52.0629
37,37,37,Banchory,0.6548733128303225,0.3451268070416429,-2.4909599,57.05386
38,38,38,Banff,0.527967056977718,0.4720328497397791,-2.524038,57.666509999999995
39,39,39,Bangor,0.5233179541120471,0.4766823067917256,-4.129263,53.22739
40,40,40,Banham,0.5646475009452515,0.4353526348680302,1.0402849,52.45125
41,41,41,Bantry,0.8571817272706929,0.14281835685693026,-9.4539805,51.68035
42,42,42,Barnsley,0.9046645331285396,0.09533554260970667,-1.479726,53.55263000000001
43,43,43,Barnstaple,0.545502785103554,0.4544974129864059,-4.058338,51.07816
44,44,44,Barrow-in-Furness,0.26827161031872365,0.7317282244941095,-3.2188939999999997,54.10896999999999
45,45,45,Basingstoke,0.520493980430658,0.4795062220779184,-1.0923964,51.26654
46,46,46,Bath,0.535922476474739,0.4640777822020366,-2.3590167,51.38106
47,47,47,Bedford,0.5739309831433211,0.42606903324144463,-0.46677820000000003,52.13864
48,48,48,Belfast,0.8587506669760581,0.14124912240364432,-5.93012,54.59728000000001
49,49,49,Berwick,0.5563952550174858,0.4436044699948177,-2.005395,55.77024
50,50,50,Beverley,0.2584144992644133,0.7415855728665728,-0.435093,53.84196
51,51,51,Bexhill,0.5885773651000438,0.4114224131203901,0.4662071,50.849909999999994
52,52,52,Bicester,0.7882084522504043,0.21179164406358514,-1.1535898999999998,51.8996
53,53,53,Bideford,0.5919584772804107,0.40804153591921416,-4.206666,51.01668
54,54,54,Biggleswade,0.5732766693247556,0.42672346496390345,-0.26421999999999995,52.08694000000001
55,55,55,Birkenhead,0.05352416602962904,0.9464757067253046,-3.023009,53.389990000000004
56,56,56,Birmingham,0.4344737985891323,0.5655262424352681,-1.8904009999999998,52.48624
57,57,57,Bishop Auckland,0.36241564887789096,0.6375841104072016,-1.6787880000000002,54.663819999999994
58,58,58,Bishop's Stortford,0.4292080741500701,0.5707922033812659,0.15365020000000001,51.87216
59,59,59,Blackburn,0.3907290033581435,0.6092706920303326,-2.487529,53.748580000000004
60,60,60,Blackpool,0.1555034800543241,0.8444967280475172,-3.0356748,53.81751
61,61,61,Blairgowrie,0.7125919190182115,0.2874080728676035,-3.3378318,56.58941
62,62,62,Blandford Forum,0.4355780635844621,0.564422212821408,-2.165353,50.85691
63,63,63,Blyth,0.3689440635302792,0.6310561068603608,-1.510277,55.12696
64,64,64,Bodmin,0.4880427241599048,0.5119573073998076,-4.7188629,50.4715
65,65,65,Bognor Regis,0.3560268133209102,0.6439731826695501,-0.673061,50.783
66,66,66,Boston,0.3542853138056101,0.6457147413866873,-0.026576999999999996,52.97894
67,67,67,Bournemouth,0.4447148993911532,0.5552853165062556,-1.880769,50.719159999999995
68,68,68,Bradford,0.5086862956885961,0.4913134966471858,-1.759398,53.79598000000001
69,69,69,Braemar,0.7936208230808469,0.2063790955944413,-3.3979439,57.00646999999999
70,70,70,Braintree,0.5108111960102761,0.4891887726325039,0.5509269,51.88009
71,71,71,Brecon,0.44143390723702974,0.5585662503459294,-3.391463,51.94895
72,72,72,Brentwood,0.21786588863590609,0.7821340139768757,0.30717490000000003,51.62047000000001
73,73,73,Bridgend,0.5139096163518391,0.486090587320079,-3.576945,51.50429000000001
74,74,74,Bridgwater,0.3598466867927553,0.6401532496286576,-3.003632,51.12789
75,75,75,Bridlington,0.2430089719322341,0.7569912207089239,-0.198802,54.08535
76,76,76,Bridport,0.2828749995582945,0.717124773780233,-2.758301,50.733579999999996
77,77,77,Brighton,0.7885576944595938,0.21144193063954267,-0.137163,50.82253
78,78,78,Bristol,0.49059107329846,0.509409016705147,-2.58791,51.45451
79,79,79,Broadford,0.6375855290047714,0.362414181662637,-5.9096592,57.24139
80,80,80,Bromsgrove,0.3672826600359728,0.6327172750716343,-2.061906,52.33559
81,81,81,Brora,0.6658017081654357,0.33419805641081296,-3.852548000000001,58.012159999999994
82,82,82,Bude,0.5674708856853099,0.4325288373701243,-4.543678,50.82664000000001
83,83,83,Builth Wells,0.5063870687329882,0.4936131951621758,-3.4045919999999996,52.15002
84,84,84,Burnley,0.3681913965094624,0.6318086562258736,-2.2405035,53.78929
85,85,85,Burton upon Trent,0.2695325337080581,0.7304674775644231,-1.6371358999999999,52.81403
86,86,86,Bury St Edmunds,0.5612163287517625,0.4387835720911725,0.7104931999999999,52.24292
87,87,87,Buxton,0.5451965356115156,0.4548032502735485,-1.91483,53.259080000000004
88,88,88,Caernarfon,0.5236359824307025,0.4763638661578762,-4.273911,53.13955
89,89,89,Cambridge,0.8174717690973066,0.18252808646979488,0.12181700000000001,52.20534
90,90,90,Camelford,0.4500990010377153,0.5499009194376998,-4.682364,50.62206
91,91,91,Campbeltown,0.6875106745616221,0.31248902728489103,-5.605373999999999,55.424119999999995
92,92,92,Canterbury,0.571377922474119,0.42862185878515385,1.0789089,51.280229999999996
93,93,93,Cardiff,0.7894964669409562,0.210503629145463,-3.17909,51.48158
94,94,94,Cardigan,0.5039394285620064,0.4960603646124644,-4.660864,52.0837
95,95,95,Carlisle,0.2301117457281143,0.7698883314034703,-2.932931,54.892469999999996
96,96,96,Carlow,0.6861337297301126,0.3138659134655392,-6.934135899999999,52.83651
97,97,97,Carmarthen,0.6354282369098951,0.3645716508210992,-4.312131,51.857620000000004
98,98,98,Castle Douglas,0.3179022852101524,0.6820978353045299,-3.9314139999999997,54.940419999999996
99,99,99,Castleford,0.5127653033460122,0.4872346060573686,-1.345968,53.72346999999999
100,100,100,Cavan,0.6972276175791925,0.3027721414446509,-7.3633319,53.98972
101,101,101,Charleville,0.8559402389452765,0.14405972761340846,-8.681017599999999,52.36206
102,102,102,Chatteris,0.40172394906364217,0.5982759210646504,0.054012,52.4561
103,103,103,Chelmsford,0.2419871587232227,0.7580126218394678,0.4685497,51.73559
104,104,104,Cheltenham,0.5435204085839386,0.4564797898562729,-2.0782533,51.899390000000004
105,105,105,Chester,0.33545155898659657,0.6645484406391496,-2.893075,53.19339
106,106,106,Chesterfield,0.5183773252876099,0.4816228187007987,-1.421629,53.23505
107,107,107,Chichester,0.3206862108810442,0.6793137324593364,-0.774936,50.83761
108,108,108,Cinderford,0.3838419234352713,0.6161581265348917,-2.5009579,51.8253
109,109,109,Cirencester,0.6386727147015079,0.3613275258211065,-1.968243,51.71849
110,110,110,Clacton,0.4228563418969325,0.5771435244976373,1.153035,51.78953
111,111,111,Clare,0.9397872272759936,0.06021272446840231,-8.9811351,52.90453
112,112,112,Claremorris,0.9295172683487621,0.07048250852772472,-9.0017356,53.72388
113,113,113,Clitheroe,0.3651583486556239,0.6348415279331683,-2.3930830000000003,53.8711
114,114,114,Cockermouth,0.2328774142177505,0.7671224857427585,-3.367985,54.66326
115,115,115,Colchester,0.4582876413017489,0.5417126310917377,0.891874,51.89593
116,116,116,Coleraine,0.6719361210674925,0.328063583530771,-6.6646103000000005,55.132580000000004
117,117,117,Colne,0.4055031855836589,0.5944969783476269,-2.176991,53.85564
118,118,118,Colwyn Bay,0.2515721788826845,0.7484278944572187,-3.72764,53.29318000000001
119,119,119,Cookstown,0.7605305654661304,0.2394695357380557,-6.7443895000000005,54.641819999999996
120,120,120,Corby,0.3868891058810511,0.6131106490800114,-0.6842333,52.4923
121,121,121,Cork,0.7997852719907744,0.20021441001878887,-8.4756035,51.898509999999995
122,122,122,Corwen,0.17775839506420044,0.8222416913173012,-3.369242,52.98005
123,123,123,Coventry,0.4797545528109582,0.5202455391072719,-1.519693,52.40682
124,124,124,Craigavon,0.7728518070486854,0.22714805640197885,-6.4175653,54.442930000000004
125,125,125,Crawley,0.5952406473171958,0.4047591297259531,-0.18722750000000002,51.109140000000004
126,126,126,Crewe,0.3676171787118912,0.6323826974424687,-2.4438209,53.10041
127,127,127,Cromer,0.5390085290483536,0.4609917290831706,1.301866,52.93145
128,128,128,Cromer,0.5390085290483536,0.4609917290831706,1.301866,52.93145
129,129,129,Cumnock,0.7692516086932453,0.23074854986422835,-4.265828900000002,55.45355
130,130,130,Cupar,0.6812755526919914,0.31872426804444404,-3.010137,56.32023
131,131,131,Dalbeattie,0.31595406728772496,0.6840456413121685,-3.8225269999999996,54.934219999999996
132,132,132,Dalkeith,0.9634361664159746,0.03656401672664348,-3.066606,55.893119999999996
133,133,133,Dalwhinnie,0.8479047234272618,0.15209506786872753,-4.242783,56.9366
134,134,134,Darlington,0.1204090550907502,0.8795911592116594,-1.559458,54.52361
135,135,135,Dartmouth,0.5150456841790338,0.4849542248214432,-3.578807,50.35252
136,136,136,Derby,0.2622673534507846,0.7377325413170391,-1.4746186000000001,52.92253
