index,placename,longitude,latitude,her,hersel,herself,herseln,herselve,hersen
61,Wicklow,-6.044589,52.980819999999994,0.01,0.01,0.3023014914338104,0.01,0.01,0.01
62,Kilkeel,-6.007004,54.06312,0.01,0.01,0.14635919080648174,0.01,0.01,0.01
63,Belfast,-5.93012,54.597280000000005,0.01,0.01,0.5441503531368737,0.01,0.01,0.01
64,Down,-5.7156921999999994,54.32875,0.01,0.01,0.281807675858509,0.01,0.01,0.01
65,Balivanich,-7.3743509000000005,57.472269999999995,0.01,0.1029482744123971,0.01,0.01,0.01,0.01
66,Western Isles,-7.0194034,57.759890000000006,0.01,0.2027469183572675,0.07182308342122963,0.01,0.01,0.013836904968896861
67,Dunvegan,-6.581398200000001,57.4366,0.01,0.08572508372472235,0.01,0.01,0.01,0.01
68,Stornoway,-6.384869200000001,58.209430000000005,0.01,0.32854910672910403,0.08849851340203692,0.01,0.01,0.01827022535262371
69,Scilly Isles,-6.327496599999999,49.92773,0.01,0.01,0.14692873149684,0.01,0.01,0.01
70,Portree,-6.1960231,57.41246999999999,0.01,0.2503407161419434,0.11040926752471136,0.01,0.01,0.017898621043926945
71,Islay,-6.177067,55.73625,0.01,0.28940303490823904,0.05073174546958263,0.01,0.01,0.014484022940533334
72,Mull,-6.0008870000000005,56.4392,0.01,0.29185076653349656,0.05154682516410902,0.01,0.01,0.014606526842483567
73,Broadford,-5.9096592,57.24139,0.01,0.08182848893557268,0.01,0.01,0.01,0.01
74,Kyle of Lochalsh,-5.7143293,57.28261,0.01,0.08182848893557268,0.01,0.01,0.01,0.01
75,Campbeltown,-5.605373999999999,55.424119999999995,0.01,0.32906160277210533,0.053547039835056674,0.01,0.01,0.01
76,Penzance,-5.537592,50.1188,0.01,0.015497079521106355,0.26932665928117794,0.01,0.01,0.01
77,Oban,-5.471047,56.41516,0.01,0.3889900781649377,0.08389362316845675,0.01,0.01,0.019468148347398042
