index,placename,longitude,latitude,avoid,demsel,demsels,emsel,emself,emselves,him,himself,theirsel,theirself,theirselfs,theirseln,theirselns,theirsels,theirselves,theirsen,theirsens,them,themsel,themself,themselfs,themseln,themselns,themsels,themselves,themsen,themsens
79,Helston,-5.274996,50.10159,0.13691118566587387,0.01,0.01,0.01,0.49327735424258673,0.46095208959749195,0.2752036790328451,,0.01,0.40396605894514376,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.21515683338441344,0.17861420082647114,0.01,0.01,0.01,0.14549195709984925,0.01,0.01
80,Redruth,-5.226666000000001,50.23302,0.15299995026538615,0.01,0.01,0.01,0.5512435693190322,0.5151196846345121,0.3075435290410451,,0.01,0.45143708767775903,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.24044043331427034,0.19960358761215138,0.01,0.01,0.01,0.16450057619794264,0.01,0.01
81,Ullapool,-5.161313,57.895419999999994,0.10432249907231744,0.01,0.01,0.3869003706086984,0.01,0.01,0.01,,0.07615832046160907,0.08729930073919365,0.01,0.01,0.01,0.1557789483873627,0.17078179687769643,0.01,0.01,0.01,0.30691803300242526,0.08591759249645659,0.01,0.01,0.01,0.386900427369273,0.08277807101918805,0.01,0.01
82,Ballachulish,-5.133719999999999,56.673930000000006,0.05237046487620028,0.01,0.01,0.01,0.01,0.01,0.01,,0.09762896661074723,0.11207443655478722,0.01,0.01,0.01,0.01,0.11234504566802381,0.01,0.01,0.01,0.16699691598683486,0.059095363494311715,0.030745108185363846,0.01,0.01,0.01,0.01,0.01,0.01
83,Fort William,-5.1052179,56.81981999999999,0.1482111529994128,0.01,0.01,0.01,0.01,0.01,0.01,,0.31397161065845813,0.36042777651271507,0.01,0.01,0.01,0.01,0.36129804670087046,0.01,0.01,0.01,0.5370567005633949,0.19004878472936332,0.09887527720450744,0.01,0.01,0.01,0.07871462220975156,0.01,0.01
84,Achnasheen,-5.078765799999999,57.578590000000005,0.0502756557581123,0.01,0.01,0.16314993047399307,0.01,0.01,0.01,,0.03211479138357863,0.03681277126620421,0.01,0.01,0.01,0.0656895845272126,0.0720160547868789,0.01,0.01,0.01,0.07932353469420643,0.0458914938955402,0.01,0.01,0.01,0.12476173049707542,0.025499112625251757,0.01,0.01
85,Newquay,-5.0737190000000005,50.4155,0.17632328146057968,0.01,0.01,0.01,0.635275206676741,0.5936445925776517,0.3544255023509781,,0.01,0.5202542127254396,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.2770932024764657,0.23003118300386208,0.01,0.01,0.01,0.19205672049018693,0.01,0.01
86,Falmouth,-5.066269999999999,50.152570000000004,0.19008818738779173,0.01,0.01,0.01,0.6848687906059882,0.6399882285589068,0.3820941894219863,,0.01,0.5608685334043709,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.2987248431399319,0.2479888660060433,0.01,0.01,0.01,0.20831973758345676,0.01,0.01
87,Rothesay,-5.055793,55.83596,0.25446463280793247,0.01,0.01,0.01,0.01,0.01,0.01,,0.3549993187412135,0.22855717154399313,0.01,0.01,0.01,0.15959068137486646,0.29743307986587525,0.01,0.01,0.01,0.4310705980684186,0.1134478739978851,0.0933677881295151,0.01,0.01,0.01,0.023596000898661575,0.01,0.01
88,Truro,-5.051041000000001,50.2632,0.2628240467181719,0.01,0.01,0.01,0.9469288412479568,0.8848750592728781,0.5282997458780322,,0.01,0.7754807894795581,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.41302972692941997,0.3428799979653273,0.01,0.01,0.01,0.29425599678048736,0.01,0.01
89,Milford Haven,-5.0426971,51.71431,0.10988223764254475,0.01,0.01,0.01,0.4688227535642853,0.01,0.1307801627137712,,0.01,0.4968624098559289,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.24894467061585185,0.01,0.01,0.01,0.01,0.1457086862605945,0.01,0.01
90,Stranraer,-5.024055000000001,54.903369999999995,0.2032131195397301,0.01,0.01,0.01,0.01,0.01,0.01,,0.4068313611899534,0.21473368216441702,0.01,0.01,0.01,0.14993839142849677,0.3616332392181768,0.01,0.01,0.01,0.28588149812350006,0.08361516952515426,0.01,0.01,0.01,0.05476390229925523,0.06374357406997219,0.01,0.01
91,Fishguard,-4.975989,51.99393,0.1020267160749324,0.01,0.01,0.01,0.01,0.01,0.10487193060227475,,0.01,0.36221034198759283,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.1818035539174772,0.01,0.01,0.01,0.01,0.12022499263395116,0.01,0.01
92,Inchnadamph,-4.974295,58.15221,0.0502756557581123,0.01,0.01,0.16314993047399307,0.01,0.01,0.01,,0.03211479138357863,0.03681277126620421,0.01,0.01,0.01,0.0656895845272126,0.0720160547868789,0.01,0.01,0.01,0.12942260992611884,0.036230126169785104,0.01,0.01,0.01,0.16314995440905364,0.01953260658580645,0.01,0.01
93,Haverfordwest,-4.971319,51.80048,0.13977210799880185,0.01,0.01,0.01,0.01,0.01,0.14366992660450295,,0.01,0.4962122176057338,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.2490628626531186,0.01,0.01,0.01,0.01,0.1707208074682995,0.01,0.01
94,Dunoon,-4.926214,55.95097,0.2155351738266687,0.01,0.01,0.01,0.01,0.01,0.01,,0.32506969184635803,0.2092877518371856,0.01,0.01,0.01,0.1461357554150579,0.27235680327430584,0.01,0.01,0.01,0.5340430645790929,0.10388320059847928,0.08549604608611304,0.01,0.01,0.01,0.020235240585337384,0.01,0.01
95,Pembroke,-4.908637000000001,51.674040000000005,0.17721385215190405,0.01,0.01,0.01,0.01,0.01,0.18215580702398465,,0.01,0.6291360975074136,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.33435645749649906,0.01,0.01,0.01,0.01,0.20933894700198064,0.01,0.01
96,Girvan,-4.8542179,55.240159999999996,0.22624184234525527,0.01,0.01,0.01,0.01,0.01,0.01,,0.41967876539086785,0.20320778962773647,0.01,0.01,0.01,0.14189040487460175,0.2644446390083226,0.01,0.01,0.01,0.31562617962687245,0.06173653097891573,0.08301232343776009,0.01,0.01,0.01,0.03528451181252337,0.01,0.01
97,Wadebridge,-4.836456,50.51665,0.1476180138892766,0.01,0.01,0.01,0.5318529890432309,0.49699980051706105,0.29672535751019086,,0.01,0.4355573068053886,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.2319826847196005,0.1925823186044918,0.01,0.01,0.01,0.15814190409786474,0.01,0.01
98,Invergarry,-4.800261,57.07095,0.05970233323935448,0.01,0.01,0.01,0.01,0.01,0.01,,0.05138366599020685,0.03681277126620421,0.01,0.01,0.01,0.013137917515041871,0.0720160547868789,0.01,0.01,0.01,0.12942260992611884,0.05394263553486714,0.030745108185363846,0.01,0.01,0.047985280446602,0.01953260658580645,0.01,0.01
99,St Austell,-4.7834252,50.340379999999996,0.15957609664305775,0.01,0.01,0.01,0.5749367691880796,0.5372602307085519,0.3207621690534866,,0.01,0.4708404689450687,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.25077489082123555,0.20818282183653572,0.01,0.01,0.01,0.17227018839242123,0.01,0.01
100,Greenock,-4.7719830000000005,55.956480000000006,0.33112839411843675,0.01,0.01,0.01,0.01,0.01,0.01,,0.49940714142658926,0.3215304302500364,0.01,0.01,0.01,0.22450951812063538,0.4184239133422271,0.01,0.01,0.01,0.8204545885692611,0.15959658360783818,0.13134825254432594,0.01,0.01,0.01,0.03981137441866988,0.01,0.01
101,Helensburgh,-4.734014,56.00232,0.22765901981960251,0.01,0.01,0.01,0.01,0.01,0.01,,0.3433548506487217,0.22106018056161236,0.01,0.01,0.01,0.1543558865484478,0.2876768639372624,0.01,0.01,0.01,0.5640829682922482,0.10972662700052845,0.0903051956896315,0.01,0.01,0.01,0.022288458162746515,0.01,0.01
102,Bodmin,-4.7188629,50.4715,0.1374655000994572,0.01,0.01,0.01,0.49527449389108674,0.46281835344738553,0.2763179004218515,,0.01,0.40560160257192635,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.21602794218132448,0.17933735890212094,0.01,0.01,0.01,0.14614687077351196,0.01,0.01
103,Tenby,-4.703579,51.672740000000005,0.13977210799880185,0.01,0.01,0.01,0.01,0.01,0.14366992660450295,,0.01,0.4962122176057338,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.2490628626531186,0.01,0.01,0.01,0.01,0.1707208074682995,0.01,0.01
104,Camelford,-4.682364,50.62206,0.10532088547751468,0.01,0.01,0.01,0.3794606516784,0.35459398005359216,0.21170436163736792,,0.01,0.3107566618756509,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.16551246779709117,0.13740152565628944,0.01,0.01,0.01,0.10816852062585482,0.01,0.01
105,Irvine,-4.6696364,55.61156999999999,0.38346480905849106,0.01,0.01,0.01,0.01,0.01,0.01,,0.5349652895761876,0.34442362845456287,0.01,0.01,0.01,0.24049475750572727,0.4482159973269626,0.01,0.01,0.01,0.5349652895761875,0.1488530777152821,0.140700342724335,0.01,0.01,0.01,0.07110897115070783,0.01,0.01
106,Cardigan,-4.660864,52.0837,0.1198642358144753,0.01,0.01,0.01,0.01,0.01,0.12320688446737972,,0.01,0.4255362469429686,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.18846053690119857,0.01,0.01,0.01,0.01,0.1596062181575601,0.01,0.01
107,Holyhead,-4.633038,53.30944,0.2206218734162849,0.01,0.01,0.01,0.01,0.01,0.01,,0.01,0.13785040815679908,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.16280234553446973,0.01,0.01,0.01,0.01,0.15967988832781502,0.01,0.01
108,Ayr,-4.629179,55.45856,0.4121539708007659,0.01,0.01,0.01,0.01,0.01,0.01,,0.5749890553992806,0.37019189962618654,0.01,0.01,0.01,0.2584875245948151,0.4817495600921101,0.01,0.01,0.01,0.5749890553992805,0.1599896146843309,0.15122692767882615,0.01,0.01,0.01,0.07764601678576007,0.01,0.01
109,Dumbarton,-4.564554,55.94529,0.3134257940531833,0.01,0.01,0.01,0.01,0.01,0.01,,0.4727081175692627,0.30434095113369886,0.01,0.01,0.01,0.21250691646905115,0.3960543693006904,0.01,0.01,0.01,0.6752973082085143,0.13153013762243582,0.12432618610314229,0.01,0.01,0.01,0.0609405633022953,0.01,0.01
110,Bude,-4.543678,50.826640000000005,0.14350864154031326,0.01,0.01,0.01,0.5170473301042949,0.4831643804089366,0.28846515303200815,,0.01,0.4234323153777332,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.21081663846582424,0.1872212353997947,0.01,0.01,0.01,0.16236995372686241,0.01,0.01
111,Isle of Man,-4.5126330999999995,54.27697,0.21953314777115326,0.01,0.01,0.01,0.01,0.01,0.01,,0.35899424372982314,0.419131030827543,0.01,0.01,0.01,0.01,0.26834310736579114,0.04929072024746636,0.01,0.01,0.35001938450178854,0.3074980305800417,0.01,0.01,0.01,0.08940034057170931,0.21531832223357703,0.01,0.01
112,Kilmarnock,-4.498792,55.61472,0.36460577049079773,0.01,0.01,0.01,0.01,0.01,0.01,,0.5086553628497544,0.32748465950823974,0.01,0.01,0.01,0.22866707527782104,0.42617245491951056,0.01,0.01,0.01,0.5086553628497543,0.1415323904781798,0.13378061208088715,0.01,0.01,0.01,0.066811794507566,0.01,0.01
113,Newton Stewart,-4.483164,54.9603,0.18303273082608498,0.01,0.01,0.01,0.01,0.01,0.01,,0.2912171366421503,0.1777274125012087,0.01,0.01,0.01,0.12409866060405095,0.16326051251016754,0.01,0.01,0.01,0.17746044138470518,0.09202022479811718,0.01,0.01,0.01,0.04532612935246571,0.049954998008816184,0.01,0.01
114,Liskeard,-4.4647190000000005,50.45552,0.14703452521061494,0.01,0.01,0.01,0.5297507374978887,0.49503531292331576,0.29555249328977873,,0.01,0.4338356825216483,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.23106572840367998,0.19182109983683915,0.01,0.01,0.01,0.15745252151835548,0.01,0.01
115,Altnaharra,-4.442655,58.28023,0.0502756557581123,0.01,0.01,0.16314993047399307,0.01,0.01,0.01,,0.03211479138357863,0.03681277126620421,0.01,0.01,0.01,0.0656895845272126,0.0720160547868789,0.01,0.01,0.01,0.12942260992611884,0.036230126169785104,0.01,0.01,0.01,0.16314995440905364,0.01953260658580645,0.01,0.01
116,Pwllheli,-4.417633900000001,52.888819999999996,0.1934173029830065,0.01,0.01,0.01,0.01,0.01,0.01,,0.01,0.3872379846798031,0.01,0.01,0.01,0.01,0.029968837637085435,0.01,0.01,0.01,0.01,0.1557940463511313,0.031985755424839474,0.01,0.01,0.01,0.11615532627844909,0.01,0.01
117,Lairg,-4.402414,58.022059999999996,0.05656010133729937,0.01,0.01,0.16314993047399307,0.01,0.01,0.01,,0.03211479138357863,0.03681277126620421,0.01,0.01,0.01,0.0656895845272126,0.0720160547868789,0.01,0.01,0.01,0.10437307158372605,0.031399445108704085,0.01,0.01,0.01,0.16314995440905364,0.01953260658580645,0.01,0.01
118,Launceston,-4.360451599999999,50.636829999999996,0.13634774602504615,0.01,0.01,0.01,0.4912473373820127,0.4590551030325268,0.27407111516441757,,0.01,0.4023035907541654,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.2142713842639917,0.1778791380142477,0.01,0.01,0.01,0.1448262621391818,0.01,0.01
119,Carmarthen,-4.312131,51.857620000000004,0.17216594533369878,0.01,0.01,0.01,0.01,0.01,0.1769671294511735,,0.01,0.6112152614236492,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.2706936416289479,0.01,0.01,0.01,0.01,0.23634670697019702,0.01,0.01
120,Llangefni,-4.311401999999999,53.25578,0.301365255064809,0.01,0.01,0.01,0.01,0.01,0.01,,0.01,0.2615292155669572,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.2059119488708595,0.01,0.01,0.01,0.01,0.17447906299839694,0.01,0.01
121,Caernarfon,-4.273911,53.13955,0.2859167940849541,0.01,0.01,0.01,0.01,0.01,0.01,,0.01,0.41353802027418135,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.19535657576809998,0.01,0.01,0.01,0.01,0.14459364031847607,0.01,0.01
122,Cumnock,-4.265828900000001,55.45355,0.3107616259350729,0.01,0.01,0.01,0.01,0.01,0.01,,0.40329138708792867,0.25964877641938305,0.01,0.01,0.01,0.1813004810437275,0.337894167713561,0.01,0.01,0.01,0.4032913870879286,0.07888385951354715,0.10606900575922855,0.01,0.01,0.01,0.049602791214622854,0.01,0.01
123,Aberaeron,-4.2581619,52.24279,0.13506203209344111,0.01,0.01,0.01,0.01,0.01,0.11525384634519828,,0.01,0.15922710484919414,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.22330745537419894,0.01,0.01,0.01,0.01,0.12647888248586805,0.01,0.01
124,Alness,-4.256825,57.69595,0.15538445382369737,0.01,0.01,0.5042393272808794,0.01,0.01,0.01,,0.09925557893880192,0.11377539030931211,0.01,0.01,0.01,0.203023512269545,0.22257641737056882,0.01,0.01,0.01,0.3225806302749631,0.09704469399776837,0.01,0.01,0.01,0.5042394012557734,0.11281623860074652,0.01,0.01
125,Glasgow,-4.251806,55.86424,0.7168031581306541,0.01,0.01,0.01,0.01,0.01,0.01,,1.0,0.6438242539575298,0.01,0.01,0.01,0.4495520778483648,0.8378412694439488,0.01,0.01,0.01,1.0,0.27824810434562425,0.26300835860921223,0.01,0.01,0.01,0.14706267169354287,0.01,0.01
126,Dalwhinnie,-4.242783,56.9366,0.06179716058236561,0.01,0.01,0.01,0.01,0.01,0.01,,0.01926887460662822,0.03681277126620421,0.01,0.01,0.01,0.039413751021127236,0.043209633206281836,0.01,0.01,0.01,0.08767338129262842,0.05394263553486714,0.030745108185363846,0.01,0.01,0.08637350547183871,0.02152144135552599,0.01,0.01
127,Inverness,-4.224721,57.47776999999999,0.25001209996038226,0.01,0.01,0.8113162545793694,0.01,0.01,0.01,,0.15970127713953364,0.1830635147536563,0.01,0.01,0.01,0.32666288933533144,0.35812332662064444,0.01,0.01,0.01,0.5190291486501821,0.1561439844163778,0.01,0.01,0.01,0.8113163736042664,0.1914263478451297,0.01,0.01
128,Saltash,-4.21643,50.409209999999995,0.13811908980020218,0.01,0.01,0.01,0.49762931243111813,0.4650188569112371,0.2776316739411456,,0.01,0.40753006483958526,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.21705506271688205,0.18019003139560055,0.01,0.01,0.01,0.14691907659398087,0.01,0.01
129,Bideford,-4.206666,51.01668,0.1756166163355564,0.01,0.01,0.01,0.5582905033345443,0.5217048216406365,0.01,,0.01,0.3765243413172601,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.24351415237882093,0.2021552605738876,0.01,0.01,0.01,0.17661919321529426,0.01,0.01
130,Invergordon,-4.1728819999999995,57.688109999999995,0.15721427655875525,0.01,0.01,0.5101772995957655,0.01,0.01,0.01,,0.10042442247787065,0.11511522058676237,0.01,0.01,0.01,0.20541433728041522,0.22519749933063732,0.01,0.01,0.01,0.32637937176190845,0.09818750193655568,0.01,0.01,0.01,0.5101773744417953,0.11433632888063133,0.01,0.01
131,Llanelli,-4.160248,51.680890000000005,0.19307555658660974,0.01,0.01,0.01,0.01,0.01,0.19845984611006623,,0.01,0.6854475579643132,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.30356947432701986,0.01,0.01,0.01,0.01,0.26702665611872006,0.01,0.01
132,Plymouth,-4.1426565,50.37546,0.27755416803209443,0.01,0.01,0.01,1.0,0.9344683789615088,0.5579086018562771,,0.01,0.6744236899398509,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.43617820995407464,0.3620969000304669,0.01,0.01,0.01,0.329226859147373,0.01,0.01
133,Tavistock,-4.141654,50.551120000000004,0.15502390883724138,0.01,0.01,0.01,0.5585356902992554,0.5219339411060925,0.31161186606168817,,0.01,0.5381281425168281,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.2277327622373107,0.20224404201373733,0.01,0.01,0.01,0.16689185101116746,0.01,0.01
134,Porthmadog,-4.1333839999999995,52.92784,0.24909946529327276,0.01,0.01,0.01,0.01,0.01,0.01,,0.01,0.42953692844383995,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.1790422121789001,0.01,0.01,0.01,0.01,0.13730287555440213,0.01,0.01
135,Bangor,-4.129263,53.22739,0.3729982437303955,0.01,0.01,0.01,0.01,0.01,0.01,,0.01,0.5394889648636119,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.2548561720408566,0.01,0.01,0.01,0.01,0.19358666284152296,0.01,0.01
136,Tywyn,-4.087249,52.58701,0.10001100964833116,0.01,0.01,0.01,0.01,0.01,0.01,,0.01,0.3024759852708962,0.01,0.01,0.01,0.01,0.023408999246797606,0.01,0.01,0.01,0.01,0.170762050866392,0.02498443662432076,0.01,0.01,0.01,0.10535184080961117,0.01,0.01
137,Aberystwyth,-4.08292,52.4153,0.1732188715634071,0.01,0.01,0.01,0.01,0.01,0.19107737144328363,,0.01,0.6005542348991185,0.01,0.01,0.01,0.01,0.046477652167407464,0.01,0.01,0.01,0.01,0.37801163987885805,0.049605621444183394,0.01,0.01,0.01,0.21316858648245565,0.01,0.01
138,Lampeter,-4.0785089999999995,52.1129,0.15404001613422438,0.01,0.01,0.01,0.01,0.01,0.12440662153133698,,0.01,0.1718719747640725,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.20298206836768518,0.01,0.01,0.01,0.01,0.15348414876899807,0.01,0.01
139,Barnstaple,-4.058338,51.07816,0.2430587599724438,0.01,0.01,0.01,0.01,0.01,0.01,,0.01,0.4995709476036789,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.3146650484754429,0.01,0.01,0.01,0.01,0.22664054487836052,0.01,0.01
140,Tain,-4.05523,57.8115,0.12178343276744777,0.01,0.01,0.379392442588814,0.01,0.01,0.01,,0.029872177874306367,0.08560522930394293,0.01,0.01,0.01,0.15275600702996478,0.1674677203467099,0.01,0.01,0.01,0.24271144004538292,0.06927249966861346,0.01,0.01,0.01,0.3793924982479311,0.08548096036629747,0.01,0.01
141,Okehampton,-4.004263,50.73831,0.1377304858777554,0.01,0.01,0.01,0.4378493555432152,0.4091563775038096,0.24427992177478716,,0.01,0.35857368486346214,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.1785251057604898,0.15854389432253596,0.01,0.01,0.01,0.11962378425309615,0.01,0.01
142,Llandeilo,-3.9914300000000003,51.88469,0.19102013966391426,0.01,0.01,0.01,0.01,0.01,0.1542727066408806,,0.01,0.3729827305405473,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.25171162677027753,0.01,0.01,0.01,0.01,0.1748048993715076,0.01,0.01
143,Motherwell,-3.9810968,55.78321,0.44943177979479404,0.01,0.01,0.01,0.01,0.01,0.01,,0.4202931511769841,0.49142969611130166,0.2943000878894679,0.01,0.01,0.28186676937186617,0.628326352597527,0.01,0.01,0.01,0.626994698191431,0.17446008620652248,0.16490484642800668,0.01,0.01,0.01,0.08614005159785564,0.01,0.01
144,Golspie,-3.976086,57.97341,0.05656010133729937,0.01,0.01,0.16314993047399307,0.01,0.01,0.01,,0.0128459167769504,0.03681277126620421,0.01,0.01,0.01,0.0656895845272126,0.0720160547868789,0.01,0.01,0.01,0.10437307158372605,0.02656876124582653,0.01,0.01,0.01,0.16314995440905364,0.025499112625251757,0.01,0.01
145,Airdrie,-3.9625660000000003,55.86626999999999,0.42314141155432505,0.01,0.01,0.01,0.01,0.01,0.01,,0.3228415914018032,0.3151160007110969,0.2577529329637904,0.01,0.01,0.06171590437848727,0.5502987151715667,0.01,0.01,0.01,0.6079680449770849,0.1754873979689633,0.14442641907305825,0.01,0.01,0.045082565233618886,0.059408921112581156,0.01,0.01
146,Swansea,-3.9436459999999998,51.62144,0.3200888185688065,0.01,0.01,0.01,0.01,0.01,0.2895332309585656,,0.01,1.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.44287775308235144,0.01,0.01,0.01,0.01,0.36056273660726695,0.01,0.01
147,Stirling,-3.9369029,56.116519999999994,0.3584123770386195,0.01,0.01,0.01,0.01,0.01,0.01,,0.34584100204917745,0.5845638380772413,0.27611539216571296,0.01,0.01,0.066112578989437,0.5895022950882608,0.01,0.01,0.01,0.6512800193301861,0.23660711102189685,0.15471543575820051,0.01,0.01,0.24147137015448203,0.06480007415683323,0.01,0.01
148,Tregaron,-3.934385,52.22,0.14313167663661197,0.01,0.01,0.01,0.01,0.01,0.12213999752938552,,0.01,0.2573293523684431,0.01,0.01,0.01,0.01,0.029709328101071308,0.01,0.01,0.01,0.01,0.20426593152204298,0.03170878076703394,0.01,0.01,0.01,0.13808434165722644,0.01,0.01
149,Tregaron,-3.934385,52.22,0.14313167663661197,0.01,0.01,0.01,0.01,0.01,0.12213999752938552,,0.01,0.2573293523684431,0.01,0.01,0.01,0.01,0.029709328101071308,0.01,0.01,0.01,0.01,0.20426593152204298,0.03170878076703394,0.01,0.01,0.01,0.13808434165722644,0.01,0.01
150,Castle Douglas,-3.9314139999999997,54.940419999999996,0.1800507126887131,0.01,0.01,0.01,0.01,0.01,0.01,,0.200747785848476,0.12784144066148784,0.01,0.01,0.01,0.13687398528020783,0.2250841878287204,0.01,0.01,0.01,0.3914581788986115,0.11323626100106735,0.01,0.01,0.01,0.04999222337775717,0.06920425240419427,0.01,0.01
151,Dolgellau,-3.8844,52.74215,0.13165759292071935,0.01,0.01,0.01,0.01,0.01,0.01,,0.01,0.36948709261252355,0.01,0.01,0.01,0.01,0.02454860088042368,0.01,0.01,0.01,0.01,0.1584917780715656,0.026200734018845134,0.01,0.01,0.01,0.09220520621763639,0.01,0.01
152,Aberfeldy,-3.866969,56.62175,0.22202034063244883,0.01,0.01,0.01,0.01,0.01,0.01,,0.03835156600336453,0.19538624557438525,0.16381400248591313,0.01,0.01,0.07844667219591976,0.22933801815057464,0.01,0.01,0.01,0.2742136980828215,0.1490277140915661,0.09178972088123306,0.01,0.01,0.17191243561201525,0.07873646009625036,0.01,0.01
153,Machynlleth,-3.853485,52.59027,0.13885470584379847,0.01,0.01,0.01,0.01,0.01,0.01,,0.01,0.37241376649071717,0.01,0.01,0.01,0.01,0.02882157263318145,0.01,0.01,0.01,0.01,0.1619130046625965,0.030761278911378035,0.01,0.01,0.01,0.14839624082559216,0.01,0.01
154,Brora,-3.8525480000000005,58.012159999999994,0.1201060850979839,0.01,0.01,0.3340776278160814,0.01,0.01,0.01,,0.026304230663772698,0.07538049977845332,0.01,0.01,0.01,0.13451075650058805,0.14746529574346695,0.01,0.01,0.01,0.21372186957889946,0.06099855918127083,0.01,0.01,0.01,0.334077676827247,0.06111075324835588,0.01,0.01
155,Llandudno,-3.827609,53.324059999999996,0.32404362148585747,0.01,0.01,0.01,0.01,0.01,0.01,,0.01,0.28120983660988846,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.2583084594818219,0.01,0.01,0.01,0.01,0.16604423078510555,0.01,0.01
156,Llandudno,-3.827609,53.324059999999996,0.32404362148585747,0.01,0.01,0.01,0.01,0.01,0.01,,0.01,0.28120983660988846,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.2583084594818219,0.01,0.01,0.01,0.01,0.16604423078510555,0.01,0.01
157,Aviemore,-3.823812,57.19449,0.17497773820147647,0.01,0.01,0.4619565940091715,0.01,0.01,0.01,,0.03637302169829139,0.10423481260928406,0.01,0.01,0.01,0.260398713391332,0.20391238467997755,0.01,0.01,0.01,0.15367601503888484,0.0843477212857841,0.01,0.01,0.01,0.35326097851023214,0.10762343298863229,0.01,0.01
158,Dalbeattie,-3.8225269999999996,54.934219999999996,0.14308024615679815,0.01,0.01,0.01,0.01,0.01,0.01,,0.1595275141414795,0.10159129350689894,0.01,0.01,0.01,0.10876915294532889,0.17886683434691647,0.01,0.01,0.01,0.31107864978985095,0.0899850484119956,0.01,0.01,0.01,0.03972713864888539,0.05165424730163126,0.01,0.01
159,Falkirk,-3.7839131,56.00188000000001,0.45408964673628344,0.01,0.01,0.01,0.01,0.01,0.01,,0.3075993275525585,0.28867602080763793,0.27660478289003854,0.01,0.01,0.06622975783508156,0.242027516337753,0.01,0.01,0.01,0.6524343570072669,0.2272856722199422,0.15498965552760988,0.01,0.01,0.24189935733700352,0.05892818524044685,0.01,0.01
160,Kingsbridge,-3.777493,50.28395,0.16190186500306655,0.01,0.01,0.01,0.514690896507513,0.4809623677256214,0.28715047845866043,,0.01,0.34711973360104686,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.20985584555438752,0.18636797809927236,0.01,0.01,0.01,0.15251401068603052,0.01,0.01
161,Pitlochry,-3.729711,56.70436,0.16037296887434999,0.01,0.01,0.01,0.01,0.01,0.01,,0.030259831015618088,0.2119727752119835,0.12925115059919337,0.01,0.01,0.06189533546012118,0.11309397699883926,0.01,0.01,0.01,0.2163577926464451,0.12896375562940426,0.07242315584204366,0.01,0.01,0.13564090837332513,0.05869195246082169,0.01,0.01
162,Colwyn Bay,-3.72764,53.29318000000001,0.32540941278809693,0.01,0.01,0.01,0.01,0.01,0.01,,0.01,0.2629195851094424,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.17250553675110722,0.01,0.01,0.01,0.01,0.17549312454546045,0.01,0.01
