,placename,preposition_drop_determiner,preposition_drop_no_determiner,preposition_retained,preposition_drop_reduced_determiner,longitude,latitude
80,Redruth,0.01,0.01,1,0.01,-5.226666,50.23302
81,Ullapool,0.01,0.198214281948214,0.964825433375716,0.01,-5.161313,57.89542
82,Ballachulish,0.01,0.01,1,0.01,-5.13372,56.67393
83,Fort William,0.01,0.01,1,0.01,-5.1052179,56.81982
84,Achnasheen,0.01,0.247767859372768,0.956031853275199,0.01,-5.0787658,57.57859
85,Newquay,0.01,0.01,1,0.01,-5.073719,50.4155
86,Falmouth,0.01,0.01,1,0.01,-5.06627,50.15257
87,Rothesay,0.01,0.01,1,0.01,-5.055793,55.83596
88,Truro,0.01,0.01,1,0.01,-5.051041,50.2632
89,Milford Haven,0.01,0.01,1,0.01,-5.0426971,51.71431
90,Stranraer,0.01,0.01,1,0.01,-5.024055,54.90337
91,Fishguard,0.01,0.01,1,0.01,-4.975989,51.99393
92,Inchnadamph,0.01,0.191379304316379,0.966038323994946,0.01,-4.974295,58.15221
93,Haverfordwest,0.01,0.01,1,0.01,-4.971319,51.80047
94,Dunoon,0.01,0.01,1,0.01,-4.926214,55.95097
95,Pembroke,0.01,0.01,1,0.01,-4.908637,51.67404
96,Girvan,0.01,0.01,1,0.01,-4.8542179,55.24016
97,Wadebridge,0.01,0.01,1,0.01,-4.836456,50.51665
98,Invergarry,0.01,0.239224133864224,0.957547843438129,0.01,-4.800261,57.07095
99,St Austell,0.01,0.01,1,0.01,-4.7834252,50.34038
100,Greenock,0.01,0.01,1,0.01,-4.771983,55.95648
101,Helensburgh,0.01,0.01,1,0.01,-4.734014,56.00232
102,Bodmin,0.01,0.01,1,0.01,-4.7188629,50.4715
103,Tenby,0.01,0.01,1,0.01,-4.703579,51.67274
104,Camelford,0.01,0.01,1,0.01,-4.682364,50.62206
105,Irvine,0.01,0.01,1,0.01,-4.6696364,55.61157
106,Cardigan,0.01,0.01,1,0.01,-4.660864,52.0837
107,Holyhead,0.347822447338229,0.30924963555925,0.61584952080233,0.01,-4.633038,53.30944
108,Ayr,0.01,0.01,1,0.01,-4.629179,55.45856
109,Dumbarton,0.01,0.01,1,0.01,-4.564554,55.94529
110,Bude,0.01,0.01,1,0.01,-4.543678,50.82664
111,Isle of Man,0.046863765162844,0.01,0.955635681735138,0.01,-4.5126331,54.27697
112,Kilmarnock,0.01,0.01,1,0.01,-4.498792,55.61472
113,Newton Stewart,0.01,0.01,1,0.01,-4.483164,54.9603
114,Liskeard,0.01,0.01,1,0.01,-4.464719,50.45552
115,Altnaharra,0.01,0.179032260929032,0.968229455464804,0.01,-4.442655,58.28023
116,Pwllheli,0.734213399354042,0.307195566682196,0.250430642649824,0.01,-4.4176339,52.88882
117,Lairg,0.01,0.191379304316379,0.966038323994946,0.01,-4.402414,58.02206
118,Launceston,0.01,0.01,1,0.01,-4.3604516,50.63683
119,Carmarthen,0.01,0.01,1,0.01,-4.312131,51.85762
120,Llangefni,0.844708618810011,0.305504592680505,0.146128451173643,0.01,-4.311402,53.25579
121,Caernarfon,0.784723522294341,0.315939272565939,0.201062596580663,0.01,-4.273911,53.13955
122,Cumnock,0.01,0.01,1,0.01,-4.2658289,55.45355
123,Aberaeron,0.01,0.01,1,0.01,-4.2581619,52.24279
124,Alness,0.01,0.179032260929032,0.968229455464804,0.01,-4.256825,57.69595
125,Glasgow,0.01,0.01,1,0.01,-4.251806,55.86424
126,Dalwhinnie,0.01,0.196808508571808,0.965074856477072,0.01,-4.242783,56.9366
127,Inverness,0.01,0.191379304316379,0.966038323994946,0.01,-4.224721,57.47777
128,Saltash,0.01,0.01,1,0.01,-4.21643,50.40921
129,Bideford,0.01,0.01,1,0.01,-4.206666,51.01668
130,Invergordon,0.01,0.179032260929032,0.968229455464804,0.01,-4.172882,57.68811
131,Llanelli,0.01,0.01,1,0.01,-4.160248,51.68089
132,Plymouth,0.01,0.01,1,0.01,-4.1426565,50.37546
133,Tavistock,0.01,0.01,1,0.01,-4.141654,50.55112
134,Porthmadog,0.755111314543842,0.315939272565939,0.22909548792871,0.01,-4.133384,52.92784
135,Bangor,0.854111684225701,0.308905382933905,0.136623288878733,0.01,-4.129263,53.22739
136,Tywyn,0.103007482896212,0.549504945549505,0.804972556072184,0.01,-4.087249,52.58701
137,Aberystwyth,0.01,0.01,1,0.01,-4.08292,52.4153
138,Lampeter,0.01,0.01,1,0.01,-4.078509,52.1129
139,Barnstaple,0.01,0.01,1,0.01,-4.058338,51.07816
140,Tain,0.01,0.183774833058775,0.967387867942163,0.01,-4.05523,57.8115
141,Okehampton,0.01,0.01,1,0.01,-4.004263,50.73831
142,Llandeilo,0.01,0.01,1,0.01,-3.99143,51.88469
143,Motherwell,0.01,0.01,1,0.01,-3.9810968,55.78321
144,Golspie,0.01,0.183774833058775,0.967387867942163,0.01,-3.976086,57.97341
145,Airdrie,0.01,0.01,1,0.01,-3.962566,55.86627
146,Swansea,0.01,0.01,1,0.01,-3.943646,51.62144
147,Stirling,0.01,0.01,1,0.01,-3.9369029,56.11652
148,Tregaron,0.01,0.01,1,0.01,-3.934385,52.22
149,Tregaron,0.01,0.01,1,0.01,-3.934385,52.22
150,Castle Douglas,0.01,0.01,1,0.01,-3.931414,54.94042
151,Dolgellau,0.679108397809267,0.295737119920737,0.304630060974469,0.01,-3.8844,52.74215
152,Aberfeldy,0.01,0.208646616958647,0.962974088559236,0.01,-3.866969,56.62175
153,Machynlleth,0.143170953575024,0.509174316509174,0.774108109279327,0.01,-3.853485,52.59027
154,Brora,0.01,0.183774833058775,0.967387867942163,0.01,-3.852548,58.01216
155,Llandudno,0.912017561519112,0.308905382933905,0.081805852800482,0.01,-3.827609,53.32406
156,Llandudno,0.912017561519112,0.308905382933905,0.081805852800482,0.01,-3.827609,53.32406
157,Aviemore,0.01,0.17236024517236,0.969413291862947,0.01,-3.823812,57.19449
158,Dalbeattie,0.01,0.01,1,0.01,-3.822527,54.93422
159,Falkirk,0.01,0.01,1,0.01,-3.7839131,56.00188
160,Kingsbridge,0.01,0.01,1,0.01,-3.777493,50.28395
161,Pitlochry,0.01,0.210227270835227,0.962693641459093,0.01,-3.729711,56.70436
162,Colwyn Bay,0.912017561519112,0.308905382933905,0.081805852800482,0.01,-3.72764,53.29318
163,Totnes,0.01,0.01,1,0.01,-3.685797,50.43374
