,placename,preposition_drop_determiner,preposition_drop_no_determiner,preposition_retained,preposition_drop_reduced_determiner,longitude,latitude
343,Southampton,0.01,0.01,1,0.01,-1.4043509,50.9097
344,Wetherby,0.027669563833511,0.147606384897606,0.947612284715608,0.01,-1.384816,53.92706
345,Sunderland,0.060486952891643,0.161337209786337,0.914108582025976,0.01,-1.383801,54.90687
346,Rotherham,0.01,0.01,1,0.01,-1.3635009,53.4326
347,Castleford,0.026540194518087,0.141581637891582,0.949750478409759,0.01,-1.345968,53.72347
348,Thirsk,0.083008691500533,0.147606384897606,0.895224569431217,0.01,-1.341377,54.23385
349,Banbury,0.055867425188555,0.01,0.947112207401834,0.01,-1.339775,52.0629
350,Stockton,0.081919337631149,0.218503930343504,0.88367453166073,0.01,-1.3289821,54.57046
351,Newbury,0.044334188156201,0.118252837243253,0.937045412240002,0.01,-1.3231139,51.40141
352,Isle of Wight,0.01,0.01,1,0.01,-1.304734,50.69385
353,Isle of Wight,0.01,0.01,1,0.01,-1.304734,50.69385
354,Abingdon,0.045630509143115,0.121710528871711,0.935204654978662,0.01,-1.2879529,51.67078
355,Shetland Islands,0.01,0.183774833058775,0.967387867942163,0.01,-1.2659409,60.52965
356,Rugby,0.060643654262655,0.431347152056347,0.866045021239128,0.01,-1.265032,52.37088
357,Oxford,0.041284745872163,0.110119048610119,0.941375722292861,0.01,-1.2577263,51.75202
358,Middlesbrough,0.081919337631149,0.218503930343504,0.88367453166073,0.01,-1.234956,54.57423
359,Hartlepool,0.08323004701244,0.222000000222,0.881813337955745,0.01,-1.212926,54.69174
360,Loughborough,0.042872619112822,0.304945055554945,0.905299243703852,0.01,-1.206166,52.7721
361,Mansfield,0.026450228039145,0.01,0.974960432090437,0.01,-1.198674,53.1472
362,Nottingham,0.029087853252443,0.310344830935345,0.917390477897617,0.01,-1.1581086,52.95478
363,Bicester,0.043348983685959,0.01,0.958962882493896,0.01,-1.1535899,51.8996
364,Leicester,0.040745779298978,0.289817226289817,0.909997163520111,0.01,-1.1397592,52.63688
365,Doncaster,0.024949054498083,0.133093523383094,0.952763007180825,0.01,-1.128462,53.52282
366,Worksop,0.01,0.01,1,0.01,-1.122745,53.3093
367,Basingstoke,0.01,0.249251499249251,0.955768395507725,0.01,-1.0923964,51.26654
368,Portsmouth,0.01,0.01,1,0.01,-1.0879769,50.81977
369,York,0.030599282295861,0.163235295913235,0.942065390710331,0.01,-1.0872979,53.95997
370,Selby,0.027817528650526,0.148395719773396,0.947332083837678,0.01,-1.067189,53.78352
371,Helmsley,0.097231364450451,0.01,0.907954257822233,0.01,-1.0562636,54.24651
372,Towcester,0.01,0.01,1,0.01,-0.989688,52.13511
373,Reading,0.01,0.253810976878811,0.954959309317147,0.01,-0.9781303,51.45426
374,Retford,0.01,0.01,1,0.01,-0.945503,53.32136
375,Petersfield,0.01,0.01,1,0.01,-0.93899,51.00759
376,Northampton,0.01,0.423664120548664,0.924817524718248,0.01,-0.902656,52.24048
377,Melton Mowbray,0.028042468256333,0.299191370549191,0.920359425337053,0.01,-0.887126,52.7664
378,Aylesbury,0.048767605671352,0.01,0.953833335138963,0.01,-0.8084,51.81561
379,Newark-on-Trent,0.02669911709098,0.01,0.974724797432986,0.01,-0.80657,53.07004
380,Malton,0.01,0.215116279715116,0.961825954381918,0.01,-0.797897,54.13684
381,Chichester,0.01,0.01,1,0.01,-0.774936,50.83761
382,Gainsborough,0.01,0.154596096529596,0.972565674850765,0.01,-0.774465,53.40058
383,Milton Keynes,0.01,0.01,1,0.01,-0.7594171,52.04062
384,Aldershot,0.01,0.402822580152823,0.928516028573595,0.01,-0.7557509,51.24837
385,High Wycombe,0.01,0.308333330558333,0.945284007473337,0.01,-0.748229,51.62861
386,Midhurst,0.01,0.111595168236595,0.980196593663422,0.01,-0.737274,50.9869
387,Kettering,0.01,0.418341712168342,0.925762033125752,0.01,-0.730249,52.39632
388,Wellingborough,0.01,0.01,1,0.01,-0.693964,52.30242
389,Corby,0.01,0.459944748084945,0.918379306303387,0.01,-0.6842333,52.4923
390,Bognor Regis,0.01,0.01,1,0.01,-0.673061,50.783
391,Scunthorpe,0.01,0.208646616958647,0.962974088559236,0.01,-0.654413,53.58865
392,Grantham,0.028092949880785,0.29972997029973,0.920216124009325,0.01,-0.643582,52.91252
393,Whitby,0.080028891958332,0.213461533338462,0.886359092444622,0.01,-0.613347,54.48633
394,Slough,0.01,0.445982141320982,0.920857040428702,0.01,-0.5950406,51.51054
395,Guildford,0.01,0.279362413779362,0.950425127272262,0.01,-0.570409,51.23622
396,Woking,0.01,0.28412969728413,0.949579107749795,0.01,-0.5600349,51.31677
397,Lincoln,0.01,0.01,1,0.01,-0.540579,53.23069
398,Bedford,0.01,0.206064354581064,0.96343230809687,0.01,-0.4667782,52.13864
399,Heathrow,0.01,0.334337356084337,0.940669310764934,0.01,-0.4542955,51.47002
400,Driffield,0.01,0.218503930343504,0.961224925960981,0.01,-0.443377,54.006
401,Beverley,0.01,0.233193281858193,0.958618171396267,0.01,-0.435093,53.84196
402,Luton,0.01,0.01,1,0.01,-0.4200255,51.87867
403,Scarborough,0.078816331609981,0.210227270835227,0.88808092437728,0.01,-0.399752,54.28311
404,Worthing,0.01,0.01,1,0.01,-0.372882,50.81787
405,Dorking,0.01,0.269417479769417,0.95218980186991,0.01,-0.332378,51.2322
406,Hull,0.01,0.205555558330556,0.963522671648891,0.01,-0.3274198,53.76762
407,Horsham,0.01,0.116596633991597,0.979308962587027,0.01,-0.325858,51.06288
408,Biggleswade,0.01,0.21401028958901,0.962022193485354,0.01,-0.26422,52.08694
409,Peterborough,0.01,0.231894151731894,0.958848635387254,0.01,-0.2405299,52.5695
410,Welwyn Garden City,0.01,0.01,1,0.01,-0.208661,51.80317
411,Bridlington,0.01,0.245575220870575,0.956420884371094,0.01,-0.198802,54.08535
412,Stevenage,0.01,0.01,1,0.01,-0.196612,51.90376
413,Crawley,0.01,0.01,1,0.01,-0.1872275,51.10914
414,Huntingdon,0.01,0.244134898744135,0.956676463027765,0.01,-0.182552,52.33146
415,Hove,0.01,0.01,1,0.01,-0.168749,50.82793
416,Spalding,0.01,0.01,1,0.01,-0.1537024,52.7901
417,Brighton,0.01,0.01,1,0.01,-0.137163,50.82253
418,London,0.01,0.144631682019632,0.974334042781602,0.01,-0.1277583,51.50735
419,Grimsby,0.01,0.205555558330556,0.963522671648891,0.01,-0.080784,53.56747
420,Boston,0.01,0.01,1,0.01,-0.026577,52.97894
421,Royston,0.01,0.229972380979972,0.959189653151694,0.01,-0.024066,52.04814
422,Louth_Lincs,0.01,0.218503930343504,0.961224925960981,0.01,-0.007711,53.36596
423,Lewes,0.01,0.01,1,0.01,0.00878,50.87387
424,Chatteris,0.01,0.237857141112857,0.957790372317532,0.01,0.054012,52.4561
425,Uckfield,0.01,0.01,1,0.01,0.095913,50.96641
426,Cambridge,0.01,0.237857141112857,0.957790372317532,0.01,0.121817,52.20534
427,Bishop's Stortford,0.01,0.01,1,0.01,0.1536502,51.87216
428,Wisbech,0.01,0.222593586597594,0.960499062878259,0.01,0.158797,52.66632
429,Sevenoaks,0.01,0.01,1,0.01,0.190898,51.27241
430,Tunbridge Wells,0.01,0.01,1,0.01,0.263695,51.13238
431,Eastbourne,0.01,0.01,1,0.01,0.290472,50.76803
432,Brentwood,0.105088442146641,0.01,0.900516377224248,0.01,0.3071749,51.62047
433,Skegness,0.01,0.194509351694509,0.965482846683338,0.01,0.337881,53.1464
434,Downham Market,0.01,0.229972380979972,0.959189653151694,0.01,0.385472,52.60661
435,King's Lynn,0.035467350524961,0.189204550689205,0.932848554626368,0.01,0.4022963,52.75168
436,Bexhill,0.01,0.01,1,0.01,0.4662071,50.84991
437,Chelmsford,0.096034669829811,0.01,0.90908712622237,0.01,0.4685497,51.73559
438,Mildenhall,0.01,0.247767859372768,0.956031853275199,0.01,0.5156095,52.34757
439,Medway,0.037513543024189,0.01,0.964487124055615,0.01,0.5417861,51.40474
440,Braintree,0.043109486624742,0.01,0.959189653151694,0.01,0.5509269,51.88009
441,Gillingham,0.038062520611466,0.01,0.963967595187045,0.01,0.551438,51.38632
442,Hastings,0.01,0.01,1,0.01,0.573453,50.85426
443,Maldon,0.047870042440614,0.01,0.954683047994618,0.01,0.671448,51.73181
444,Southend,0.037513543024189,0.01,0.964487124055615,0.01,0.7077123,51.54593
445,Bury St Edmunds,0.01,0.23125000485625,0.958962882493896,0.01,0.7104932,52.24292
446,Thetford,0.035629300590813,0.190068491440068,0.932541761749478,0.01,0.751657,52.41286
447,Ashford,0.040429101974791,0.01,0.961727219274669,0.01,0.875019,51.14647
448,Faversham,0.039810289176192,0.01,0.962312981918426,0.01,0.889358,51.31599
449,Colchester,0.041726294276259,0.01,0.960499062878259,0.01,0.891874,51.89593
450,New Romney,0.01,0.01,1,0.01,0.939473,50.98512
451,Canterbury,0.040745779298978,0.01,0.961427320619731,0.01,1.0789089,51.28023
452,Ipswich,0.040324635261095,0.01,0.961825954381918,0.01,1.14822,52.05674
453,Clacton,0.041067458228803,0.01,0.961122743742755,0.01,1.153035,51.78953
454,Folkestone,0.040429101974791,0.01,0.961727219274669,0.01,1.169456,51.0814
455,Sheringham,0.044083712531595,0.01,0.958267304743323,0.01,1.2109589,52.94442
456,Harwich,0.041726294276259,0.01,0.960499062878259,0.01,1.260297,51.93473
457,Norwich,0.042638344737055,0.01,0.95963580780091,0.01,1.297355,52.63089
458,Cromer,0.043348983685959,0.01,0.958962882493896,0.01,1.301866,52.93145
459,Dover,0.039810289176192,0.01,0.962312981918426,0.01,1.3134027,51.12788
460,Felixstowe,0.040429101974791,0.01,0.961727219274669,0.01,1.351255,51.96173
461,Margate,0.038062520611466,0.01,0.963967595187045,0.01,1.3868339,51.38965
462,Ramsgate,0.038062520611466,0.01,0.963967595187045,0.01,1.419895,51.33555
463,Great Yarmouth,0.041284745872163,0.01,0.960917148195241,0.01,1.728047,52.59823
464,Lowestoft,0.041284745872163,0.01,0.960917148195241,0.01,1.753449,52.48114
465,Swaffham,0.038819984264631,0.20708955058209,0.926500945985741,0.01,0.687481,52.64747
466,Dereham,0.043348983685959,0.01,0.958962882493896,0.01,0.937827,52.68162
467,Ely,0.01,0.237857141112857,0.957790372317532,0.01,0.262363,52.39954
468,March,0.01,0.233848320608848,0.958501954511923,0.01,0.088622,52.55172
469,St Neots,0.01,0.209697731459698,0.962787452122091,0.01,-0.265103,52.23008
470,Banham,0.041284745872163,0.01,0.960917148195241,0.01,1.0402849,52.45125
471,Holt,0.047289798965988,0.01,0.955232369750911,0.01,1.086747,52.90936
472,Cromer,0.043348983685959,0.01,0.958962882493896,0.01,1.301866,52.93145
473,Hunstanton,0.038062520611466,0.01,0.963967595187045,0.01,0.491032,52.93891
474,Horncastle,0.01,0.203048775953049,0.963967595187045,0.01,-0.11245,53.20731
475,Market Weighton,0.01,0.233193281858193,0.958618171396267,0.01,-0.6677465,53.86484
476,Hawes,0.055339127667022,0.01,0.947612284715608,0.01,-2.1968695,54.30383
477,Reeth,0.092890678212367,0.247767859372768,0.868095313603383,0.01,-1.9428115,54.38946
478,Aysgarth,0.01,0.01,1,0.01,-1.9967434,54.29159
479,Stanhope,0.01,0.158571422783571,0.971860248211688,0.01,-2.011302,54.74946
480,Keswick,0.041950627863286,0.01,0.960286819331004,0.01,-3.134706,54.60128
481,Oxenholme,0.042291691591248,0.01,0.959963775788084,0.01,-2.7243328,54.30134
