index,placename,longitude,latitude,'ee,du,tha,thee,thou,ye,you
54,Rosslare,-6.3414908,52.25131,0.01,0.01,0.01,0.01,0.01,0.11207186113588473,0.01
55,Newry,-6.34023,54.1751,0.01,0.01,0.01,0.01,0.01,0.21492266643634478,0.2071867567095171
56,Ballymena,-6.2802213,54.86529,0.01,0.01,0.01,0.01,0.01,0.01,0.2500794364601589
57,Banbridge,-6.2704803,54.34873,0.01,0.01,0.01,0.01,0.01,0.18305229977407744,0.16872832817420486
58,Dublin,-6.2603097000000005,53.34981,0.01,0.01,0.01,0.01,0.01,1.0,0.43052228741728543
59,Antrim,-6.2072498,54.719530000000006,0.01,0.01,0.01,0.01,0.01,0.22527057176344126,0.21967372247710842
60,Antrim,-6.2072498,54.719530000000006,0.01,0.01,0.01,0.01,0.01,0.22527057176344126,0.21967372247710842
61,Wicklow,-6.044589,52.980819999999994,0.01,0.01,0.01,0.01,0.01,0.48417669783728,0.18154170688206325
62,Kilkeel,-6.007004,54.06312,0.01,0.01,0.01,0.01,0.01,0.13358716907627782,0.10903804553357628
63,Belfast,-5.93012,54.597280000000005,0.01,0.01,0.01,0.01,0.01,0.4103614192899909,0.44302550275542696
64,Down,-5.7156921999999994,54.32875,0.01,0.01,0.01,0.01,0.01,0.22782921475984022,0.22276127367685314
65,Balivanich,-7.3743509000000005,57.472269999999995,0.01,0.01,0.01,0.01,0.01,0.11034579921142798,0.014414423612520143
66,Western Isles,-7.0194034,57.759890000000006,0.01,0.01,0.01,0.01,0.01,0.22719362935542126,0.08491540160666484
67,Dunvegan,-6.581398200000001,57.4366,0.01,0.01,0.01,0.01,0.01,0.08405389669245251,0.01
68,Stornoway,-6.384869200000001,58.209430000000005,0.01,0.01,0.01,0.01,0.01,0.29998607465575,0.1288352465702752
69,Scilly Isles,-6.327496599999999,49.92773,0.3991551584959102,0.01,0.01,0.01,0.13677730300159385,0.01946490410497522,0.12165201892291164
70,Portree,-6.1960231,57.41246999999999,0.01,0.01,0.01,0.01,0.01,0.2571489827836967,0.13401972320597672
71,Islay,-6.177067,55.73625,0.1625602914344552,0.01,0.026096084696087794,0.01,0.01,0.25763715545577587,0.07458577992062332
72,Mull,-6.0008870000000005,56.4392,0.01,0.01,0.02631680184173302,0.01,0.01,0.2398303560717299,0.08530469000190183
73,Broadford,-5.9096592,57.24139,0.01,0.01,0.01,0.01,0.01,0.09606159766086968,0.01
74,Kyle of Lochalsh,-5.7143293,57.28261,0.01,0.01,0.01,0.01,0.01,0.09606159766086968,0.01
75,Campbeltown,-5.605373999999999,55.424119999999995,0.17328456218801805,0.01,0.01854510842431183,0.01,0.09896482570271811,0.2429452325427981,0.08804608729521733
76,Penzance,-5.537592,50.1188,0.6528637831085239,0.01,0.01,0.01,0.22371487773698998,0.03183707052591922,0.23213160851179468
77,Oban,-5.471047,56.41516,0.01,0.01,0.035076059340388877,0.01,0.01,0.3196552473127039,0.1310594646601551
78,Lochgilphead,-5.4323449,56.03829,0.01,0.01,0.022569465095659415,0.01,0.01,0.2313901257734894,0.05952520580216416
79,Helston,-5.274996,50.10159,0.4932773542425867,0.01,0.01,0.01,0.1690298739951124,0.024054797221382318,0.16263833372862577
80,Redruth,-5.226666000000001,50.23302,0.5512435693190322,0.01,0.01,0.01,0.18889298335149013,0.02688153462856766,0.18788021764741245
81,Ullapool,-5.161313,57.895419999999994,0.01,0.01,0.024997179925069415,0.01,0.01,0.19932882402667687,0.08528389861589077
82,Ballachulish,-5.133719999999999,56.673930000000006,0.01,0.01,0.01054092597638179,0.01,0.01,0.09606159766086968,0.01
83,Fort William,-5.1052179,56.81981999999999,0.01,0.01,0.03389927827292856,0.01,0.01,0.27031462323953176,0.13423223313759755
84,Achnasheen,-5.078765799999999,57.578590000000005,0.01,0.01,0.01054092597638179,0.01,0.01,0.08405389669245251,0.01
85,Newquay,-5.0737190000000005,50.4155,0.6352752066767409,0.01,0.01,0.01,0.21768785291525938,0.030979359066351075,0.22447251253662592
86,Falmouth,-5.066269999999999,50.152570000000004,0.6848687906059882,0.01,0.01,0.01,0.23468193782596491,0.03339780295930336,0.2460684626432139
87,Rothesay,-5.055793,55.83596,0.01,0.01,0.03311486956870004,0.01,0.01,0.3017825269078071,0.12081501231023117
88,Truro,-5.051041000000001,50.2632,0.9469288412479567,0.01,0.01,0.01,0.3244812707127948,0.04617722882144748,0.3601847520944444
89,Milford Haven,-5.0426971,51.71431,0.4688227535642853,0.01,0.01,0.01,0.16065008920324614,0.02286226232111377,0.15198936879641653
90,Stranraer,-5.024055000000001,54.903369999999995,0.193806118256576,0.01,0.020741348398153638,0.01,0.4427397916813831,0.23627521115908262,0.09609717255169188
91,Fishguard,-4.975989,51.99393,0.15037858340709218,0.01,0.01,0.01,0.12882446891464228,0.018333128953190815,0.11818247861230623
92,Inchnadamph,-4.974295,58.15221,0.01,0.01,0.01054092597638179,0.01,0.01,0.08405389669245251,0.01
