index,placename,longitude,latitude,aint,am_not,amnt,arent,ent,int,m_not
39,Tyrone,-7.131232000000001,54.491209999999995,0.07673569323823981,0.10566394035308295,0.07696206237909123,0.01,0.01,0.01,0.1380517430714096
40,Waterford,-7.110070200000001,52.25932,0.15338914782533378,0.24444679692477664,0.11857552339418538,0.019099675103635836,0.019793323808023185,0.01,0.32082764886969073
41,Western Isles,-7.0194034,57.759890000000006,0.09259406170772722,0.11117446262746834,0.010253363675786846,0.01,0.01,0.01,0.11305757601245375
42,Monaghan,-6.9683132,54.2492,0.11343337310499216,0.16940336935505218,0.09833301211982604,0.01,0.01,0.01,0.20655837453191578
43,Carlow,-6.934135899999999,52.83651,0.129229071847786,0.2010193611624849,0.17912905265158072,0.01129045997781512,0.015600665391414942,0.01,0.2531289253865554
44,Kildare,-6.8194707999999995,53.21204,0.19256468022405512,0.266488870852359,0.2950740845633406,0.01733775510330623,0.01,0.01,0.3207712334943754
45,Dungannon,-6.7669352,54.508269999999996,0.08952299837339646,0.12200396611698412,0.05876466723010918,0.01,0.01,0.01,0.14101946918961786
46,Cookstown,-6.7443895000000005,54.641819999999996,0.11132370896571643,0.16077406582213116,0.01,0.01,0.01,0.01,0.1831588755635903
47,Coleraine,-6.6646103000000005,55.132580000000004,0.22230785361862596,0.21823926583000905,0.01,0.01,0.01,0.01,0.27623768596858933
48,Meath,-6.656416900000001,53.60555,0.20315003654273328,0.26132457393698244,0.21715339615864923,0.013991283137328057,0.01,0.01,0.27016188201314856
49,Armagh,-6.652792,54.350280000000005,0.11317083366172394,0.16984166457985536,0.06510175227275221,0.010486332098686121,0.01,0.01,0.20473313155178333
50,Armagh,-6.652792,54.350280000000005,0.11317083366172394,0.16984166457985536,0.06510175227275221,0.010486332098686121,0.01,0.01,0.20473313155178333
51,Magherafelt,-6.607980499999999,54.75536999999999,0.15476825885837106,0.16449829354039378,0.01,0.01,0.01,0.01,0.19781195510792943
52,Dunvegan,-6.581398200000001,57.4366,0.020449596458401526,0.01,0.01,0.01,0.01,0.01,0.01
53,Louth,-6.4889423,53.925230000000006,0.17916967497150826,0.2333675961411378,0.19149118101063067,0.01,0.01,0.01,0.27961183130440576
54,Wexford,-6.4633381,52.33692,0.12694565162911214,0.22955200093757855,0.16679277557009797,0.01791087939452478,0.018561354243915546,0.01,0.3029492445429473
55,Craigavon,-6.4175653,54.442930000000004,0.15194749319959341,0.21925092301854485,0.01,0.01,0.01,0.01,0.23532660578172243
56,Stornoway,-6.384869200000001,58.209430000000005,0.12855743293357516,0.16487516383239714,0.013484238141395703,0.013031925797780983,0.01,0.01,0.17562153371253011
57,Drogheda,-6.3560985,53.717859999999995,0.14973625772490143,0.18793871408602447,0.1810085923842392,0.01,0.01,0.01,0.19579031739702488
58,Rosslare,-6.3414908,52.25131,0.01,0.01,0.036740876747255714,0.01,0.01,0.01,0.01
59,Newry,-6.34023,54.1751,0.13864228812975032,0.19527135317426675,0.039454552043730516,0.01271036539874086,0.01,0.01,0.23954438410315373
60,Scilly Isles,-6.327496599999999,49.92773,0.06611261201387483,0.10584735704146159,0.01,0.019293962284234523,0.01,0.01,0.12234698841319128
61,Ballymena,-6.2802213,54.86529,0.15022093832821992,0.17057827860703437,0.01,0.017799457024380787,0.01,0.01,0.23158650079979062
62,Banbridge,-6.2704803,54.34873,0.1159916565980903,0.1690686478435319,0.01,0.013648332265166131,0.01,0.01,0.19008866016884246
63,Dublin,-6.2603097000000005,53.34981,0.3309733794956836,0.5655138164167899,1.0,0.01,0.01785100427435762,0.01,0.6597034323421598
64,Antrim,-6.2072498,54.719530000000006,0.12546332204492164,0.19319185694718746,0.036706397353111896,0.019954758133500592,0.01,0.2038791076822932,0.25873204427946217
65,Antrim,-6.2072498,54.719530000000006,0.12546332204492164,0.19319185694718746,0.036706397353111896,0.019954758133500592,0.01,0.2038791076822932,0.25873204427946217
66,Portree,-6.1960231,57.41246999999999,0.12999762473271004,0.1458005758132273,0.01,0.020027352612460476,0.01,0.01,0.17211842234800612
67,Islay,-6.177067,55.73625,0.07995117000108613,0.10320225321403718,0.01,0.010698435283200641,0.01,0.01,0.12608100511387763
68,Wicklow,-6.044589,52.980819999999994,0.1293612913261221,0.2570368977291895,0.3988567077605662,0.011227501312426093,0.01,0.01,0.276976319146452
69,Kilkeel,-6.007004,54.06312,0.08391580277700916,0.09233750787523069,0.022853087813925133,0.01,0.01,0.01,0.11845634623402647
70,Mull,-6.0008870000000005,56.4392,0.09833095861336996,0.1100302524384973,0.060542008224350304,0.01,0.01,0.01,0.12546456671366035
71,Belfast,-5.93012,54.597280000000005,0.2603538575085904,0.4106085967112203,0.059199416376970314,0.032182674555610837,0.01,0.3288125480356133,0.535983842283585
72,Broadford,-5.9096592,57.24139,0.017741023605779557,0.01,0.01,0.01,0.01,0.01,0.01
73,Down,-5.7156921999999994,54.32875,0.20573656241501967,0.24489723710237735,0.01,0.01,0.01,0.01,0.24923129843477776
74,Kyle of Lochalsh,-5.7143293,57.28261,0.014725264085770646,0.01,0.01,0.01,0.01,0.01,0.01
75,Campbeltown,-5.605373999999999,55.424119999999995,0.07227505205101273,0.10914023093783086,0.031006173676703636,0.01,0.01,0.01,0.14173463923849053
76,Penzance,-5.537592,50.1188,0.13314766708690173,0.2111323785419066,0.01,0.031918564383790926,0.01,0.01,0.2511226131401342
77,Oban,-5.471047,56.41516,0.15149716105098143,0.16451235207207246,0.0871882469733071,0.01,0.01,0.01,0.19360603723846181
78,Lochgilphead,-5.4323449,56.03829,0.06934541431467607,0.08369254127555532,0.03636865808389472,0.01,0.01,0.01,0.09723748100988985
79,Helston,-5.274996,50.10159,0.09288403405525059,0.1430607710546955,0.01,0.02392063894406411,0.01,0.01,0.17024513412771713
80,Redruth,-5.226666000000001,50.23302,0.10801344827569649,0.16725267160228297,0.01,0.026731611087568826,0.01,0.01,0.19966341993839665
81,Ullapool,-5.161313,57.895419999999994,0.09097590945869166,0.1108619837163819,0.01009966989798246,0.01,0.01,0.01,0.11381182648264546
82,Ballachulish,-5.133719999999999,56.673930000000006,0.014927331662601627,0.01,0.01,0.01,0.01,0.01,0.01
83,Fort William,-5.1052179,56.81981999999999,0.1444489357417702,0.152891031338319,0.03112886936240339,0.01,0.01,0.01,0.18541940649007457
84,Achnasheen,-5.078765799999999,57.578590000000005,0.017309524525620144,0.011222050823725618,0.01,0.01,0.01,0.01,0.01
85,Newquay,-5.0737190000000005,50.4155,0.14010280517150747,0.1982223525105152,0.01,0.03312167999657848,0.01,0.01,0.24204013725277948
86,Falmouth,-5.066269999999999,50.152570000000004,0.14343664951667948,0.22187767707239006,0.01,0.03295710068828756,0.01,0.01,0.2676134249626936
87,Rothesay,-5.055793,55.83596,0.12180045332104984,0.14623732403985695,0.04629524089950349,0.01704469453556434,0.01,0.01,0.18065869077496355
88,Truro,-5.051041000000001,50.2632,0.22487287902432393,0.3340699826563665,0.01,0.04526557147389094,0.01,0.01,0.39910068465787224
89,Milford Haven,-5.0426971,51.71431,0.15524960754017567,0.11728180274237962,0.01,0.013486917035872233,0.01,0.01,0.15467091256175816
90,Stranraer,-5.024055000000001,54.903369999999995,0.10126180934285363,0.15502680824170506,0.01,0.021104877053253764,0.010935674643074144,0.01,0.1624630420415601
91,Fishguard,-4.975989,51.99393,0.11290594629880563,0.08196924630137335,0.01,0.011012630736389927,0.01,0.01,0.10847652398662853
92,Inchnadamph,-4.974295,58.15221,0.0168852375525299,0.012145977295668792,0.01,0.01,0.01,0.01,0.01
93,Haverfordwest,-4.971319,51.800470000000004,0.17265832532945288,0.13260353278224912,0.01,0.015222887460219308,0.01,0.01,0.17829091917258807
94,Dunoon,-4.926214,55.95097,0.12169968108553803,0.13818175896848706,0.04154802896267197,0.011153986292642226,0.01,0.01,0.15620985929352493
95,Pembroke,-4.908637000000001,51.674040000000005,0.22851017392619996,0.19113151017197705,0.01,0.0186569447171895,0.01,0.01,0.24657733900856743
96,Girvan,-4.8542179,55.240159999999996,0.08960705690497309,0.11823039338022177,0.041504883257209815,0.011460757786535953,0.01,0.01,0.15377761081457247
97,Wadebridge,-4.836456,50.51665,0.1079161117953553,0.16289887005372009,0.01,0.02144557900369589,0.01,0.01,0.18892901863311753
98,Invergarry,-4.800261,57.07095,0.019538077298983627,0.01,0.01,0.01,0.01,0.01,0.01
99,St Austell,-4.7834252,50.340379999999996,0.12229298617243467,0.18059842341088406,0.01,0.02438116787427234,0.01,0.01,0.21055825062292194
100,Greenock,-4.7719830000000005,55.956480000000006,0.2050274458540158,0.23745721821412225,0.0859332187326637,0.01537975805951478,0.01,0.01,0.2843031056415352
101,Helensburgh,-4.734014,56.00232,0.12738573642370085,0.14390910874448642,0.06462872772808713,0.011566821390309123,0.01,0.01,0.17055300315910132
102,Bodmin,-4.7188629,50.4715,0.11991845886698,0.1407298692460423,0.01,0.02870160153328159,0.01,0.01,0.1694315726436456
103,Tenby,-4.703579,51.672740000000005,0.17784442732593708,0.13828566096423683,0.01,0.014626398846388956,0.01,0.01,0.17700339415736974
104,Camelford,-4.682364,50.62206,0.1176489570443235,0.09180527122408232,0.01,0.016036319636799686,0.01,0.01,0.10856112976284897
105,Irvine,-4.6696364,55.61156999999999,0.17398978231280526,0.24159544028830635,0.07264838129880606,0.02194108698619866,0.01,0.01,0.3168514573277429
106,Cardigan,-4.660864,52.0837,0.1251023944422534,0.12360033024544276,0.01,0.013062360593171866,0.01,0.01,0.14010343835727027
107,Holyhead,-4.633038,53.30944,0.13823750004014365,0.1221238703837978,0.01,0.01,0.01,0.01,0.1604484156313174
108,Ayr,-4.629179,55.45856,0.20062378085686663,0.27116810676938274,0.08554903947846798,0.020669850176840036,0.01,0.01,0.3446353684449295
109,Dumbarton,-4.564554,55.94529,0.19082082637298595,0.21776140247356002,0.08446533999718814,0.015117046693443202,0.01,0.01,0.26546642254955233
110,Bude,-4.543678,50.826640000000005,0.12633365249378112,0.17873705756424102,0.01,0.01,0.016175464200110568,0.01,0.17635732623813233
111,Isle of Man,-4.5126330999999995,54.27697,0.235180268937286,0.2711868532264236,0.01,0.030689300303644862,0.01,0.01,0.3154972448685494
112,Kilmarnock,-4.498792,55.61472,0.15469742486800048,0.2303901008079801,0.1043602753879982,0.02292264474238348,0.01,0.01,0.29734017996829537
113,Newton Stewart,-4.483164,54.9603,0.10097024556010302,0.1070765162243822,0.06467942927937627,0.013259662163505758,0.011778186294337325,0.01,0.12014532599502982
114,Liskeard,-4.4647190000000005,50.45552,0.1594446300319198,0.1568961512669518,0.01,0.01686703099421516,0.01,0.01,0.184319686173647
115,Altnaharra,-4.442655,58.28023,0.01631747991142186,0.014509578312317821,0.01,0.01,0.01,0.01,0.01
116,Pwllheli,-4.417633900000001,52.888819999999996,0.1200871552800828,0.11430556090968823,0.01,0.01,0.01,0.01,0.14212854192200122
117,Lairg,-4.402414,58.022059999999996,0.01599012973561625,0.012616841329700876,0.014837568003539848,0.01,0.01,0.01,0.01
118,Launceston,-4.360451599999999,50.636829999999996,0.14514569516548223,0.136166415598652,0.01,0.01642191326968035,0.01,0.01,0.16581699587349738
119,Carmarthen,-4.312131,51.857620000000004,0.22430512647275708,0.18951457112369033,0.01,0.024480257124785448,0.01,0.42207148411404694,0.23581077740962866
120,Llangefni,-4.311401999999999,53.255790000000005,0.178942572340889,0.17552091655277732,0.01,0.01,0.01,0.01,0.2239182636214627
121,Caernarfon,-4.273911,53.13955,0.17023306147749948,0.16277060248438055,0.01,0.01,0.010138463578644221,0.01,0.2081205828049361
122,Cumnock,-4.265828900000001,55.45355,0.1401502270123664,0.17608362083121926,0.06269497647148684,0.01,0.01,0.01,0.21638719955307603
123,Aberaeron,-4.2581619,52.24279,0.086665751960584,0.12976862113927112,0.04246351883805543,0.01,0.01,0.15723733833949843,0.12541980860714724
124,Alness,-4.256825,57.69595,0.12389677782753596,0.17385946858113321,0.012680050721634436,0.01,0.01,0.01,0.171582232259784
125,Glasgow,-4.251806,55.86424,0.38102001642431793,0.5408541643308925,0.1184120918409525,0.015605468417756079,0.015573246115406033,0.01,0.6550031975756109
126,Dalwhinnie,-4.242783,56.9366,0.015283191285962682,0.01,0.01,0.01,0.01,0.01,0.01
127,Inverness,-4.224721,57.47776999999999,0.22408157098358908,0.306624012906402,0.020336910190885044,0.014741049818933174,0.01,0.01,0.32634692850494296
128,Saltash,-4.21643,50.409209999999995,0.14863674927050988,0.1413386074388396,0.01,0.014289147738440701,0.01,0.01,0.16857394217308594
129,Bideford,-4.206666,51.01668,0.14281416048639267,0.17829995435086557,0.01,0.01,0.018608469738950546,0.01,0.19947564011070285
130,Invergordon,-4.1728819999999995,57.688109999999995,0.1287291550620686,0.1733360609800458,0.04655662365464602,0.01,0.01,0.01,0.1747091928828116
131,Llanelli,-4.160248,51.680890000000005,0.24051756819236453,0.22699537248715304,0.01,0.017580251445974065,0.03416009760772345,0.1515532023627316,0.2744258420936887
132,Plymouth,-4.1426565,50.37546,0.31654249244218213,0.3544730535149528,0.01,0.02831679293352603,0.013809497581365906,0.01,0.4200798218287439
133,Tavistock,-4.141654,50.551120000000004,0.16368674588819873,0.16509711081384074,0.01,0.017279162166864197,0.01,0.01,0.19979297537799137
134,Porthmadog,-4.1333839999999995,52.92784,0.13791705957768263,0.13893542440464143,0.01,0.01,0.012272775312557507,0.01,0.1860440590730338
135,Bangor,-4.129263,53.22739,0.2126396117401683,0.22582664505222638,0.01,0.01,0.01,0.01,0.298597798412456
136,Tywyn,-4.087249,52.58701,0.06805164625358406,0.08539740037774847,0.03797048728024726,0.01,0.01,0.1406001768948209,0.0932418224252713
137,Aberystwyth,-4.08292,52.4153,0.17156029459137648,0.2349845489516705,0.07654917727635037,0.01,0.01,0.28345245583424067,0.2635050957968226
138,Lampeter,-4.0785089999999995,52.1129,0.09633512057605788,0.13977594383951522,0.04456123617056001,0.01,0.01,0.16500493506669317,0.14263681567958061
139,Barnstaple,-4.058338,51.07816,0.19158425408507157,0.24883353592935076,0.01,0.01,0.023788028014508286,0.01,0.2635850706141486
140,Tain,-4.05523,57.8115,0.08293170252959996,0.11374314575236266,0.03419101290503865,0.01,0.01,0.01,0.10954908662613227
141,Okehampton,-4.004263,50.73831,0.06427625076806424,0.1411855940138426,0.01,0.014657545625865027,0.01,0.01,0.14011371259185856
142,Llandeilo,-3.9914300000000003,51.88469,0.18150518403843477,0.18984797956468438,0.01,0.010785786428182911,0.022354994222552674,0.4958959783241337,0.1910315936011642
143,Motherwell,-3.9810968,55.78321,0.19663386618394313,0.30450853807222283,0.01,0.01,0.01,0.01,0.38536986052345723
144,Golspie,-3.976086,57.97341,0.015731826426030365,0.01303820964491645,0.01459420106550558,0.01,0.01,0.01,0.01
145,Airdrie,-3.9625660000000003,55.86626999999999,0.16818631363055478,0.2501840381691572,0.01,0.01,0.011267237951110131,0.01,0.3288423478568894
146,Swansea,-3.9436459999999998,51.62144,0.42564517518288386,0.34744657366487375,0.01,0.014425177673620853,0.044847184007367015,0.19896706719771381,0.4344641548760398
147,Stirling,-3.9369029,56.116519999999994,0.21116391138164872,0.31029459135899673,0.11147514535688807,0.02992662402309186,0.012405391128254256,0.01,0.3488205068936881
148,Tregaron,-3.934385,52.22,0.09443974923365121,0.13816690667923787,0.04931894243309059,0.01,0.01,0.18262215308799012,0.13810632709374912
149,Tregaron,-3.934385,52.22,0.09443974923365121,0.13816690667923787,0.04931894243309059,0.01,0.01,0.18262215308799012,0.13810632709374912
150,Castle Douglas,-3.9314139999999997,54.940419999999996,0.1187426177581845,0.13828024944054473,0.06120700073320698,0.02793377929698607,0.02043406514517964,0.01,0.13803707627558232
151,Dolgellau,-3.8844,52.74215,0.06870635853075525,0.0955517285425086,0.039579013568014326,0.01,0.01,0.14655635750406312,0.10166784190734682
152,Aberfeldy,-3.866969,56.62175,0.1029149585165123,0.16951624014111533,0.02287676140477155,0.01,0.01,0.01,0.17394019967997235
153,Machynlleth,-3.853485,52.59027,0.09066534442398821,0.12633321745446616,0.04764643260380848,0.01,0.01,0.17642904895769163,0.13241353919791352
154,Brora,-3.8525480000000005,58.012159999999994,0.07066794888466323,0.09458696035780348,0.03988829170052504,0.01,0.01,0.01,0.08641337064704026
155,Llandudno,-3.827609,53.324059999999996,0.18207889265978705,0.16975664570279073,0.01,0.01,0.01,0.01,0.25150079076580456
156,Llandudno,-3.827609,53.324059999999996,0.18207889265978705,0.16975664570279073,0.01,0.01,0.01,0.01,0.25150079076580456
157,Aviemore,-3.823812,57.19449,0.10222306117551172,0.1369125663642233,0.01,0.01399521169050039,0.01,0.01,0.15370121063325137
158,Dalbeattie,-3.8225269999999996,54.934219999999996,0.08569417968838353,0.0995042037216093,0.04890913030293802,0.022321251411633224,0.016328399412358367,0.01,0.09296735778256641
159,Falkirk,-3.7839131,56.00188000000001,0.20081343197702461,0.3007240782688189,0.10183186729786364,0.021870230925604528,0.011332249499203141,0.01,0.3522575474778232
160,Kingsbridge,-3.777493,50.28395,0.1448694387956313,0.1550201998402769,0.01,0.014629073092250599,0.01,0.01,0.17693638566539838
161,Pitlochry,-3.729711,56.70436,0.0754146916873614,0.11249745052027968,0.01834350951004684,0.01,0.01,0.01,0.11745306709699933
162,Colwyn Bay,-3.72764,53.29318000000001,0.16720212683195199,0.1516708635771816,0.01,0.01,0.01,0.01,0.2304436185929869
163,Totnes,-3.685797,50.43374,0.1201406744007095,0.17131232592906726,0.01,0.02015287423522707,0.01,0.01,0.18625781316193754
164,Grantown-on-Spey,-3.609628,57.33041,0.06578656514008256,0.09647999877279832,0.049119160819535254,0.011867879518963035,0.01,0.01,0.0999204733292648
165,Dumfries,-3.60512,55.070859999999996,0.1976501365823165,0.2162528383969809,0.05062826024608932,0.09650082548995019,0.025353500564603806,0.01,0.2601703954423226
166,Whitehaven,-3.589233,54.5497,0.1872974353889091,0.1903785956183091,0.01,0.0643089473887993,0.01,0.01,0.22002845198245172
167,Dartmouth,-3.578807,50.35252,0.09820278043950133,0.13909559398437,0.01,0.017279665257276082,0.01,0.01,0.14889149729979015
168,Bridgend,-3.576945,51.504290000000005,0.4792892437969905,0.2681050890109089,0.01,0.01,0.017101887517060335,0.01,0.3157498749771462
169,Paignton,-3.564235,50.43508,0.13991887772117392,0.2820502765823076,0.01,0.023715485990865304,0.01,0.01,0.2758543207210117
170,Workington,-3.5427519999999997,54.64357,0.21166687195405143,0.2179385655449744,0.01,0.053041422969709213,0.03298064659694328,0.01,0.20988483351878032
171,Llanidloes,-3.5401949999999998,52.447790000000005,0.08229038887700629,0.10172881492616626,0.01,0.030259437815033832,0.01,0.01,0.11491410291413469
172,Exeter,-3.533899,50.71841,0.20723143556460968,0.46235229562448193,0.01,0.037618074669405484,0.01,0.01,0.4543305660476123
173,Torquay,-3.525315,50.46192,0.14215911338614257,0.29052157127911693,0.01,0.024271539616872593,0.01,0.01,0.28302319146263505
174,Thurso,-3.5220800000000003,58.59356999999999,0.12584580239101914,0.17639330081182444,0.06925286087442906,0.01,0.01,0.01,0.15419053886084877
175,Livingston,-3.518068,55.90071,0.17448947713451027,0.2945853379793717,0.12384912210598384,0.01,0.01,0.01,0.3489131879538699
176,Rhyl,-3.4916339999999995,53.319140000000004,0.15419801242714026,0.1544818965066245,0.01,0.01,0.01,0.01,0.2268096865897502
177,Tiverton,-3.491207,50.90205,0.08857298601474799,0.21028648598114344,0.01,0.02450949176909777,0.01,0.01,0.1968817929208638
178,Tiverton,-3.491207,50.90205,0.08857298601474799,0.21028648598114344,0.01,0.02450949176909777,0.01,0.01,0.1968817929208638
179,Minehead,-3.481152,51.20428,0.15344567594071185,0.17613335051368728,0.01,0.018792828769022735,0.01,0.01,0.1405534775929635
180,Dunfermline,-3.452151,56.071740000000005,0.2247291781407167,0.3042347819867873,0.034054367682878416,0.01,0.01,0.01,0.3226693629130155
181,Perth,-3.4308381000000003,56.39499,0.15372396141490963,0.1836439046040626,0.15173656278898678,0.012220561915538644,0.01,0.01,0.20773011667111482
182,Prestatyn,-3.4076129999999996,53.33651,0.13501533856688028,0.1381380246944095,0.01,0.01,0.01,0.01,0.18942689751104452
183,Builth Wells,-3.4045919999999996,52.15002,0.12584014736195176,0.1861760030866726,0.01,0.03599415876058678,0.01,0.01,0.15748238666050307
184,Braemar,-3.3979439,57.00646999999999,0.01,0.010134198925571769,0.058136323452061024,0.014046552691109855,0.01,0.01,0.01
185,Brecon,-3.391463,51.94895,0.35769560269094247,0.1544621669168495,0.01,0.01,0.01,0.01,0.18337215741550303
186,Merthyr Tydfil,-3.381646,51.74873,0.7276169380124948,0.23651224944109017,0.01,0.010523264775736308,0.01,0.01,0.3570841072596078
187,Llandrindod Wells,-3.377742,52.2417,0.1073200974075045,0.12259259103705698,0.01,0.0370681841064587,0.01,0.01,0.14048767034056506
188,Corwen,-3.369242,52.98005,0.10687588126772452,0.08704097979854108,0.01,0.01,0.01,0.01,0.10315595077954466
189,Cockermouth,-3.367985,54.66326,0.12427318160825793,0.13488958834705192,0.01,0.05891044514295374,0.014849979105822116,0.01,0.16016655326169146
190,Lockerbie,-3.349008,55.122240000000005,0.1715015534607054,0.18013589667504837,0.048515843325373044,0.07424002664395508,0.024295649610397506,0.01,0.23158947106728803
191,Blairgowrie,-3.3378318,56.58941,0.09304150863591489,0.12188968317495764,0.1757008748871693,0.01,0.01,0.01,0.1637483365959885
192,Elgin,-3.318485,57.64945,0.20871623412683335,0.3160497499741596,0.22416175264390148,0.024071390739471354,0.01,0.01,0.28425082520880834
193,Newtown,-3.313106,52.51211,0.08403133535301317,0.09979904757902731,0.01,0.034404731559266266,0.01,0.01,0.1252405675562443
194,Ruthin,-3.3103108,53.114869999999996,0.15723074966587672,0.10824502216000265,0.01,0.01,0.01,0.01,0.18563185579961014
195,Ruthin,-3.3103108,53.114869999999996,0.15723074966587672,0.10824502216000265,0.01,0.01,0.01,0.01,0.18563185579961014
196,Sidmouth,-3.2375599999999998,50.67865,0.08840473367642734,0.18996832032031805,0.01,0.018255403817358826,0.01,0.01,0.17887630869087792
197,Barrow-in-Furness,-3.2188939999999997,54.10896999999999,0.21149233598060888,0.2570480420304125,0.04721824545762888,0.01,0.01,0.01,0.27286178914147274
