,placename,them_aint,them_arent,them_ent,them_int,them_isnt,thems_not,they_aint,they_arent,they_ent,they_int,theym_not,theyre_not,theys_not,longitude,latitude
48,Meath,0.051414294297001284,0.40131093332214185,0.01,0.01,0.3123418481083667,0.09457566713717204,0.08000057623367117,0.10126594246059896,0.01976405067197561,0.01,0.01,0.9070600052706559,0.20703536572072645,-6.656416900000001,53.60555
49,Armagh,0.15798611430594134,0.5706335767983464,0.01,0.01,0.5062499956057501,0.01,0.1177228394545414,0.8773440735173154,0.01,0.01,0.01,0.07117982484617708,0.01,-6.652792,54.35028000000001
50,Armagh,0.15798611430594134,0.5706335767983464,0.01,0.01,0.5062499956057501,0.01,0.1177228394545414,0.8773440735173154,0.01,0.01,0.01,0.07117982484617708,0.01,-6.652792,54.35028000000001
51,Magherafelt,0.17414363347801348,0.5402570617954647,0.01,0.01,0.27901254501101125,0.6406681464393797,0.06560582209667558,0.9208860651785459,0.01,0.01,0.01,0.07528138809213705,0.01,-6.607980499999999,54.75536999999999
52,Dunvegan,0.01,0.2654513694422171,0.01,0.01,0.24009623940427266,0.01,0.19757089990825166,0.34142628886934984,0.01,0.01,0.01,0.5696326200124504,0.01,-6.5813982000000015,57.4366
53,Louth,0.06142838020723791,0.5641376130073705,0.01,0.01,0.5905224793839369,0.01,0.1174210451624354,0.4248102031747832,0.01,0.01,0.01,0.5311866232283147,0.01,-6.4889423,53.925230000000006
54,Wexford,0.01,0.29353063249576405,0.01,0.01,0.8110759072153041,0.2660558915382359,0.11669148639435015,0.10212856075862,0.01,0.01,0.01,0.8631229781496943,0.01,-6.4633381,52.33692
55,Craigavon,0.05713183643617921,0.561940066228957,0.01,0.01,0.3661460200535199,0.01,0.019332437338533702,0.9477955205112932,0.01,0.01,0.01,0.10348397987984444,0.01,-6.4175653,54.442930000000004
56,Stornoway,0.01,0.23230325929211634,0.01,0.01,0.21576959215758268,0.01,0.23095817826314674,0.3198823874218833,0.01,0.01,0.01,0.5623365810248749,0.01,-6.3848692000000025,58.20943000000001
57,Drogheda,0.05193301755308709,0.4107065289974546,0.01,0.01,0.31549307533109805,0.0955298361924728,0.08320025127672784,0.09831277004093752,0.019963450787049492,0.01,0.01,0.9063820767147772,0.20912415189286546,-6.3560985,53.717859999999995
58,Rosslare,0.01,0.3003372854799402,0.01,0.01,0.7970946511919214,0.2614696359471657,0.12248461761615125,0.10382429966626014,0.01,0.01,0.01,0.8561443243057434,0.01,-6.3414908,52.25131
59,Newry,0.01,0.585537294052808,0.01,0.01,1.0,0.01,0.09714870757950013,0.7914710081213187,0.01,0.01,0.01,0.16848376981747454,0.01,-6.34023,54.1751
60,Scilly Isles,0.1872427953247371,0.14268390188046967,0.01,0.01,0.19999999546400005,0.01,0.2046472436262952,0.5300995546983578,0.01,0.20207230733549167,0.01,0.3646698010518396,0.01,-6.327496599999999,49.92773
61,Ballymena,0.01,0.4742898878745239,0.01,0.01,0.205230298275338,0.01,0.011218508819754086,0.9568161405300128,0.01,0.01,0.01,0.11486745064489134,0.01,-6.2802213,54.86529
62,Banbridge,0.01,0.5891918574877872,0.01,0.01,0.4435618522492811,0.01,0.01866823091447517,0.9422480642141986,0.01,0.01,0.01,0.10884171609497856,0.01,-6.2704803,54.34873
63,Dublin,0.040024125596469104,0.3946105217796809,0.01,0.01,0.3455709509662712,0.1963297612837964,0.09225225907676278,0.07134394115589339,0.020514109253578168,0.01,0.01,0.9239448185252092,0.2148924925481864,-6.2603097000000005,53.34981
64,Antrim,0.01,0.4669762644211111,0.01,0.01,0.290993073505358,0.01,0.013093129680052345,0.9597054012914694,0.01,0.01,0.01,0.10765352694718268,0.01,-6.2072498,54.719530000000006
65,Antrim,0.01,0.4669762644211111,0.01,0.01,0.290993073505358,0.01,0.013093129680052345,0.9597054012914694,0.01,0.01,0.01,0.10765352694718268,0.01,-6.2072498,54.719530000000006
66,Portree,0.01,0.2661455198553441,0.01,0.01,0.240605654881481,0.01,0.1983631402744159,0.3520862996473514,0.01,0.01,0.01,0.5580673498149541,0.01,-6.1960231,57.41246999999999
67,Islay,0.28582383960328656,0.2502947773141215,0.01,0.5378827773550853,0.01,0.7010237397594257,0.31985496878322883,0.5376377267871156,0.01,0.01,0.01,0.2289030543068513,0.01,-6.177067,55.73625
68,Wicklow,0.03914026686223227,0.37029168502449655,0.01,0.01,0.29613266765719304,0.1919941560400224,0.08484017022039765,0.08117196585075308,0.02006109150729388,0.01,0.01,0.9240571064099576,0.21014697269820248,-6.044589,52.980819999999994
69,Kilkeel,0.08695058502221616,0.602695669331204,0.01,0.01,0.9287469247904668,0.01,0.0926114744067474,0.8087067343600798,0.01,0.01,0.01,0.15221883151852164,0.01,-6.007004,54.06312
70,Mull,0.33873150962403664,0.3902172747579839,0.01,0.6374480346873493,0.01,0.01,0.28931535306229544,0.3863864386268449,0.01,0.01,0.01,0.40908844389616056,0.01,-6.0008870000000005,56.4392
71,Belfast,0.01,0.469247054517644,0.01,0.01,0.3247143663805653,0.01,0.01,0.9433322933507294,0.01,0.01,0.01,0.13529888055853687,0.01,-5.93012,54.59728000000001
72,Broadford,0.01,0.3145347918972679,0.01,0.01,0.2366720924030369,0.01,0.20585207377555287,0.3469476510574733,0.01,0.01,0.01,0.5539295030688199,0.01,-5.9096592,57.24139
73,Down,0.01,0.5190592016314531,0.01,0.01,0.34097059649148115,0.01,0.01,0.9446967505270821,0.01,0.01,0.01,0.12432484044808195,0.01,-5.7156921999999994,54.32875
74,Kyle of Lochalsh,0.01,0.2661455198553441,0.01,0.01,0.240605654881481,0.01,0.2069489815090095,0.3440625502264324,0.01,0.01,0.01,0.5580673498149541,0.01,-5.7143293,57.28261
75,Campbeltown,0.01,0.2550392136844601,0.01,0.8935559555917472,0.01,0.01,0.31281354709174586,0.4969335640203834,0.01,0.01,0.01,0.2953301225618442,0.01,-5.605373999999999,55.424119999999995
76,Penzance,0.18699544822448425,0.14241389826883236,0.01,0.01,0.19973579614544784,0.01,0.20414465779792867,0.5382004519197132,0.01,0.20180537813828944,0.01,0.3570051980888141,0.01,-5.537592,50.1188
77,Oban,0.3277515335350349,0.3755680625818106,0.01,0.01,0.01,0.01,0.274237494950368,0.4438925603426269,0.01,0.01,0.01,0.37874474366661937,0.01,-5.471047,56.41516
78,Lochgilphead,0.23264770947115104,0.1922478174997788,0.01,0.656718460258381,0.12424921545911433,0.01,0.3222204808419097,0.4933280388764406,0.01,0.01,0.01,0.2809855362510358,0.01,-5.4323449,56.03829
79,Helston,0.1877394642252448,0.1432260646824104,0.01,0.01,0.20053050334109288,0.01,0.2056565023336452,0.5389110436698148,0.01,0.202608304463234,0.01,0.3547330871147741,0.01,-5.274996,50.10159
80,Redruth,0.18674875227978768,0.14214460545732874,0.01,0.01,0.19947229990689186,0.01,0.20631261558816485,0.5313127416777756,0.01,0.20153913639108853,0.01,0.3619573229651641,0.01,-5.226666000000002,50.23302
81,Ullapool,0.01,0.238349958768184,0.01,0.01,0.2202071269132649,0.01,0.2314663888443428,0.3082723998071307,0.01,0.01,0.01,0.5731334048818495,0.01,-5.161313,57.895419999999994
82,Ballachulish,0.3709861037458969,0.2982613241548227,0.01,0.01,0.01,0.01,0.3265376202690517,0.3603044312713312,0.01,0.01,0.01,0.4152887211784884,0.01,-5.133719999999999,56.67393000000001
83,Fort William,0.01,0.3004472122658268,0.01,0.01,0.01,0.01,0.16124547728395014,0.2926246324606935,0.01,0.01,0.01,0.6595607022957908,0.01,-5.1052179,56.81981999999999
84,Achnasheen,0.01,0.24802813612706426,0.01,0.01,0.2273097204143427,0.01,0.2081024604975429,0.33969537964092233,0.01,0.01,0.01,0.5627326440741405,0.01,-5.078765799999998,57.57859000000001
85,Newquay,0.1872427953247371,0.14268390188046967,0.01,0.01,0.19999999546400005,0.01,0.21267619386491607,0.5200949220485765,0.01,0.20207230733549167,0.01,0.3671958965270959,0.01,-5.0737190000000005,50.4155
86,Falmouth,0.1877394642252448,0.1432260646824104,0.01,0.01,0.20053050334109288,0.01,0.20833991409181468,0.5389110436698148,0.01,0.202608304463234,0.01,0.35220049880264426,0.01,-5.066269999999999,50.152570000000004
87,Rothesay,0.1954287478553272,0.2701361372317713,0.01,0.7355422459675949,0.10437183986804233,0.01,0.3319277116478151,0.4530020516020461,0.01,0.01,0.01,0.3098706397735907,0.01,-5.055793,55.83596
88,Truro,0.18674875227978768,0.14214460545732874,0.01,0.01,0.19947229990689186,0.01,0.20631261558816485,0.5363020109481804,0.01,0.20153913639108853,0.01,0.3569184996199781,0.01,-5.0510410000000014,50.2632
89,Milford Haven,0.3698113200335849,0.6110988953068821,0.01,0.01,0.01,0.01,0.4014932383389466,0.3998547806109426,0.01,0.01,0.5489114710706628,0.28254649062167,0.01,-5.0426971,51.71431
90,Stranraer,0.01,0.3917980092682466,0.01,0.16363846435490928,0.1857595297220377,0.01,0.053130282184137664,0.8750334212591351,0.01,0.01,0.01,0.15951028732712808,0.01,-5.0240550000000015,54.903369999999995
91,Fishguard,0.22457253831845192,0.673718857315851,0.01,0.01,0.01,0.01,0.18367100262271294,0.2629435289446067,0.01,0.01,1.0,0.6256814614230007,0.01,-4.975989,51.99393
92,Inchnadamph,0.01,0.16550092611849154,0.01,0.01,0.22232651620165075,0.01,0.2935657643065892,0.2890179727902734,0.01,0.01,0.01,0.5374972787374873,0.01,-4.974295,58.15221
93,Haverfordwest,0.3737166325597992,0.6182039452775991,0.01,0.01,0.01,0.01,0.3969067177637017,0.4102636828620322,0.01,0.01,0.5547081109149654,0.2757305396311303,0.01,-4.971319,51.800470000000004
94,Dunoon,0.3642706020168099,0.1768722757522541,0.01,0.8226110740763961,0.11672671310033765,0.01,0.3212234428205635,0.43810647530986735,0.01,0.01,0.01,0.3284359519835616,0.01,-4.926214,55.95097
95,Pembroke,0.3704565302564666,0.544874465820179,0.01,0.01,0.01,0.01,0.409560550201182,0.3922273591059933,0.01,0.01,0.5498691364975479,0.28586280253755314,0.01,-4.9086370000000015,51.67404000000001
96,Girvan,0.01,0.292771667926972,0.01,1.0,0.01,0.01,0.3862139007713478,0.4121829234856435,0.01,0.01,0.01,0.3077444266634074,0.01,-4.8542179,55.240159999999996
97,Wadebridge,0.1909043208729244,0.14668081601895033,0.01,0.01,0.2039109913425678,0.01,0.2120875776443511,0.5631846158209717,0.01,0.01,0.01,0.3287590661008986,0.01,-4.836456,50.51665
98,Invergarry,0.01,0.3251156622476171,0.01,0.01,0.24332785588656336,0.01,0.20356158539849767,0.310362197577786,0.01,0.01,0.01,0.5922926206999275,0.01,-4.800261,57.07095
99,St Austell,0.1901350655165825,0.14584109837410494,0.01,0.01,0.20308931762707053,0.01,0.21324206827907694,0.5522050467519453,0.01,0.01,0.01,0.3388684131124754,0.01,-4.7834252,50.340379999999996
100,Greenock,0.3786933012315531,0.24143599798757026,0.01,0.8551810114485021,0.12134831873501126,0.01,0.3019317141248105,0.4290741318508853,0.01,0.01,0.01,0.3510180386285602,0.01,-4.7719830000000005,55.956480000000006
101,Helensburgh,0.3762773937957502,0.2395020576195913,0.01,0.8497253204248737,0.24114831923850724,0.01,0.29888378601060844,0.4406939520284387,0.01,0.01,0.01,0.3384547812104941,0.01,-4.734014,56.00232
102,Bodmin,0.19533885299967974,0.15152154262913325,0.01,0.01,0.052161913154152716,0.01,0.2210986744723668,0.5658840324852747,0.01,0.01,0.01,0.32216005224824035,0.01,-4.7188629,50.4715
103,Tenby,0.36788911590939777,0.5406705929514803,0.01,0.01,0.01,0.01,0.4125146380145804,0.3963695152735627,0.01,0.01,0.5460583302898739,0.279284031058676,0.01,-4.703579,51.67274000000001
104,Camelford,0.2023667678401972,0.1591932007455181,0.01,0.01,0.05403860376386845,0.01,0.2267021422660236,0.5700016072458424,0.01,0.01,0.01,0.31189105783589904,0.01,-4.682364,50.62206
105,Irvine,0.01,0.13857748589096505,0.01,0.9711195553724398,0.11023979087588597,0.01,0.2903219410236977,0.4960376662790368,0.01,0.01,0.01,0.3180244970915909,0.01,-4.6696364,55.61156999999999
106,Cardigan,0.1489535816967081,0.4802815003402338,0.01,0.01,0.2386530996721811,0.01,0.22016520829774866,0.2556973083359331,0.01,0.3215012239818125,0.6632760301506082,0.6002028056693925,0.01,-4.660864,52.0837
107,Holyhead,0.2637681180140741,0.2262187946959044,0.01,0.01,0.01,0.01,0.06545184954619777,0.4461222830454473,0.20278897891480435,0.01,0.01,0.5701547204833728,0.01,-4.633038,53.30944
108,Ayr,0.01,0.2720958904611256,0.01,0.9416732008530784,0.01,0.01,0.3677358998068849,0.44030896937723946,0.01,0.01,0.01,0.29891646010533673,0.01,-4.629179,55.45856
109,Dumbarton,0.11912299198843684,0.21074311511650767,0.01,0.09607447737796936,0.08179654221175496,0.04173802190266372,0.20017645537545686,0.4082801524047233,0.01,0.01,0.01,0.4988144843732692,0.01,-4.564554,55.94529
110,Bude,0.201311527794674,0.04816566359118387,0.01,0.01,0.05375681610541265,0.01,0.24474489257268384,0.5058603965170034,0.01,0.01,0.01,0.3651949569754075,0.01,-4.543678,50.82664000000001
111,Isle of Man,0.01,0.3806836447871518,0.01,0.01,0.09276073455167118,0.01,0.29088745124522924,0.450087453082603,0.01,0.01,0.01,0.37108243229307897,0.01,-4.5126330999999995,54.27697
112,Kilmarnock,0.01,0.2697801886126697,0.01,0.9184416058311036,0.10425988004865586,0.01,0.2724762998611577,0.5662886802620755,0.01,0.01,0.01,0.25864177491244233,0.01,-4.498792,55.61472
113,Newton Stewart,0.1449869119148755,0.25482489199198816,0.01,0.4092693702714557,0.23229771010700856,0.01,0.37955132034598144,0.4056544799614263,0.01,0.01,0.01,0.3181470971290202,0.01,-4.483164,54.9603
114,Liskeard,0.20515297753193407,0.16223462180434112,0.01,0.01,0.054782609819791314,0.01,0.21758275882957714,0.5573694112753024,0.01,0.01,0.01,0.3329301408945602,0.01,-4.4647190000000005,50.45552
115,Altnaharra,0.01,0.1648346977888754,0.01,0.01,0.22167461362522314,0.01,0.280323963102107,0.3077062710951017,0.01,0.01,0.01,0.531176311075634,0.01,-4.442655,58.28023
116,Pwllheli,0.16546528702469784,0.1791188136572705,0.01,0.01,0.2651081174872076,0.01,0.0985095335716205,0.34486882037609545,0.12721225635019795,0.35714006805999443,0.01,0.6362926665317171,0.01,-4.417633900000001,52.888819999999996
117,Lairg,0.01,0.17031877578089472,0.01,0.01,0.2270408036558164,0.01,0.2832646567199185,0.3028936097796182,0.01,0.01,0.01,0.5328094505150347,0.01,-4.402414,58.022059999999996
118,Launceston,0.20997116060352605,0.05289208272335221,0.01,0.01,0.056069223532740665,0.01,0.2508318867804428,0.5551582191716065,0.01,0.01,0.01,0.3088833466372833,0.01,-4.360451599999998,50.636829999999996
119,Carmarthen,0.5072160846407097,0.4688962823777766,0.01,0.01,0.01,0.01,0.4434167467991615,0.3919747378771117,0.01,0.01,0.5646461667980491,0.250359970514882,0.01,-4.312131,51.857620000000004
120,Llangefni,0.2637681180140741,0.2262187946959044,0.01,0.01,0.01,0.01,0.04283119788985172,0.4954496033884523,0.20278897891480435,0.01,0.01,0.5416878320417676,0.01,-4.311401999999998,53.25579000000001
121,Caernarfon,0.2750431808144886,0.2385266312318378,0.01,0.01,0.01,0.01,0.03645325423716882,0.4890096529294418,0.21145741983400146,0.01,0.01,0.5523857356193209,0.01,-4.273911,53.13955
122,Cumnock,0.01,0.2581635743023563,0.01,0.3545024390366701,0.01,0.01,0.37224577806659603,0.4617477380378363,0.01,0.01,0.01,0.28492134119093904,0.01,-4.265828900000002,55.45355
123,Aberaeron,0.1962415315450469,0.5095350129406573,0.01,0.01,0.3144177484969908,0.01,0.13831740658266847,0.2174675478155637,0.01,0.4235674756466254,0.8738447408327789,0.7044101639632274,0.01,-4.2581619,52.24279
124,Alness,0.01,0.1801348947222333,0.01,0.01,0.2366458970031805,0.01,0.2520200854662983,0.2906895084664039,0.01,0.01,0.01,0.5738159166166972,0.01,-4.256825,57.69595
125,Glasgow,0.058106651692731236,0.2078637487620682,0.01,0.16402358276883194,0.06982375893736581,0.035628725644264614,0.17946741036420194,0.42362121942687503,0.01,0.01,0.01,0.5054956135157949,0.01,-4.251806,55.86424
126,Dalwhinnie,0.13121722971191094,0.3202539515813148,0.01,0.01,0.01,0.01,0.2734569492141876,0.3018150532754725,0.01,0.01,0.01,0.5363098534528524,0.01,-4.242783,56.9366
127,Inverness,0.01,0.18114850343890512,0.01,0.01,0.2376377160777453,0.01,0.27077309233169355,0.2877590265762827,0.01,0.01,0.01,0.5589920061720139,0.01,-4.224721,57.47776999999999
128,Saltash,0.12538136128372318,0.07515608127912997,0.01,0.01,0.06696191717304871,0.01,0.2787633976857663,0.5047553677283945,0.01,0.01,0.01,0.3365214435486028,0.01,-4.21643,50.409209999999995
129,Bideford,0.0940985318961896,0.11804613219575233,0.01,0.01,0.01,0.01,0.16937534934672135,0.4171442077696154,0.01,0.01,0.01,0.5300702372177045,0.01,-4.206666,51.01668
130,Invergordon,0.01,0.1801348947222333,0.01,0.01,0.2366458970031805,0.01,0.26046461996074244,0.2906895084664039,0.01,0.01,0.01,0.5658457683890505,0.01,-4.1728819999999995,57.688109999999995
131,Llanelli,0.5810983386162338,0.4880390725597293,0.01,0.01,0.01,0.01,0.4781079561643184,0.37512815421996587,0.01,0.01,0.5175150406987321,0.2302688416397085,0.01,-4.160248,51.68089000000001
