index,placename,longitude,latitude,a load of,a lot of,bare,loads of,lots of
91,Fishguard,-4.975989,51.99393,0.5909921118427348,0.23904083061116593,0.1285284352427279,0.6083533114606392,0.4747728318363192
92,Inchnadamph,-4.974295,58.15221,0.3165065852028517,0.24974388020799457,0.01,0.10942800338504059,0.6083900218768031
93,Haverfordwest,-4.971319,51.800470000000004,0.7246823257538809,0.30333271533108574,0.14738110025966736,0.6090831825129553,0.45765985605763215
94,Dunoon,-4.926214,55.95097,0.21377325457780133,0.5704950534013353,0.07670195248386652,0.3558033913151827,0.3588190008052279
95,Pembroke,-4.908637000000001,51.674040000000005,0.6223769055209685,0.289221914117731,0.18760076276883386,0.6839606634765816,0.49637091546362533
96,Girvan,-4.8542179,55.240159999999996,0.01,0.651036687117656,0.01,0.47545692840883635,0.23399853326712144
97,Wadebridge,-4.836456,50.51665,0.30047772862557925,0.10891500126075868,0.19066537401635597,0.39304343674573144,0.8566125025475563
98,Invergarry,-4.800261,57.07095,0.2746636366566798,0.25404060544066115,0.01,0.17964621489470825,0.5691395840901041
99,St Austell,-4.7834252,50.340379999999996,0.2719607330799118,0.08684265875611645,0.17071542166597017,0.4203724007750032,0.8923106147228136
100,Greenock,-4.7719830000000005,55.956480000000006,0.2182253728340701,0.6244547962111727,0.07795302847770548,0.3932936312898998,0.38197645623554727
101,Helensburgh,-4.734014,56.00232,0.21423549685379886,0.5755451930536867,0.07683185117674422,0.3555783425577993,0.36656980773977005
102,Bodmin,-4.7188629,50.4715,0.26395571070324075,0.08250939035515777,0.18847611058380503,0.3595588144087867,0.8931534981098441
103,Tenby,-4.703579,51.672740000000005,0.7404465413760359,0.25674894864422315,0.214778667622668,0.7434870268626601,0.4202471134258906
104,Camelford,-4.682364,50.62206,0.2789468740446919,0.04065487892165555,0.17431704063872747,0.39907668050678324,0.8534203568090039
105,Irvine,-4.6696364,55.61156999999999,0.20885365879350593,0.6395098931086437,0.061625060123080194,0.4175149511230408,0.3724352673640716
106,Cardigan,-4.660864,52.0837,0.5796173294179212,0.19664505897846696,0.13787695813319747,0.6713180518425262,0.5258063464103774
107,Holyhead,-4.633038,53.30944,0.3552941872755217,0.34530847720505475,0.1739490556930852,0.28877073028207545,0.6181498569550474
108,Ayr,-4.629179,55.45856,0.21685510832027438,0.6402185543892551,0.06346470495357324,0.43941245915688987,0.37592925303073643
109,Dumbarton,-4.564554,55.94529,0.2212399974011617,0.6128996172650626,0.07631173172180433,0.39217234686959496,0.3818145793086129
110,Bude,-4.543678,50.826640000000005,0.2576832993069534,0.01,0.17522498582643847,0.41291058086988025,0.9597116917457705
111,Isle of Man,-4.5126330999999995,54.27697,0.5103790248290209,0.7554180065610372,0.02513803944349339,0.2533870066679098,0.3057306047948543
112,Kilmarnock,-4.498792,55.61472,0.23224727498102773,0.6227984361600691,0.061032967211094746,0.4255692121169192,0.37107244875273937
113,Newton Stewart,-4.483164,54.9603,0.20344815017313123,0.6507361776954312,0.01,0.42469352486704415,0.2036569691534875
114,Liskeard,-4.4647190000000005,50.45552,0.2670290025775411,0.07314133578312708,0.18157991549747016,0.4141451290274279,0.8899475471830558
115,Altnaharra,-4.442655,58.28023,0.2490485723137721,0.32713347566716705,0.06439222659462884,0.11364621899842221,0.5167572624052408
116,Pwllheli,-4.417633900000001,52.888819999999996,0.5459851773192621,0.23347635415313872,0.0932644827632979,0.25377945403116353,0.7338102974632885
117,Lairg,-4.402414,58.022059999999996,0.2707588252206709,0.32324153527212135,0.06461973130957642,0.11665269456232699,0.5165215797689477
118,Launceston,-4.360451599999999,50.636829999999996,0.2408724510310176,0.04468108483323521,0.16118782482979013,0.40661112810710703,0.9147195293396935
119,Carmarthen,-4.312131,51.857620000000004,0.6874930403597463,0.2609623444286587,0.12945689714731445,0.7092880879627637,0.5078617879534396
120,Llangefni,-4.311401999999999,53.255790000000005,0.5229410104919413,0.31381584288331515,0.34203104670393575,0.2931417307356129,0.658363010711653
121,Caernarfon,-4.273911,53.13955,0.5654142844168243,0.311778267932418,0.11743571101507295,0.22071129714152754,0.7212109545082513
122,Cumnock,-4.265828900000001,55.45355,0.2423962498834771,0.6028309842302864,0.06017926738048844,0.4278542050148136,0.3333780992977448
123,Aberaeron,-4.2581619,52.24279,0.609969187926938,0.19511219926067785,0.04814267880835088,0.585603716978159,0.5712156302130544
124,Alness,-4.256825,57.69595,0.2932291792473091,0.4736598353565727,0.069020610263417,0.18506933567522363,0.5735113992832916
125,Glasgow,-4.251806,55.86424,0.2584411283635765,0.6890458483198221,0.07895538373524663,0.4409018518941141,0.45308308040970174
126,Dalwhinnie,-4.242783,56.9366,0.16335525390966954,0.31015308082236087,0.01,0.21769031831093885,0.49895812000096307
127,Inverness,-4.224721,57.47776999999999,0.36783797767384496,0.4674747240055311,0.01,0.17540070255330706,0.7059051032634408
128,Saltash,-4.21643,50.409209999999995,0.2666883811906765,0.06342229423561273,0.17131307842952256,0.39497007864319406,0.8982373110961426
129,Bideford,-4.206666,51.01668,0.4297304148855674,0.1309059923779606,0.21278839771889424,0.49924988807628956,0.7624740167770996
130,Invergordon,-4.1728819999999995,57.688109999999995,0.2959689619966666,0.4720271772101118,0.06955720619274727,0.19224022428419585,0.5736939752241615
131,Llanelli,-4.160248,51.680890000000005,0.7227930413855403,0.24805718085155118,0.15752772759302935,0.8269904900900166,0.4745607307524135
132,Plymouth,-4.1426565,50.37546,0.2776750166362117,0.13609296486454017,0.1562548916697982,0.4331447111345393,0.9697956163610887
133,Tavistock,-4.141654,50.551120000000004,0.17950724476629706,0.07688534295091777,0.16027831367706796,0.4072461465973871,0.9178783263831228
134,Porthmadog,-4.1333839999999995,52.92784,0.5769397198293768,0.2750313673584453,0.09343961795137509,0.26258429553411167,0.7198781444627561
135,Bangor,-4.129263,53.22739,0.5274678466828674,0.3350344852097754,0.34469083350963536,0.3203660466543645,0.6709712893295019
136,Tywyn,-4.087249,52.58701,0.5213681824458714,0.18407104428215057,0.01,0.27895802351404597,0.7343962342547716
137,Aberystwyth,-4.08292,52.4153,0.504137449380119,0.27973720620734943,0.01,0.32978171108803567,0.7678520344212426
138,Lampeter,-4.0785089999999995,52.1129,0.5905154150482524,0.18660542870654898,0.046743058511787956,0.6567542699654506,0.5617448241528309
139,Barnstaple,-4.058338,51.07816,0.5173413946960578,0.16257235629914404,0.21972385512728138,0.6112763251126546,0.7032494412612676
140,Tain,-4.05523,57.8115,0.2849785637685373,0.43850238656347673,0.06740470883052696,0.17349271976077854,0.5517879708705867
141,Okehampton,-4.004263,50.73831,0.18220974100038934,0.051783618600726035,0.16209302552016638,0.40988041626906696,0.8843515472526372
142,Llandeilo,-3.9914300000000003,51.88469,0.6665076241252358,0.2275451052108837,0.15824593637047363,0.8079900500651782,0.4533626837624461
143,Motherwell,-3.9810968,55.78321,0.2752699088825393,0.6201632575171775,0.07720024807815817,0.4240986266694555,0.4190330652410245
144,Golspie,-3.976086,57.97341,0.2710829654726054,0.33118091267666466,0.06468321512772618,0.122298347945817,0.5043018062309245
145,Airdrie,-3.9625660000000003,55.86626999999999,0.26935695126307674,0.6162339591641292,0.07583537371500802,0.41791021233793874,0.39460018939669717
146,Swansea,-3.9436459999999998,51.62144,0.7586903353224514,0.3437555807942941,0.19577867161436383,0.798685652078645,0.4666830284224137
147,Stirling,-3.9369029,56.116519999999994,0.2520972038760544,0.6026516201395739,0.0773783931943372,0.4072629319264818,0.43530765284654765
148,Tregaron,-3.934385,52.22,0.5960698471568677,0.16669727945103735,0.015555495536835317,0.6544706681887196,0.5855529418887111
149,Tregaron,-3.934385,52.22,0.5960698471568677,0.16669727945103735,0.015555495536835317,0.6544706681887196,0.5855529418887111
150,Castle Douglas,-3.9314139999999997,54.940419999999996,0.304661027154677,0.5118995175460032,0.01,0.4661475866919899,0.347071090881248
151,Dolgellau,-3.8844,52.74215,0.5366726325670577,0.19120995445825137,0.04376239971700888,0.25999549578864095,0.7391620465109404
152,Aberfeldy,-3.866969,56.62175,0.14710554263138087,0.4889272416730205,0.01,0.42407130849177904,0.45117811714050315
153,Machynlleth,-3.853485,52.59027,0.47535568616179874,0.1723086443799294,0.05888847430949287,0.13402743619134935,0.8765889771482617
154,Brora,-3.8525480000000005,58.012159999999994,0.2624964523381066,0.41940101703448435,0.06720162322697829,0.16575457454288453,0.5500648546257455
155,Llandudno,-3.827609,53.324059999999996,0.9544006368668241,0.31150114482281593,0.7061222510112705,0.7177831500699043,0.3186546513046676
156,Llandudno,-3.827609,53.324059999999996,0.9544006368668241,0.31150114482281593,0.7061222510112705,0.7177831500699043,0.3186546513046676
157,Aviemore,-3.823812,57.19449,0.29472665956111627,0.469067755967709,0.01,0.2640640835625305,0.523774898995602
158,Dalbeattie,-3.8225269999999996,54.934219999999996,0.3252274142173482,0.49076416128242506,0.01,0.39338053924244426,0.3538783836103617
159,Falkirk,-3.7839131,56.00188000000001,0.15124202720521557,0.5970439735359758,0.10303004676813683,0.551006136317577,0.3693250423717969
160,Kingsbridge,-3.777493,50.28395,0.15741738665795957,0.06716090332674991,0.15390116292681996,0.40988333067472354,0.9112300627136158
161,Pitlochry,-3.729711,56.70436,0.15385382241360257,0.4172347286195787,0.01,0.45039104546425274,0.4542750289240175
162,Colwyn Bay,-3.72764,53.29318000000001,0.9302329270419769,0.29589211327431614,0.7035589562776682,0.7244286350589625,0.31943071264383766
163,Totnes,-3.685797,50.43374,0.1844570375062699,0.06416249145673456,0.15191620821914006,0.42634986569396865,0.9097836789588125
164,Grantown-on-Spey,-3.609628,57.33041,0.250701167716158,0.49844379784697856,0.055489258709039466,0.20148100451223608,0.45996091974899445
165,Dumfries,-3.60512,55.070859999999996,0.3342306585008015,0.5338760196839702,0.01,0.52594348118815,0.39086686433046947
166,Whitehaven,-3.589233,54.5497,0.3837734915137916,0.417233442539503,0.20944156245654616,0.31677474274403655,0.5694366678460304
167,Dartmouth,-3.578807,50.35252,0.17382905990683323,0.052909401401407416,0.15646543286893214,0.39884337087643834,0.9017991703690248
168,Bridgend,-3.576945,51.504290000000005,0.7075717025888597,0.2725856442817504,0.3509930534763497,0.6598103057238592,0.5481886126355896
169,Paignton,-3.564235,50.43508,0.18140679864998505,0.09369747686210347,0.1615538552548501,0.43579227449575353,0.9429290511273135
170,Workington,-3.5427519999999997,54.64357,0.4152743810583015,0.42644163283390013,0.18899700082161758,0.2957627505214809,0.5676502076518855
171,Llanidloes,-3.5401949999999998,52.447790000000005,0.3776473602345007,0.13987869174825,0.14373099453079402,0.03578939934269229,0.9458278903259473
172,Exeter,-3.533899,50.71841,0.08734730717373958,0.14322551528277552,0.16530075314562984,0.43784718352013263,1.0
173,Torquay,-3.525315,50.46192,0.18165029620332687,0.09927969065032052,0.16171736283225044,0.430112351446419,0.9448579984921688
174,Thurso,-3.5220800000000003,58.59356999999999,0.2646160478312899,0.459428456662454,0.06764442847984557,0.16919162621202552,0.5886328156452513
175,Livingston,-3.518068,55.90071,0.07753083978839673,0.512890651815066,0.017367867834049967,0.3529987390003517,0.5977440554801376
176,Rhyl,-3.4916339999999995,53.319140000000004,1.0,0.3041304706538212,0.7186931959003128,0.7110132995287836,0.3030044057298456
177,Tiverton,-3.491207,50.90205,0.2351900851973517,0.06229217951396208,0.12465618872840477,0.3668972270226363,0.9542892111001295
178,Tiverton,-3.491207,50.90205,0.2351900851973517,0.06229217951396208,0.12465618872840477,0.3668972270226363,0.9542892111001295
179,Minehead,-3.481152,51.20428,0.5719331163081917,0.15793476069578982,0.35315885744029263,0.45366364538609694,0.6678829206431808
180,Dunfermline,-3.452151,56.071740000000005,0.08483202861586697,0.4969741809521076,0.016510489195083737,0.35070595702245516,0.6053900885404504
181,Perth,-3.4308381000000003,56.39499,0.12895199949762667,0.5316816490419544,0.03467900692097909,0.41807879716539936,0.4342470869855711
182,Prestatyn,-3.4076129999999996,53.33651,0.9890312207912585,0.28099588296575895,0.7256677116212299,0.7102996344537476,0.2992400381031801
183,Builth Wells,-3.4045919999999996,52.15002,0.46710513692701705,0.03498020268612544,0.16771481585578177,0.6128771383567181,0.7755764044066911
184,Braemar,-3.3979439,57.00646999999999,0.1614625563949438,0.3520779299188116,0.0601234555957867,0.2664804903239631,0.4140014887503716
185,Brecon,-3.391463,51.94895,0.38173774027543456,0.01,0.15942511776537732,0.9884378001091426,0.6456473401605055
186,Merthyr Tydfil,-3.381646,51.74873,0.5566777119123444,0.20129403992018885,0.15508000526555293,0.9618904788052718,0.5376988918064273
187,Llandrindod Wells,-3.377742,52.2417,0.5403686977057012,0.01,0.21678206276007705,0.5944139238724546,0.7748982926646525
188,Corwen,-3.369242,52.98005,0.41068392298429307,0.24107612034517267,0.12865556894857824,0.2708113256445557,0.6826819451898478
189,Cockermouth,-3.367985,54.66326,0.420283080585529,0.4237543948930677,0.054635341668567546,0.27486699199664993,0.5507826734117768
190,Lockerbie,-3.349008,55.122240000000005,0.5288072237673721,0.4268852438403861,0.01,0.3920696907201156,0.5382589278908066
191,Blairgowrie,-3.3378318,56.58941,0.1426087300868851,0.4909239999706107,0.01,0.45864446811982873,0.4151096873396479
192,Elgin,-3.318485,57.64945,0.30126006665011457,0.5419248663228087,0.07059348596800795,0.22444980446114812,0.5687324069713778
193,Newtown,-3.313106,52.51211,0.4224941956127678,0.14952539751204383,0.1811280870816909,0.09248112969644409,0.9009869647893999
194,Ruthin,-3.3103108,53.114869999999996,0.8579029163211076,0.2906064171750214,0.6107775719069946,0.6541746805235368,0.3520928373232787
195,Ruthin,-3.3103108,53.114869999999996,0.8579029163211076,0.2906064171750214,0.6107775719069946,0.6541746805235368,0.3520928373232787
196,Sidmouth,-3.2375599999999998,50.67865,0.2696894320649239,0.011564478129343013,0.09748583551988275,0.3900555290948078,0.9819429950550821
197,Barrow-in-Furness,-3.2188939999999997,54.10896999999999,0.31590631360718374,0.3259639490358207,0.3121532705617074,0.36399469087947744,0.6779214659713855
198,Peebles,-3.1936419999999996,55.65306999999999,0.1006021783751497,0.41518828316517153,0.017466447792768066,0.31505627219919563,0.5992180601459667
199,Edinburgh,-3.1882669999999997,55.95325,0.09421523724602082,0.5629360997569995,0.017586235873304573,0.34928229625639345,0.6604893324725962
200,Cardiff,-3.17909,51.48158,0.606177447166768,0.3533048602064008,0.3668620364852569,0.6063601610921663,0.6089516003898586
201,Llangollen,-3.1716599999999997,52.96921,0.3743700704519229,0.25958144457571986,0.1962417428989276,0.2236834889867002,0.7201590323936731
202,Kirkcaldy,-3.158137,56.11682,0.09111312533878484,0.5180090629512193,0.017230594205311096,0.3085285450058825,0.6271728695641788
203,Welshpool,-3.146407,52.66035,0.45728444336062113,0.11029427165523634,0.25800915400426594,0.11235541552548103,0.9753227012053662
204,Mold,-3.1419029999999997,53.1672,0.9450430942672813,0.33768825017595183,0.6677916552793918,0.7104484406842801,0.3178671037655051
205,Mold,-3.1419029999999997,53.1672,0.9450430942672813,0.33768825017595183,0.6677916552793918,0.7104484406842801,0.3178671037655051
206,Taunton,-3.106849,51.01534,0.3757278867503538,0.09279845554006484,0.1715477591359149,0.4958563086319804,0.8969000083246608
207,Wick,-3.093716,58.43894,0.28764258960942996,0.4662851044446768,0.0679264646668459,0.19316231860445424,0.5539407051057189
208,John o' Groats,-3.0688997000000002,58.63734,0.24784750941180628,0.3401083929063752,0.0641413173657385,0.13972362490201232,0.487489932822771
209,Dalkeith,-3.066606,55.893119999999996,0.09080948298911018,0.4718832496129988,0.01719578233813316,0.31493472389984567,0.6346228438883128
210,Oswestry,-3.056412,52.85715,0.4212871490320503,0.2838871355515062,0.14890730781102604,0.244827026254633,0.7740817642186207
211,Blackpool,-3.0356748,53.81751,0.3095691354404196,0.30533578339458567,0.5064838425962905,0.5124375177644772,0.660233859320618
212,Birkenhead,-3.023009,53.389990000000004,0.9827981207711771,0.3855992145854119,0.6871876811178562,0.7898278935483194,0.28707852614866547
213,Cupar,-3.010137,56.32023,0.1014168005380762,0.4490714428666053,0.015564666757810045,0.26717253733103913,0.5802508439438705
214,Southport,-3.010113,53.64571,0.8111317111220588,0.31931280816876445,0.6902676448933623,0.7595679249413608,0.36371330069352953
