index,placename,longitude,latitude,himsel,himself,himsen,hissel,hisself
177,Tiverton,-3.491207,50.90205,0.01,0.19275785377657484,0.01,0.01,0.14713367498394467
178,Tiverton,-3.491207,50.90205,0.01,0.19275785377657484,0.01,0.01,0.14713367498394467
179,Minehead,-3.481152,51.20428,0.01,0.1464365559122296,0.01,0.01,0.1717991912245959
180,Dunfermline,-3.452151,56.071740000000005,0.5042496786371332,0.3119941750234482,0.01,0.01,0.5261072698001186
181,Perth,-3.4308381000000003,56.39499,0.2127089747201673,0.20118596597896418,0.01,0.01,0.14266877939396247
182,Prestatyn,-3.4076129999999996,53.33651,0.02646733135858745,0.18040508563967664,0.01,0.01,0.01
183,Builth Wells,-3.4045919999999996,52.15002,0.01,0.15976354880523325,0.01,0.01,0.31514096588843027
184,Braemar,-3.3979439,57.00646999999999,0.05932038400420045,0.01,0.01,0.01,0.01
185,Brecon,-3.391463,51.94895,0.01,0.19199442158051916,0.01,0.01,0.5614938966185188
186,Merthyr Tydfil,-3.381646,51.74873,0.01,0.3703552251267751,0.01,0.01,0.7470248000231408
187,Llandrindod Wells,-3.377742,52.2417,0.01,0.13662998340679222,0.01,0.01,0.2687468286802075
188,Corwen,-3.369242,52.98005,0.01,0.1013441929261633,0.01,0.01,0.01
189,Cockermouth,-3.367985,54.66326,0.07326150102178586,0.15504507988583963,0.01,0.4871643942876765,0.3439671677097773
190,Lockerbie,-3.349008,55.122240000000005,0.09214464668145896,0.22261177342239488,0.01,0.7352772395008862,0.5191496241284325
191,Blairgowrie,-3.3378318,56.58941,0.15682811957816956,0.15329391168738282,0.01,0.01,0.29452699992176395
192,Elgin,-3.318485,57.64945,0.7689635964135809,0.28039823576074274,0.01,0.01,0.01
193,Newtown,-3.313106,52.51211,0.01,0.1193695322393338,0.01,0.01,0.3827788862410882
194,Ruthin,-3.3103108,53.114869999999996,0.01,0.1753841119050171,0.01,0.01,0.01
195,Ruthin,-3.3103108,53.114869999999996,0.01,0.1753841119050171,0.01,0.01,0.01
196,Sidmouth,-3.2375599999999998,50.67865,0.01,0.17554484737169737,0.01,0.01,0.01
197,Barrow-in-Furness,-3.2188939999999997,54.10896999999999,0.04466367507229844,0.2691464373548076,0.04541379624180101,0.01,0.01
198,Peebles,-3.1936419999999996,55.65306999999999,0.17008875299528511,0.16743312287244602,0.01,0.01,0.21779372386219123
199,Edinburgh,-3.1882669999999997,55.95325,0.3056792853688263,0.5772761459838845,0.01,0.01,0.7175913344349321
200,Cardiff,-3.17909,51.48158,0.01,0.5443561476948481,0.01,0.01,0.01
201,Llangollen,-3.1716599999999997,52.96921,0.01,0.131925121651089,0.01,0.01,0.01
202,Kirkcaldy,-3.158137,56.11682,0.2858080103081034,0.35107379997224236,0.01,0.01,0.36901862209288994
203,Welshpool,-3.146407,52.66035,0.01,0.17383841400116642,0.01,0.01,0.22197202539593042
204,Mold,-3.1419029999999997,53.1672,0.01,0.261070257626205,0.01,0.01,0.01
205,Mold,-3.1419029999999997,53.1672,0.01,0.261070257626205,0.01,0.01,0.01
206,Taunton,-3.106849,51.01534,0.01,0.290839024670481,0.01,0.01,0.31996788697465606
207,Wick,-3.093716,58.43894,0.6842016706949002,0.1405740526307954,0.01,0.01,0.01
208,John o' Groats,-3.0688997000000002,58.63734,0.24556378000873036,0.01,0.01,0.01,0.01
209,Dalkeith,-3.066606,55.893119999999996,0.17402636254140008,0.2869643884110264,0.01,0.01,0.3921908516183437
210,Oswestry,-3.056412,52.85715,0.01,0.22643594469360737,0.01,0.01,0.19170786899083322
211,Blackpool,-3.0356748,53.81751,0.03127260199443779,0.3910520416317715,0.04769672854386387,0.01,0.01
212,Birkenhead,-3.023009,53.389990000000004,0.011060660536496791,0.3820475178190339,0.01,0.01,0.01
213,Cupar,-3.010137,56.32023,0.16895348534425167,0.15933392534795107,0.01,0.01,0.19831169963607176
214,Southport,-3.010113,53.64571,0.01,0.3184602055879806,0.01,0.01,0.01
215,Bridgwater,-3.003632,51.12789,0.01,0.3438217260347819,0.01,0.01,0.3100234538963556
216,Langholm,-2.998913,55.153059999999996,0.09069994930453111,0.09536013494415257,0.01,0.36187456398946843,0.17033669231360923
217,Newport,-2.997664,51.58415,0.04747764182921893,0.3776476342238173,0.01,0.01,0.01
218,Axminster,-2.9949369999999997,50.78273,0.01,0.1887937426502795,0.01,0.01,0.3103023133633839
219,Wrexham,-2.9924939999999998,53.043040000000005,0.01,0.3150434684111559,0.01,0.01,0.01
220,Liverpool,-2.9915726,53.40837,0.016514932845206602,0.6002405694163034,0.01,0.01,0.01
221,Weston-super-Mare,-2.977255,51.347409999999996,0.01,0.30613824239338355,0.01,0.01,0.01
222,Dundee,-2.9707209999999997,56.462019999999995,0.19023949274502797,0.387268375410326,0.01,0.01,0.4465929420358528
223,Kirkwall,-2.9622491,58.984669999999994,0.7166676869535532,0.15010477964685087,0.01,0.01,0.01
224,Ambleside,-2.961333,54.428740000000005,0.15554947499468968,0.2364599270653158,0.01,0.01,0.01
225,Orkney Islands,-2.9605206,58.980940000000004,0.7333672014102587,0.15542221504022968,0.01,0.01,0.01
226,Lyme Regis,-2.936639,50.725159999999995,0.01,0.1680094933680251,0.01,0.01,0.21874192364918812
227,Carlisle,-2.932931,54.892469999999996,0.09788467007582057,0.3643159825369306,0.01,0.9763503693473705,0.68936166670102
228,Chester,-2.893075,53.19339,0.01,0.39285723510085574,0.01,0.01,0.01
229,Forfar,-2.889062,56.64356,0.12801341047261636,0.20141549778548448,0.01,0.01,0.30051534871303837
230,Morecambe,-2.864968,54.074169999999995,0.07742865742588487,0.22544527203794285,0.04723742625740239,0.01,0.01
231,Selkirk,-2.838524,55.55066,0.4384883220703044,0.2051606950917061,0.01,0.01,0.441156245014536
232,Galashiels,-2.814449,55.62373,0.4274447339911216,0.19248050880638795,0.01,0.01,0.430045469617778
233,Lancaster,-2.8007399,54.046569999999996,0.06755295419252401,0.3183504973654456,0.0686874851032821,0.01,0.01
234,St Andrews,-2.7967214,56.339780000000005,0.2141452079677044,0.23043127282945317,0.01,0.01,0.2681132572713566
235,Hawick,-2.780914,55.42706,0.2638145430986655,0.16962043809557523,0.01,0.01,0.3715875616821569
236,Bridport,-2.758301,50.733579999999996,0.01,0.17678939466667926,0.01,0.01,0.18499290118506415
237,Shrewsbury,-2.7553267999999997,52.7073,0.01,0.3711905380172788,0.01,0.01,0.2848375909017071
238,Penrith,-2.752708,54.6641,0.12531960685555843,0.31591609798120224,0.01,1.0,0.23535323941882846
239,Kendal,-2.74629,54.32801,0.09281478993054781,0.2776272641426547,0.01,0.01,0.01
240,Street,-2.7429189999999997,51.12468,0.01,0.138046212022307,0.01,0.01,0.01
241,Glastonbury,-2.718454,51.14743,0.01,0.17122645399650577,0.01,0.01,0.01
242,Hereford,-2.715974,52.0564,0.01,0.3146812304446314,0.01,0.01,0.01
243,Ludlow,-2.7139129,52.36775,0.01,0.20937840078083048,0.01,0.01,0.01
244,Preston,-2.70309,53.7632,0.04497050024034237,0.4471365379651465,0.01,0.01,0.01
245,Whitchurch,-2.682045,52.96872,0.01,0.16983544962411992,0.01,0.01,0.01
246,Wells,-2.6445979,51.20935,0.01,0.20146354550591752,0.01,0.01,0.01
247,Yeovil,-2.633308,50.94206,0.01,0.26670425809181414,0.01,0.01,0.01
248,Wigan,-2.6325074,53.54506,0.01,0.47405006553219553,0.01,0.01,0.21047970249928477
249,Warrington,-2.5969501,53.39004,0.01,0.4923121990278885,0.01,0.01,0.01
250,Arbroath,-2.591543,56.55911,0.11165228463661148,0.22291620053015285,0.01,0.01,0.3494761503839811
251,Bristol,-2.58791,51.45451,0.01,0.5703160509186306,0.01,0.01,0.29657722417222787
252,Guernsey,-2.5852779999999997,49.46569,0.01,0.01,0.01,0.01,0.01
253,Ross-on-Wye,-2.582446,51.91445,0.01,0.24190098139938898,0.01,0.01,0.01
254,Jedburgh,-2.5549369,55.47772,0.24156218337904575,0.12792906849292113,0.01,0.01,0.2835372611176481
255,Sedbergh,-2.5281740000000004,54.32363,0.06129880798827117,0.13842161876650702,0.01,0.01,0.01
256,Sedbergh,-2.5281740000000004,54.32363,0.06129880798827117,0.13842161876650702,0.01,0.01,0.01
257,Nantwich,-2.524102,53.067190000000004,0.01,0.22671222077709757,0.01,0.01,0.01
258,Banff,-2.524038,57.666509999999995,0.5077659599505022,0.1430671786033189,0.01,0.01,0.03696111926073124
259,Dunbar,-2.516737,56.00209,0.20596612857200713,0.24576159659302727,0.01,0.01,0.31194303836782883
260,Cinderford,-2.5009579,51.8253,0.01,0.22186523024446828,0.01,0.01,0.01
261,Banchory,-2.4909599,57.05386,0.2554435137156076,0.1801021258940777,0.01,0.01,0.04208149994651464
262,Blackburn,-2.487529,53.748580000000004,0.03211121615415449,0.35787057888985546,0.01,0.01,0.01
263,Market Drayton,-2.483485,52.90355,0.01,0.13834978306081663,0.01,0.01,0.01
264,Telford,-2.4672611,52.67759,0.01,0.3235738726286235,0.01,0.01,0.23079225626389677
265,Montrose,-2.4661150000000003,56.70692,0.09987794357957289,0.1983725659105108,0.01,0.01,0.312621990497114
266,Turriff,-2.4623,57.53893000000001,0.5182227279575375,0.15262570944705947,0.01,0.01,0.037722284462212166
267,Weymouth,-2.457621,50.61443,0.01,0.2507164559360952,0.01,0.01,0.01
268,Crewe,-2.4438209,53.10041,0.01,0.3035115489927928,0.01,0.01,0.01
269,Fortuneswell,-2.4422189999999997,50.55919,0.01,0.12135064053535013,0.01,0.01,0.01
270,Dorchester,-2.4411810000000003,50.71116,0.01,0.3255126609823642,0.01,0.01,0.01
271,Alston,-2.438685,54.812169999999995,0.06374597586515766,0.09057604681080836,0.01,0.01,0.09976373910494585
272,Kelso,-2.432207,55.600030000000004,0.2607202547905817,0.16130856995269355,0.01,0.01,0.306024330328311
273,Wincanton,-2.416007,51.055690000000006,0.01,0.1510079558132808,0.01,0.01,0.01
