index,placename,longitude,latitude,'ee,du,tha,thee,thou,ye,you
54,Rosslare,-6.3414908,52.25131,0.01,0.01,0.01,0.01,0.01,0.8545673686868808,0.3574579628423525
55,Newry,-6.34023,54.1751,0.01,0.01,0.01,0.01,0.01,0.45699042818621743,0.6869999309378891
56,Ballymena,-6.2802213,54.86529,0.01,0.01,0.01,0.01,0.01,0.01,0.9462421577770882
57,Banbridge,-6.2704803,54.34873,0.01,0.01,0.01,0.01,0.01,0.45333761157794866,0.6765473395825257
58,Dublin,-6.2603097000000005,53.34981,0.01,0.01,0.01,0.01,0.01,0.9533919403487356,0.4705731939841158
59,Antrim,-6.2072498,54.719530000000006,0.01,0.01,0.01,0.01,0.01,0.4580661670452312,0.6900781743604864
60,Antrim,-6.2072498,54.719530000000006,0.01,0.01,0.01,0.01,0.01,0.4580661670452312,0.6900781743604864
61,Wicklow,-6.044589,52.980819999999994,0.01,0.01,0.01,0.01,0.01,0.9194363517155624,0.4317074120008828
62,Kilkeel,-6.007004,54.06312,0.01,0.01,0.01,0.01,0.01,0.446253083555185,0.6562748528116475
63,Belfast,-5.93012,54.597280000000005,0.01,0.01,0.01,0.01,0.01,0.4720101295462896,0.7299790392350463
64,Down,-5.7156921999999994,54.32875,0.01,0.01,0.01,0.01,0.01,0.45832491164701683,0.6908185760498977
65,Balivanich,-7.3743509000000005,57.472269999999995,0.01,0.01,0.01,0.01,0.01,0.7375811796937755,0.4346147525216476
66,Western Isles,-7.0194034,57.759890000000006,0.01,0.01,0.01,0.01,0.01,0.7647013270566172,0.4734171145573204
67,Dunvegan,-6.581398200000001,57.4366,0.01,0.01,0.01,0.01,0.01,0.6409255329244159,0.47972581120060015
68,Stornoway,-6.384869200000001,58.209430000000005,0.01,0.01,0.01,0.01,0.01,0.7754023112094645,0.4887276309671867
69,Scilly Isles,-6.327496599999999,49.92773,0.9551181265162346,0.01,0.01,0.01,0.24257373083694164,0.06381347483040561,0.7305790941635757
70,Portree,-6.1960231,57.41246999999999,0.01,0.01,0.01,0.01,0.01,0.6777802678478403,0.5430020522097598
71,Islay,-6.177067,55.73625,0.3823909857274902,0.01,0.06709983438727304,0.01,0.01,0.830321830856131,0.3479830983186659
72,Mull,-6.0008870000000005,56.4392,0.01,0.01,0.06712809707470206,0.01,0.01,0.7667737629493234,0.42152886868445266
73,Broadford,-5.9096592,57.24139,0.01,0.01,0.01,0.01,0.01,0.7324863343294844,0.42732526284092925
74,Kyle of Lochalsh,-5.7143293,57.28261,0.01,0.01,0.01,0.01,0.01,0.7324863343294844,0.42732526284092925
75,Campbeltown,-5.605373999999999,55.424119999999995,0.3836144131621024,0.01,0.04487633050144287,0.01,0.1623791626711062,0.7368654741302247,0.3877527055786277
76,Penzance,-5.537592,50.1188,0.9789063120242043,0.01,0.01,0.01,0.24861527559283153,0.06540281413308509,0.7642337032997473
77,Oban,-5.471047,56.41516,0.01,0.01,0.06809938979157316,0.01,0.01,0.777868398487878,0.4366089177368293
78,Lochgilphead,-5.4323449,56.03829,0.01,0.01,0.06661449561848602,0.01,0.01,0.8560205010000406,0.3591211075448193
79,Helston,-5.274996,50.10159,0.9652827803643433,0.01,0.01,0.01,0.2451552733060343,0.06449259698764281,0.7449596551419644
80,Redruth,-5.226666000000001,50.23302,0.9706600976415551,0.01,0.01,0.01,0.24652096397571613,0.06485186699959,0.7525672766272229
81,Ullapool,-5.161313,57.895419999999994,0.01,0.01,0.06695565014176028,0.01,0.01,0.6692034724275027,0.47356398599914495
82,Ballachulish,-5.133719999999999,56.673930000000006,0.01,0.01,0.06412636442805882,0.01,0.01,0.7324863343294844,0.37492471448125836
83,Fort William,-5.1052179,56.81981999999999,0.01,0.01,0.06798329392839579,0.01,0.01,0.6794744919602682,0.4903586618869099
84,Achnasheen,-5.078765799999999,57.578590000000005,0.01,0.01,0.06412636442805882,0.01,0.01,0.6409255329244159,0.42732526284092925
85,Newquay,-5.0737190000000005,50.4155,0.9775705176738196,0.01,0.01,0.01,0.24827602057273715,0.06531356686953688,0.7623438728739066
86,Falmouth,-5.066269999999999,50.152570000000004,0.9812515794253178,0.01,0.01,0.01,0.2492109089993227,0.06555950643963507,0.7675516973383356
87,Rothesay,-5.055793,55.83596,0.01,0.01,0.06790376158425414,0.01,0.01,0.7756338263310341,0.43357164286473626
88,Truro,-5.051041000000001,50.2632,0.9972771472135837,0.01,0.01,0.01,0.25328096238775444,0.06663020873111973,0.7902240537447803
89,Milford Haven,-5.0426971,51.71431,0.9628318189152226,0.01,0.01,0.01,0.24453279651877102,0.06432884303679463,0.7414921292329224
90,Stranraer,-5.024055000000001,54.903369999999995,0.3857671980267203,0.01,0.045128169540249466,0.01,0.6531617750202358,0.6443484049147781,0.3380974902749181
91,Fishguard,-4.975989,51.99393,0.3809046039123644,0.01,0.01,0.01,0.24184826939621867,0.06362262887512316,0.7811550646338749
92,Inchnadamph,-4.974295,58.15221,0.01,0.01,0.06412636442805882,0.01,0.01,0.6409255329244159,0.42732526284092925
93,Haverfordwest,-4.971319,51.80048,0.38694706088488123,0.01,0.01,0.01,0.24568481467998357,0.06463190257123418,0.8033930732644932
94,Dunoon,-4.926214,55.95097,0.01,0.01,0.06760538354938676,0.01,0.01,0.7722255895636178,0.42893909973556843
95,Pembroke,-4.908637000000001,51.674040000000005,0.9789161453874491,0.01,0.01,0.01,0.24861777299660048,0.06540347112101202,0.764247615163533
96,Girvan,-4.8542179,55.240159999999996,0.384704534751747,0.01,0.04500385609762786,0.01,0.6513625265758869,0.7389594334144751,0.2802943150705943
97,Wadebridge,-4.836456,50.51665,0.9689237028593031,0.01,0.01,0.01,0.24607996746560587,0.06473585476858247,0.7501106921313939
98,Invergarry,-4.800261,57.07095,0.01,0.01,0.06412636442805882,0.01,0.01,0.6409255329244159,0.42732526284092925
99,St Austell,-4.7834252,50.340379999999996,0.9727046773011498,0.01,0.01,0.01,0.2470402309671512,0.06498846971816913,0.7554598692240132
100,Greenock,-4.7719830000000005,55.956480000000006,0.01,0.01,0.06907250308550696,0.01,0.01,0.7889838296513038,0.45171723261569835
101,Helensburgh,-4.734014,56.00232,0.01,0.01,0.06779062164184377,0.01,0.01,0.8711341482386229,0.3764202818603714
102,Bodmin,-4.7188629,50.4715,0.965477813319552,0.01,0.01,0.01,0.24520480631170932,0.06450562755447302,0.7452355802592464
103,Tenby,-4.703579,51.672740000000005,0.38694706088488123,0.01,0.01,0.01,0.24568481467998357,0.06463190257123418,0.8033930732644932
104,Camelford,-4.682364,50.62206,0.9527047650945463,0.01,0.01,0.01,0.24196080342234827,0.0636522330174151,0.727164763325941
105,Irvine,-4.6696364,55.61156999999999,0.39498893974045235,0.01,0.01,0.01,0.01,0.857676963773774,0.43653278898915465
106,Cardigan,-4.660864,52.0837,0.01,0.01,0.01,0.01,0.24380452939393324,0.01,0.8659061045684772
107,Holyhead,-4.633038,53.30944,0.01,0.01,0.045092565165806314,0.01,0.01,0.06438399308639062,0.8532014888226906
108,Ayr,-4.629179,55.45856,0.396416418612746,0.01,0.01,0.01,0.01,0.8607765840969267,0.4403535451736431
109,Dumbarton,-4.564554,55.94529,0.01,0.01,0.06888300900549445,0.01,0.01,0.7868193248445294,0.44877519467791915
110,Bude,-4.543678,50.826640000000005,0.9675569013394286,0.01,0.01,0.01,0.01,0.06464453585004744,0.8036714308243553
111,Isle of Man,-4.5126330999999995,54.27697,0.3953370670001627,0.01,0.3006099631664589,0.01,0.6693649997562378,0.1320666041732554,0.4563600118758646
112,Kilmarnock,-4.498792,55.61472,0.3939942067862049,0.01,0.01,0.01,0.01,0.8555170057239986,0.4338703102928859
113,Newton Stewart,-4.483164,54.9603,0.38213604894302144,0.01,0.04470338715254699,0.01,0.6470136945380078,0.6382832829135885,0.32907266095261434
114,Liskeard,-4.4647190000000005,50.45552,0.9687318495062707,0.01,0.01,0.01,0.2460312419914193,0.06472303663774087,0.7498392653928725
115,Altnaharra,-4.442655,58.28023,0.01,0.9467079431568179,0.06412636442805882,0.01,0.01,0.6409255329244159,0.37492471448125836
116,Pwllheli,-4.417633900000001,52.888819999999996,0.01,0.01,0.04491976020961617,0.01,0.01,0.06413725899477861,0.8475532198708858
117,Lairg,-4.402414,58.022059999999996,0.01,0.01,0.06412636442805882,0.01,0.01,0.6409255329244159,0.42732526284092925
118,Launceston,-4.360451599999999,50.636829999999996,0.9650837664538713,0.01,0.01,0.01,0.24510472924723004,0.06447930044471874,0.7446780979224215
119,Carmarthen,-4.312131,51.857620000000004,0.01,0.01,0.01,0.01,0.24825879964288,0.01,0.8930658941041922
