index,placename,longitude,latitude,FATHER=BATH≠TRAP,FATHER=CLOTH≠LOT,FATHER=DRESS,FATHER=FACE,FATHER=KIT,FATHER=LOT,"FATHER=PALM≠BATH,TRAP",FATHER=SQUARE,FATHER=TRAP
52,Craigavon,-6.4175653,54.442930000000004,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.6989917099676998
53,Drogheda,-6.3560985,53.717859999999995,0.07099222877348177,0.01,0.01,0.5741712811689691,0.01,0.01,0.07809509557099151,0.01,0.24669808483594974
54,Rosslare,-6.3414908,52.25131,0.020957710607634353,0.07613372683920083,0.01,0.01,0.01,0.01,0.04610911478986425,0.01,0.036414035442853536
55,Newry,-6.34023,54.1751,0.08038212028270117,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.5586559394287566
56,Ballymena,-6.2802213,54.86529,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.6781763585460289
57,Banbridge,-6.2704803,54.34873,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.5947677378014573
58,Dublin,-6.2603097000000005,53.34981,0.18700243214684886,0.01,0.01,0.01,0.01,0.01,0.41142454780828464,0.01,0.6498336883814626
59,Antrim,-6.2072498,54.719530000000006,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.7319420107059296
60,Antrim,-6.2072498,54.719530000000006,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.7319420107059296
61,Wicklow,-6.044589,52.980819999999994,0.09054222008440133,0.01,0.01,0.01,0.01,0.01,0.19920217896701145,0.01,0.3146343293839567
62,Kilkeel,-6.007004,54.06312,0.01,0.01,0.01,0.01,0.01,0.01,0.05496103898136529,0.01,0.34723776078796986
63,Belfast,-5.93012,54.597280000000005,0.01,0.01,0.01,0.01,0.01,0.01,0.21104094538045962,0.01,1.0
64,Down,-5.7156921999999994,54.32875,0.01,0.01,0.01,0.01,0.01,0.01,0.09373452884804795,0.01,0.5922043780276259
65,Balivanich,-7.3743509000000005,57.472269999999995,0.01604939139842753,0.01,0.01,0.081127716141804,0.01,0.01,0.01,0.01,0.1638292411998918
66,Western Isles,-7.0194034,57.759890000000006,0.024783360114093864,0.01,0.01,0.23385013966597712,0.01,0.01,0.01,0.01,0.32295827910905245
67,Dunvegan,-6.581398200000001,57.4366,0.010478855303817177,0.01,0.01,0.07062577898617556,0.01,0.01,0.01,0.01,0.14262163821094245
68,Stornoway,-6.384869200000001,58.209430000000005,0.021815938267380642,0.01,0.01,0.30877531933939073,0.01,0.01,0.03599797600830767,0.01,0.4074809518772882
69,Scilly Isles,-6.327496599999999,49.92773,0.11041287612304687,0.01,0.01,0.034346069330933725,0.01,0.01,0.09343063905803536,0.01,0.09592122328022822
70,Portree,-6.1960231,57.41246999999999,0.03205832314917639,0.01,0.01,0.21606787953034892,0.01,0.01,0.011755265813714274,0.01,0.43632729274978904
71,Islay,-6.177067,55.73625,0.047561096669614375,0.01,0.48654189894234134,0.2098172006883148,0.01,0.01,0.01902532768748788,0.01,0.27796228980440313
72,Mull,-6.0008870000000005,56.4392,0.04796336197580598,0.01,0.01,0.2468571078451183,0.01,0.01,0.01,0.01,0.30304135896792894
73,Broadford,-5.9096592,57.24139,0.01,0.01,0.01,0.08475093512241441,0.01,0.01,0.01,0.01,0.14565614177141414
74,Kyle of Lochalsh,-5.7143293,57.28261,0.010478855303817177,0.01,0.01,0.08475093512241441,0.01,0.01,0.01,0.01,0.1395871364711725
75,Campbeltown,-5.605373999999999,55.424119999999995,0.05069875146538581,0.01,0.518639571819079,0.22365905867885233,0.01,0.01,0.020280448255342805,0.01,0.2962997498866807
76,Penzance,-5.537592,50.1188,0.18059285086334106,0.01,0.01,0.05617691336571012,0.01,0.01,0.15281646541541805,0.01,0.15689009994785985
77,Oban,-5.471047,56.41516,0.06392743848380683,0.01,0.01,0.32902077598354346,0.01,0.01,0.012786083249811965,0.01,0.4039053359779824
78,Lochgilphead,-5.4323449,56.03829,0.041133699698524824,0.01,0.01,0.24195006163894775,0.01,0.01,0.016454248757117682,0.01,0.2403985222576524
79,Helston,-5.274996,50.10159,0.1364486221686875,0.01,0.01,0.042444993751393614,0.01,0.01,0.11546191364131896,0.01,0.1185397864170862
80,Redruth,-5.226666000000001,50.23302,0.1524830298127592,0.01,0.01,0.04743280763652423,0.01,0.01,0.12903012240198142,0.01,0.13246968345263818
81,Ullapool,-5.161313,57.895419999999994,0.01656665616931502,0.01,0.01,0.16748484038511505,0.01,0.01,0.036448341520011425,0.01,0.3094341734267637
82,Ballachulish,-5.133719999999999,56.673930000000006,0.01397180672246106,0.01,0.01,0.08475093512241441,0.01,0.01,0.01,0.01,0.13351812935022905
83,Fort William,-5.1052179,56.81981999999999,0.03369966099010443,0.01,0.01,0.27255627636916646,0.01,0.01,0.012357117710971494,0.01,0.4489077328841819
84,Achnasheen,-5.078765799999999,57.578590000000005,0.01,0.01,0.01,0.07062577898617556,0.01,0.01,0.011527278697466063,0.01,0.13655263291070074
85,Newquay,-5.0737190000000005,50.4155,0.1757275615907158,0.01,0.01,0.05466347065377124,0.01,0.01,0.14869949009600872,0.01,0.15266337825534365
86,Falmouth,-5.066269999999999,50.152570000000004,0.2040187311972843,0.01,0.01,0.05893084547218,0.01,0.01,0.1442771194349447,0.01,0.16458124311588962
87,Rothesay,-5.055793,55.83596,0.06035309630163514,0.01,0.6174018712316132,0.26624948972153384,0.01,0.01,0.024142366650403636,0.01,0.35272283482701655
88,Truro,-5.051041000000001,50.2632,0.26193607829102433,0.01,0.01,0.0814803039387409,0.01,0.01,0.22164856171134265,0.01,0.22755705614352895
89,Milford Haven,-5.0426971,51.71431,0.14215370171577107,0.01,0.01,0.060511125058999395,0.01,0.01,0.07955990783468662,0.01,0.13432906049964952
90,Stranraer,-5.024055000000001,54.903369999999995,0.046393240264818336,0.01,0.5800604561613892,0.2084552582890127,0.01,0.01,0.05103494558382305,0.01,0.3134766594448817
91,Fishguard,-4.975989,51.99393,0.1099925811736723,0.01,0.01,0.01617451791447671,0.01,0.01,0.07699840100982469,0.01,0.10076824216625424
92,Inchnadamph,-4.974295,58.15221,0.01,0.01,0.01,0.09887609125865324,0.01,0.01,0.015369704545712126,0.01,0.12441462048951565
93,Haverfordwest,-4.971319,51.80048,0.1506849923855465,0.01,0.01,0.02215837725395781,0.01,0.01,0.1054844185495108,0.01,0.13804805416423316
94,Dunoon,-4.926214,55.95097,0.055264788919349696,0.01,0.01,0.32506969184635803,0.01,0.01,0.022106948586032307,0.01,0.32298513594606737
95,Pembroke,-4.908637000000001,51.674040000000005,0.20494459997807374,0.01,0.01,0.028094098649801103,0.01,0.01,0.11845655636876688,0.01,0.17502796381040603
96,Girvan,-4.8542179,55.240159999999996,0.043903069666843535,0.01,0.5489255433004672,0.19726636197089575,0.01,0.01,0.02683090454314457,0.01,0.3305536490884636
97,Wadebridge,-4.836456,50.51665,0.14711927666470115,0.01,0.01,0.04576430805598698,0.01,0.01,0.12449135027712407,0.01,0.12780992110063194
98,Invergarry,-4.800261,57.07095,0.01,0.01,0.01,0.05650062369744606,0.01,0.01,0.01,0.01,0.1517251470716558
99,St Austell,-4.7834252,50.340379999999996,0.1712705729584056,0.01,0.01,0.049471534352321676,0.01,0.01,0.12111841283100878,0.01,0.13816341098311993
100,Greenock,-4.7719830000000005,55.956480000000006,0.08490373279340066,0.01,0.01,0.4994071414265892,0.01,0.01,0.033963080151542174,0.01,0.49620462169183605
101,Helensburgh,-4.734014,56.00232,0.058373431364081324,0.01,0.01,0.34335485064872173,0.01,0.01,0.023350463671167793,0.01,0.3411530385519129
102,Bodmin,-4.7188629,50.4715,0.13700106381429014,0.01,0.01,0.04261684145364908,0.01,0.01,0.11592938607572419,0.01,0.11901972028257207
103,Tenby,-4.703579,51.672740000000005,0.1506849923855465,0.01,0.01,0.02215837725395781,0.01,0.01,0.1054844185495108,0.01,0.13804805416423316
104,Camelford,-4.682364,50.62206,0.09689081788299356,0.01,0.01,0.03265141780960137,0.01,0.01,0.09770280106997159,0.01,0.09118842415280386
105,Irvine,-4.6696364,55.61156999999999,0.09094893971714954,0.01,0.93039212582003,0.3343533054835872,0.01,0.01,0.03638127591901848,0.01,0.5459005463093545
106,Cardigan,-4.660864,52.0837,0.11982476779836532,0.01,0.01,0.019002338838999783,0.01,0.01,0.11113678298264056,0.01,0.10205666987447377
107,Holyhead,-4.633038,53.30944,0.04059257841739554,0.01,0.01,0.01,0.01,0.01,0.24559656399369215,0.01,0.07052963068730439
108,Ayr,-4.629179,55.45856,0.09775334205133009,0.01,1.0,0.4312417926275649,0.01,0.01,0.039103164041669754,0.01,0.5713018558291598
109,Dumbarton,-4.564554,55.94529,0.08036465715873575,0.01,0.01,0.4727081175692627,0.01,0.01,0.03214736505254691,0.01,0.4696768091442987
110,Bude,-4.543678,50.826640000000005,0.15402562024104494,0.01,0.01,0.04449032680437787,0.01,0.01,0.10892319875310781,0.01,0.12425196403390111
111,Isle of Man,-4.5126330999999995,54.27697,0.04278841626950333,0.01,0.9629802744463134,0.06921287488112743,0.01,0.01,0.3577278649384259,0.01,0.19329674440574937
112,Kilmarnock,-4.498792,55.61472,0.08647601411537699,0.01,0.8846348605653667,0.31790960130423207,0.01,0.01,0.03459202206966718,0.01,0.5190528168338638
113,Newton Stewart,-4.483164,54.9603,0.038398030838495856,0.01,0.48009535778787915,0.17253098491372365,0.01,0.01,0.05162642719088108,0.01,0.24462754389425478
114,Liskeard,-4.4647190000000005,50.45552,0.15780989701620646,0.01,0.01,0.04558341579945329,0.01,0.01,0.11159934789422224,0.01,0.12730472773013451
115,Altnaharra,-4.442655,58.28023,0.01,0.01,0.01,0.09887609125865324,0.01,0.01,0.015369704545712126,0.01,0.12441462048951565
116,Pwllheli,-4.417633900000001,52.888819999999996,0.0657861460867514,0.01,0.01,0.01,0.01,0.01,0.20676611083191634,0.01,0.04898720232354265
117,Lairg,-4.402414,58.022059999999996,0.01,0.01,0.01,0.09887609125865324,0.01,0.01,0.015369704545712126,0.01,0.12441462048951565
118,Launceston,-4.360451599999999,50.636829999999996,0.1463399410973921,0.01,0.01,0.042270317066520076,0.01,0.01,0.1034880720799829,0.01,0.11805195180841048
119,Carmarthen,-4.312131,51.857620000000004,0.18560801960489287,0.01,0.01,0.027293842967733427,0.01,0.01,0.14478101183229805,0.01,0.14658820395554623
120,Llangefni,-4.311401999999999,53.25578,0.06417672669511504,0.01,0.01,0.01,0.01,0.01,0.31062984358060486,0.01,0.06690426060828289
121,Caernarfon,-4.273911,53.13955,0.07306430960902971,0.01,0.01,0.01,0.01,0.01,0.28131071796367896,0.01,0.06347464209047854
122,Cumnock,-4.265828900000001,55.45355,0.06856318487833775,0.01,0.7013896756832657,0.3024685410721179,0.01,0.01,0.027426555545376288,0.01,0.4007052233772623
123,Aberaeron,-4.2581619,52.24279,0.09011160667435567,0.01,0.01,0.017775732664754816,0.01,0.01,0.1281402877505164,0.01,0.09546888389446652
124,Alness,-4.256825,57.69595,0.03238647380185504,0.01,0.01,0.1746236507817068,0.01,0.01,0.04750237685128003,0.01,0.3939006310747225
125,Glasgow,-4.251806,55.86424,0.17000904823040291,0.01,0.01,1.0,0.01,0.01,0.06800679712854008,0.01,0.9935873569496724
126,Dalwhinnie,-4.242783,56.9366,0.01,0.01,0.01,0.08475093512241441,0.01,0.01,0.01,0.01,0.1395871364711725
127,Inverness,-4.224721,57.47776999999999,0.05210952657272092,0.01,0.01,0.28096778384418253,0.01,0.01,0.07643086999664032,0.01,0.6337823477659399
128,Saltash,-4.21643,50.409209999999995,0.14824109715810138,0.01,0.01,0.04281946632048646,0.01,0.01,0.10483252373119027,0.01,0.11958560818394333
129,Bideford,-4.206666,51.01668,0.21679922955874445,0.01,0.01,0.07205876039439287,0.01,0.01,0.0947427159893309,0.01,0.07740180834522575
130,Invergordon,-4.1728819999999995,57.688109999999995,0.032767860128560734,0.01,0.01,0.17668003620776568,0.01,0.01,0.04806176955108243,0.01,0.3985392439626757
131,Llanelli,-4.160248,51.680890000000005,0.22328837294427903,0.01,0.01,0.030608689262958323,0.01,0.01,0.14571192431923743,0.01,0.16439139002136194
132,Plymouth,-4.1426565,50.37546,0.29789462448239706,0.01,0.01,0.08604691333654814,0.01,0.01,0.21066388396423327,0.01,0.24031061916292643
133,Tavistock,-4.141654,50.551120000000004,0.16638477972171312,0.01,0.01,0.048060272138549125,0.01,0.01,0.11766329785108529,0.01,0.13422205756040656
134,Porthmadog,-4.1333839999999995,52.92784,0.06696265826881297,0.01,0.01,0.01,0.01,0.01,0.2578182641450462,0.01,0.05817383055809554
135,Bangor,-4.129263,53.22739,0.09531744803855186,0.01,0.01,0.01,0.01,0.01,0.36698929868320934,0.01,0.08280706314204522
136,Tywyn,-4.087249,52.58701,0.08258513490620491,0.01,0.01,0.014842942557741443,0.01,0.01,0.12314935761751379,0.01,0.041453163481735715
137,Aberystwyth,-4.08292,52.4153,0.13481940990017305,0.01,0.01,0.0294700817436222,0.01,0.01,0.22847490638106496,0.01,0.15827622216218296
138,Lampeter,-4.0785089999999995,52.1129,0.12099157122602469,0.01,0.01,0.019187375659836355,0.01,0.01,0.11221898645113709,0.01,0.10305045500264877
139,Barnstaple,-4.058338,51.07816,0.25376099226420384,0.01,0.01,0.029744482065195702,0.01,0.01,0.13350657752625142,0.01,0.10862997413387436
140,Tain,-4.05523,57.8115,0.016245174797111354,0.01,0.01,0.13138779507958467,0.01,0.01,0.03574104955193736,0.01,0.31048599945402616
141,Okehampton,-4.004263,50.73831,0.14906624868861204,0.01,0.01,0.03767558555089049,0.01,0.01,0.09223904582997021,0.01,0.0728445102313233
142,Llandeilo,-3.9914300000000003,51.88469,0.1618054813201954,0.01,0.01,0.02379365615706143,0.01,0.01,0.12621416550544534,0.01,0.12778960169598658
143,Motherwell,-3.9810968,55.78321,0.08721390585528059,0.01,0.01,0.5486203638565398,0.01,0.01,0.06395984866286986,0.01,0.6398111334418182
144,Golspie,-3.976086,57.97341,0.01,0.01,0.01,0.08475093512241441,0.01,0.01,0.015369704545712126,0.01,0.12744912404998737
145,Airdrie,-3.9625660000000003,55.86626999999999,0.05092226371306032,0.01,0.01,0.5491324299987458,0.01,0.01,0.05601710384458521,0.01,0.5898497724503905
146,Swansea,-3.9436459999999998,51.62144,0.3257555889576956,0.01,0.01,0.04465504166921537,0.01,0.01,0.21257924494177527,0.01,0.23983073265237417
147,Stirling,-3.9369029,56.116519999999994,0.05454999348959003,0.01,0.01,0.4411896934467903,0.01,0.01,0.040005197203238536,0.01,0.6950580836958474
148,Tregaron,-3.934385,52.22,0.11412884643385982,0.01,0.01,0.018837791645177702,0.01,0.01,0.11529880728746277,0.01,0.10117292925807105
149,Tregaron,-3.934385,52.22,0.11412884643385982,0.01,0.01,0.018837791645177702,0.01,0.01,0.11529880728746277,0.01,0.10117292925807105
150,Castle Douglas,-3.9314139999999997,54.940419999999996,0.04235091242882993,0.01,0.5295187282046236,0.1902921705561898,0.39232029143207864,0.01,0.05694110477098665,0.01,0.25345854068969825
151,Dolgellau,-3.8844,52.74215,0.07698272024250465,0.01,0.01,0.01,0.01,0.01,0.15243290012939711,0.01,0.02675150663233018
152,Aberfeldy,-3.866969,56.62175,0.03236347202167999,0.01,0.01,0.21812453325849696,0.2248508330078607,0.01,0.011867158943381197,0.01,0.43110857577407324
153,Machynlleth,-3.853485,52.59027,0.09038246512609163,0.01,0.01,0.01,0.01,0.01,0.1789656332825632,0.01,0.03140791995463949
154,Brora,-3.8525480000000005,58.012159999999994,0.014304843350710875,0.01,0.01,0.17354216013842633,0.01,0.01,0.031472121501664035,0.01,0.2609740678782846
155,Llandudno,-3.827609,53.324059999999996,0.05520492531389746,0.01,0.01,0.01,0.01,0.01,0.34918745595793477,0.01,0.07193894629850178
156,Llandudno,-3.827609,53.324059999999996,0.05520492531389746,0.01,0.01,0.01,0.01,0.01,0.34918745595793477,0.01,0.07193894629850178
157,Aviemore,-3.823812,57.19449,0.0197804826241377,0.01,0.01,0.1999758394926128,0.01,0.01,0.04351908911169442,0.01,0.36946244481849383
158,Dalbeattie,-3.8225269999999996,54.934219999999996,0.03365484581979024,0.01,0.4207907252616038,0.15121878829751415,0.31176374162681914,0.01,0.04524918099690214,0.01,0.20141497831848468
159,Falkirk,-3.7839131,56.00188000000001,0.05464667864943004,0.01,0.01,0.44197166413646255,0.01,0.01,0.06011415144299035,0.01,0.6646404711375254
160,Kingsbridge,-3.777493,50.28395,0.17522702775562532,0.01,0.01,0.04428756296689224,0.01,0.01,0.0843319413613848,0.01,0.12368568801724213
161,Pitlochry,-3.729711,56.70436,0.02510956920438551,0.01,0.01,0.16923440906956824,0.17445308551234762,0.01,0.018414544227241796,0.01,0.31993787601384405
162,Colwyn Bay,-3.72764,53.29318000000001,0.05161432556736277,0.01,0.01,0.01,0.01,0.01,0.32647585217029196,0.01,0.0672599441827187
163,Totnes,-3.685797,50.43374,0.1921707049603012,0.01,0.01,0.04571291622719025,0.01,0.01,0.09948124267165259,0.01,0.08838442575277985
164,Grantown-on-Spey,-3.609628,57.33041,0.015276244720522952,0.01,0.01,0.09266345819407522,0.01,0.01,0.03360930407599048,0.01,0.2986029398433178
165,Dumfries,-3.60512,55.070859999999996,0.06525258452084633,0.01,0.815861184233236,0.3518334396239886,0.6044713444824841,0.01,0.055829817817677346,0.01,0.42831087301910364
166,Whitehaven,-3.589233,54.5497,0.0265875205100266,0.01,0.7479609990865883,0.01,0.5541641145279453,0.01,0.2705406319036776,0.01,0.15013645286175992
167,Dartmouth,-3.578807,50.35252,0.165266491320983,0.01,0.01,0.03931303303736353,0.01,0.01,0.08555370565972403,0.01,0.0760104612958535
168,Bridgend,-3.576945,51.504290000000005,0.22362242363425786,0.01,0.01,0.17731514727472128,0.01,0.01,0.16882088519512642,0.01,0.22093684568713667
169,Paignton,-3.564235,50.43508,0.25805237016158245,0.01,0.01,0.06138462354010308,0.01,0.01,0.13358628446173793,0.01,0.118685158362649
170,Workington,-3.5427519999999997,54.64357,0.019394709476691554,0.01,0.7274835424226331,0.052286873091691936,0.5389923720790434,0.01,0.25602209850612123,0.01,0.16849159331651212
171,Llanidloes,-3.5401949999999998,52.447790000000005,0.08467648121593271,0.01,0.01,0.01670358068884488,0.01,0.01,0.12949909902907947,0.01,0.07535693179211223
172,Exeter,-3.533899,50.71841,0.4098665939069939,0.01,0.01,0.01,0.01,0.01,0.20038857633127916,0.01,0.1582540996609701
173,Torquay,-3.525315,50.46192,0.2633263610409333,0.01,0.01,0.06263918262235517,0.01,0.01,0.13631647773768585,0.01,0.12111080724286266
174,Thurso,-3.5220800000000003,58.59356999999999,0.020393406605973573,0.01,0.01,0.3298757620633194,0.01,0.01,0.0448675846914565,0.01,0.3543355528836505
175,Livingston,-3.518068,55.90071,0.05391616428601436,0.01,0.01,0.4360634066384053,0.01,0.01,0.059310548147072414,0.01,0.6557555869565835
176,Rhyl,-3.4916339999999995,53.319140000000004,0.050999694010614535,0.01,0.01,0.01,0.01,0.01,0.33661369529296853,0.01,0.04430600363103499
177,Tiverton,-3.491207,50.90205,0.20659430848456706,0.01,0.01,0.01,0.01,0.01,0.11038553760162043,0.01,0.08204748224058192
178,Tiverton,-3.491207,50.90205,0.20659430848456706,0.01,0.01,0.01,0.01,0.01,0.11038553760162043,0.01,0.08204748224058192
179,Minehead,-3.481152,51.20428,0.1737801505922233,0.01,0.01,0.09897886768659987,0.01,0.01,0.07269734196938302,0.01,0.07229624168226596
