placename,you,you all,you folks,you guys,you lot,you two,you'ns,yous,yous'ns,longitude,latitude
Armagh,0.00000000,0.000000000,0.00000000,0.00000000,0.00000000,0.000000000,0.00000000,1.000000000,0.0000000, -6.6527920,54.35028
Magherafelt,0.15625000,0.000000000,0.00000000,0.03125000,0.12500000,0.000000000,0.15625000,0.406250000,0.1250000, -6.6079805,54.75537
Louth,0.00000000,0.000000000,0.00000000,0.00000000,0.14285714,0.000000000,0.00000000,0.857142857,0.0000000, -6.4889423,53.92523
Wexford,0.00000000,0.000000000,0.00000000,0.00000000,0.14285714,0.000000000,0.00000000,0.857142857,0.0000000, -6.4633381,52.33692
Craigavon,0.00000000,0.000000000,0.00000000,0.14285714,0.00000000,0.000000000,0.00000000,0.857142857,0.0000000, -6.4175653,54.44293
Drogheda,0.00000000,0.000000000,0.00000000,0.00000000,0.14285714,0.000000000,0.00000000,0.857142857,0.0000000, -6.3560985,53.71786
Rosslare,0.00000000,0.000000000,0.00000000,0.07142857,0.14285714,0.000000000,0.00000000,0.785714286,0.0000000, -6.3414908,52.25131
Newry,0.00000000,0.000000000,0.00000000,0.00000000,0.14285714,0.000000000,0.00000000,0.857142857,0.0000000, -6.3402300,54.17510
Ballymena,0.15625000,0.000000000,0.00000000,0.07291667,0.04166667,0.000000000,0.15625000,0.572916667,0.0000000, -6.2802213,54.86529
Banbridge,0.00000000,0.000000000,0.00000000,0.14285714,0.00000000,0.000000000,0.00000000,0.857142857,0.0000000, -6.2704803,54.34873
Dublin,0.00000000,0.000000000,0.00000000,0.12500000,0.12500000,0.000000000,0.00000000,0.750000000,0.0000000, -6.2603097,53.34981
Antrim,0.00000000,0.000000000,0.00000000,0.05555556,0.05555556,0.000000000,0.00000000,0.888888889,0.0000000, -6.2072498,54.71953
Antrim,0.00000000,0.000000000,0.00000000,0.05555556,0.05555556,0.000000000,0.00000000,0.888888889,0.0000000, -6.2072498,54.71953
Wicklow,0.00000000,0.000000000,0.00000000,0.07142857,0.14285714,0.000000000,0.00000000,0.785714286,0.0000000, -6.0445890,52.98082
Kilkeel,0.00000000,0.000000000,0.00000000,0.12500000,0.12500000,0.000000000,0.00000000,0.750000000,0.0000000, -6.0070040,54.06312
Belfast,0.22222222,0.000000000,0.00000000,0.05555556,0.00000000,0.000000000,0.00000000,0.722222222,0.0000000, -5.9301200,54.59728
Down,0.00000000,0.000000000,0.00000000,0.25000000,0.00000000,0.000000000,0.00000000,0.750000000,0.0000000, -5.7156922,54.32875
Balivanich,0.20333333,0.000000000,0.02000000,0.34333333,0.10000000,0.000000000,0.00000000,0.333333333,0.0000000, -7.3743509,57.47227
Western Isles,0.20333333,0.000000000,0.02000000,0.34333333,0.10000000,0.000000000,0.00000000,0.333333333,0.0000000, -7.0194034,57.75989
Dunvegan,0.20333333,0.000000000,0.02000000,0.34333333,0.10000000,0.000000000,0.00000000,0.333333333,0.0000000, -6.5813982,57.43660
Stornoway,0.20333333,0.000000000,0.02000000,0.34333333,0.10000000,0.000000000,0.00000000,0.333333333,0.0000000, -6.3848692,58.20943
Scilly Isles,0.29666667,0.000000000,0.00000000,0.40333333,0.23666667,0.000000000,0.00000000,0.063333333,0.0000000, -6.3274966,49.92773
Portree,0.20333333,0.000000000,0.02000000,0.34333333,0.10000000,0.000000000,0.00000000,0.333333333,0.0000000, -6.1960231,57.41247
Islay,0.21732026,0.000000000,0.00000000,0.31535948,0.06372549,0.000000000,0.00000000,0.403594771,0.0000000, -6.1770670,55.73625
Mull,0.22385621,0.000000000,0.00000000,0.34150327,0.08333333,0.000000000,0.00000000,0.351307190,0.0000000, -6.0008870,56.43920
Broadford,0.20333333,0.000000000,0.02000000,0.34333333,0.10000000,0.000000000,0.00000000,0.333333333,0.0000000, -5.9096592,57.24139
Kyle of Lochalsh,0.20333333,0.000000000,0.02000000,0.34333333,0.10000000,0.000000000,0.00000000,0.333333333,0.0000000, -5.7143293,57.28261
Campbeltown,0.24198718,0.000000000,0.00000000,0.29006410,0.08173077,0.000000000,0.00000000,0.386217949,0.0000000, -5.6053740,55.42412
Penzance,0.29666667,0.000000000,0.00000000,0.40333333,0.23666667,0.000000000,0.00000000,0.063333333,0.0000000, -5.5375920,50.11880
Oban,0.19934641,0.000000000,0.00000000,0.35620915,0.09803922,0.000000000,0.00000000,0.346405229,0.0000000, -5.4710470,56.41516
Lochgilphead,0.21732026,0.000000000,0.00000000,0.29575163,0.08333333,0.000000000,0.00000000,0.403594771,0.0000000, -5.4323449,56.03829
Helston,0.29666667,0.000000000,0.00000000,0.40333333,0.23666667,0.000000000,0.00000000,0.063333333,0.0000000, -5.2749960,50.10159
Redruth,0.29666667,0.000000000,0.00000000,0.40333333,0.23666667,0.000000000,0.00000000,0.063333333,0.0000000, -5.2266660,50.23302
Ullapool,0.20333333,0.000000000,0.02000000,0.32333333,0.10000000,0.000000000,0.00000000,0.353333333,0.0000000, -5.1613130,57.89542
Ballachulish,0.18333333,0.000000000,0.02000000,0.34333333,0.10000000,0.000000000,0.00000000,0.353333333,0.0000000, -5.1337200,56.67393
Fort William,0.20333333,0.000000000,0.02000000,0.34333333,0.10000000,0.000000000,0.00000000,0.333333333,0.0000000, -5.1052179,56.81982
Achnasheen,0.20333333,0.000000000,0.02000000,0.32333333,0.10000000,0.000000000,0.00000000,0.353333333,0.0000000, -5.0787658,57.57859
Newquay,0.29084967,0.000000000,0.00000000,0.39542484,0.25163399,0.000000000,0.00000000,0.062091503,0.0000000, -5.0737190,50.41550
Falmouth,0.29666667,0.000000000,0.00000000,0.40333333,0.23666667,0.000000000,0.00000000,0.063333333,0.0000000, -5.0662700,50.15257
Rothesay,0.21732026,0.000000000,0.00000000,0.31535948,0.06372549,0.000000000,0.00000000,0.403594771,0.0000000, -5.0557930,55.83596
Truro,0.29666667,0.000000000,0.00000000,0.40333333,0.23666667,0.000000000,0.00000000,0.063333333,0.0000000, -5.0510410,50.26320
Milford Haven,0.27941176,0.006535948,0.00000000,0.40686275,0.23366013,0.000000000,0.00000000,0.073529412,0.0000000, -5.0426971,51.71431
Stranraer,0.21314103,0.000000000,0.00000000,0.32852564,0.15865385,0.000000000,0.00000000,0.299679487,0.0000000, -5.0240550,54.90337
Fishguard,0.27403846,0.006410256,0.00000000,0.39903846,0.22916667,0.000000000,0.00000000,0.091346154,0.0000000, -4.9759890,51.99393
Inchnadamph,0.20333333,0.000000000,0.02000000,0.32333333,0.10000000,0.000000000,0.00000000,0.353333333,0.0000000, -4.9742950,58.15221
Haverfordwest,0.25980392,0.006535948,0.00000000,0.40686275,0.23366013,0.000000000,0.00000000,0.093137255,0.0000000, -4.9713190,51.80048
Dunoon,0.21732026,0.000000000,0.00000000,0.31535948,0.06372549,0.000000000,0.00000000,0.403594771,0.0000000, -4.9262140,55.95097
Pembroke,0.27941176,0.006535948,0.00000000,0.40686275,0.23366013,0.000000000,0.00000000,0.073529412,0.0000000, -4.9086370,51.67404
Girvan,0.24198718,0.000000000,0.00000000,0.30929487,0.10096154,0.000000000,0.00000000,0.347756410,0.0000000, -4.8542179,55.24016
Wadebridge,0.29084967,0.000000000,0.00000000,0.39542484,0.25163399,0.000000000,0.00000000,0.062091503,0.0000000, -4.8364560,50.51665
Invergarry,0.20333333,0.000000000,0.02000000,0.32333333,0.10000000,0.000000000,0.00000000,0.353333333,0.0000000, -4.8002610,57.07095
St Austell,0.31666667,0.000000000,0.00000000,0.40333333,0.21666667,0.000000000,0.00000000,0.063333333,0.0000000, -4.7834252,50.34038
Greenock,0.22712418,0.000000000,0.00000000,0.31535948,0.06372549,0.000000000,0.00000000,0.393790850,0.0000000, -4.7719830,55.95648
Helensburgh,0.22712418,0.000000000,0.00000000,0.31535948,0.06372549,0.000000000,0.00000000,0.393790850,0.0000000, -4.7340140,56.00232
Bodmin,0.29666667,0.000000000,0.00000000,0.40333333,0.23666667,0.000000000,0.00000000,0.063333333,0.0000000, -4.7188629,50.47150
Tenby,0.25980392,0.006535948,0.00000000,0.40686275,0.25326797,0.000000000,0.00000000,0.073529412,0.0000000, -4.7035790,51.67274
Camelford,0.29084967,0.000000000,0.00000000,0.39542484,0.25163399,0.000000000,0.00000000,0.062091503,0.0000000, -4.6823640,50.62206
Irvine,0.22712418,0.000000000,0.00000000,0.31535948,0.06372549,0.000000000,0.00000000,0.393790850,0.0000000, -4.6696364,55.61157
Cardigan,0.28044872,0.006410256,0.00000000,0.38621795,0.22916667,0.000000000,0.00000000,0.097756410,0.0000000, -4.6608640,52.08370
Holyhead,0.24090909,0.000000000,0.00000000,0.29545455,0.35000000,0.000000000,0.00000000,0.113636364,0.0000000, -4.6330380,53.30944
Ayr,0.24198718,0.000000000,0.00000000,0.30929487,0.08173077,0.000000000,0.00000000,0.366987179,0.0000000, -4.6291790,55.45856
Dumbarton,0.22712418,0.000000000,0.00000000,0.31535948,0.06372549,0.000000000,0.00000000,0.393790850,0.0000000, -4.5645540,55.94529
Bude,0.30065359,0.000000000,0.00000000,0.39542484,0.24183007,0.000000000,0.00000000,0.062091503,0.0000000, -4.5436780,50.82664
Isle of Man,0.24038462,0.000000000,0.00000000,0.38461538,0.16346154,0.000000000,0.00000000,0.211538462,0.0000000, -4.5126331,54.27697
Kilmarnock,0.22712418,0.000000000,0.00000000,0.31535948,0.06372549,0.000000000,0.00000000,0.393790850,0.0000000, -4.4987920,55.61472
Newton Stewart,0.21314103,0.000000000,0.00000000,0.32852564,0.15865385,0.000000000,0.00000000,0.299679487,0.0000000, -4.4831640,54.96030
Liskeard,0.31666667,0.000000000,0.00000000,0.40333333,0.21666667,0.000000000,0.00000000,0.063333333,0.0000000, -4.4647190,50.45552
Altnaharra,0.20333333,0.000000000,0.02000000,0.32333333,0.12000000,0.000000000,0.00000000,0.333333333,0.0000000, -4.4426550,58.28023
Pwllheli,0.21666667,0.006060606,0.00000000,0.35606061,0.30151515,0.000000000,0.00000000,0.119696970,0.0000000, -4.4176339,52.88882
Lairg,0.20333333,0.000000000,0.02000000,0.32333333,0.12000000,0.000000000,0.00000000,0.333333333,0.0000000, -4.4024140,58.02206
Launceston,0.31045752,0.000000000,0.00000000,0.39542484,0.23202614,0.000000000,0.00000000,0.062091503,0.0000000, -4.3604516,50.63683
Carmarthen,0.28594771,0.006535948,0.00000000,0.39379085,0.21405229,0.000000000,0.00000000,0.099673203,0.0000000, -4.3121310,51.85762
Llangefni,0.24090909,0.000000000,0.00000000,0.29545455,0.35000000,0.000000000,0.00000000,0.113636364,0.0000000, -4.3114020,53.25578
Caernarfon,0.24696970,0.000000000,0.00000000,0.28333333,0.35000000,0.000000000,0.00000000,0.119696970,0.0000000, -4.2739110,53.13955
Cumnock,0.24198718,0.000000000,0.00000000,0.30929487,0.08173077,0.000000000,0.00000000,0.366987179,0.0000000, -4.2658289,55.45355
Aberaeron,0.25160256,0.006410256,0.00000000,0.43750000,0.21314103,0.000000000,0.00000000,0.091346154,0.0000000, -4.2581619,52.24279
Alness,0.20333333,0.000000000,0.02000000,0.32333333,0.12000000,0.000000000,0.00000000,0.333333333,0.0000000, -4.2568250,57.69595
Glasgow,0.24198718,0.000000000,0.00000000,0.29006410,0.08173077,0.000000000,0.00000000,0.386217949,0.0000000, -4.2518060,55.86424
Dalwhinnie,0.20333333,0.000000000,0.02000000,0.32333333,0.10000000,0.000000000,0.00000000,0.353333333,0.0000000, -4.2427830,56.93660
Inverness,0.20333333,0.000000000,0.02000000,0.32333333,0.10000000,0.000000000,0.00000000,0.353333333,0.0000000, -4.2247210,57.47777
Saltash,0.29084967,0.000000000,0.00000000,0.43464052,0.23202614,0.000000000,0.00000000,0.042483660,0.0000000, -4.2164300,50.40921
Bideford,0.32026144,0.000000000,0.00000000,0.37581699,0.24183007,0.000000000,0.00000000,0.062091503,0.0000000, -4.2066660,51.01668
Invergordon,0.20333333,0.000000000,0.02000000,0.32333333,0.12000000,0.000000000,0.00000000,0.333333333,0.0000000, -4.1728820,57.68811
Llanelli,0.26633987,0.006535948,0.00000000,0.41339869,0.21405229,0.000000000,0.00000000,0.099673203,0.0000000, -4.1602480,51.68089
Plymouth,0.29084967,0.000000000,0.00000000,0.45424837,0.21241830,0.000000000,0.00000000,0.042483660,0.0000000, -4.1426565,50.37546
Tavistock,0.31045752,0.000000000,0.00000000,0.41503268,0.23202614,0.000000000,0.00000000,0.042483660,0.0000000, -4.1416540,50.55112
Porthmadog,0.23484848,0.006060606,0.00000000,0.33787879,0.30151515,0.000000000,0.00000000,0.119696970,0.0000000, -4.1333840,52.92784
Bangor,0.24090909,0.000000000,0.00000000,0.29545455,0.35000000,0.000000000,0.00000000,0.113636364,0.0000000, -4.1292630,53.22739
Tywyn,0.27201258,0.006289308,0.00000000,0.38836478,0.19968553,0.000000000,0.00000000,0.133647799,0.0000000, -4.0872490,52.58701
Aberystwyth,0.27724359,0.006410256,0.00000000,0.35737179,0.25160256,0.000000000,0.00000000,0.107371795,0.0000000, -4.0829200,52.41530
Lampeter,0.26633987,0.006535948,0.00000000,0.41339869,0.21405229,0.000000000,0.00000000,0.099673203,0.0000000, -4.0785090,52.11290
Barnstaple,0.32516340,0.000000000,0.00000000,0.36111111,0.24673203,0.000000000,0.00000000,0.066993464,0.0000000, -4.0583380,51.07816
Tain,0.20333333,0.000000000,0.02000000,0.32333333,0.12000000,0.000000000,0.00000000,0.333333333,0.0000000, -4.0552300,57.81150
Okehampton,0.33006536,0.000000000,0.00000000,0.39542484,0.23202614,0.000000000,0.00000000,0.042483660,0.0000000, -4.0042630,50.73831
Llandeilo,0.26633987,0.006535948,0.00000000,0.41339869,0.21405229,0.000000000,0.00000000,0.099673203,0.0000000, -3.9914300,51.88469
Motherwell,0.24198718,0.000000000,0.00000000,0.30929487,0.08173077,0.000000000,0.00000000,0.366987179,0.0000000, -3.9810968,55.78321
Golspie,0.20333333,0.000000000,0.02000000,0.32333333,0.12000000,0.000000000,0.00000000,0.333333333,0.0000000, -3.9760860,57.97341
Airdrie,0.24198718,0.000000000,0.00000000,0.29006410,0.08173077,0.000000000,0.00000000,0.386217949,0.0000000, -3.9625660,55.86627
Swansea,0.26633987,0.006535948,0.00000000,0.41339869,0.23366013,0.000000000,0.00000000,0.080065359,0.0000000, -3.9436460,51.62144
Stirling,0.21405229,0.000000000,0.00000000,0.34150327,0.08333333,0.000000000,0.00000000,0.361111111,0.0000000, -3.9369029,56.11652
Tregaron,0.27287582,0.006535948,0.00000000,0.43300654,0.18790850,0.000000000,0.00000000,0.099673203,0.0000000, -3.9343850,52.22000
Tregaron,0.27287582,0.006535948,0.00000000,0.43300654,0.18790850,0.000000000,0.00000000,0.099673203,0.0000000, -3.9343850,52.22000
Castle Douglas,0.18750000,0.000000000,0.00000000,0.35737179,0.14583333,0.000000000,0.00000000,0.309294872,0.0000000, -3.9314140,54.94042
Dolgellau,0.22798742,0.006289308,0.00000000,0.40094340,0.23742138,0.000000000,0.00000000,0.127358491,0.0000000, -3.8844000,52.74215
Aberfeldy,0.19934641,0.000000000,0.01960784,0.33660131,0.11764706,0.000000000,0.00000000,0.326797386,0.0000000, -3.8669690,56.62175
Machynlleth,0.26729560,0.006289308,0.00000000,0.38364780,0.23270440,0.000000000,0.00000000,0.110062893,0.0000000, -3.8534850,52.59027
Brora,0.20333333,0.000000000,0.02000000,0.32333333,0.12000000,0.000000000,0.00000000,0.333333333,0.0000000, -3.8525480,58.01216
Llandudno,0.23181818,0.000000000,0.00000000,0.27727273,0.35000000,0.000000000,0.00000000,0.140909091,0.0000000, -3.8276090,53.32406
Llandudno,0.23181818,0.000000000,0.00000000,0.27727273,0.35000000,0.000000000,0.00000000,0.140909091,0.0000000, -3.8276090,53.32406
Aviemore,0.20333333,0.000000000,0.02000000,0.32333333,0.12000000,0.000000000,0.00000000,0.333333333,0.0000000, -3.8238120,57.19449
Dalbeattie,0.19025157,0.000000000,0.00000000,0.37578616,0.14308176,0.000000000,0.00000000,0.290880503,0.0000000, -3.8225270,54.93422
Falkirk,0.24198718,0.000000000,0.00000000,0.27083333,0.10096154,0.000000000,0.00000000,0.386217949,0.0000000, -3.7839131,56.00188
Kingsbridge,0.31802721,0.000000000,0.00000000,0.44727891,0.19557823,0.000000000,0.00000000,0.039115646,0.0000000, -3.7774930,50.28395
Pitlochry,0.19934641,0.000000000,0.01960784,0.33660131,0.11764706,0.000000000,0.00000000,0.326797386,0.0000000, -3.7297110,56.70436
Colwyn Bay,0.23181818,0.000000000,0.00000000,0.27727273,0.35000000,0.000000000,0.00000000,0.140909091,0.0000000, -3.7276400,53.29318
Totnes,0.27721088,0.000000000,0.00000000,0.46768707,0.21598639,0.000000000,0.00000000,0.039115646,0.0000000, -3.6857970,50.43374
Grantown-on-Spey,0.20333333,0.000000000,0.02000000,0.32333333,0.12000000,0.000000000,0.00000000,0.333333333,0.0000000, -3.6096280,57.33041
Dumfries,0.22798742,0.000000000,0.00000000,0.35062893,0.10849057,0.000000000,0.00000000,0.312893082,0.0000000, -3.6051200,55.07086
Whitehaven,0.27932099,0.000000000,0.00000000,0.33179012,0.15895062,0.000000000,0.00000000,0.229938272,0.0000000, -3.5892330,54.54970
Dartmouth,0.31802721,0.000000000,0.00000000,0.44727891,0.19557823,0.000000000,0.00000000,0.039115646,0.0000000, -3.5788070,50.35252
Bridgend,0.21405229,0.000000000,0.00000000,0.48529412,0.22712418,0.000000000,0.00000000,0.073529412,0.0000000, -3.5769450,51.50429
Paignton,0.31802721,0.000000000,0.00000000,0.44727891,0.19557823,0.000000000,0.00000000,0.039115646,0.0000000, -3.5642350,50.43508
Workington,0.26080247,0.000000000,0.00000000,0.34104938,0.14043210,0.000000000,0.00000000,0.257716049,0.0000000, -3.5427520,54.64357
Llanidloes,0.29248366,0.006535948,0.00000000,0.44281046,0.14869281,0.000000000,0.00000000,0.109477124,0.0000000, -3.5401950,52.44779
Exeter,0.31666667,0.000000000,0.00000000,0.40333333,0.23666667,0.000000000,0.00000000,0.043333333,0.0000000, -3.5338990,50.71841
Torquay,0.31802721,0.000000000,0.00000000,0.44727891,0.19557823,0.000000000,0.00000000,0.039115646,0.0000000, -3.5253150,50.46192
Thurso,0.20333333,0.000000000,0.02000000,0.32333333,0.12000000,0.000000000,0.00000000,0.333333333,0.0000000, -3.5220800,58.59357
Livingston,0.24198718,0.000000000,0.00000000,0.29006410,0.10096154,0.000000000,0.00000000,0.366987179,0.0000000, -3.5180680,55.90071
Rhyl,0.20909091,0.000000000,0.00000000,0.23636364,0.36363636,0.000000000,0.00000000,0.190909091,0.0000000, -3.4916340,53.31914
Tiverton,0.33666667,0.000000000,0.00000000,0.40333333,0.21666667,0.000000000,0.00000000,0.043333333,0.0000000, -3.4912070,50.90205
Tiverton,0.33666667,0.000000000,0.00000000,0.40333333,0.21666667,0.000000000,0.00000000,0.043333333,0.0000000, -3.4912070,50.90205
Minehead,0.22385621,0.000000000,0.00000000,0.42647059,0.27614379,0.000000000,0.00000000,0.073529412,0.0000000, -3.4811520,51.20428
Dunfermline,0.22875817,0.000000000,0.00000000,0.31699346,0.07843137,0.000000000,0.00000000,0.375816993,0.0000000, -3.4521510,56.07174
Perth,0.19934641,0.000000000,0.01960784,0.33660131,0.11764706,0.000000000,0.00000000,0.326797386,0.0000000, -3.4308381,56.39499
Prestatyn,0.19444444,0.000000000,0.00000000,0.25925926,0.33333333,0.000000000,0.00000000,0.212962963,0.0000000, -3.4076130,53.33651
Builth Wells,0.30608974,0.006410256,0.00000000,0.38621795,0.20352564,0.000000000,0.00000000,0.097756410,0.0000000, -3.4045920,52.15002
Braemar,0.19934641,0.000000000,0.01960784,0.33660131,0.11764706,0.000000000,0.00000000,0.326797386,0.0000000, -3.3979439,57.00647
Brecon,0.29248366,0.006535948,0.00000000,0.43300654,0.16830065,0.000000000,0.00000000,0.099673203,0.0000000, -3.3914630,51.94895
Merthyr Tydfil,0.25480769,0.000000000,0.00000000,0.45673077,0.19711538,0.000000000,0.00000000,0.091346154,0.0000000, -3.3816460,51.74873
Llandrindod Wells,0.31603774,0.006289308,0.00000000,0.38522013,0.20911950,0.000000000,0.00000000,0.083333333,0.0000000, -3.3777420,52.24170
Corwen,0.26923077,0.000000000,0.00000000,0.23076923,0.30769231,0.000000000,0.00000000,0.192307692,0.0000000, -3.3692420,52.98005
Cockermouth,0.26080247,0.000000000,0.00000000,0.34104938,0.14043210,0.000000000,0.00000000,0.257716049,0.0000000, -3.3679850,54.66326
Lockerbie,0.25000000,0.000000000,0.00000000,0.34433962,0.07075472,0.000000000,0.00000000,0.334905660,0.0000000, -3.3490080,55.12224
Blairgowrie,0.19934641,0.000000000,0.01960784,0.33660131,0.11764706,0.000000000,0.00000000,0.326797386,0.0000000, -3.3378318,56.58941
Elgin,0.20333333,0.000000000,0.02000000,0.32333333,0.12000000,0.000000000,0.00000000,0.333333333,0.0000000, -3.3184850,57.64945
