,"placename","preposition_drop_determiner","preposition_drop_no_determiner","preposition_retained","preposition_drop_reduced_determiner","longitude","latitude"
65,"Antrim",0.026495579150523,0.03066702515815,0.965188827912249,0.01,-6.2072498,54.71953
66,"Portree",0.020486813351874,0.01,0.983932175391548,0.01,-6.1960231,57.41247
67,"Islay",0.011259078913118,0.01,0.994953069490331,0.01,-6.177067,55.73625
68,"Wicklow",0.267561614878525,0.285748270964518,0.587491360362727,0.01,-6.044589,52.98082
69,"Kilkeel",0.089330858194105,0.130707432987774,0.846626567230201,0.01,-6.007004,54.06312
70,"Mull",0.02908985598216,0.01,0.980674859346705,0.01,-6.000887,56.4392
71,"Belfast",0.026230857403025,0.040282253068357,0.959671728342157,0.01,-5.93012,54.59728
72,"Broadford",0.020313657847834,0.01,0.984214691530391,0.01,-5.9096592,57.24139
73,"Down",0.029237744740009,0.047753441296581,0.952389205291605,0.01,-5.7156922,54.32875
74,"Kyle of Lochalsh",0.020486813351874,0.01,0.983932175391548,0.01,-5.7143293,57.28261
75,"Campbeltown",0.01,0.022603168969323,0.986359222294411,0.01,-5.605374,55.42412
76,"Penzance",0.027602583216538,0.604646342942108,0.620075579546868,0.01,-5.537592,50.1188
77,"Oban",0.021198551741611,0.026871520886475,0.972403443413832,0.01,-5.471047,56.41516
78,"Lochgilphead",0.017355621406566,0.019950049320635,0.980136091566332,0.01,-5.4323449,56.03829
79,"Helston",0.027534779018289,0.597577564075044,0.624376218188856,0.01,-5.274996,50.10159
80,"Redruth",0.027602583216538,0.604646342942108,0.620075579546868,0.01,-5.226666,50.23302
81,"Ullapool",0.010333326457789,0.020274972821868,0.98648933523175,0.01,-5.161313,57.89542
82,"Ballachulish",0.018941654072316,0.01,0.990616489957286,0.01,-5.13372,56.67393
83,"Fort William",0.017736938949469,0.01,0.990268485367911,0.01,-5.1052179,56.81982
84,"Achnasheen",0.011581726089233,0.01,0.994351232357861,0.01,-5.0787658,57.57859
85,"Newquay",0.027636587235065,0.602367765185872,0.621409712334638,0.01,-5.073719,50.4155
86,"Falmouth",0.027602583216538,0.604646342942108,0.620075579546868,0.01,-5.06627,50.15257
87,"Rothesay",0.014006627700088,0.030345511588183,0.977027204489847,0.01,-5.055793,55.83596
88,"Truro",0.027534779018289,0.597577564075044,0.624376218188856,0.01,-5.051041,50.2632
89,"Milford Haven",0.039130899833184,0.134338444827027,0.891259451763177,0.01,-5.0426971,51.71431
90,"Stranraer",0.022318025183139,0.027895610007216,0.970745669813799,0.01,-5.024055,54.90337
91,"Fishguard",0.037183520268001,0.134258632834783,0.89312319431581,0.01,-4.975989,51.99393
92,"Inchnadamph",0.01,0.019273868309677,0.987449544518323,0.01,-4.974295,58.15221
93,"Haverfordwest",0.039030937284117,0.121239964922501,0.89920480778535,0.01,-4.971319,51.80047
94,"Dunoon",0.017549735245731,0.020299669602161,0.979745407168826,0.01,-4.926214,55.95097
95,"Pembroke",0.039030937284117,0.133992127826338,0.89156028393304,0.01,-4.908637,51.67404
96,"Girvan",0.01,0.01,0.994111568819895,0.01,-4.8542179,55.24016
97,"Wadebridge",0.028050070541105,0.615927329481862,0.612895695387125,0.01,-4.836456,50.51665
98,"Invergarry",0.020417852831686,0.01,0.984044663468849,0.01,-4.800261,57.07095
99,"St Austell",0.02773901623365,0.613028469951389,0.614923591047953,0.01,-4.7834252,50.34038
100,"Greenock",0.017818467058411,0.025843151336376,0.976171707607028,0.01,-4.771983,55.95648
