index,placename,longitude,latitude,dinna,dinnae,dinnit,divna,divnae,divnt,dont
47,Coleraine,-6.6646103000000005,55.132580000000004,0.01,0.036085776115647394,0.01,0.01,0.01,0.01,0.2710281868632106
48,Meath,-6.656416900000001,53.60555,0.01,0.027468999119981043,0.01,0.01,0.01,0.01,0.2714033937781665
49,Armagh,-6.652792,54.350280000000005,0.01,0.01,0.01,0.01,0.01,0.01,0.2009873089012672
50,Armagh,-6.652792,54.350280000000005,0.01,0.01,0.01,0.01,0.01,0.01,0.2009873089012672
51,Magherafelt,-6.607980499999999,54.75536999999999,0.01,0.015052355773964743,0.01,0.01,0.01,0.01,0.19673510505687808
52,Dunvegan,-6.581398200000001,57.4366,0.01,0.014461307461927565,0.01,0.01,0.01,0.01,0.01
53,Louth,-6.4889423,53.925230000000006,0.01,0.02618908988296576,0.01,0.01,0.01,0.01,0.273882871641487
54,Wexford,-6.4633381,52.33692,0.01,0.012222970486232774,0.01,0.01,0.01,0.01,0.2900239212728827
55,Craigavon,-6.4175653,54.442930000000004,0.01,0.01,0.01,0.01,0.01,0.01,0.23481642812965053
56,Stornoway,-6.384869200000001,58.209430000000005,0.05154101307716348,0.13785062141021887,0.01,0.01,0.01,0.01,0.1670169032119791
57,Drogheda,-6.3560985,53.717859999999995,0.01,0.022865616132811285,0.01,0.01,0.01,0.01,0.19781946319637903
58,Rosslare,-6.3414908,52.25131,0.01,0.01,0.01,0.01,0.01,0.01,0.01
59,Newry,-6.34023,54.1751,0.01,0.02089590921700689,0.01,0.01,0.01,0.01,0.2336311260731875
60,Scilly Isles,-6.327496599999999,49.92773,0.01,0.01,0.01,0.01,0.01,0.01,0.12290756441827823
61,Ballymena,-6.2802213,54.86529,0.01,0.05288819148830515,0.01,0.01,0.01,0.01,0.2227997210935145
62,Banbridge,-6.2704803,54.34873,0.01,0.010086027609253057,0.01,0.01,0.01,0.01,0.18896374640526636
63,Dublin,-6.2603097000000005,53.34981,0.01,0.047694981672492254,0.01,0.01,0.01,0.01,0.6373170533852907
64,Antrim,-6.2072498,54.719530000000006,0.01,0.026368721715511568,0.01,0.01,0.01,0.01,0.2478744658322792
65,Antrim,-6.2072498,54.719530000000006,0.01,0.026368721715511568,0.01,0.01,0.01,0.01,0.2478744658322792
66,Portree,-6.1960231,57.41246999999999,0.012615369983259234,0.045036200189212866,0.01,0.01,0.01,0.01,0.1696708974913536
67,Islay,-6.177067,55.73625,0.014512328077200374,0.10398786451793417,0.01,0.01,0.01,0.01,0.11955935605073297
68,Wicklow,-6.044589,52.980819999999994,0.01,0.013525438230839393,0.01,0.01,0.01,0.01,0.272692193652968
69,Kilkeel,-6.007004,54.06312,0.01,0.015235766505995786,0.01,0.01,0.01,0.01,0.11833115454752259
70,Mull,-6.0008870000000005,56.4392,0.015410169438521398,0.10265543726465284,0.01,0.01,0.01,0.01,0.12125759617547102
71,Belfast,-5.93012,54.597280000000005,0.01,0.01,0.01,0.01,0.01,0.01,0.5119115634620772
72,Broadford,-5.9096592,57.24139,0.01,0.013238844908096587,0.01,0.01,0.01,0.01,0.01
73,Down,-5.7156921999999994,54.32875,0.01,0.011119190949129816,0.01,0.01,0.01,0.01,0.2525628460026468
74,Kyle of Lochalsh,-5.7143293,57.28261,0.01,0.011886326083637731,0.01,0.01,0.01,0.01,0.01
75,Campbeltown,-5.605373999999999,55.424119999999995,0.028017045842619933,0.13594029719204356,0.01,0.01,0.01,0.01,0.1299278500533936
76,Penzance,-5.537592,50.1188,0.01,0.01,0.01,0.01,0.01,0.01,0.24595628501774822
77,Oban,-5.471047,56.41516,0.024491799802788285,0.14215144931985088,0.01,0.01,0.01,0.01,0.1846099847007094
78,Lochgilphead,-5.4323449,56.03829,0.013392154516279517,0.12143070011051556,0.01,0.01,0.01,0.01,0.09192821665408415
79,Helston,-5.274996,50.10159,0.01,0.01,0.01,0.01,0.01,0.01,0.168556288972164
80,Redruth,-5.226666000000001,50.23302,0.01,0.01,0.01,0.01,0.01,0.01,0.19666904374093058
81,Ullapool,-5.161313,57.895419999999994,0.04000074590779362,0.08834088044482338,0.01,0.01,0.01,0.01,0.11075662436357091
82,Ballachulish,-5.133719999999999,56.673930000000006,0.01,0.031530169626579965,0.01,0.01,0.01,0.01,0.01
83,Fort William,-5.1052179,56.81981999999999,0.013326274412073241,0.057293529099559246,0.01,0.01,0.01,0.01,0.18138075728072545
84,Achnasheen,-5.078765799999999,57.578590000000005,0.017342117391112997,0.03829973376968548,0.01,0.01,0.01,0.01,0.01
85,Newquay,-5.0737190000000005,50.4155,0.01,0.01,0.01,0.01,0.01,0.01,0.23731778558409353
86,Falmouth,-5.066269999999999,50.152570000000004,0.01,0.01,0.01,0.01,0.01,0.01,0.26137559362945895
87,Rothesay,-5.055793,55.83596,0.020792344152583145,0.2004722176307362,0.01,0.01,0.01,0.01,0.1665179713358156
88,Truro,-5.051041000000001,50.2632,0.01,0.01,0.01,0.01,0.01,0.01,0.3884315884501081
89,Milford Haven,-5.0426971,51.71431,0.01,0.01,0.01,0.01,0.01,0.01,0.15676948377092417
90,Stranraer,-5.024055000000001,54.903369999999995,0.010361144030485632,0.06768612792647216,0.01,0.01,0.01,0.01,0.1598587247022194
91,Fishguard,-4.975989,51.99393,0.01,0.01,0.01,0.01,0.01,0.01,0.11170936307917279
92,Inchnadamph,-4.974295,58.15221,0.01686257212240758,0.037799673694474414,0.01,0.01,0.01,0.01,0.01
93,Haverfordwest,-4.971319,51.800470000000004,0.01,0.01,0.01,0.01,0.01,0.01,0.17918818274148174
94,Dunoon,-4.926214,55.95097,0.018971494164386555,0.18549977292536224,0.01,0.01,0.01,0.01,0.14640836409700558
95,Pembroke,-4.908637000000001,51.674040000000005,0.01,0.01,0.01,0.01,0.01,0.01,0.24612569056134148
96,Girvan,-4.8542179,55.240159999999996,0.07084349525397954,0.16737687560635545,0.01,0.01,0.01,0.01,0.13798428362020865
97,Wadebridge,-4.836456,50.51665,0.01,0.01,0.01,0.01,0.01,0.01,0.18715307647947302
98,Invergarry,-4.800261,57.07095,0.01,0.01,0.01,0.01,0.01,0.01,0.01
99,St Austell,-4.7834252,50.340379999999996,0.01,0.01,0.01,0.01,0.01,0.01,0.20806290843393252
100,Greenock,-4.7719830000000005,55.956480000000006,0.02999591350594038,0.27776248878769205,0.01,0.01,0.01,0.01,0.2632213890237631
101,Helensburgh,-4.734014,56.00232,0.01793858433885342,0.1962181863867928,0.01,0.01,0.01,0.01,0.15871821709771278
102,Bodmin,-4.7188629,50.4715,0.01,0.01,0.01,0.01,0.01,0.01,0.16925842182295217
103,Tenby,-4.703579,51.672740000000005,0.01,0.01,0.01,0.01,0.01,0.01,0.17918905757611941
104,Camelford,-4.682364,50.62206,0.01,0.01,0.01,0.01,0.01,0.01,0.1131854388448131
105,Irvine,-4.6696364,55.61156999999999,0.10455480323302735,0.29367040845376396,0.01,0.01,0.01,0.01,0.2832536819617309
106,Cardigan,-4.660864,52.0837,0.01,0.01,0.01,0.01,0.01,0.01,0.14357458531466832
107,Holyhead,-4.633038,53.30944,0.01,0.01,0.01,0.01,0.01,0.01,0.16054464425048043
108,Ayr,-4.629179,55.45856,0.13399549177473943,0.2961688506002286,0.01,0.01,0.01,0.01,0.3097075009293513
109,Dumbarton,-4.564554,55.94529,0.025002445241466352,0.25753479268844587,0.01,0.01,0.01,0.01,0.24587636603877397
110,Bude,-4.543678,50.826640000000005,0.01,0.01,0.01,0.01,0.01,0.01,0.18024532517002206
111,Isle of Man,-4.5126330999999995,54.27697,0.01,0.042425042722647695,0.01,0.01,0.01,0.05771989539835539,0.30999192288435945
112,Kilmarnock,-4.498792,55.61472,0.11592683124708883,0.278784866444117,0.01,0.01,0.01,0.01,0.2649672309924154
113,Newton Stewart,-4.483164,54.9603,0.053093483278681616,0.17227866859353622,0.01,0.01,0.01,0.01,0.11076383896610019
114,Liskeard,-4.4647190000000005,50.45552,0.01,0.01206445615353214,0.01,0.01,0.01,0.01,0.185616585906904
115,Altnaharra,-4.442655,58.28023,0.03855803783280412,0.037046909560171974,0.01,0.01,0.01,0.01,0.01
116,Pwllheli,-4.417633900000001,52.888819999999996,0.01,0.01,0.01,0.01,0.01,0.01,0.1434017106291439
117,Lairg,-4.402414,58.022059999999996,0.025076154140593637,0.03752336884556144,0.01,0.01,0.01,0.01,0.01
