placename,past_participle,present_participle,longitude,latitude
Great Yarmouth,0.35763889,0.6423611,  1.7280470,52.59823
Lowestoft,0.35912240,0.6408776,  1.7534490,52.48114
Swaffham,0.36070686,0.6392931,  0.6874810,52.64747
Dereham,0.37590113,0.6240989,  0.9378270,52.68162
Ely,0.38861139,0.6113886,  0.2623630,52.39954
March,0.38717340,0.6128266,  0.0886220,52.55172
St Neots,0.44221106,0.5577889, -0.2651030,52.23008
Banham,0.36755270,0.6324473,  1.0402849,52.45125
Holt,0.40957447,0.5904255,  1.0867470,52.90936
Cromer,0.40520446,0.5947955,  1.3018660,52.93145
Hunstanton,0.46374368,0.5362563,  0.4910320,52.93891
Horncastle,0.68750000,0.3125000, -0.1124500,53.20731
Market Weighton,0.71748879,0.2825112, -0.6677465,53.86484
Hawes,0.64817001,0.3518300, -2.1968695,54.30383
Reeth,0.68392070,0.3160793, -1.9428115,54.38946
Aysgarth,0.69677419,0.3032258, -1.9967434,54.29159
Stanhope,0.45138307,0.5486169, -2.0113020,54.74946
Keswick,0.53619910,0.4638009, -3.1347060,54.60128
Oxenholme,0.65884861,0.3411514, -2.7243328,54.30134
