placename,past_participle,present_participle,longitude,latitude
Haverfordwest,0.44943820,0.5505618, -4.9713190,51.80047
Dunoon,0.13200590,0.8679941, -4.9262140,55.95097
Pembroke,0.43049327,0.5695067, -4.9086370,51.67404
Girvan,0.16308470,0.8369153, -4.8542179,55.24016
Wadebridge,0.56534954,0.4346505, -4.8364560,50.51665
Invergarry,0.17647059,0.8235294, -4.8002610,57.07095
St Austell,0.55384615,0.4461538, -4.7834252,50.34038
Greenock,0.13051948,0.8694805, -4.7719830,55.95648
Helensburgh,0.13106160,0.8689384, -4.7340140,56.00232
Bodmin,0.55837563,0.4416244, -4.7188629,50.47150
Tenby,0.43049327,0.5695067, -4.7035790,51.67274
Camelford,0.58015267,0.4198473, -4.6823640,50.62206
Irvine,0.16287879,0.8371212, -4.6696364,55.61157
Cardigan,0.43984962,0.5601504, -4.6608640,52.08370
Holyhead,0.42926829,0.5707317, -4.6330380,53.30944
Ayr,0.17175573,0.8282443, -4.6291790,55.45856
Dumbarton,0.13281250,0.8671875, -4.5645540,55.94529
Bude,0.56589147,0.4341085, -4.5436780,50.82664
Isle of Man,0.19826087,0.8017391, -4.5126331,54.27697
Kilmarnock,0.15789474,0.8421053, -4.4987920,55.61472
Newton Stewart,0.16640986,0.8335901, -4.4831640,54.96030
Liskeard,0.56310680,0.4368932, -4.4647190,50.45552
Altnaharra,0.21618205,0.7838180, -4.4426550,58.28023
Pwllheli,0.52522255,0.4747774, -4.4176339,52.88882
Lairg,0.23222749,0.7677725, -4.4024140,58.02206
Launceston,0.56553398,0.4344660, -4.3604516,50.63683
Carmarthen,0.41350211,0.5864979, -4.3121310,51.85762
Llangefni,0.45959596,0.5404040, -4.3114020,53.25579
Caernarfon,0.47413793,0.5258621, -4.2739110,53.13955
Cumnock,0.12125163,0.8787484, -4.2658289,55.45355
Aberaeron,0.43984962,0.5601504, -4.2581619,52.24279
Alness,0.22274882,0.7772512, -4.2568250,57.69595
Glasgow,0.13440197,0.8655980, -4.2518060,55.86424
Dalwhinnie,0.17647059,0.8235294, -4.2427830,56.93660
Inverness,0.23222749,0.7677725, -4.2247210,57.47777
Saltash,0.55825243,0.4417476, -4.2164300,50.40921
Bideford,0.51645570,0.4835443, -4.2066660,51.01668
Invergordon,0.22274882,0.7772512, -4.1728820,57.68811
