,Unnamed:_0,Unnamed:_0,placename,avoid,demsel,demsels,emsel,emself,emsels,emsen,hersel,himself,himsen,theirsel,theirself,theirselfs,theirseln,theirsels,theirselves,theirsen,theirsens,them,themsel,themself,themselfs,themselns,themsels,themselves,themsen,themsens,theysen,longitude,latitude
20,20,20,Tipperary,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.458333375,0.2500000009375,0.01,0.01,0.7083333749999999,0.01,0.01,0.01,-8.161851400000002,52.47379
21,21,21,Donegal,1.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.5,0.01,0.01,0.01,0.5,0.01,0.01,0.01,-8.1096143,54.653830000000006
22,22,22,Leitrim,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.8571428583673469,0.01,0.5,0.01,0.01,0.01,0.5,0.01,0.01,0.01,-8.0020132,54.12469
23,23,23,Athlone,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.7499999990625001,0.01,0.01,1.0,0.01,0.01,0.01,-7.9406898,53.42393000000001
24,24,24,Longford,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.8571428583673469,0.01,0.01,0.01,0.01,0.01,1.0,0.01,0.01,0.01,-7.7932573000000005,53.72763000000001
25,25,25,Offaly,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.25,0.7499999990625001,0.01,0.01,0.7499999999999999,0.01,0.01,0.01,-7.7122229,53.23569000000001
26,26,26,Fermanagh,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.8571428583673469,0.01,0.5,0.01,0.01,0.01,0.5,0.01,0.01,0.01,-7.6318728,54.343830000000004
27,27,27,Enniskillen,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.8571428583673469,0.01,0.5,0.01,0.01,0.01,0.5,0.01,0.01,0.01,-7.631533599999999,54.343819999999994
28,28,28,Doon,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.8571428583673469,0.01,0.5,0.01,0.01,0.01,0.5,0.01,0.01,0.01,-7.60964,54.185930000000006
29,29,29,Westmeath,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.8571428583673469,0.01,0.01,0.01,0.01,0.01,1.0,0.01,0.01,0.01,-7.4653217000000005,53.534530000000004
30,30,30,Strabane,1.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.5,0.01,0.01,0.01,0.5,0.01,0.01,0.01,-7.4633103,54.82739
31,31,31,Cavan,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.8571428583673469,0.01,0.5,0.01,0.01,0.01,0.5,0.01,0.01,0.01,-7.3633319,53.98972
32,32,32,Mullingar,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.8571428583673469,0.01,0.25,0.01,0.01,0.01,0.7499999999999999,0.01,0.01,0.01,-7.3401868000000015,53.525819999999996
33,33,33,Laois,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.5,0.01,0.01,0.01,0.7499999999999999,0.01,0.01,0.01,-7.3323006999999985,52.99429
34,34,34,Omagh,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.8571428583673469,0.01,0.5,0.01,0.01,0.01,0.5,0.01,0.01,0.01,-7.309959700000001,54.59771
35,35,35,Derry,1.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.5,0.01,0.01,0.01,0.5,0.01,0.01,0.01,-7.308574799999999,54.99661
36,36,36,Derry,1.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.5,0.01,0.01,0.01,0.5,0.01,0.01,0.01,-7.308574799999999,54.99661
37,37,37,Kilkenny,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.7499999999999999,0.01,0.01,0.01,0.5,0.01,0.01,0.01,-7.2447879,52.65415
38,38,38,Tyrone,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.8571428583673469,0.01,0.5,0.01,0.01,0.01,0.5,0.01,0.01,0.01,-7.1312320000000025,54.491209999999995
39,39,39,Waterford,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.33333337499999993,0.2500000009375,0.01,0.01,0.8333333749999999,0.01,0.01,0.01,-7.110070200000001,52.25932
40,40,40,Monaghan,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.8571428583673469,0.01,0.5,0.01,0.01,0.01,0.5,0.01,0.01,0.01,-6.9683132,54.2492
41,41,41,Carlow,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.5,0.01,0.01,0.01,0.7499999999999999,0.01,0.01,0.01,-6.934135899999999,52.83651
42,42,42,Kildare,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.5,0.01,0.01,0.01,0.7499999999999999,0.01,0.01,0.01,-6.8194707999999995,53.21204
43,43,43,Dungannon,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.8571428583673469,0.01,1.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-6.7669352,54.508269999999996
44,44,44,Cookstown,1.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.8571428583673469,0.01,0.7499999999999999,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-6.7443895000000005,54.641819999999996
45,45,45,Coleraine,1.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.5,0.01,0.01,0.01,0.5,0.01,0.01,0.01,-6.6646103000000005,55.132580000000004
46,46,46,Meath,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.5,0.01,0.01,0.01,0.7499999999999999,0.01,0.01,0.01,-6.656416900000001,53.60555
47,47,47,Armagh,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.21428571153061227,0.01,0.01,0.01,0.14285714163265306,0.01,0.01,1.0,0.01,0.666666625,0.12499999859375002,0.01,0.01,0.16666662499999998,0.01,0.01,0.01,-6.652792,54.35028000000001
48,48,48,Armagh,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.21428571153061227,0.01,0.01,0.01,0.14285714163265306,0.01,0.01,1.0,0.01,0.666666625,0.12499999859375002,0.01,0.01,0.16666662499999998,0.01,0.01,0.01,-6.652792,54.35028000000001
49,49,49,Magherafelt,1.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.7499999999999999,0.01,0.01,0.01,0.25,0.01,0.01,0.01,-6.607980499999999,54.75536999999999
50,50,50,Louth,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.8571428583673469,0.01,0.625,0.01,0.01,0.01,0.375,0.01,0.01,0.01,-6.4889423,53.925230000000006
51,51,51,Wexford,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.7499999999999999,0.01,0.01,0.01,0.5,0.01,0.01,0.01,-6.4633381,52.33692
52,52,52,Craigavon,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.21428571153061227,0.01,0.01,0.01,1.0,0.01,0.01,0.14285714163265306,0.01,0.666666625,0.12499999859375002,0.01,0.01,0.16666662499999998,0.01,0.01,0.01,-6.4175653,54.442930000000004
53,53,53,Drogheda,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.8571428583673469,0.01,0.5,0.01,0.01,0.01,0.5,0.01,0.01,0.01,-6.3560985,53.717859999999995
54,54,54,Rosslare,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.7499999999999999,0.01,0.01,0.01,0.5,0.01,0.01,0.01,-6.3414908,52.25131
55,55,55,Newry,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.21428571153061227,0.01,0.01,0.01,0.14285714163265306,0.01,0.01,1.0,0.01,0.666666625,0.12499999859375002,0.01,0.01,0.16666662499999998,0.01,0.01,0.01,-6.34023,54.1751
