index,placename,longitude,latitude,want,wanting
0,Dingle,-10.264013499999999,52.14094,0.0884974233066246,0.01
1,Tralee,-9.6999325,52.27131,0.15657374984069317,0.010906536842919158
2,Killarney,-9.5044265,52.059940000000005,0.26549132680890264,0.018287310114957666
3,Bantry,-9.4539805,51.68035,0.09686003770641848,0.01
4,Mayo,-9.4289369,54.01526,0.147021715870708,0.01
5,Ballycastle,-9.3724643,54.279669999999996,0.01,0.01
6,Abbeyfeale,-9.2970823,52.386179999999996,0.01,0.01
7,Ennistymon,-9.2934951,52.940369999999994,0.01,0.01
8,Galway,-9.0567905,53.270669999999996,0.37112049059839686,0.025610285625657384
9,Claremorris,-9.0017356,53.72388,0.23921083522790082,0.01767929409585652
10,Clare,-8.9811351,52.90453,0.2337140433293896,0.01
11,Adare,-8.7925892,52.56363,0.07909952576405858,0.01
12,Charleville,-8.681017599999999,52.36206,0.01,0.01
13,Mallow,-8.6539164,52.13898,0.12765543595057263,0.010236306157884028
14,Limerick,-8.6267343,52.66384,0.34594056651946886,0.01884024673878698
15,Loughrea,-8.5660931,53.19891,0.01,0.01
16,Sligo,-8.476088800000001,54.27661,0.25160331291975063,0.022496232607163845
17,Cork,-8.4756035,51.898509999999995,0.44805487997512167,0.04930217416776799
18,Nenagh,-8.19834,52.8635,0.17645356582896174,0.011166746339524072
19,Roscommon,-8.1890955,53.627590000000005,0.18730908446063504,0.016014398151778644
20,Tipperary,-8.161851400000002,52.47379,0.24508844515555964,0.01852078028194371
21,Donegal,-8.1096143,54.653830000000006,0.2770371614194608,0.05275786129318927
22,Leitrim,-8.0020132,54.12469,0.15916965331039717,0.025636185088070182
23,Athlone,-7.9406898,53.423930000000006,0.16735987068179675,0.015319139191666175
24,Longford,-7.7932573000000005,53.727630000000005,0.18131989599413553,0.0205817125234353
25,Offaly,-7.7122229,53.235690000000005,0.23620518881963237,0.020409179821146456
26,Fermanagh,-7.6318728,54.343830000000004,0.12298013528240391,0.02172664312579872
27,Enniskillen,-7.631533599999999,54.343819999999994,0.16867089853605002,0.027042947916077562
28,Doon,-7.60964,54.185930000000006,0.0820648554196617,0.015646930574756114
29,Westmeath,-7.4653217000000005,53.534530000000004,0.16965996796172805,0.01548426762019929
30,Strabane,-7.4633103,54.82739,0.17797996714835895,0.043772905463913346
31,Balivanich,-7.3743509000000005,57.472269999999995,0.012160190630880807,0.06123393638198099
32,Cavan,-7.3633319,53.98972,0.20536220375333433,0.0336782161200325
33,Mullingar,-7.340186800000001,53.525819999999996,0.1650037078263333,0.0118044955869515
34,Laois,-7.332300699999999,52.9943,0.2279267558803256,0.016323928481087945
35,Omagh,-7.309959700000001,54.59771,0.19195139029188155,0.03662002022187983
36,Derry,-7.308574799999999,54.99661,0.3135861453453291,0.0625790317424435
37,Derry,-7.308574799999999,54.99661,0.3135861453453291,0.0625790317424435
38,Kilkenny,-7.2447879,52.65415,0.267401047667952,0.03333017686711265
39,Tyrone,-7.131232000000001,54.491209999999995,0.12935746896987335,0.01895568778093108
40,Waterford,-7.110070200000001,52.25932,0.30322687117522396,0.03535069355479563
41,Western Isles,-7.0194034,57.759890000000006,0.10935118251455925,0.1253757080859762
42,Monaghan,-6.9683132,54.2492,0.19638164614793505,0.0343042017001967
43,Carlow,-6.934135899999999,52.83651,0.24038595351235992,0.022742200270271937
44,Kildare,-6.8194707999999995,53.21204,0.3090151728253758,0.03479889688466809
45,Dungannon,-6.7669352,54.508269999999996,0.13450513401284708,0.038916414994087094
46,Cookstown,-6.7443895000000005,54.641819999999996,0.17502659334750817,0.07624121623285231
47,Coleraine,-6.6646103000000005,55.132580000000004,0.26627976429898714,0.12365289818281877
48,Meath,-6.656416900000001,53.60555,0.2670747575856573,0.02883654527773254
49,Armagh,-6.652792,54.350280000000005,0.19487746448917576,0.03305488594121359
50,Armagh,-6.652792,54.350280000000005,0.19487746448917576,0.03305488594121359
51,Magherafelt,-6.607980499999999,54.75536999999999,0.1904300943354939,0.09038700972427834
52,Dunvegan,-6.581398200000001,57.4366,0.01,0.05292114806574727
53,Louth,-6.4889423,53.925230000000006,0.26959035622429484,0.019741036441956444
54,Wexford,-6.4633381,52.33692,0.2849677957421921,0.02754266731503751
55,Craigavon,-6.4175653,54.442930000000004,0.22824690232364397,0.08975146852446346
56,Stornoway,-6.384869200000001,58.209430000000005,0.17000132263794968,0.1548530503460998
57,Drogheda,-6.3560985,53.717859999999995,0.19257980100348737,0.02261291942211879
58,Rosslare,-6.3414908,52.25131,0.01,0.01
59,Newry,-6.34023,54.1751,0.22864005615003208,0.019731382234118997
60,Scilly Isles,-6.327496599999999,49.92773,0.11542922678617175,0.05103685208967305
61,Ballymena,-6.2802213,54.86529,0.2188959917902958,0.10565658752772082
62,Banbridge,-6.2704803,54.34873,0.1823393549279589,0.07670383401721018
63,Dublin,-6.2603097000000005,53.34981,0.6372575010457812,0.07220187526857899
64,Antrim,-6.2072498,54.719530000000006,0.2424026448672347,0.1302025030174983
65,Antrim,-6.2072498,54.719530000000006,0.2424026448672347,0.1302025030174983
66,Portree,-6.1960231,57.41246999999999,0.164782283557877,0.16611435655960147
67,Islay,-6.177067,55.73625,0.11752485027428544,0.198622529817652
68,Wicklow,-6.044589,52.980819999999994,0.2675158608843709,0.03105374937196796
69,Kilkeel,-6.007004,54.06312,0.11159196947601611,0.051990719529140195
70,Mull,-6.0008870000000005,56.4392,0.11863977735419878,0.2563764410141325
71,Belfast,-5.93012,54.597280000000005,0.5065807493474237,0.2782574060231143
72,Broadford,-5.9096592,57.24139,0.01,0.05381320101331089
73,Down,-5.7156921999999994,54.32875,0.2459409043437804,0.14378790173198547
74,Kyle of Lochalsh,-5.7143293,57.28261,0.01,0.05147723335511627
75,Campbeltown,-5.605373999999999,55.424119999999995,0.13025533504811418,0.2396482344974503
76,Penzance,-5.537592,50.1188,0.23938749814573904,0.0850255198082592
77,Oban,-5.471047,56.41516,0.1839907832526099,0.40628982626019955
78,Lochgilphead,-5.4323449,56.03829,0.0900170485608245,0.25970031875063704
79,Helston,-5.274996,50.10159,0.16141330062282966,0.06391381253369127
80,Redruth,-5.226666000000001,50.23302,0.18973446177899547,0.07170538569616867
81,Ullapool,-5.161313,57.895419999999994,0.11000362133879706,0.11105203692437517
82,Ballachulish,-5.133719999999999,56.673930000000006,0.01,0.0817074553865935
83,Fort William,-5.1052179,56.81981999999999,0.17754701902836625,0.1490504517629199
84,Achnasheen,-5.078765799999999,57.578590000000005,0.01,0.047980592773622203
85,Newquay,-5.0737190000000005,50.4155,0.23080191513040546,0.08186216056666862
86,Falmouth,-5.066269999999999,50.152570000000004,0.2550249563090824,0.08928408621186104
87,Rothesay,-5.055793,55.83596,0.1695826893202861,0.3499948334121031
88,Truro,-5.051041000000001,50.2632,0.3830620567936257,0.12454690103770374
89,Milford Haven,-5.0426971,51.71431,0.1497911303230269,0.02754925201763938
90,Stranraer,-5.024055000000001,54.903369999999995,0.1562087971499932,0.15647864503551132
91,Fishguard,-4.975989,51.99393,0.10427050187108486,0.02958999016756851
92,Inchnadamph,-4.974295,58.15221,0.01,0.0542527434609435
93,Haverfordwest,-4.971319,51.800470000000004,0.17239517004555122,0.03092059771596228
94,Dunoon,-4.926214,55.95097,0.14827583881601353,0.3506488310421069
95,Pembroke,-4.908637000000001,51.674040000000005,0.23990140921413142,0.03938493967500987
96,Girvan,-4.8542179,55.240159999999996,0.1420234278913503,0.30310756958750706
97,Wadebridge,-4.836456,50.51665,0.1802706486658978,0.06807972980034879
98,Invergarry,-4.800261,57.07095,0.01,0.04799800540606569
99,St Austell,-4.7834252,50.340379999999996,0.20131338143985503,0.07459951378316451
100,Greenock,-4.7719830000000005,55.956480000000006,0.2724451894526241,0.34086948000596673
101,Helensburgh,-4.734014,56.00232,0.1611103696255615,0.3687862924743581
102,Bodmin,-4.7188629,50.4715,0.16238867391678155,0.06422123727360339
103,Tenby,-4.703579,51.672740000000005,0.1724037740171989,0.03004862477657529
104,Camelford,-4.682364,50.62206,0.10582101359367432,0.04695419517097504
