placename,goal_theme_ditransitive,prepositional_dative,theme_goal_ditransitive,longitude,latitude
Oban,0.48360656,0.4385246,0.07786885, -5.4710470,56.41516
Lochgilphead,0.46747967,0.4756098,0.05691057, -5.4323449,56.03829
Helston,0.14545455,0.7454545,0.10909091, -5.2749960,50.10159
Redruth,0.14545455,0.7454545,0.10909091, -5.2266660,50.23302
Ullapool,0.35042735,0.5299145,0.11965812, -5.1613130,57.89542
Ballachulish,0.46987952,0.4457831,0.08433735, -5.1337200,56.67393
Fort William,0.45173745,0.4671815,0.08108108, -5.1052179,56.81982
Achnasheen,0.33333333,0.5470085,0.11965812, -5.0787658,57.57859
Newquay,0.14545455,0.7454545,0.10909091, -5.0737190,50.41550
Falmouth,0.14545455,0.7272727,0.12727273, -5.0662700,50.15257
Rothesay,0.47560976,0.4674797,0.05691057, -5.0557930,55.83596
Truro,0.14545455,0.7454545,0.10909091, -5.0510410,50.26320
Milford Haven,0.16842105,0.7473684,0.08421053, -5.0426971,51.71431
Stranraer,0.30597015,0.5895522,0.10447761, -5.0240550,54.90337
Fishguard,0.11764706,0.7882353,0.09411765, -4.9759890,51.99393
Inchnadamph,0.38211382,0.5040650,0.11382114, -4.9742950,58.15221
Haverfordwest,0.11764706,0.7882353,0.09411765, -4.9713190,51.80047
Dunoon,0.46370968,0.4798387,0.05645161, -4.9262140,55.95097
Pembroke,0.16842105,0.7473684,0.08421053, -4.9086370,51.67404
Girvan,0.49387755,0.4489796,0.05714286, -4.8542179,55.24016
Wadebridge,0.14545455,0.7454545,0.10909091, -4.8364560,50.51665
Invergarry,0.45299145,0.4273504,0.11965812, -4.8002610,57.07095
St Austell,0.14545455,0.7454545,0.10909091, -4.7834252,50.34038
Greenock,0.47791165,0.4658635,0.05622490, -4.7719830,55.95648
Helensburgh,0.47619048,0.4642857,0.05952381, -4.7340140,56.00232
Bodmin,0.14545455,0.7454545,0.10909091, -4.7188629,50.47150
Tenby,0.15053763,0.7634409,0.08602151, -4.7035790,51.67274
Camelford,0.14545455,0.7454545,0.10909091, -4.6823640,50.62206
Irvine,0.48790323,0.4556452,0.05645161, -4.6696364,55.61157
Cardigan,0.11764706,0.7882353,0.09411765, -4.6608640,52.08370
Holyhead,0.15384615,0.7606838,0.08547009, -4.6330380,53.30944
Ayr,0.48790323,0.4556452,0.05645161, -4.6291790,55.45856
Dumbarton,0.47600000,0.4680000,0.05600000, -4.5645540,55.94529
Bude,0.14545455,0.7454545,0.10909091, -4.5436780,50.82664
Isle of Man,0.19184652,0.6091127,0.19904077, -4.5126331,54.27697
Kilmarnock,0.48400000,0.4680000,0.04800000, -4.4987920,55.61472
Newton Stewart,0.40476190,0.5000000,0.09523810, -4.4831640,54.96030
Liskeard,0.14545455,0.7272727,0.12727273, -4.4647190,50.45552
Altnaharra,0.41085271,0.4961240,0.09302326, -4.4426550,58.28023
Pwllheli,0.13043478,0.6086957,0.26086957, -4.4176339,52.88882
Lairg,0.41085271,0.4961240,0.09302326, -4.4024140,58.02206
Launceston,0.14545455,0.7454545,0.10909091, -4.3604516,50.63683
Carmarthen,0.11764706,0.7882353,0.09411765, -4.3121310,51.85762
Llangefni,0.26315789,0.5460526,0.19078947, -4.3114020,53.25579
Caernarfon,0.23529412,0.5470588,0.21764706, -4.2739110,53.13955
Cumnock,0.47983871,0.4717742,0.04838710, -4.2658289,55.45355
Aberaeron,0.09638554,0.7831325,0.12048193, -4.2581619,52.24279
Alness,0.41085271,0.4961240,0.09302326, -4.2568250,57.69595
Glasgow,0.47692308,0.4730769,0.05000000, -4.2518060,55.86424
Dalwhinnie,0.50387597,0.3875969,0.10852713, -4.2427830,56.93660
Inverness,0.38211382,0.5203252,0.09756098, -4.2247210,57.47777
Saltash,0.14545455,0.7272727,0.12727273, -4.2164300,50.40921
Bideford,0.18032787,0.7213115,0.09836066, -4.2066660,51.01668
Invergordon,0.41984733,0.4732824,0.10687023, -4.1728820,57.68811
Llanelli,0.09876543,0.7777778,0.12345679, -4.1602480,51.68089
Plymouth,0.14545455,0.7272727,0.12727273, -4.1426565,50.37546
Tavistock,0.14545455,0.7272727,0.12727273, -4.1416540,50.55112
Porthmadog,0.17021277,0.5957447,0.23404255, -4.1333840,52.92784
Bangor,0.23809524,0.5178571,0.24404762, -4.1292630,53.22739
Tywyn,0.12658228,0.6455696,0.22784810, -4.0872490,52.58701
Aberystwyth,0.09195402,0.7701149,0.13793103, -4.0829200,52.41530
Lampeter,0.11764706,0.8117647,0.07058824, -4.0785090,52.11290
Barnstaple,0.18867925,0.7169811,0.09433962, -4.0583380,51.07816
Tain,0.41984733,0.4732824,0.10687023, -4.0552300,57.81150
Okehampton,0.14035088,0.7543860,0.10526316, -4.0042630,50.73831
Llandeilo,0.11764706,0.7882353,0.09411765, -3.9914300,51.88469
Motherwell,0.48062016,0.4612403,0.05813953, -3.9810968,55.78321
Golspie,0.41984733,0.4732824,0.10687023, -3.9760860,57.97341
Airdrie,0.46923077,0.4576923,0.07307692, -3.9625660,55.86627
Swansea,0.06837607,0.8461538,0.08547009, -3.9436460,51.62144
Stirling,0.50187266,0.4269663,0.07116105, -3.9369029,56.11652
Tregaron,0.12048193,0.7831325,0.09638554, -3.9343850,52.22000
Tregaron,0.12048193,0.7831325,0.09638554, -3.9343850,52.22000
Castle Douglas,0.36708861,0.5316456,0.10126582, -3.9314140,54.94042
Dolgellau,0.13043478,0.5434783,0.32608696, -3.8844000,52.74215
Aberfeldy,0.56302521,0.3361345,0.10084034, -3.8669690,56.62175
Machynlleth,0.10989011,0.5604396,0.32967033, -3.8534850,52.59027
Brora,0.41984733,0.4732824,0.10687023, -3.8525480,58.01216
Llandudno,0.26744186,0.5523256,0.18023256, -3.8276090,53.32406
Llandudno,0.26744186,0.5523256,0.18023256, -3.8276090,53.32406
Aviemore,0.43511450,0.4580153,0.10687023, -3.8238120,57.19449
Dalbeattie,0.37500000,0.5250000,0.10000000, -3.8225270,54.93422
Falkirk,0.47750865,0.4636678,0.05882353, -3.7839131,56.00188
Kingsbridge,0.16363636,0.7090909,0.12727273, -3.7774930,50.28395
Pitlochry,0.44117647,0.4901961,0.06862745, -3.7297110,56.70436
Colwyn Bay,0.24731183,0.5107527,0.24193548, -3.7276400,53.29318
Totnes,0.15789474,0.7543860,0.08771930, -3.6857970,50.43374
Grantown-on-Spey,0.45038168,0.4427481,0.10687023, -3.6096280,57.33041
Dumfries,0.35087719,0.5555556,0.09356725, -3.6051200,55.07086
Whitehaven,0.13864307,0.5634218,0.29793510, -3.5892330,54.54970
Dartmouth,0.15789474,0.7543860,0.08771930, -3.5788070,50.35252
Bridgend,0.07017544,0.8771930,0.05263158, -3.5769450,51.50429
Paignton,0.15789474,0.7543860,0.08771930, -3.5642350,50.43508
Workington,0.16207951,0.5474006,0.29051988, -3.5427520,54.64357
Llanidloes,0.05063291,0.6455696,0.30379747, -3.5401950,52.44779
Exeter,0.15789474,0.7543860,0.08771930, -3.5338990,50.71841
Torquay,0.15254237,0.7627119,0.08474576, -3.5253150,50.46192
Thurso,0.41984733,0.4732824,0.10687023, -3.5220800,58.59357
Livingston,0.42487047,0.5181347,0.05699482, -3.5180680,55.90071
Rhyl,0.25000000,0.5271739,0.22282609, -3.4916340,53.31914
Tiverton,0.20408163,0.6938776,0.10204082, -3.4912070,50.90205
Tiverton,0.20408163,0.6938776,0.10204082, -3.4912070,50.90205
Minehead,0.11290323,0.7741935,0.11290323, -3.4811520,51.20428
Dunfermline,0.42931937,0.5130890,0.05759162, -3.4521510,56.07174
Perth,0.46078431,0.4803922,0.05882353, -3.4308381,56.39499
Prestatyn,0.25274725,0.5329670,0.21428571, -3.4076130,53.33651
Builth Wells,0.05405405,0.8378378,0.10810811, -3.4045920,52.15002
Braemar,0.46762590,0.4316547,0.10071942, -3.3979439,57.00647
Brecon,0.12500000,0.8250000,0.05000000, -3.3914630,51.94895
Merthyr Tydfil,0.07207207,0.8738739,0.05405405, -3.3816460,51.74873
Llandrindod Wells,0.05263158,0.7631579,0.18421053, -3.3777420,52.24170
Corwen,0.22619048,0.4821429,0.29166667, -3.3692420,52.98005
Cockermouth,0.14373089,0.5657492,0.29051988, -3.3679850,54.66326
Lockerbie,0.35220126,0.5471698,0.10062893, -3.3490080,55.12224
Blairgowrie,0.45631068,0.4854369,0.05825243, -3.3378318,56.58941
Elgin,0.43511450,0.4580153,0.10687023, -3.3184850,57.64945
Newtown,0.06382979,0.5638298,0.37234043, -3.3131060,52.51211
Ruthin,0.23913043,0.5163043,0.24456522, -3.3103108,53.11487
Ruthin,0.23913043,0.5163043,0.24456522, -3.3103108,53.11487
Sidmouth,0.15652174,0.7565217,0.08695652, -3.2375600,50.67865
Barrow-in-Furness,0.05989583,0.6536458,0.28645833, -3.2188940,54.10897
Peebles,0.40932642,0.5492228,0.04145078, -3.1936420,55.65307
Edinburgh,0.40314136,0.5340314,0.06282723, -3.1882670,55.95325
Cardiff,0.06956522,0.8608696,0.06956522, -3.1790900,51.48158
Llangollen,0.20765027,0.4808743,0.31147541, -3.1716600,52.96921
Kirkcaldy,0.45410628,0.4927536,0.05314010, -3.1581370,56.11682
Welshpool,0.07339450,0.4954128,0.43119266, -3.1464070,52.66035
Mold,0.22335025,0.5279188,0.24873096, -3.1419030,53.16720
Mold,0.22335025,0.5279188,0.24873096, -3.1419030,53.16720
Taunton,0.11940299,0.8208955,0.05970149, -3.1068490,51.01534
Wick,0.43511450,0.4580153,0.10687023, -3.0937160,58.43894
John o' Groats,0.43511450,0.4580153,0.10687023, -3.0688997,58.63734
Dalkeith,0.41361257,0.5235602,0.06282723, -3.0666060,55.89312
Oswestry,0.03738318,0.5700935,0.39252336, -3.0564120,52.85715
Blackpool,0.12722646,0.6310433,0.24173028, -3.0356748,53.81751
Birkenhead,0.23280423,0.5396825,0.22751323, -3.0230090,53.38999
Cupar,0.46601942,0.4757282,0.05825243, -3.0101370,56.32023
Southport,0.23539519,0.5601375,0.20446735, -3.0101130,53.64571
Bridgwater,0.04774536,0.8355438,0.11671088, -3.0036320,51.12789
Langholm,0.31788079,0.5231788,0.15894040, -2.9989130,55.15306
Newport,0.05042017,0.8487395,0.10084034, -2.9976640,51.58415
Axminster,0.15909091,0.7500000,0.09090909, -2.9949370,50.78273
Wrexham,0.20689655,0.4827586,0.31034483, -2.9924940,53.04304
Liverpool,0.26011561,0.5606936,0.17919075, -2.9915726,53.40837
Weston-super-Mare,0.04749340,0.8469657,0.10554090, -2.9772550,51.34741
Dundee,0.44444444,0.4949495,0.06060606, -2.9707210,56.46202
Kirkwall,0.43511450,0.4580153,0.10687023, -2.9622491,58.98467
Ambleside,0.09915014,0.6062323,0.29461756, -2.9613330,54.42874
Orkney Islands,0.43511450,0.4580153,0.10687023, -2.9605206,58.98094
Lyme Regis,0.13793103,0.7701149,0.09195402, -2.9366390,50.72516
Carlisle,0.23684211,0.5526316,0.21052632, -2.9329310,54.89247
Chester,0.19230769,0.5288462,0.27884615, -2.8930750,53.19339
Forfar,0.41904762,0.5238095,0.05714286, -2.8890620,56.64356
Morecambe,0.09557110,0.5920746,0.31235431, -2.8649680,54.07417
Selkirk,0.38728324,0.5664740,0.04624277, -2.8385240,55.55066
Galashiels,0.42245989,0.5347594,0.04278075, -2.8144490,55.62373
Lancaster,0.09557110,0.5920746,0.31235431, -2.8007399,54.04657
St Andrews,0.47572816,0.4660194,0.05825243, -2.7967214,56.33978
Hawick,0.34131737,0.5988024,0.05988024, -2.7809140,55.42706
Bridport,0.13592233,0.7475728,0.11650485, -2.7583010,50.73358
Shrewsbury,0.04000000,0.5700000,0.39000000, -2.7553268,52.70730
Penrith,0.17000000,0.6500000,0.18000000, -2.7527080,54.66410
Kendal,0.07859079,0.6395664,0.28184282, -2.7462900,54.32801
Street,0.05541562,0.8438287,0.10075567, -2.7429190,51.12468
Glastonbury,0.05541562,0.8438287,0.10075567, -2.7184540,51.14743
Hereford,0.08333333,0.7395833,0.17708333, -2.7159740,52.05640
Ludlow,0.05524862,0.5801105,0.36464088, -2.7139129,52.36775
Preston,0.10802469,0.6080247,0.28395062, -2.7030900,53.76320
Whitchurch,0.01680672,0.5798319,0.40336134, -2.6820450,52.96872
Wells,0.06516291,0.8345865,0.10025063, -2.6445979,51.20935
Yeovil,0.07492795,0.7867435,0.13832853, -2.6333080,50.94206
Wigan,0.13931889,0.4984520,0.36222910, -2.6325074,53.54506
Warrington,0.11570248,0.5123967,0.37190083, -2.5969501,53.39004
Arbroath,0.41262136,0.5339806,0.05339806, -2.5915430,56.55911
Bristol,0.06812652,0.8345499,0.09732360, -2.5879100,51.45451
Guernsey,0.13793103,0.7586207,0.10344828, -2.5852780,49.46569
Ross-on-Wye,0.06489676,0.7758112,0.15929204, -2.5824460,51.91445
Jedburgh,0.34131737,0.5988024,0.05988024, -2.5549369,55.47772
Sedbergh,0.11538462,0.6076923,0.27692308, -2.5281740,54.32363
Sedbergh,0.11538462,0.6076923,0.27692308, -2.5281740,54.32363
Nantwich,0.01652893,0.6033058,0.38016529, -2.5241020,53.06719
Banff,0.42857143,0.4661654,0.10526316, -2.5240380,57.66651
Dunbar,0.44162437,0.5279188,0.03045685, -2.5167370,56.00209
Cinderford,0.06489676,0.7758112,0.15929204, -2.5009579,51.82530
Banchory,0.36238532,0.5688073,0.06880734, -2.4909599,57.05386
Blackburn,0.12228261,0.5027174,0.37500000, -2.4875290,53.74858
Market Drayton,0.03883495,0.6116505,0.34951456, -2.4834850,52.90355
Telford,0.06315789,0.4947368,0.44210526, -2.4672611,52.67759
Montrose,0.40291262,0.5436893,0.05339806, -2.4661150,56.70692
Turriff,0.40000000,0.5200000,0.08000000, -2.4623000,57.53893
Weymouth,0.11650485,0.7669903,0.11650485, -2.4576210,50.61443
Crewe,0.03200000,0.6160000,0.35200000, -2.4438209,53.10041
Fortuneswell,0.11650485,0.7669903,0.11650485, -2.4422190,50.55919
Dorchester,0.08791209,0.7582418,0.15384615, -2.4411810,50.71116
Alston,0.24235808,0.5742358,0.18340611, -2.4386850,54.81217
Kelso,0.38547486,0.5586592,0.05586592, -2.4322070,55.60003
Wincanton,0.07294833,0.8054711,0.12158055, -2.4160070,51.05569
Clitheroe,0.11832947,0.5614849,0.32018561, -2.3930830,53.87110
Sark,0.14347826,0.7695652,0.08695652, -2.3666256,49.43007
Bath,0.09972299,0.7783934,0.12188366, -2.3590167,51.38106
Kidderminster,0.06084243,0.6021841,0.33697348, -2.2496839,52.38860
Manchester,0.12974404,0.4942630,0.37599294, -2.2426305,53.48076
Burnley,0.14634146,0.5121951,0.34146341, -2.2405035,53.78929
Gloucester,0.08746356,0.7317784,0.18075802, -2.2381560,51.86424
Newcastle-under-Lyme,0.03960396,0.6237624,0.33663366, -2.2273002,53.01321
Worcester,0.07153502,0.6378539,0.29061103, -2.2215750,52.19364
Trowbridge,0.09384164,0.7888563,0.11730205, -2.2088530,51.31966
Shaftesbury,0.07801418,0.8226950,0.09929078, -2.1980830,51.00460
Alderney,0.14748201,0.7805755,0.07194245, -2.1973557,49.71500
Stoke-on-Trent,0.03960396,0.6237624,0.33663366, -2.1794040,53.00267
Colne,0.24742268,0.4329897,0.31958763, -2.1769910,53.85564
Blandford Forum,0.07518797,0.8345865,0.09022556, -2.1653530,50.85691
Rochdale,0.14145907,0.4955516,0.36298932, -2.1561000,53.60971
Jersey,0.16015625,0.7617188,0.07812500, -2.1312500,49.21444
Wolverhampton,0.05806452,0.6080645,0.33387097, -2.1288200,52.58697
Stafford,0.06000000,0.6500000,0.29000000, -2.1206600,52.80669
Macclesfield,0.12569832,0.5167598,0.35754190, -2.1192870,53.25866
Hexham,0.25053533,0.5952891,0.15417559, -2.1121439,54.97266
Aberdeen,0.37500000,0.5740741,0.05092593, -2.0942780,57.14972
Dudley,0.06260032,0.5955056,0.34189406, -2.0811120,52.51226
Cheltenham,0.12000000,0.6900000,0.19000000, -2.0782533,51.89939
Bromsgrove,0.08385093,0.6086957,0.30745342, -2.0619060,52.33559
Skipton,0.33946252,0.4483734,0.21216407, -2.0162787,53.96285
Fraserburgh,0.38265306,0.5408163,0.07653061, -2.0076310,57.69335
Berwick,0.32112676,0.5859155,0.09295775, -2.0053950,55.77024
Poole,0.09292035,0.8185841,0.08849558, -1.9872480,50.71505
Walsall,0.06141732,0.6125984,0.32598425, -1.9829190,52.58621
Cirencester,0.09302326,0.7467700,0.16020672, -1.9682430,51.71849
Evesham,0.06010017,0.6444073,0.29549249, -1.9467700,52.09215
Buxton,0.10178571,0.5089286,0.38928571, -1.9148300,53.25908
Keighley,0.33380884,0.4436519,0.22253923, -1.9123580,53.86780
Birmingham,0.06364922,0.6011315,0.33521924, -1.8904010,52.48624
Bournemouth,0.09842520,0.8228346,0.07874016, -1.8807690,50.71916
Halifax,0.31824611,0.4526167,0.22913720, -1.8575400,53.72702
Salisbury,0.06194690,0.8495575,0.08849558, -1.7944720,51.06878
Ringwood,0.09842520,0.8228346,0.07874016, -1.7888170,50.84495
Huddersfield,0.29784173,0.4431655,0.25899281, -1.7850351,53.64579
Peterhead,0.36574074,0.5833333,0.05092593, -1.7840660,57.50812
Swindon,0.10236220,0.7480315,0.14960630, -1.7797176,51.55577
Bradford,0.34532374,0.4388489,0.21582734, -1.7593980,53.79598
Ashbourne,0.08695652,0.6753623,0.23768116, -1.7321790,53.01663
Marlborough,0.12931034,0.7327586,0.13793103, -1.7270620,51.42007
Stratford-upon-Avon,0.07814761,0.6570188,0.26483357, -1.7082980,52.19173
