placename,goal_theme_ditransitive,prepositional_dative,theme_goal_ditransitive,longitude,latitude
High Wycombe,0.01815431,0.8275340,0.15431165, -0.7482290,51.62861
Midhurst,0.25480769,0.7067308,0.03846154, -0.7372740,50.98690
Kettering,0.14840989,0.7667845,0.08480565, -0.7302490,52.39632
Wellingborough,0.12587413,0.7902098,0.08391608, -0.6939640,52.30242
Corby,0.15189873,0.6430380,0.20506329, -0.6842333,52.49230
Bognor Regis,0.22592593,0.7000000,0.07407407, -0.6730610,50.78300
Scunthorpe,0.38281250,0.4140625,0.20312500, -0.6544130,53.58865
Grantham,0.14950166,0.5564784,0.29401993, -0.6435820,52.91252
Whitby,0.21327014,0.6161137,0.17061611, -0.6133470,54.48633
Slough,0.08362369,0.7909408,0.12543554, -0.5950406,51.51054
Guildford,0.20183486,0.7064220,0.09174312, -0.5704090,51.23622
Woking,0.15929204,0.7699115,0.07079646, -0.5600349,51.31677
Lincoln,0.18011257,0.5834897,0.23639775, -0.5405790,53.23069
Bedford,0.10942249,0.7446809,0.14589666, -0.4667782,52.13864
Heathrow,0.07692308,0.8269231,0.09615385, -0.4542955,51.47002
Driffield,0.33894231,0.4591346,0.20192308, -0.4433770,54.00600
Beverley,0.34588235,0.4847059,0.16941176, -0.4350930,53.84196
Luton,0.07294833,0.7629179,0.16413374, -0.4200255,51.87867
Scarborough,0.31477516,0.4925054,0.19271949, -0.3997520,54.28311
Worthing,0.20143885,0.7122302,0.08633094, -0.3728820,50.81787
Dorking,0.14893617,0.7092199,0.14184397, -0.3323780,51.23220
Hull,0.33403361,0.5021008,0.16386555, -0.3274198,53.76762
Horsham,0.18300654,0.7385621,0.07843137, -0.3258580,51.06288
Biggleswade,0.10315186,0.7765043,0.12034384, -0.2642200,52.08694
Peterborough,0.23487544,0.6583630,0.10676157, -0.2405299,52.56950
Welwyn Garden City,0.07500000,0.7250000,0.20000000, -0.2086610,51.80317
Bridlington,0.33894231,0.4591346,0.20192308, -0.1988020,54.08535
Stevenage,0.06956522,0.7391304,0.19130435, -0.1966120,51.90376
Crawley,0.17613636,0.6988636,0.12500000, -0.1872275,51.10914
Huntingdon,0.17142857,0.6571429,0.17142857, -0.1825520,52.33146
Hove,0.17021277,0.7446809,0.08510638, -0.1687490,50.82793
Spalding,0.24242424,0.6565657,0.10101010, -0.1537024,52.79010
Brighton,0.17021277,0.7446809,0.08510638, -0.1371630,50.82253
London,0.08913813,0.8211334,0.08972845, -0.1277583,51.50735
Grimsby,0.30066815,0.5523385,0.14699332, -0.0807840,53.56747
Boston,0.28571429,0.6190476,0.09523810, -0.0265770,52.97894
Royston,0.09404389,0.7366771,0.16927900, -0.0240660,52.04814
Louth_Lincs,0.36363636,0.5151515,0.12121212, -0.0077110,53.36596
Lewes,0.15827338,0.7553957,0.08633094,  0.0087800,50.87387
Chatteris,0.19169329,0.6932907,0.11501597,  0.0540120,52.45610
Uckfield,0.12587413,0.7902098,0.08391608,  0.0959130,50.96641
Cambridge,0.07667732,0.7124601,0.21086262,  0.1218170,52.20534
Bishop's Stortford,0.07619048,0.8000000,0.12380952,  0.1536502,51.87216
Wisbech,0.20625000,0.6812500,0.11250000,  0.1587970,52.66632
Sevenoaks,0.13492063,0.7698413,0.09523810,  0.1908980,51.27241
Tunbridge Wells,0.08196721,0.8606557,0.05737705,  0.2636950,51.13238
Eastbourne,0.13071895,0.7908497,0.07843137,  0.2904720,50.76803
Brentwood,0.10769231,0.8230769,0.06923077,  0.3071749,51.62047
Skegness,0.33587786,0.5419847,0.12213740,  0.3378810,53.14640
Downham Market,0.16265060,0.7289157,0.10843373,  0.3854720,52.60661
King's Lynn,0.18159806,0.7457627,0.07263923,  0.4022963,52.75168
Bexhill,0.12658228,0.7974684,0.07594937,  0.4662071,50.84991
Chelmsford,0.11009174,0.7798165,0.11009174,  0.4685497,51.73559
Mildenhall,0.13370474,0.7158774,0.15041783,  0.5156095,52.34757
Medway,0.13223140,0.8016529,0.06611570,  0.5417861,51.40474
Braintree,0.08064516,0.7903226,0.12903226,  0.5509269,51.88009
Gillingham,0.13223140,0.8016529,0.06611570,  0.5514380,51.38632
Hastings,0.12658228,0.7974684,0.07594937,  0.5734530,50.85426
Maldon,0.10344828,0.7758621,0.12068966,  0.6714480,51.73181
Southend,0.13008130,0.8048780,0.06504065,  0.7077123,51.54593
Bury St Edmunds,0.10374640,0.7579251,0.13832853,  0.7104932,52.24292
Thetford,0.15367483,0.7527840,0.09354120,  0.7516570,52.41286
Ashford,0.11023622,0.8188976,0.07086614,  0.8750190,51.14647
Faversham,0.11200000,0.8160000,0.07200000,  0.8893580,51.31599
Colchester,0.10447761,0.7611940,0.13432836,  0.8918740,51.89593
New Romney,0.09160305,0.8244275,0.08396947,  0.9394730,50.98512
Canterbury,0.12598425,0.8031496,0.07086614,  1.0789089,51.28023
Ipswich,0.12408759,0.8102190,0.06569343,  1.1482200,52.05674
Clacton,0.10294118,0.7720588,0.12500000,  1.1530350,51.78953
Folkestone,0.09302326,0.8217054,0.08527132,  1.1694560,51.08140
Sheringham,0.20000000,0.7259259,0.07407407,  1.2109589,52.94442
Harwich,0.11347518,0.7659574,0.12056738,  1.2602970,51.93473
Norwich,0.15470852,0.7645740,0.08071749,  1.2973550,52.63089
Cromer,0.18253968,0.7539683,0.06349206,  1.3018660,52.93145
Dover,0.10852713,0.8062016,0.08527132,  1.3134027,51.12788
Felixstowe,0.11347518,0.7659574,0.12056738,  1.3512550,51.96173
Margate,0.10144928,0.8188406,0.07971014,  1.3868339,51.38965
Ramsgate,0.10606061,0.8106061,0.08333333,  1.4198950,51.33555
Great Yarmouth,0.16816143,0.7511211,0.08071749,  1.7280470,52.59823
Lowestoft,0.16816143,0.7511211,0.08071749,  1.7534490,52.48114
Swaffham,0.19772727,0.7340909,0.06818182,  0.6874810,52.64747
Dereham,0.17899761,0.7494033,0.07159905,  0.9378270,52.68162
Ely,0.15835777,0.7184751,0.12316716,  0.2623630,52.39954
March,0.21019108,0.6751592,0.11464968,  0.0886220,52.55172
St Neots,0.14634146,0.6707317,0.18292683, -0.2651030,52.23008
Banham,0.15470852,0.7645740,0.08071749,  1.0402849,52.45125
Holt,0.20000000,0.7259259,0.07407407,  1.0867470,52.90936
Cromer,0.18253968,0.7539683,0.06349206,  1.3018660,52.93145
Hunstanton,0.23134328,0.6940299,0.07462687,  0.4910320,52.93891
Horncastle,0.37037037,0.5111111,0.11851852, -0.1124500,53.20731
Market Weighton,0.33651551,0.4630072,0.20047733, -0.6677465,53.86484
Hawes,0.22047244,0.5511811,0.22834646, -2.1968695,54.30383
Reeth,0.27230047,0.5774648,0.15023474, -1.9428115,54.38946
Aysgarth,0.26315789,0.5197368,0.21710526, -1.9967434,54.29159
Stanhope,0.24425887,0.5929019,0.16283925, -2.0113020,54.74946
Keswick,0.14641745,0.5763240,0.27725857, -3.1347060,54.60128
Oxenholme,0.09259259,0.6164021,0.29100529, -2.7243328,54.30134
