placename,past participle,present participle,longitude,latitude
Girvan,0.13215859,0.8678414, -4.8542179,55.24016
Wadebridge,0.13039797,0.8696020, -4.8364560,50.51665
Invergarry,0.13143483,0.8685652, -4.8002610,57.07095
St Austell,0.12251656,0.8774834, -4.7834252,50.34038
Greenock,0.13542857,0.8645714, -4.7719830,55.95648
Helensburgh,0.13683603,0.8631640, -4.7340140,56.00232
Bodmin,0.12811980,0.8718802, -4.7188629,50.47150
Tenby,0.15841584,0.8415842, -4.7035790,51.67274
Camelford,0.13039797,0.8696020, -4.6823640,50.62206
Irvine,0.12723214,0.8727679, -4.6696364,55.61157
Cardigan,0.14130435,0.8586957, -4.6608640,52.08370
Holyhead,0.12244898,0.8775510, -4.6330380,53.30944
Ayr,0.13101904,0.8689810, -4.6291790,55.45856
Dumbarton,0.13683603,0.8631640, -4.5645540,55.94529
Bude,0.13547841,0.8645216, -4.5436780,50.82664
Isle of Man,0.11052632,0.8894737, -4.5126331,54.27697
Kilmarnock,0.12723214,0.8727679, -4.4987920,55.61472
Newton Stewart,0.14098361,0.8590164, -4.4831640,54.96030
Liskeard,0.12561175,0.8743883, -4.4647190,50.45552
Altnaharra,0.11849711,0.8815029, -4.4426550,58.28023
Pwllheli,0.10756041,0.8924396, -4.4176339,52.88882
Lairg,0.12462006,0.8753799, -4.4024140,58.02206
Launceston,0.13584398,0.8641560, -4.3604516,50.63683
Carmarthen,0.15920398,0.8407960, -4.3121310,51.85762
Llangefni,0.11881188,0.8811881, -4.3114020,53.25578
Caernarfon,0.11352488,0.8864751, -4.2739110,53.13955
Cumnock,0.13058036,0.8694196, -4.2658289,55.45355
Aberaeron,0.15860215,0.8413978, -4.2581619,52.24279
Alness,0.11849711,0.8815029, -4.2568250,57.69595
Glasgow,0.13977273,0.8602273, -4.2518060,55.86424
Dalwhinnie,0.12806830,0.8719317, -4.2427830,56.93660
Inverness,0.11714286,0.8828571, -4.2247210,57.47777
Saltash,0.12148029,0.8785197, -4.2164300,50.40921
Bideford,0.14557823,0.8544218, -4.2066660,51.01668
Invergordon,0.11849711,0.8815029, -4.1728820,57.68811
Llanelli,0.16097561,0.8390244, -4.1602480,51.68089
Plymouth,0.12407283,0.8759272, -4.1426565,50.37546
Tavistock,0.13101604,0.8689840, -4.1416540,50.55112
Porthmadog,0.10415094,0.8958491, -4.1333840,52.92784
Bangor,0.12209302,0.8779070, -4.1292630,53.22739
Tywyn,0.11460674,0.8853933, -4.0872490,52.58701
Aberystwyth,0.14354067,0.8564593, -4.0829200,52.41530
Lampeter,0.15706806,0.8429319, -4.0785090,52.11290
Barnstaple,0.13838989,0.8616101, -4.0583380,51.07816
Tain,0.10451977,0.8954802, -4.0552300,57.81150
Okehampton,0.13860104,0.8613990, -4.0042630,50.73831
Llandeilo,0.15508021,0.8449198, -3.9914300,51.88469
Motherwell,0.13824885,0.8617512, -3.9810968,55.78321
Golspie,0.11174785,0.8882521, -3.9760860,57.97341
Airdrie,0.13969732,0.8603027, -3.9625660,55.86627
Swansea,0.15979381,0.8402062, -3.9436460,51.62144
Stirling,0.14945322,0.8505468, -3.9369029,56.11652
Tregaron,0.16711590,0.8328841, -3.9343850,52.22000
Castle Douglas,0.09952607,0.9004739, -3.9314140,54.94042
Dolgellau,0.10169492,0.8983051, -3.8844000,52.74215
Aberfeldy,0.11915888,0.8808411, -3.8669690,56.62175
Machynlleth,0.12471132,0.8752887, -3.8534850,52.59027
Brora,0.11174785,0.8882521, -3.8525480,58.01216
Llandudno,0.12423313,0.8757669, -3.8276090,53.32406
Aviemore,0.11747851,0.8825215, -3.8238120,57.19449
Dalbeattie,0.10023866,0.8997613, -3.8225270,54.93422
Falkirk,0.15288788,0.8471121, -3.7839131,56.00188
Kingsbridge,0.12675070,0.8732493, -3.7774930,50.28395
Pitlochry,0.12085308,0.8791469, -3.7297110,56.70436
Colwyn Bay,0.12116679,0.8788332, -3.7276400,53.29318
Totnes,0.13252197,0.8674780, -3.6857970,50.43374
Grantown-on-Spey,0.10924370,0.8907563, -3.6096280,57.33041
Dumfries,0.09689441,0.9031056, -3.6051200,55.07086
Whitehaven,0.12104689,0.8789531, -3.5892330,54.54970
Dartmouth,0.12519936,0.8748006, -3.5788070,50.35252
Bridgend,0.14689266,0.8531073, -3.5769450,51.50429
Paignton,0.13427800,0.8657220, -3.5642350,50.43508
Workington,0.10552764,0.8944724, -3.5427520,54.64357
Llanidloes,0.13705584,0.8629442, -3.5401950,52.44779
Exeter,0.13314646,0.8668535, -3.5338990,50.71841
Torquay,0.13427800,0.8657220, -3.5253150,50.46192
Thurso,0.10888252,0.8911175, -3.5220800,58.59357
Livingston,0.16210375,0.8378963, -3.5180680,55.90071
Rhyl,0.12226415,0.8777358, -3.4916340,53.31914
Tiverton,0.14057063,0.8594294, -3.4912070,50.90205
Minehead,0.13987022,0.8601298, -3.4811520,51.20428
Dunfermline,0.15506547,0.8449345, -3.4521510,56.07174
Perth,0.15187377,0.8481262, -3.4308381,56.39499
Prestatyn,0.12143928,0.8785607, -3.4076130,53.33651
Builth Wells,0.15584416,0.8441558, -3.4045920,52.15002
Braemar,0.10924370,0.8907563, -3.3979439,57.00647
Brecon,0.15104167,0.8489583, -3.3914630,51.94895
Merthyr Tydfil,0.14871795,0.8512821, -3.3816460,51.74873
Llandrindod Wells,0.13937282,0.8606272, -3.3777420,52.24170
Corwen,0.11746988,0.8825301, -3.3692420,52.98005
Cockermouth,0.10796074,0.8920393, -3.3679850,54.66326
Lockerbie,0.12038015,0.8796199, -3.3490080,55.12224
Blairgowrie,0.15030060,0.8496994, -3.3378318,56.58941
Elgin,0.10924370,0.8907563, -3.3184850,57.64945
Newtown,0.14489572,0.8551043, -3.3131060,52.51211
Ruthin,0.11773585,0.8822642, -3.3103108,53.11487
Sidmouth,0.12827225,0.8717277, -3.2375600,50.67865
Barrow-in-Furness,0.06468172,0.9353183, -3.2188940,54.10897
Peebles,0.15917465,0.8408254, -3.1936420,55.65307
Edinburgh,0.15032212,0.8496779, -3.1882670,55.95325
Cardiff,0.14315938,0.8568406, -3.1790900,51.48158
Llangollen,0.12689257,0.8731074, -3.1716600,52.96921
Kirkcaldy,0.15551181,0.8444882, -3.1581370,56.11682
