,placename,a_load_of,a_lot_of,a_rake_of,bare,loads_of,lots_of,longitude,latitude
90,Haverfordwest,0.6044055425684599,0.22420956774429293,0.01,0.15851228328373154,0.6982199170115947,0.5424275198679901,-4.971319,51.80048
91,Dunoon,0.2199294995063865,0.4366729374066721,0.01,0.08206722836829268,0.4866369854763092,0.4617496676488641,-4.926214,55.95097
92,Pembroke,0.6574270009605365,0.2033823972014326,0.01,0.2344881670389455,0.7837361072098911,0.5001455387135035,-4.9086370000000015,51.67404000000001
93,Girvan,0.048278134617552114,0.5030989571752928,0.01,0.01,0.5841261827438334,0.3531959025191166,-4.8542179,55.24016
94,Wadebridge,0.2942674932312525,0.07600323784149883,0.01,0.20715400627064376,0.5235438790069281,0.8733249152808237,-4.836456,50.51665
95,Invergarry,0.2884350327923139,0.2792718852370797,0.01,0.01,0.39481394797013797,0.7194388257763675,-4.800261,57.07095
96,St Austell,0.2881907930002071,0.07940574265733727,0.01,0.20287622250367468,0.4973607032493658,0.8861187357111654,-4.7834252,50.34038
97,Greenock,0.2198051899150804,0.4407969317842736,0.01,0.08202084441530819,0.4927900540611398,0.4528090206829657,-4.7719830000000005,55.956480000000006
98,Helensburgh,0.2228824810975297,0.43145043569720254,0.01,0.08316914584760175,0.4803075821274708,0.4716648270189017,-4.734014,56.00232
99,Bodmin,0.2884442650209469,0.07793730677839265,0.01,0.20305465357951705,0.5041619323547759,0.8838514607599219,-4.7188629,50.4715
100,Tenby,0.6528682625777206,0.21003821091211866,0.01,0.194051807815645,0.8059216532028585,0.4843618961121194,-4.703579,51.67274000000001
101,Camelford,0.2733823870442005,0.0470350613636701,0.01,0.19211176542850625,0.5418783752218668,0.904243760670952,-4.682364,50.62206
102,Irvine,0.19774247153921404,0.4404234586256829,0.01,0.0645840797141293,0.5153809231975033,0.4451216123136868,-4.6696364,55.61156999999999
103,Cardigan,0.5277282441422619,0.1857189535533441,0.01,0.1512544690613939,0.7219778727294928,0.5889776759670091,-4.660864,52.0837
104,Holyhead,0.4519129754742,0.22173027310909446,0.01,0.2861641387294288,0.4184768118071345,0.7177290032100859,-4.633038,53.30944
105,Ayr,0.21717492205942496,0.4331882620511959,0.01,0.0663049249855151,0.5315736924712118,0.4417081427983864,-4.629179,55.45856
106,Dumbarton,0.2256065507633352,0.4328966371948332,0.01,0.08152714529268736,0.4968921683437553,0.4596985393018342,-4.564554,55.94529
107,Bude,0.25590136926082724,0.01723519012973899,0.01,0.18791658499272806,0.5392944401827163,0.946862518820194,-4.543678,50.82664000000001
108,Isle of Man,0.382624152687805,0.29160294421877075,0.01,0.25929813020122744,0.4568045302402809,0.6186733374311985,-4.5126331,54.27697
109,Kilmarnock,0.2289764029858329,0.4327258513673502,0.01,0.06367857063249885,0.5293573729081931,0.4423388791748717,-4.498792,55.61472
110,Newton Stewart,0.1321109724534266,0.4794489869178057,0.01,0.01,0.630394450308939,0.34396294300275804,-4.483164,54.9603
111,Liskeard,0.2629649414698897,0.051827376130328034,0.01,0.18357546194937144,0.5341978718752428,0.9053240819842012,-4.4647190000000005,50.45552
112,Altnaharra,0.2655353773822885,0.3439829575078418,0.01,0.0736633260174971,0.33532023030746216,0.6658217049891165,-4.442655,58.28023
113,Pwllheli,0.500166165320157,0.1941502953950341,0.01,0.10070802112114907,0.4109249944449749,0.7755916550119044,-4.417633900000001,52.88882
114,Lairg,0.26338196005362624,0.3515536032264984,0.01,0.07306593715023009,0.3417263516193352,0.6526812265763983,-4.402414,58.02206
115,Launceston,0.2429716626506965,0.048719718544956325,0.01,0.17332411581043675,0.5274418234111549,0.9175044577663946,-4.360451599999998,50.63683
116,Carmarthen,0.5736121837247823,0.17938988857674815,0.01,0.13889426917364567,0.7488124998585964,0.5762184389933415,-4.312131,51.85762
117,Llangefni,0.4759665706919293,0.20770005626265176,0.01,0.3656491218276834,0.4253206162968561,0.7175676137456065,-4.311401999999998,53.25578
118,Caernarfon,0.5313836148714277,0.22431300595301376,0.01,0.09476578361682148,0.3994503456181943,0.7403959888130754,-4.273911,53.13955
119,Cumnock,0.2214434666403035,0.4375813246664359,0.01,0.06412317996893414,0.5473413249363615,0.4263246801956601,-4.265828900000002,55.45355
120,Aberaeron,0.5515151699867823,0.1759226140414307,0.01,0.05269071147212049,0.6738427328378179,0.6402727646632828,-4.2581619,52.24279
121,Alness,0.2844858286326149,0.35812209059898104,0.01,0.07398792133913241,0.35288960367390604,0.6345261469459307,-4.256825,57.69595
122,Glasgow,0.2421885802835637,0.41544554800016265,0.01,0.0799455780909049,0.5109110563199663,0.4714807936244576,-4.251806,55.86424
123,Dalwhinnie,0.18941272284550786,0.3373187656244862,0.01,0.01,0.4290392778830888,0.6385003625087334,-4.242783,56.9366
124,Inverness,0.33680217556284114,0.3016641628819883,0.01,0.01,0.33096307507534845,0.7224430577210241,-4.224721,57.47776999999999
125,Saltash,0.263057234165744,0.05236261246891191,0.01,0.16203518884054546,0.5200833435429699,0.9159844325040032,-4.21643,50.40921
126,Bideford,0.331903531377756,0.09900132181785727,0.01,0.2257603312028493,0.6318184289436375,0.7711958506439317,-4.206666,51.01668
127,Invergordon,0.2858599511751222,0.35334878783953344,0.01,0.07434530064665074,0.36470732371339903,0.6332889649541954,-4.172882,57.68811
128,Llanelli,0.6372026205207527,0.1603949599491124,0.01,0.1704559695570308,0.8126236768636654,0.5490992450513749,-4.160248,51.68089000000001
129,Plymouth,0.2616797974898813,0.057872549948409686,0.01,0.16118673928589405,0.5201583475211288,0.9092048398724202,-4.1426565,50.37546
130,Tavistock,0.19498833794939835,0.05753967870352271,0.01,0.17386896102934352,0.5256834806069124,0.9138950153299408,-4.141654,50.55112
131,Porthmadog,0.5024950837642767,0.19838385049215296,0.01,0.10117694293838284,0.3977059889305372,0.7777341824944306,-4.133384,52.92784
132,Bangor,0.4929218248908401,0.21348872910209835,0.01,0.3313402311681036,0.4250070941834003,0.7125892428158018,-4.129263,53.22739
133,Tywyn,0.5018218116550199,0.21063531683348904,0.01,0.01,0.4085519481049257,0.7691937155271897,-4.087249,52.58701
134,Aberystwyth,0.4623511935629352,0.1911799109464694,0.01,0.01,0.4669784702246204,0.7644566053784687,-4.08292,52.4153
135,Lampeter,0.5343406503578362,0.16316072364210776,0.01,0.05104989298768304,0.7041994617676135,0.6409574347638669,-4.078509,52.1129
136,Barnstaple,0.4368058536590562,0.1075728369330473,0.01,0.2336969771013278,0.6776413346786516,0.7170702707020071,-4.058338,51.07816
137,Tain,0.2864942230364995,0.3639014185535278,0.01,0.07451025796604142,0.35391292120407025,0.626178359237303,-4.05523,57.8115
138,Okehampton,0.1953035357038836,0.058711978402359526,0.01,0.17414999828522826,0.5437696546930655,0.9014548519148736,-4.004263,50.73831
139,Llandeilo,0.5992225930862385,0.17088926569183385,0.01,0.13495715873378294,0.8182866828928473,0.5423225343745149,-3.99143,51.88469
140,Motherwell,0.2602450144707786,0.4140760390061942,0.01,0.07976980051701854,0.5183742949437515,0.4662599267901159,-3.9810968,55.78321
141,Golspie,0.26633204177808345,0.35620220010814313,0.01,0.07388433010035929,0.33129469686909124,0.6524864887786976,-3.976086,57.97341
142,Airdrie,0.2594504214083309,0.42042250480294896,0.01,0.07952625090245616,0.5124118900364893,0.4618748268253993,-3.962566,55.86626999999999
143,Swansea,0.6415923381024402,0.20941178138640687,0.01,0.1297821311435962,0.7943711776851785,0.5022625403113417,-3.943646,51.62144
144,Stirling,0.2488069045944156,0.4087001522894001,0.01,0.08213025981382692,0.4956168950368688,0.4880701484247853,-3.9369029,56.11652
145,Tregaron,0.5358436394250132,0.145882998174203,0.01,0.016892125728943844,0.7150797691989104,0.6608581555407433,-3.934385,52.22
146,Castle Douglas,0.3078812428840453,0.39974775255518197,0.01,0.01,0.5836453757065132,0.4494116077725495,-3.931414,54.94042
147,Dolgellau,0.511809721874082,0.16707977502672966,0.01,0.049148086270840295,0.44307208341649024,0.7961498731734068,-3.8844,52.74215
148,Aberfeldy,0.09166392782148963,0.3652960620655032,0.01,0.01,0.5429592826438532,0.5479448163309671,-3.866969,56.62175
149,Machynlleth,0.4474019369393215,0.15441616703756186,0.01,0.0644447000603444,0.3251771420508844,0.8900423112124095,-3.853485,52.59027
150,Brora,0.2669728235442662,0.35285125327796,0.01,0.07406209010494129,0.3412528118778878,0.6506753860892984,-3.852548000000001,58.01216
151,Llandudno,0.8073048351992447,0.21486403836945275,0.01,0.7443252605810491,0.7657374149117919,0.4072432579757068,-3.827609,53.32406
152,Aviemore,0.2876164714439919,0.369297928464584,0.01,0.01,0.4041908164279006,0.598899834369945,-3.823812,57.19449
153,Dalbeattie,0.320710519417315,0.4004853539874624,0.01,0.01,0.5372172276322059,0.4745648968857185,-3.822527,54.93422
154,Falkirk,0.17312807761297888,0.3704518606310313,0.01,0.04502645278254727,0.6448331960202917,0.4628242250526679,-3.7839131,56.00188000000001
155,Kingsbridge,0.17399022573302048,0.05772979877562647,0.01,0.16416523058699584,0.5315366703978975,0.9143565397934132,-3.777493,50.28395
156,Pitlochry,0.1371231552964127,0.33664400048722337,0.01,0.01,0.6051759737987932,0.5408655004082082,-3.729711,56.70436
157,Colwyn Bay,0.7952958658524039,0.22138999040377,0.01,0.7142379222264548,0.7624782383910262,0.40655735275166976,-3.72764,53.29318000000001
158,Totnes,0.1731379016511397,0.05483417340626194,0.01,0.16336104710905774,0.5522612842422471,0.9058370699248676,-3.685797,50.43374
159,Grantown-on-Spey,0.28016493849900603,0.3630407224304951,0.01,0.07286416326077738,0.3559622300808048,0.627148342855449,-3.609628,57.33041
160,Dumfries,0.3179337787035389,0.3785477533285518,0.01,0.01,0.5750496729956814,0.4802608745415117,-3.60512,55.07086
161,Whitehaven,0.3637802863334284,0.30527902215124425,0.01,0.2284087878111369,0.4398531512606049,0.6181327650667563,-3.589233,54.5497
162,Dartmouth,0.1727852423535472,0.06484898988238963,0.01,0.16302829119149986,0.5363978057428503,0.9026611558202928,-3.578807,50.35252
163,Bridgend,0.6042563473865116,0.16788859092669686,0.01,0.3673114115141428,0.7078841178939129,0.5806776463652167,-3.576945,51.50429000000001
164,Paignton,0.19008040235472728,0.05723967567449119,0.01,0.16949260366651112,0.5262626703760955,0.9151988939881192,-3.564235,50.43508
165,Workington,0.3677935242840311,0.3085471539669682,0.01,0.2037605374310512,0.4458692381741728,0.6130827569766978,-3.542752,54.64357
166,Llanidloes,0.3190608503586824,0.14516440874913225,0.01,0.15841646477400578,0.2587254685057679,0.9470564332022592,-3.540195,52.44779000000001
167,Exeter,0.1134604206812929,0.058848929301756364,0.01,0.16996795607027154,0.5193398169039084,0.9278967864969716,-3.533899,50.71841
168,Torquay,0.18993100003944413,0.05603676342167138,0.01,0.1451651899933412,0.5255506124993513,0.9204378759664328,-3.525315,50.46192
169,Thurso,0.2642705916500351,0.3564313109068984,0.01,0.07331245425421885,0.33191440524073496,0.652184706948434,-3.5220800000000003,58.59356999999999
170,Livingston,0.1058938695545867,0.34848686979224064,0.01,0.01836030035758217,0.4498189449216445,0.6209175567446592,-3.518068,55.90071
171,Rhyl,0.8418071531248268,0.21912272798457896,0.01,0.7585007174629091,0.7655682788842617,0.3952069799296555,-3.4916339999999995,53.31914
172,Tiverton,0.2388410984612153,0.056382201925561676,0.01,0.13430665365276845,0.4787744569358901,0.9427330894101752,-3.491207,50.90205
173,Minehead,0.4964207803618187,0.13551823187044004,0.01,0.3809717934989245,0.5716971185788899,0.7169949281713955,-3.481152,51.20428
174,Dunfermline,0.1161206045085766,0.3311698313602737,0.01,0.017257240825807117,0.4608371938557344,0.6351507077051529,-3.452151,56.07174000000001
175,Perth,0.1517307898701265,0.3841556509807942,0.01,0.037140260360934686,0.5391449807015588,0.5128141999673105,-3.4308381000000003,56.39499
176,Prestatyn,0.8380400487568198,0.2104809651139336,0.01,0.7704125986524392,0.7632838798419815,0.4065511771344066,-3.407613,53.33651
177,Builth Wells,0.4275172847589487,0.03508102015208327,0.01,0.1809143873544045,0.6813313384377631,0.8158253897740837,-3.404592,52.15002
178,Braemar,0.19136554633473574,0.3666571928868027,0.01,0.06924462959909339,0.4826336652819269,0.5592988945233389,-3.3979439,57.00646999999999
179,Brecon,0.3043908094702663,0.020903540809112255,0.01,0.17272304836447205,0.9891234633354296,0.6673330843873395,-3.391463,51.94895
180,Merthyr Tydfil,0.5025983249363946,0.07732892254766037,0.01,0.16806051912712086,1.0,0.5617555550706551,-3.381646,51.74873
181,Llandrindod Wells,0.4956315727660737,0.026795007382458803,0.01,0.2379726583835685,0.6944346156933965,0.8014353781351036,-3.377742,52.2417
182,Corwen,0.3901458150618306,0.2216613143032808,0.01,0.14185753516074018,0.43208160103738585,0.7375416185140065,-3.369242,52.98005
183,Cockermouth,0.38867475411867625,0.32363140938265084,0.01,0.05881306696536685,0.4235650158684147,0.6236850566942251,-3.367985,54.66326
184,Lockerbie,0.470148787129279,0.29327696756551563,0.01,0.01,0.5095009266830628,0.6073917198147151,-3.349008,55.12224000000001
185,Blairgowrie,0.16708528806787418,0.3698280090046023,0.01,0.01,0.5767173117203039,0.5113884557951373,-3.3378318,56.58941
186,Elgin,0.284371905298521,0.3660984332172633,0.01,0.0739582926194964,0.3752450398477488,0.6109303485065506,-3.318485,57.64945
187,Newtown,0.39350051696041777,0.1281190164540865,0.01,0.1964928449166292,0.2949573947923517,0.9316268593239676,-3.313106,52.51211
188,Ruthin,0.7222396427932378,0.2199350884960599,0.01,0.6519913930370268,0.7332260013151063,0.4444723490854116,-3.3103108,53.11487
189,Sidmouth,0.26838884620133885,0.013380586227186223,0.01,0.10564549564179697,0.5155136541862744,0.9753341729428092,-3.23756,50.67865
190,Barrow-in-Furness,0.2972705714989207,0.2153293491899918,0.01,0.328516581864551,0.4888447351149498,0.6995018747115471,-3.218894,54.10896999999999
191,Peebles,0.1162911048335244,0.31858194916253696,0.01,0.0191018033171588,0.435814111621414,0.6659900934864942,-3.193642,55.65306999999999
192,Edinburgh,0.12253188425614142,0.3304019396114203,0.01,0.0182100542746736,0.4389749739697117,0.6482409577641302,-3.188267,55.95325
193,Cardiff,0.508305321755448,0.1881818140806149,0.01,0.3664576487989624,0.6424630291748336,0.6075008223863658,-3.17909,51.48158
194,Llangollen,0.3556547711077524,0.211943922956902,0.01,0.2137714245771913,0.3826678284284685,0.7748114686976486,-3.17166,52.96921
195,Kirkcaldy,0.1201275988686614,0.3373709680849626,0.01,0.017852742689943038,0.4321884851342321,0.6437945133345988,-3.158137,56.11682
196,Welshpool,0.4188247864152017,0.0811670923422856,0.01,0.2778408788272883,0.2948732038552593,0.9772626123602098,-3.146407,52.66035
197,Mold,0.7805119608108465,0.23101103276445506,0.01,0.7011664976218666,0.7467174618653792,0.407534335402714,-3.141903,53.1672
198,Taunton,0.3115836624706681,0.02527436904303868,0.01,0.18670559688545607,0.5914145263509064,0.8977074873595408,-3.106849,51.01534
199,Wick,0.26532374629516137,0.365007015108423,0.01,0.0736046134388355,0.3716347021056578,0.6171899541645687,-3.093716,58.43894
200,John o' Groats,0.2656413408782341,0.3614218016809193,0.01,0.07369271770737602,0.3438118598566437,0.6384225497312167,-3.0688997,58.63734
201,Dalkeith,0.12222458715885175,0.329206116581628,0.01,0.018164387567577454,0.4490584155526165,0.6437624001248299,-3.066606,55.89312
202,Oswestry,0.3288025678141962,0.19527941528088466,0.01,0.16418618463318413,0.4196855139414501,0.7842412245507958,-3.056412,52.85715
203,Blackpool,0.26616544739601883,0.177688475050124,0.01,0.526486580835811,0.583364693543275,0.6686843094445362,-3.0356748,53.81751
