placename,boilings,bossers,bullets,candy,comfits,cooshies,da-da,dods,dud-dews,fairings,frawzies,goffs,goodie,goodies,grots,gummies,humbugs,ju-jues,jubjubs,ket(s),lollies,lollypops,losion,lozengers,munch,peppermints,peps,smackry,snag,spice,spoggs,stash,suck,suckers,sucks,swadgies,swedgers,swedgies,sweeties,sweets,taffies,toffee,toffees,treats,tuck,tuffies,tutoos,longitude,latitude
Clare,0.000000000,0.00000000,0.000000000,0.000000000,0.000000000,0.00000000,0.000000000,0.00000000,0.000000000,0.00000000,0.00000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0.000000000,0.000000000,0.000000000,0.083333333,0.035714286,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.00000000,0.00000000,0.00000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.00000000,0.000000000,0.000000000,0.15476190,0.7261905,0.00000000,0.000000000,0.000000000,0.000000000,0.00000000,0.00000000,0.00000000, -8.9811351,52.90453
Adare,0.000000000,0.00000000,0.000000000,0.000000000,0.000000000,0.00000000,0.000000000,0.00000000,0.000000000,0.00000000,0.00000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0.000000000,0.000000000,0.000000000,0.083333333,0.035714286,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.00000000,0.00000000,0.00000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.00000000,0.000000000,0.000000000,0.08333333,0.7976190,0.00000000,0.000000000,0.000000000,0.000000000,0.00000000,0.00000000,0.00000000, -8.7925892,52.56363
Charleville,0.000000000,0.00000000,0.000000000,0.000000000,0.000000000,0.00000000,0.000000000,0.00000000,0.000000000,0.00000000,0.00000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.00000000,0.00000000,0.00000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.00000000,0.000000000,0.000000000,0.00000000,1.0000000,0.00000000,0.000000000,0.000000000,0.000000000,0.00000000,0.00000000,0.00000000, -8.6810176,52.36206
Mallow,0.000000000,0.00000000,0.000000000,0.000000000,0.000000000,0.00000000,0.000000000,0.00000000,0.000000000,0.00000000,0.00000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.00000000,0.00000000,0.00000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.00000000,0.000000000,0.000000000,0.00000000,1.0000000,0.00000000,0.000000000,0.000000000,0.000000000,0.00000000,0.00000000,0.00000000, -8.6539164,52.13898
Limerick,0.000000000,0.00000000,0.000000000,0.000000000,0.000000000,0.00000000,0.000000000,0.00000000,0.000000000,0.00000000,0.00000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0.000000000,0.000000000,0.000000000,0.083333333,0.035714286,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.00000000,0.00000000,0.00000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.00000000,0.000000000,0.000000000,0.15476190,0.7261905,0.00000000,0.000000000,0.000000000,0.000000000,0.00000000,0.00000000,0.00000000, -8.6267343,52.66384
Loughrea,0.000000000,0.00000000,0.000000000,0.000000000,0.000000000,0.00000000,0.000000000,0.00000000,0.000000000,0.00000000,0.00000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0.000000000,0.000000000,0.000000000,0.035714286,0.071428571,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.00000000,0.00000000,0.00000000,0.000000000,0.035714286,0.000000000,0.000000000,0.000000000,0.00000000,0.000000000,0.000000000,0.10714286,0.7142857,0.00000000,0.035714286,0.000000000,0.000000000,0.00000000,0.00000000,0.00000000, -8.5660931,53.19891
Sligo,0.000000000,0.00000000,0.000000000,0.000000000,0.000000000,0.00000000,0.000000000,0.00000000,0.000000000,0.00000000,0.00000000,0.000000000,0.047619048,0.214285714,0.000000000,0,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.00000000,0.00000000,0.00000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.00000000,0.000000000,0.000000000,0.04761905,0.6904762,0.00000000,0.000000000,0.000000000,0.000000000,0.00000000,0.00000000,0.00000000, -8.4760888,54.27661
Cork,0.000000000,0.00000000,0.000000000,0.000000000,0.000000000,0.00000000,0.000000000,0.00000000,0.000000000,0.00000000,0.00000000,0.000000000,0.000000000,0.047619048,0.000000000,0,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.00000000,0.00000000,0.00000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.00000000,0.000000000,0.000000000,0.04761905,0.9047619,0.00000000,0.000000000,0.000000000,0.000000000,0.00000000,0.00000000,0.00000000, -8.4756035,51.89851
Nenagh,0.000000000,0.00000000,0.000000000,0.000000000,0.000000000,0.00000000,0.000000000,0.00000000,0.000000000,0.00000000,0.00000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0.000000000,0.000000000,0.000000000,0.035714286,0.071428571,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.00000000,0.00000000,0.00000000,0.000000000,0.035714286,0.000000000,0.000000000,0.000000000,0.00000000,0.000000000,0.000000000,0.10714286,0.7142857,0.00000000,0.035714286,0.000000000,0.000000000,0.00000000,0.00000000,0.00000000, -8.1983400,52.86350
Roscommon,0.000000000,0.00000000,0.000000000,0.000000000,0.000000000,0.00000000,0.000000000,0.00000000,0.000000000,0.00000000,0.00000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0.000000000,0.000000000,0.000000000,0.071428571,0.071428571,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.00000000,0.00000000,0.00000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.00000000,0.000000000,0.000000000,0.14285714,0.7142857,0.00000000,0.000000000,0.000000000,0.000000000,0.00000000,0.00000000,0.00000000, -8.1890955,53.62759
Tipperary,0.000000000,0.00000000,0.000000000,0.000000000,0.000000000,0.00000000,0.000000000,0.00000000,0.000000000,0.00000000,0.00000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.035714286,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.00000000,0.00000000,0.00000000,0.000000000,0.035714286,0.000000000,0.000000000,0.000000000,0.00000000,0.000000000,0.000000000,0.00000000,0.8928571,0.00000000,0.035714286,0.000000000,0.000000000,0.00000000,0.00000000,0.00000000, -8.1618514,52.47379
Donegal,0.000000000,0.00000000,0.000000000,0.000000000,0.000000000,0.00000000,0.000000000,0.00000000,0.000000000,0.00000000,0.00000000,0.000000000,0.047619048,0.214285714,0.000000000,0,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.00000000,0.00000000,0.00000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.00000000,0.000000000,0.000000000,0.04761905,0.6904762,0.00000000,0.000000000,0.000000000,0.000000000,0.00000000,0.00000000,0.00000000, -8.1096143,54.65383
Leitrim,0.000000000,0.00000000,0.000000000,0.000000000,0.000000000,0.00000000,0.000000000,0.00000000,0.000000000,0.00000000,0.00000000,0.000000000,0.047619048,0.214285714,0.000000000,0,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.00000000,0.00000000,0.00000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.00000000,0.000000000,0.000000000,0.04761905,0.6904762,0.00000000,0.000000000,0.000000000,0.000000000,0.00000000,0.00000000,0.00000000, -8.0020132,54.12469
Athlone,0.000000000,0.00000000,0.000000000,0.000000000,0.000000000,0.00000000,0.000000000,0.00000000,0.000000000,0.00000000,0.00000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0.000000000,0.000000000,0.000000000,0.107142857,0.071428571,0.000000000,0.035714286,0.000000000,0.000000000,0.000000000,0.00000000,0.00000000,0.00000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.00000000,0.000000000,0.000000000,0.07142857,0.6785714,0.00000000,0.000000000,0.035714286,0.000000000,0.00000000,0.00000000,0.00000000, -7.9406898,53.42393
Longford,0.000000000,0.00000000,0.000000000,0.000000000,0.000000000,0.00000000,0.000000000,0.00000000,0.000000000,0.00000000,0.00000000,0.000000000,0.047619048,0.071428571,0.000000000,0,0.000000000,0.000000000,0.000000000,0.000000000,0.071428571,0.071428571,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.00000000,0.00000000,0.00000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.00000000,0.000000000,0.000000000,0.11904762,0.6190476,0.00000000,0.000000000,0.000000000,0.000000000,0.00000000,0.00000000,0.00000000, -7.7932573,53.72763
Offaly,0.000000000,0.00000000,0.000000000,0.000000000,0.000000000,0.00000000,0.000000000,0.00000000,0.000000000,0.00000000,0.00000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0.000000000,0.000000000,0.000000000,0.107142857,0.107142857,0.000000000,0.035714286,0.000000000,0.000000000,0.000000000,0.00000000,0.00000000,0.00000000,0.000000000,0.035714286,0.000000000,0.000000000,0.000000000,0.00000000,0.000000000,0.000000000,0.07142857,0.5714286,0.00000000,0.035714286,0.035714286,0.000000000,0.00000000,0.00000000,0.00000000, -7.7122229,53.23569
Fermanagh,0.000000000,0.00000000,0.000000000,0.000000000,0.000000000,0.00000000,0.000000000,0.00000000,0.000000000,0.00000000,0.00000000,0.000000000,0.047619048,0.214285714,0.000000000,0,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.00000000,0.00000000,0.00000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.00000000,0.000000000,0.000000000,0.04761905,0.6904762,0.00000000,0.000000000,0.000000000,0.000000000,0.00000000,0.00000000,0.00000000, -7.6318728,54.34383
Enniskillen,0.000000000,0.00000000,0.000000000,0.000000000,0.000000000,0.00000000,0.000000000,0.00000000,0.000000000,0.00000000,0.00000000,0.000000000,0.047619048,0.214285714,0.000000000,0,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.00000000,0.00000000,0.00000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.00000000,0.000000000,0.000000000,0.04761905,0.6904762,0.00000000,0.000000000,0.000000000,0.000000000,0.00000000,0.00000000,0.00000000, -7.6315336,54.34382
Doon,0.000000000,0.00000000,0.000000000,0.000000000,0.000000000,0.00000000,0.000000000,0.00000000,0.000000000,0.00000000,0.00000000,0.000000000,0.047619048,0.214285714,0.000000000,0,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.00000000,0.00000000,0.00000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.00000000,0.000000000,0.000000000,0.04761905,0.6904762,0.00000000,0.000000000,0.000000000,0.000000000,0.00000000,0.00000000,0.00000000, -7.6096400,54.18593
Westmeath,0.000000000,0.00000000,0.000000000,0.071428571,0.000000000,0.00000000,0.000000000,0.00000000,0.000000000,0.00000000,0.00000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0.000000000,0.000000000,0.000000000,0.071428571,0.035714286,0.000000000,0.035714286,0.000000000,0.000000000,0.000000000,0.00000000,0.00000000,0.00000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.00000000,0.000000000,0.000000000,0.10714286,0.6428571,0.00000000,0.000000000,0.035714286,0.000000000,0.00000000,0.00000000,0.00000000, -7.4653217,53.53453
Strabane,0.000000000,0.00000000,0.000000000,0.000000000,0.000000000,0.00000000,0.000000000,0.00000000,0.000000000,0.00000000,0.00000000,0.000000000,0.047619048,0.214285714,0.000000000,0,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.00000000,0.00000000,0.00000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.00000000,0.000000000,0.000000000,0.04761905,0.6904762,0.00000000,0.000000000,0.000000000,0.000000000,0.00000000,0.00000000,0.00000000, -7.4633103,54.82739
