index,placename,longitude,latitude,aint,arent,ent,innit,int,isnt
0,Dingle,-10.264013499999999,52.14094,0.04447110893102437,0.05787165881043221,0.01,0.06972782854530982,0.020760980132550438,0.7931660881824838
1,Tralee,-9.6999325,52.27131,0.06401774668679663,0.0574581542918037,0.01,0.0580942389308453,0.02061264056046055,0.8401566518701895
2,Killarney,-9.5044265,52.059940000000005,0.08788399866877458,0.051471900474427915,0.01,0.058152734045564154,0.018465120410068845,0.8856600129037209
3,Bantry,-9.4539805,51.68035,0.07884643143111003,0.05108900353626689,0.01,0.0393781674730506,0.018327757528887916,0.7919273837091279
4,Mayo,-9.4289369,54.01526,0.05370802470716585,0.01,0.01,0.16887581335240284,0.01138099090131398,0.7843444054788443
5,Ballycastle,-9.3724643,54.279669999999996,0.05723335835745786,0.01,0.01,0.10847363824502416,0.010974680788756271,0.6483820762722587
6,Abbeyfeale,-9.2970823,52.386179999999996,0.049163976683490734,0.05216495031995704,0.01,0.040504470818381356,0.01871374633469801,0.6886364508948324
7,Ennistymon,-9.2934951,52.940369999999994,0.043674896502421755,0.05953484484424337,0.01,0.0820695235056715,0.014238423534796813,0.6712842144656396
8,Galway,-9.0567905,53.270669999999996,0.07765485325197742,0.01,0.01,0.2005308955789515,0.030073998502144043,0.8565513426911614
9,Claremorris,-9.0017356,53.72388,0.05014162501085028,0.18487966167119382,0.01,0.16342406461721065,0.011054009348354477,0.843187256975874
10,Clare,-8.9811351,52.90453,0.052334027093351006,0.06308707218198971,0.01,0.10350567133587625,0.02263196670152696,0.8703145014828744
11,Adare,-8.7925892,52.56363,0.05838020901614096,0.051571383129702913,0.01,0.05743140926957578,0.01850080986766859,0.780658924119161
12,Charleville,-8.681017599999999,52.36206,0.07745174405558933,0.048746533956390115,0.01,0.038454755108766295,0.017487420151010288,0.6679694106448495
13,Mallow,-8.6539164,52.13898,0.08783082542399262,0.052375309593698786,0.01,0.04526267098864738,0.01878921187782351,0.8077287455955144
14,Limerick,-8.6267343,52.66384,0.060593787089961285,0.05538961152259985,0.01,0.08661907327985381,0.019870564229730853,0.9262866105162958
15,Loughrea,-8.5660931,53.19891,0.0517680958546322,0.01,0.01,0.16336316602317383,0.027351844121351457,0.6159921561527861
16,Sligo,-8.476088800000001,54.27661,0.08450987227552186,0.2052859944880938,0.01,0.1377840499007548,0.01,0.840442207839814
17,Cork,-8.4756035,51.898509999999995,0.0968407538264163,0.053636820116142785,0.01,0.07653050366164293,0.01924176657439399,0.9405471106915637
18,Nenagh,-8.19834,52.8635,0.0530207600228338,0.01,0.01,0.08165514352116408,0.02215181144045859,0.8498189301762258
19,Roscommon,-8.1890955,53.627590000000005,0.059959190390296103,0.19268709415319638,0.01,0.18676441095422017,0.011520818032785067,0.7923156157299615
20,Tipperary,-8.161851400000002,52.47379,0.08969586123424636,0.05372255338357895,0.01,0.05569718336589897,0.019272526324940586,0.8749787606297342
