index,placename,longitude,latitude,them_aint,them_arent,them_ent,them_int,them_isnt,thems_not,they_aint,they_arent,they_ent,they_int,theym_not,theyre_not,theys_not
34,Laois,-7.332300699999999,52.9943,0.01,0.09363140936091723,0.01,0.01,0.7121316306926546,0.2747038104244777,0.13841566005343056,0.20857542999518297,0.01,0.01,0.01,0.25983623546076245,0.01
35,Omagh,-7.309959700000001,54.59771,0.08152451581460315,0.211798087932744,0.01,0.01,0.1543842978288575,0.3275444429298635,0.1332212278541609,0.3280777469656068,0.01,0.01,0.01,0.14682299103367108,0.01
36,Derry,-7.308574799999999,54.99661,0.12579341015074338,0.29535487451758347,0.01,0.01,0.01,0.5054054236369052,0.20608906779843397,0.5205662645419282,0.01,0.01,0.01,0.2379074648102342,0.01
37,Derry,-7.308574799999999,54.99661,0.12579341015074338,0.29535487451758347,0.01,0.01,0.01,0.5054054236369052,0.20608906779843397,0.5205662645419282,0.01,0.01,0.01,0.2379074648102342,0.01
38,Kilkenny,-7.2447879,52.65415,0.01,0.12550019334100634,0.01,0.01,0.625233021069734,0.22108422211330775,0.14856309096028467,0.25687571423767414,0.01,0.01,0.01,0.29950287564207895,0.01
39,Tyrone,-7.131232000000001,54.491209999999995,0.07429549924056782,0.1754482306650601,0.01,0.01,0.14069459189655062,0.01,0.09407953610000196,0.25221283686910695,0.01,0.01,0.01,0.09011487887998261,0.01
40,Waterford,-7.110070200000001,52.25932,0.024870210070270054,0.16014789358980988,0.01,0.01,0.4709711530126699,0.01,0.14705882183287775,0.27789436850641663,0.01,0.01,0.01,0.34869847025753464,0.01
41,Western Isles,-7.0194034,57.759890000000006,0.01,0.06931406134524686,0.01,0.01,0.12631846171402292,0.01,0.10694227836518909,0.15106030229012848,0.01,0.01,0.01,0.10659672363150698,0.01
42,Monaghan,-6.9683132,54.2492,0.09426824250185777,0.2068582001109809,0.01,0.01,0.35703460827643835,0.01,0.12323854065771143,0.34795925217644275,0.01,0.01,0.01,0.1463992242111791,0.01
43,Carlow,-6.934135899999999,52.83651,0.01,0.11141856612633999,0.01,0.01,0.4830083820825606,0.22772424061914898,0.14023137218777013,0.2140720646633634,0.01,0.01,0.01,0.278227908454038,0.01
44,Kildare,-6.8194707999999995,53.21204,0.04183948356560494,0.21483559151111487,0.01,0.01,0.45338372575790364,0.22413363906854736,0.17333869141240182,0.2721553264944489,0.012519118092642894,0.01,0.01,0.35339205083128783,0.3511074894626708
45,Dungannon,-6.7669352,54.508269999999996,0.08491128804951144,0.15711076830240414,0.01,0.01,0.16079788333952333,0.01,0.07287547713745818,0.30581312710884606,0.01,0.01,0.01,0.07804448352465475,0.01
46,Cookstown,-6.7443895000000005,54.641819999999996,0.11133291104865563,0.21133234800924267,0.01,0.01,0.21083293934032205,0.01,0.08949355165792619,0.37018490644098717,0.01,0.01,0.01,0.10942988874351035,0.01
47,Coleraine,-6.6646103000000005,55.132580000000004,0.1241645930744973,0.2242542367299867,0.01,0.01,0.01,0.49886125742453613,0.13496457821943092,0.5039368436612276,0.01,0.01,0.01,0.18566278096401828,0.01
48,Meath,-6.656416900000001,53.60555,0.04232378823872711,0.20914001676199898,0.01,0.01,0.3038992296553764,0.0850230234599699,0.14175233669401158,0.2509910091189216,0.01,0.01,0.01,0.30297455722407896,0.2663787674387343
49,Armagh,-6.652792,54.350280000000005,0.10300742153943752,0.2276241665475784,0.01,0.01,0.39013364091535,0.01,0.12601898557364918,0.3797581211949495,0.01,0.01,0.01,0.12785390330104485,0.01
50,Armagh,-6.652792,54.350280000000005,0.10300742153943752,0.2276241665475784,0.01,0.01,0.39013364091535,0.01,0.12601898557364918,0.3797581211949495,0.01,0.01,0.01,0.12785390330104485,0.01
51,Magherafelt,-6.607980499999999,54.75536999999999,0.1119381081598504,0.21257431398708837,0.01,0.01,0.21197901092536936,0.4497383997130519,0.0963530043628861,0.3842275699582281,0.01,0.01,0.01,0.12553787618843432,0.01
52,Dunvegan,-6.581398200000001,57.4366,0.01,0.019916638980765244,0.01,0.01,0.05414477368928166,0.01,0.027563001163984902,0.02459516632607223,0.01,0.01,0.01,0.01,0.01
53,Louth,-6.4889423,53.925230000000006,0.0509208529898141,0.29085298776141294,0.01,0.01,0.5785778599844971,0.01,0.1683764211716896,0.35647794306869257,0.01,0.01,0.01,0.24974760477418997,0.01
54,Wexford,-6.4633381,52.33692,0.01,0.16541343750149434,0.01,0.01,0.8298189774743449,0.2515083740773166,0.1766693574475762,0.2676484755921704,0.01,0.01,0.01,0.3153551203054104,0.01
55,Craigavon,-6.4175653,54.442930000000004,0.041848877103653793,0.2540614207172342,0.01,0.01,0.3169995990588047,0.01,0.08632623184283321,0.45474275775845735,0.01,0.01,0.01,0.1564614282022505,0.01
56,Stornoway,-6.384869200000001,58.209430000000005,0.01,0.0868597895584801,0.01,0.01,0.1519542024859494,0.01,0.16779190067188618,0.21340748913253807,0.01,0.01,0.01,0.1632884514040645,0.01
57,Drogheda,-6.3560985,53.717859999999995,0.03356471351841573,0.1641228260399455,0.01,0.01,0.2410060740694972,0.06742716459773103,0.10636635584329722,0.18199740558234526,0.01,0.01,0.01,0.2228554099814061,0.21125062042436735
58,Rosslare,-6.3414908,52.25131,0.01,0.023868212867528948,0.01,0.01,0.17975504158169445,0.05448163782046,0.015824021769490843,0.01,0.01,0.01,0.01,0.0150722864947878,0.01
59,Newry,-6.34023,54.1751,0.01,0.26405248995117925,0.01,0.01,0.8649416361652598,0.01,0.13287483515653312,0.41019511760245136,0.01,0.01,0.01,0.16476758920796236,0.01
60,Scilly Isles,-6.327496599999999,49.92773,0.08686829875556337,0.039153875019725275,0.01,0.01,0.10966927083597423,0.01,0.11382465115978714,0.18895706445219818,0.01,0.09990159627592526,0.01,0.09531899847956508,0.01
61,Ballymena,-6.2802213,54.86529,0.01,0.209004416852889,0.01,0.01,0.1723917556111068,0.01,0.07811283053489153,0.44168373851839043,0.01,0.01,0.01,0.1511814326478381,0.01
62,Banbridge,-6.2704803,54.34873,0.01,0.22370720067776012,0.01,0.01,0.3267638176253985,0.01,0.06852049371683559,0.3756647428051408,0.01,0.01,0.01,0.12336401049767975,0.01
63,Dublin,-6.2603097000000005,53.34981,0.06813930250155512,0.4440629556301497,0.01,0.01,0.695363401317747,0.36502150129419336,0.34316583438188053,0.5706826450068986,0.020388493191108997,0.01,0.01,0.7059974155037722,0.5718096598564639
64,Antrim,-6.2072498,54.719530000000006,0.01,0.22360284315418638,0.01,0.01,0.26381026880535935,0.01,0.0879268276739027,0.48283964379077116,0.01,0.01,0.01,0.16768739023377446,0.01
65,Antrim,-6.2072498,54.719530000000006,0.01,0.22360284315418638,0.01,0.01,0.26381026880535935,0.01,0.0879268276739027,0.48283964379077116,0.01,0.01,0.01,0.16768739023377446,0.01
66,Portree,-6.1960231,57.41246999999999,0.01,0.0964719980988101,0.01,0.01,0.16599842751135577,0.01,0.14816228788493227,0.21494854362315474,0.01,0.01,0.01,0.15810666488661657,0.01
67,Islay,-6.177067,55.73625,0.13501047145984163,0.07035253903469126,0.01,0.27791223926266867,0.01,0.3616248009952901,0.16104129148893845,0.19496840581125044,0.01,0.01,0.01,0.08681990131428972,0.01
68,Wicklow,-6.044589,52.980819999999994,0.03226290709230584,0.1942623899226447,0.01,0.01,0.28851261286638963,0.17283201860259279,0.14525136320376666,0.24503747254533106,0.01,0.01,0.01,0.305982082029855,0.2707430186450963
69,Kilkeel,-6.007004,54.06312,0.03954968861455307,0.16227061716873592,0.01,0.01,0.4993059240485058,0.01,0.06923677184743035,0.23274624133107397,0.01,0.01,0.01,0.07477651075348819,0.01
70,Mull,-6.0008870000000005,56.4392,0.161354974712679,0.11066216973798691,0.01,0.3321410685184495,0.01,0.01,0.1507436753291701,0.1694403460859045,0.01,0.01,0.01,0.10352224796950835,0.01
71,Belfast,-5.93012,54.597280000000005,0.01,0.4232910477981594,0.01,0.01,0.5362565505693473,0.01,0.17049943317636881,0.9255339660389158,0.01,0.01,0.01,0.3695106836960621,0.01
72,Broadford,-5.9096592,57.24139,0.01,0.025476383212123213,0.01,0.01,0.05337258473321657,0.01,0.02885767878582128,0.02500078234556481,0.01,0.01,0.01,0.01,0.01
73,Down,-5.7156921999999994,54.32875,0.01,0.2503232605479176,0.01,0.01,0.3126301983317267,0.01,0.0853883309113175,0.4845982483346118,0.01,0.01,0.01,0.1726990260612643,0.01
74,Kyle of Lochalsh,-5.7143293,57.28261,0.01,0.019995266316880863,0.01,0.01,0.05425965339666776,0.01,0.029029169195089584,0.02478883408442035,0.01,0.01,0.01,0.01,0.01
75,Campbeltown,-5.605373999999999,55.424119999999995,0.01,0.07754283183494544,0.01,0.49213833183811434,0.01,0.01,0.17079309315553465,0.20433802817936536,0.01,0.01,0.01,0.10312741071553938,0.01
76,Penzance,-5.537592,50.1188,0.14189531827729257,0.07481428246225931,0.01,0.01,0.179139643730073,0.01,0.2054473128435077,0.35380776624740196,0.01,0.16318460865010817,0.01,0.1990532354552524,0.01
77,Oban,-5.471047,56.41516,0.20808902731290702,0.14767854890065912,0.01,0.01,0.01,0.01,0.203329496375331,0.2620867447971947,0.01,0.01,0.01,0.15766662123193356,0.01
78,Lochgilphead,-5.4323449,56.03829,0.09504159124534374,0.044450599117556486,0.01,0.2934574722254659,0.059993934267649186,0.01,0.13590567616568952,0.15264021794394433,0.01,0.01,0.01,0.06950420632152766,0.01
79,Helston,-5.274996,50.10159,0.10763690613792457,0.05261302668205661,0.01,0.01,0.13588916993070946,0.01,0.14840539126116006,0.25118135197874114,0.01,0.12378621994482321,0.01,0.1331686718637555,0.01
80,Redruth,-5.226666000000001,50.23302,0.11965082542196505,0.06039867926462879,0.01,0.01,0.15105647818886853,0.01,0.16981049958974,0.28665908372679905,0.01,0.13760265397877192,0.01,0.15781694835365195,0.01
81,Ullapool,-5.161313,57.895419999999994,0.01,0.06345960357503941,0.01,0.01,0.11776461274982543,0.01,0.12019209339875923,0.14399210675069213,0.01,0.01,0.01,0.10814527014383972,0.01
82,Ballachulish,-5.133719999999999,56.673930000000006,0.07078317797602329,0.023633065980361204,0.01,0.01,0.01,0.01,0.04772564108536748,0.02598201194778793,0.01,0.01,0.01,0.01,0.01
83,Fort William,-5.1052179,56.81981999999999,0.01,0.1147841458790152,0.01,0.01,0.01,0.01,0.13866350243719106,0.21531918716597231,0.01,0.01,0.01,0.18092017648230208,0.01
84,Achnasheen,-5.078765799999999,57.578590000000005,0.01,0.01794308628068133,0.01,0.01,0.05126125007099738,0.01,0.029209503946858218,0.02446800848215322,0.01,0.01,0.01,0.01,0.01
85,Newquay,-5.0737190000000005,50.4155,0.13825520044271916,0.0724552943460946,0.01,0.01,0.17454407694226215,0.01,0.20424404189872453,0.33733230891530425,0.01,0.15899833904357527,0.01,0.19316590743154288,0.01
86,Falmouth,-5.066269999999999,50.152570000000004,0.14944362861425345,0.07970598520135502,0.01,0.01,0.18866921553655583,0.01,0.21976587992205804,0.3746387101549752,0.01,0.17186541814284398,0.01,0.21153422271120387,0.01
87,Rothesay,-5.055793,55.83596,0.11713998116254101,0.10094534108789052,0.01,0.48225345971287753,0.07394329674423347,0.01,0.2185724222268748,0.2458071705024657,0.01,0.01,0.01,0.13756637212459327,0.01
88,Truro,-5.051041000000001,50.2632,0.20553676047622083,0.11605728960256213,0.01,0.01,0.25948554108501226,0.01,0.31382062860551524,0.5423988872411808,0.01,0.23637449747618,0.01,0.3200094950406066,0.01
89,Milford Haven,-5.0426971,51.71431,0.20151312418812256,0.20051050970588927,0.01,0.01,0.01,0.01,0.22696129137014287,0.20624838764518194,0.01,0.01,0.4225818901478066,0.11607164550567946,0.01
90,Stranraer,-5.024055000000001,54.903369999999995,0.01,0.1344779491633921,0.01,0.10079951536612491,0.12364367120857175,0.01,0.07483957023836828,0.3184165876835373,0.01,0.01,0.01,0.10986844002891344,0.01
91,Fishguard,-4.975989,51.99393,0.09812895474124617,0.17363683540023866,0.01,0.01,0.01,0.01,0.09790420827519125,0.12914631398242032,0.01,0.01,0.6173421986217158,0.10617101370367092,0.01
92,Inchnadamph,-4.974295,58.15221,0.01,0.01,0.01,0.01,0.0501374737677402,0.01,0.04257082550619352,0.02074509240735174,0.01,0.01,0.01,0.01,0.01
93,Haverfordwest,-4.971319,51.800470000000004,0.22371214335548067,0.22448739870870935,0.01,0.01,0.01,0.01,0.25011817160988087,0.23554705023744563,0.01,0.01,0.46913419247162275,0.13363292224014797,0.01
94,Dunoon,-4.926214,55.95097,0.19993544049023987,0.06059985900053804,0.01,0.4938684036809909,0.07572419874563344,0.01,0.1927326496342413,0.21631415937198714,0.01,0.01,0.01,0.12193271771521073,0.01
95,Pembroke,-4.908637000000001,51.674040000000005,0.28116518109084193,0.2561734129681784,0.01,0.01,0.01,0.01,0.33324323586855836,0.3112349343012756,0.01,0.01,0.5896157364627663,0.18943192832220507,0.01
96,Girvan,-4.8542179,55.240159999999996,0.01,0.0950097318061307,0.01,0.5829257355982795,0.01,0.01,0.2146182057023787,0.2027738088592304,0.01,0.01,0.01,0.11439486516145064,0.01
97,Wadebridge,-4.836456,50.51665,0.11801081686567734,0.059335867325425576,0.01,0.01,0.14898600135763518,0.01,0.1656784541255448,0.2818161028002096,0.01,0.01,0.01,0.14614267250115945,0.01
98,Invergarry,-4.800261,57.07095,0.01,0.02667489240220613,0.01,0.01,0.054873544550159505,0.01,0.028499584137360992,0.022313103923801095,0.01,0.01,0.01,0.01,0.01
99,St Austell,-4.7834252,50.340379999999996,0.1270564617059512,0.06519792170140798,0.01,0.01,0.16040591850600794,0.01,0.18222796047922782,0.30722138212839223,0.01,0.01,0.01,0.1648236619205607,0.01
100,Greenock,-4.7719830000000005,55.956480000000006,0.3193239935679609,0.13461373692658057,0.01,0.7887747658247193,0.1209418096558573,0.01,0.2992937074659453,0.3651514262913464,0.01,0.01,0.01,0.22802444209766082,0.01
101,Helensburgh,-4.734014,56.00232,0.21814260509731928,0.08652843509951264,0.01,0.5388426430051535,0.16524007260645657,0.01,0.19469499301433008,0.23280990868347504,0.01,0.01,0.01,0.13374292246446334,0.01
102,Bodmin,-4.7188629,50.4715,0.11244730470911138,0.0557304183652781,0.01,0.01,0.03549054744821127,0.01,0.15641494081414142,0.2584466786781252,0.01,0.01,0.01,0.13062939554223474,0.01
103,Tenby,-4.703579,51.672740000000005,0.22022370819707907,0.19693348751225281,0.01,0.01,0.01,0.01,0.2577739524498156,0.23234464629540744,0.01,0.01,0.46181879944101484,0.1340140870200974,0.01
104,Camelford,-4.682364,50.62206,0.08925250159917815,0.04069896406085311,0.01,0.01,0.02816982126369335,0.01,0.11465851247584584,0.18312000566412684,0.01,0.01,0.01,0.08301447532098065,0.01
105,Irvine,-4.6696364,55.61156999999999,0.01,0.09026156180814666,0.01,0.9594857183254762,0.11769335300156962,0.01,0.3142048810762603,0.41918677326324405,0.01,0.01,0.01,0.24386993416716507,0.01
106,Cardigan,-4.660864,52.0837,0.07646579149425085,0.14803817970001062,0.01,0.01,0.14480450953691085,0.01,0.1357594994507682,0.16194999879518235,0.01,0.17587669472549664,0.4810563810129813,0.1345443590364838,0.01
107,Holyhead,-4.633038,53.30944,0.14621394159858142,0.07761297787710322,0.01,0.01,0.01,0.01,0.07878152642724831,0.22084137869118028,0.06562472070073283,0.01,0.01,0.1478478600390314,0.01
108,Ayr,-4.629179,55.45856,0.01,0.17525208741176362,0.01,1.0,0.01,0.01,0.40160142118302455,0.43470522221835906,0.01,0.01,0.01,0.2639925763456708,0.01
109,Dumbarton,-4.564554,55.94529,0.09507751758331749,0.11195723992183568,0.01,0.08387669349066591,0.07716421742476323,0.03638066063850325,0.21509739000829925,0.33567509169910303,0.01,0.01,0.01,0.23325472938964198,0.01
110,Bude,-4.543678,50.826640000000005,0.1209799494457457,0.02205933007303012,0.01,0.01,0.038183616745203514,0.01,0.17628983777093832,0.2588506782529453,0.01,0.01,0.01,0.1440625732052714,0.01
111,Isle of Man,-4.5126330999999995,54.27697,0.01,0.22430641949651922,0.01,0.01,0.10079285663433392,0.01,0.3207638039540364,0.4115583788652708,0.01,0.01,0.01,0.2581810084754426,0.01
112,Kilmarnock,-4.498792,55.61472,0.01,0.15187588129520677,0.01,0.8628104327231408,0.1058348745410799,0.01,0.28467794470949487,0.4185224222732173,0.01,0.01,0.01,0.2193183585410508,0.01
113,Newton Stewart,-4.483164,54.9603,0.0675779581484381,0.0704467949510419,0.01,0.20865872000402286,0.12797347537985276,0.01,0.18129853993795345,0.16781570524782302,0.01,0.01,0.01,0.09220198804345148,0.01
114,Liskeard,-4.4647190000000005,50.45552,0.12631759504453702,0.06471909718173124,0.01,0.01,0.03986828111830328,0.01,0.167674235296265,0.2790599919228068,0.01,0.01,0.01,0.14575040674082893,0.01
115,Altnaharra,-4.442655,58.28023,0.01,0.01,0.01,0.01,0.049990461396552256,0.01,0.040500604065735336,0.022117991505657516,0.01,0.01,0.01,0.01,0.01
116,Pwllheli,-4.417633900000001,52.888819999999996,0.08494212756111615,0.05625460652202949,0.01,0.01,0.1608562846228294,0.01,0.08458590385892581,0.17957539203896683,0.03812429564670066,0.1953728634264362,0.01,0.13786415816026226,0.01
117,Lairg,-4.402414,58.022059999999996,0.01,0.01,0.01,0.01,0.05120060590152688,0.01,0.040960351715122426,0.02176443880263954,0.01,0.01,0.01,0.01,0.01
118,Launceston,-4.360451599999999,50.636829999999996,0.11988761269503344,0.021705384262728316,0.01,0.01,0.03783885404134465,0.01,0.16880339681235185,0.25344506843589865,0.01,0.01,0.01,0.12764355621499737,0.01
119,Carmarthen,-4.312131,51.857620000000004,0.3739959382034605,0.21512899971985597,0.01,0.01,0.01,0.01,0.3433285559459354,0.3003984889288186,0.01,0.01,0.5882144536154318,0.17736481429231327,0.01
120,Llangefni,-4.311401999999999,53.255790000000005,0.18493098221536014,0.10270365978870971,0.01,0.01,0.01,0.01,0.09480704207845704,0.31029105913764216,0.08300196222131626,0.01,0.01,0.20183093548696746,0.01
121,Caernarfon,-4.273911,53.13955,0.1829509811114414,0.10142051476802531,0.01,0.01,0.01,0.01,0.08489118682411258,0.2893177871207437,0.08211328467836183,0.01,0.01,0.18919595694688524,0.01
122,Cumnock,-4.265828900000001,55.45355,0.01,0.11216920585158886,0.01,0.2640452659368509,0.01,0.01,0.27499368180116895,0.2906085371779014,0.01,0.01,0.01,0.16269350531259114,0.01
123,Aberaeron,-4.2581619,52.24279,0.09423833718737876,0.14571572270202937,0.01,0.01,0.1784606675655532,0.01,0.09280073850638453,0.14012351600106257,0.01,0.2167547989376293,0.5928658103728639,0.13033866716499998,0.01
124,Alness,-4.256825,57.69595,0.01,0.06752417752531709,0.01,0.01,0.1649377195604427,0.01,0.17592090750251135,0.20389121469243804,0.01,0.01,0.01,0.16210078000788997,0.01
125,Glasgow,-4.251806,55.86424,0.09811039662007266,0.25307664892763876,0.01,0.3029329435030366,0.13934493132737114,0.06569706185599064,0.4607542061532346,0.7944589911676124,0.01,0.01,0.01,0.5730165935176306,0.01
126,Dalwhinnie,-4.242783,56.9366,0.02503590412265314,0.02612419999977109,0.01,0.01,0.01,0.01,0.03942701602713202,0.021685204769242773,0.01,0.01,0.01,0.01,0.01
127,Inverness,-4.224721,57.47776999999999,0.01,0.11965562340400705,0.01,0.01,0.26649547470730345,0.01,0.31640079881750577,0.3675934122535702,0.01,0.01,0.01,0.30063765876423004,0.01
128,Saltash,-4.21643,50.409209999999995,0.07251926418856244,0.029854944721234372,0.01,0.01,0.04577697150749213,0.01,0.18463440485162202,0.24637924911465697,0.01,0.01,0.01,0.13306946460875937,0.01
129,Bideford,-4.206666,51.01668,0.06106010435096982,0.0521064271697576,0.01,0.01,0.01,0.01,0.15273545293628193,0.26265154381744255,0.01,0.01,0.01,0.18027047595028242,0.01
130,Invergordon,-4.1728819999999995,57.688109999999995,0.01,0.06852120727529949,0.01,0.01,0.16688004250005115,0.01,0.18248383332357837,0.2070774393424643,0.01,0.01,0.01,0.16397632816594954,0.01
131,Llanelli,-4.160248,51.680890000000005,0.48051123440601595,0.2527356902521774,0.01,0.01,0.01,0.01,0.4122740104240134,0.33961611816142684,0.01,0.01,0.6045919047640391,0.2043725896393323,0.01
132,Plymouth,-4.1426565,50.37546,0.13931294561130952,0.073140768936762,0.01,0.01,0.21984931789901468,0.01,0.38851254971705623,0.571498903193584,0.01,0.01,0.01,0.3356077588947431,0.01
