placename,FATHER=BATH≠TRAP,FATHER=CLOTH≠LOT,FATHER=DRESS,FATHER=FACE,FATHER=KIT,FATHER=LOT,"FATHER=PALM≠BATH,TRAP",FATHER=SQUARE,FATHER=TRAP,longitude,latitude
Holyhead,0.13333333,0.00000000,0.00000000,0.000000000,0.00000000,0.00000000,0.73333333,0.00000000,0.13333333, -4.6330380,53.30944
Ayr,0.18333333,0.00000000,0.03333333,0.100000000,0.00000000,0.00000000,0.06666667,0.00000000,0.61666667, -4.6291790,55.45856
Dumbarton,0.18333333,0.00000000,0.00000000,0.133333333,0.00000000,0.00000000,0.06666667,0.00000000,0.61666667, -4.5645540,55.94529
Bude,0.46666667,0.00000000,0.00000000,0.016666667,0.00000000,0.00000000,0.30000000,0.00000000,0.21666667, -4.5436780,50.82664
Isle of Man,0.08474576,0.00000000,0.03389831,0.016949153,0.00000000,0.00000000,0.64406780,0.00000000,0.22033898, -4.5126331,54.27697
Kilmarnock,0.18333333,0.00000000,0.03333333,0.083333333,0.00000000,0.00000000,0.06666667,0.00000000,0.63333333, -4.4987920,55.61472
Newton Stewart,0.15000000,0.00000000,0.03333333,0.083333333,0.00000000,0.00000000,0.18333333,0.00000000,0.55000000, -4.4831640,54.96030
Liskeard,0.46666667,0.00000000,0.00000000,0.016666667,0.00000000,0.00000000,0.30000000,0.00000000,0.21666667, -4.4647190,50.45552
Altnaharra,0.06666667,0.00000000,0.00000000,0.116666667,0.00000000,0.00000000,0.13333333,0.00000000,0.68333333, -4.4426550,58.28023
Pwllheli,0.23333333,0.00000000,0.00000000,0.000000000,0.00000000,0.00000000,0.66666667,0.00000000,0.10000000, -4.4176339,52.88882
Lairg,0.06666667,0.00000000,0.00000000,0.116666667,0.00000000,0.00000000,0.13333333,0.00000000,0.68333333, -4.4024140,58.02206
Launceston,0.46666667,0.00000000,0.00000000,0.016666667,0.00000000,0.00000000,0.30000000,0.00000000,0.21666667, -4.3604516,50.63683
Carmarthen,0.45833333,0.00000000,0.00000000,0.008333333,0.00000000,0.00000000,0.32500000,0.00000000,0.20833333, -4.3121310,51.85762
Llangefni,0.16666667,0.00000000,0.00000000,0.000000000,0.00000000,0.00000000,0.73333333,0.00000000,0.10000000, -4.3114020,53.25578
Caernarfon,0.20000000,0.00000000,0.00000000,0.000000000,0.00000000,0.00000000,0.70000000,0.00000000,0.10000000, -4.2739110,53.13955
Cumnock,0.18333333,0.00000000,0.03333333,0.100000000,0.00000000,0.00000000,0.06666667,0.00000000,0.61666667, -4.2658289,55.45355
Aberaeron,0.34166667,0.00000000,0.00000000,0.008333333,0.00000000,0.00000000,0.44166667,0.00000000,0.20833333, -4.2581619,52.24279
Alness,0.10000000,0.00000000,0.00000000,0.066666667,0.00000000,0.00000000,0.13333333,0.00000000,0.70000000, -4.2568250,57.69595
Glasgow,0.18333333,0.00000000,0.00000000,0.133333333,0.00000000,0.00000000,0.06666667,0.00000000,0.61666667, -4.2518060,55.86424
Dalwhinnie,0.06666667,0.00000000,0.00000000,0.100000000,0.00000000,0.00000000,0.06666667,0.00000000,0.76666667, -4.2427830,56.93660
Inverness,0.10000000,0.00000000,0.00000000,0.066666667,0.00000000,0.00000000,0.13333333,0.00000000,0.70000000, -4.2247210,57.47777
Saltash,0.46666667,0.00000000,0.00000000,0.016666667,0.00000000,0.00000000,0.30000000,0.00000000,0.21666667, -4.2164300,50.40921
Bideford,0.60833333,0.00000000,0.00000000,0.025000000,0.00000000,0.00000000,0.24166667,0.00000000,0.12500000, -4.2066660,51.01668
Invergordon,0.10000000,0.00000000,0.00000000,0.066666667,0.00000000,0.00000000,0.13333333,0.00000000,0.70000000, -4.1728820,57.68811
Llanelli,0.49166667,0.00000000,0.00000000,0.008333333,0.00000000,0.00000000,0.29166667,0.00000000,0.20833333, -4.1602480,51.68089
Plymouth,0.46666667,0.00000000,0.00000000,0.016666667,0.00000000,0.00000000,0.30000000,0.00000000,0.21666667, -4.1426565,50.37546
Tavistock,0.46666667,0.00000000,0.00000000,0.016666667,0.00000000,0.00000000,0.30000000,0.00000000,0.21666667, -4.1416540,50.55112
Porthmadog,0.20000000,0.00000000,0.00000000,0.000000000,0.00000000,0.00000000,0.70000000,0.00000000,0.10000000, -4.1333840,52.92784
Bangor,0.20000000,0.00000000,0.00000000,0.000000000,0.00000000,0.00000000,0.70000000,0.00000000,0.10000000, -4.1292630,53.22739
Tywyn,0.37500000,0.00000000,0.00000000,0.008333333,0.00000000,0.00000000,0.50833333,0.00000000,0.10833333, -4.0872490,52.58701
Aberystwyth,0.30833333,0.00000000,0.00000000,0.008333333,0.00000000,0.00000000,0.47500000,0.00000000,0.20833333, -4.0829200,52.41530
Lampeter,0.42500000,0.00000000,0.00000000,0.008333333,0.00000000,0.00000000,0.35833333,0.00000000,0.20833333, -4.0785090,52.11290
Barnstaple,0.57500000,0.00000000,0.00000000,0.008333333,0.00000000,0.00000000,0.27500000,0.00000000,0.14166667, -4.0583380,51.07816
Tain,0.06666667,0.00000000,0.00000000,0.066666667,0.00000000,0.00000000,0.13333333,0.00000000,0.73333333, -4.0552300,57.81150
Okehampton,0.53333333,0.00000000,0.00000000,0.016666667,0.00000000,0.00000000,0.30000000,0.00000000,0.15000000, -4.0042630,50.73831
Llandeilo,0.45833333,0.00000000,0.00000000,0.008333333,0.00000000,0.00000000,0.32500000,0.00000000,0.20833333, -3.9914300,51.88469
Motherwell,0.15000000,0.00000000,0.00000000,0.116666667,0.00000000,0.00000000,0.10000000,0.00000000,0.63333333, -3.9810968,55.78321
Golspie,0.06666667,0.00000000,0.00000000,0.100000000,0.00000000,0.00000000,0.13333333,0.00000000,0.70000000, -3.9760860,57.97341
Airdrie,0.10000000,0.00000000,0.00000000,0.133333333,0.00000000,0.00000000,0.10000000,0.00000000,0.66666667, -3.9625660,55.86627
Swansea,0.49166667,0.00000000,0.00000000,0.008333333,0.00000000,0.00000000,0.29166667,0.00000000,0.20833333, -3.9436460,51.62144
Stirling,0.10000000,0.00000000,0.00000000,0.100000000,0.00000000,0.00000000,0.06666667,0.00000000,0.73333333, -3.9369029,56.11652
Tregaron,0.40833333,0.00000000,0.00000000,0.008333333,0.00000000,0.00000000,0.37500000,0.00000000,0.20833333, -3.9343850,52.22000
Tregaron,0.40833333,0.00000000,0.00000000,0.008333333,0.00000000,0.00000000,0.37500000,0.00000000,0.20833333, -3.9343850,52.22000
Castle Douglas,0.15000000,0.00000000,0.03333333,0.083333333,0.03333333,0.00000000,0.18333333,0.00000000,0.51666667, -3.9314140,54.94042
Dolgellau,0.33333333,0.00000000,0.00000000,0.000000000,0.00000000,0.00000000,0.60000000,0.00000000,0.06666667, -3.8844000,52.74215
