,placename,daps,guddies,gutties,gym-shoes,plimsolls,pumps,sand-shoes,sannies,plimmies,dappers,runners,rubbers,sandies,gym-shoes.1,gymmies,longitude,latitude
32,Mullingar,0.01,0.01,0.01,0.8055555492901235,0.01,0.7341772150552797,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-7.3401868000000015,53.52582
33,Laois,0.21818181810247936,0.01,0.01,0.6444444394320988,0.01,0.5746835440884474,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-7.3323006999999985,52.99429
34,Omagh,0.01,0.7999999997199999,0.01,0.01,0.01,0.3924050645024835,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-7.309959700000001,54.59771
35,Derry,0.01,0.7999999997199999,0.01,0.01,0.01,0.3924050645024835,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-7.308574799999999,54.99661
36,Derry,0.01,0.7999999997199999,0.01,0.01,0.01,0.3924050645024835,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-7.308574799999999,54.99661
37,Braemar,0.03636363598677686,0.01,0.8611111111709105,0.5370370436008229,0.01,0.22025316770645728,0.6000000035999999,0.2590277949113863,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-3.3979439,57.00646999999999
38,Tyrone,0.01,0.7999999997199999,0.01,0.01,0.01,0.3924050645024835,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-7.1312320000000025,54.49121
39,Brecon,0.943108504020688,0.01,0.01,0.01,0.01,0.08076765877507222,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-3.391463,51.94895
40,Monaghan,0.01,0.7999999997199999,0.01,0.01,0.01,0.3924050645024835,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-6.9683132,54.2492
41,Merthyr Tydfil,0.9629253421953,0.01,0.01,0.01,0.01,0.061452518005798734,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-3.381646,51.74873
42,Kildare,0.07792207742621016,0.01,0.15376984035790067,0.2301587237654321,0.01,0.7721519031757732,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-6.8194708,53.21204
43,Dungannon,0.01,0.7999999997199999,0.01,0.01,0.01,0.3924050645024835,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-6.7669352,54.50827
44,Cookstown,0.01,0.7999999997199999,0.01,0.01,0.01,0.3924050645024835,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-6.7443895000000005,54.64182
45,Elgin,0.03636363598677686,0.01,0.8611111111709105,0.5370370436008229,0.01,0.22025316770645728,0.6000000035999999,0.2590277949113863,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-3.318485,57.64945
46,Meath,0.07792207742621016,0.01,0.15376984035790067,0.2301587237654321,0.01,0.7721519031757732,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-6.656416900000001,53.60555
47,Armagh,0.01,0.7999999997199999,0.01,0.01,0.01,0.3924050645024835,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-6.652792,54.35028000000001
48,Armagh,0.01,0.7999999997199999,0.01,0.01,0.01,0.3924050645024835,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-6.652792,54.35028000000001
49,Castle Douglas,0.04222873853009865,0.01,1.0,0.01,0.01,0.3071457768643776,0.4645161274645161,0.3760080568001301,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-3.931414,54.94042
50,Louth,0.0641711225221196,0.3294117653317647,0.1266339860504607,0.01,0.01,0.6247207704428966,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-6.4889423,53.925230000000006
51,Inchnadamph,0.03636363598677686,0.01,0.7893518526242607,0.5370370436008229,0.01,0.22025316770645728,0.6000000035999999,0.3885416729399958,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-4.974295,58.15221
52,Craigavon,0.01,1.0,0.01,0.01,0.01,0.2405063332863323,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-6.4175653,54.44293
53,Drogheda,0.07792207742621016,0.01,0.15376984035790067,0.2301587237654321,0.01,0.7721519031757732,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-6.3560985,53.71786
54,Brora,0.03636363598677686,0.01,0.8611111111709105,0.5370370436008229,0.01,0.22025316770645728,0.6000000035999999,0.2590277949113863,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-3.852548000000001,58.01216
55,Newry,0.01,0.7999999997199999,0.3075396828685792,0.01,0.01,0.2405063332863323,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-6.34023,54.1751
56,Aviemore,0.03636363598677686,0.01,0.8611111111709105,0.5370370436008229,0.01,0.22025316770645728,0.6000000035999999,0.2590277949113863,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-3.823812,57.19449
57,Alness,0.03636363598677686,0.01,0.8611111111709105,0.5370370436008229,0.01,0.22025316770645728,0.6000000035999999,0.2590277949113863,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-4.256825,57.69595
58,Dublin,0.07792207742621016,0.01,0.15376984035790067,0.2301587237654321,0.01,0.7721519031757732,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-6.2603097000000005,53.34981
59,Invergordon,0.03636363598677686,0.01,0.8611111111709105,0.5370370436008229,0.01,0.22025316770645728,0.6000000035999999,0.2590277949113863,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-4.172882,57.68811
60,Orkney Islands,0.03636363598677686,0.01,0.8611111111709105,0.5370370436008229,0.01,0.22025316770645728,0.6000000035999999,0.2590277949113863,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-2.9605206,58.98094
61,Wicklow,0.14545454503801653,0.01,0.14351851924607767,0.01,0.01,0.7873417720442237,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-6.044589,52.98082
62,Kilkeel,0.01,0.7999999997199999,0.3075396828685792,0.01,0.01,0.2405063332863323,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-6.007004,54.06312
63,Kirkwall,0.03636363598677686,0.01,0.8611111111709105,0.5370370436008229,0.01,0.22025316770645728,0.6000000035999999,0.2590277949113863,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-2.9622491,58.98467
64,Achnasheen,0.034090909078512394,0.01,0.7400173611625012,0.5034722183063272,0.01,0.16930379704774873,0.5625000005624999,0.7285156367624921,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-5.078765799999998,57.57859000000001
65,Dalbeattie,0.04222873853009865,0.01,1.0,0.01,0.01,0.3071457768643776,0.4645161274645161,0.3760080568001301,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-3.822527,54.93422
66,Ullapool,0.03636363598677686,0.01,0.7893518526242607,0.5370370436008229,0.01,0.22025316770645728,0.6000000035999999,0.3885416729399958,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-5.161313,57.89542
