,placename,daps,guddies,gutties,gym-shoes,plimsolls,pumps,sand-shoes,sannies,plimmies,dappers,runners,rubbers,sandies,gym-shoes.1,gymmies,longitude,latitude
134,Huddersfield,0.01608219817597011,0.010319409804127764,0.03173628229387058,0.3325143196359997,0.14127764195106468,0.7909992809068351,0.04422604504422605,0.057278852278981475,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-1.7850351000000002,53.64579000000001
135,Dorchester,0.4144037780311259,0.01,0.04193722840569008,0.5021645116498316,0.14935064962445885,0.3682393596801212,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-2.4411810000000003,50.71116
136,Montrose,0.02203856726471325,0.01,0.739337821787454,0.8787878631649834,0.15488215346240178,0.17299577780911174,0.1818181801818182,0.3139730659026901,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-2.4661150000000003,56.70692
137,Forfar,0.02203856726471325,0.01,0.739337821787454,0.8787878631649834,0.15488215346240178,0.17299577780911174,0.1818181801818182,0.3139730659026901,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-2.889062,56.64356
138,Arbroath,0.02203856726471325,0.01,0.739337821787454,0.8787878631649834,0.15488215346240178,0.17299577780911174,0.1818181801818182,0.3139730659026901,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-2.591543,56.55911
139,Llanidloes,0.6456400743106764,0.01,0.01,0.01,0.1564625869637188,0.3273056067480028,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-3.540195,52.44779000000001
140,Poole,0.04452690216562658,0.01,0.01,0.39455782137566137,0.1564625869637188,0.7830018110293681,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-1.987248,50.71505
141,Bournemouth,0.04452690216562658,0.01,0.01,0.39455782137566137,0.1564625869637188,0.7830018110293681,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-1.880769,50.71916
142,Ringwood,0.04452690216562658,0.01,0.01,0.39455782137566137,0.1564625869637188,0.7830018110293681,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-1.788817,50.84495
143,Rochdale,0.022339435628240204,0.014334471205733787,0.01,0.3959044202540768,0.15699658563083047,0.7641163036780335,0.06143345106143345,0.07956486440964104,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-2.1561,53.60971
144,Blackburn,0.044678870165571316,0.014334471205733787,0.01,0.3959044202540768,0.15699658563083047,0.7423424191100468,0.06143345106143345,0.07956486440964104,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-2.487529,53.74858
145,Whitehaven,0.09090909051239668,0.01,0.26909722224090954,0.01,0.15972222363310185,0.7341772150552797,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-3.589233,54.5497
146,Hawick,0.02296650762801218,0.01,0.6345029237940627,0.7801169428213126,0.16140350830116956,0.2948700912885417,0.1894736881894737,0.16359648159973486,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-2.780914,55.42706
147,Peebles,0.0464216628922103,0.01,0.8244680842933657,0.8569739988902021,0.16312056563593375,0.11769459043933905,0.01,0.3720079814230455,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-3.193642,55.65306999999999
148,Glastonbury,0.6843177182966118,0.01,0.01,0.2756279523006715,0.16395111863662593,0.1965763535172538,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-2.718454,51.14743
149,Street,0.670986853937823,0.01,0.01,0.2756279523006715,0.16395111863662593,0.2095697180807948,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-2.742919,51.12468
150,Wells,0.6843177182966118,0.01,0.01,0.2756279523006715,0.16395111863662593,0.1965763535172538,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-2.6445979,51.20935
151,Kelso,0.02346041017328712,0.01,0.4629629620460391,0.8661887488185318,0.16487455330406212,0.3254389566204754,0.3870967773870968,0.16711468759403925,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-2.432207,55.60003
152,Jedburgh,0.046920821437483336,0.01,0.5092592597575875,0.7968936682463825,0.16487455330406212,0.3025724766088974,0.3870967773870968,0.16711468759403925,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-2.5549369,55.47772
153,Totnes,0.5470264601647177,0.01,0.037223822641473885,0.2228626460444016,0.16570605313808834,0.3289315277614843,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-3.685797,50.43374
154,Torquay,0.5470264601647177,0.01,0.037223822641473885,0.2228626460444016,0.16570605313808834,0.3289315277614843,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-3.525315,50.46192
155,Paignton,0.5470264601647177,0.01,0.037223822641473885,0.2228626460444016,0.16570605313808834,0.3289315277614843,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-3.564235,50.43508
156,Kingsbridge,0.5470264601647177,0.01,0.037223822641473885,0.2228626460444016,0.16570605313808834,0.3289315277614843,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-3.777493,50.28395
157,Keswick,0.0948616603291412,0.01,0.09359903410372217,0.01,0.16666666730555552,0.8150798054759898,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-3.134706,54.60128
158,Exeter,0.5712748787013545,0.01,0.03821498951654271,0.22879685155380225,0.1701183424750986,0.3016253500261394,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-3.533899,50.71841
159,Langholm,0.024242423991184568,0.01,0.4783950612832219,0.6802469047091907,0.17037036880864198,0.3502109713165625,0.6000000035999999,0.17268517070481268,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-2.998913,55.15306
160,Lancaster,0.09696969705564737,0.01,0.01,0.01,0.17037036880864198,0.8582278515737862,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-2.8007399,54.04657
161,Morecambe,0.09696969705564737,0.01,0.01,0.01,0.17037036880864198,0.8582278515737862,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-2.864968,54.07417
162,Cockermouth,0.09696969705564737,0.01,0.28703703633937755,0.01,0.17037036880864198,0.7164556925146611,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-3.367985,54.66326
163,Fraserburgh,0.024514810900176442,0.01,0.6289013723353405,0.9775280935081148,0.17228464347690384,0.1517565053932944,0.4044943804044944,0.3492509402222809,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-2.007631,57.69335
164,Banff,0.024514810900176442,0.01,0.6289013723353405,0.9775280935081148,0.17228464347690384,0.1517565053932944,0.4044943804044944,0.3492509402222809,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-2.524038,57.66651
165,Shetland Islands,0.024514810900176442,0.01,0.6289013723353405,0.9775280935081148,0.17228464347690384,0.1517565053932944,0.4044943804044944,0.3492509402222809,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-1.2659409,60.52965
166,Banchory,0.024514810900176442,0.01,0.6289013723353405,0.9775280935081148,0.17228464347690384,0.1517565053932944,0.4044943804044944,0.3492509402222809,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-2.4909599,57.05386
167,Aberdeen,0.024514810900176442,0.01,0.6289013723353405,0.9775280935081148,0.17228464347690384,0.1517565053932944,0.4044943804044944,0.3492509402222809,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-2.094278,57.14972
168,Peterhead,0.024514810900176442,0.01,0.6289013723353405,0.9775280935081148,0.17228464347690384,0.1517565053932944,0.4044943804044944,0.3492509402222809,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-1.784066,57.50812
169,Turriff,0.024514810900176442,0.01,0.6289013723353405,0.9775280935081148,0.17228464347690384,0.1517565053932944,0.4044943804044944,0.3492509402222809,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-2.4623,57.53893000000001
170,Selkirk,0.04902962180035287,0.01,0.7740324599148634,0.905118606293522,0.17228464347690384,0.17565068819020285,0.01,0.17462547011114046,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-2.838524,55.55066
171,Tiverton,0.6013143477813402,0.01,0.03890562215547955,0.2329317359660865,0.17319277164432728,0.2697880102631838,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-3.491207,50.90205
172,Tiverton,0.6013143477813402,0.01,0.03890562215547955,0.2329317359660865,0.17319277164432728,0.2697880102631838,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-3.491207,50.90205
173,Isle of Man,0.01,0.01,0.3914141418327371,0.01,0.17424242264520198,0.7583429198776419,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-4.5126331,54.27697
174,Lockerbie,0.02479338871825695,0.01,0.7339015153981876,0.6957070623667228,0.17424242264520198,0.2025316451658388,0.20454545720454545,0.3973721761034051,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-3.349008,55.12224000000001
175,Pitlochry,0.025078370172698768,0.01,0.7423371643571068,1.0,0.17624520898020432,0.13225666032012992,0.20689655420689654,0.26795978515976737,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-3.729711,56.70436
176,Dundee,0.025078370172698768,0.01,0.7918263092216546,0.925925912798354,0.17624520898020432,0.15670012868693678,0.01,0.26795978515976737,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-2.970721,56.46202
177,Dunbar,0.025078370172698768,0.01,0.7918263092216546,0.925925912798354,0.17624520898020432,0.15670012868693678,0.01,0.26795978515976737,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-2.516737,56.00209
178,St Andrews,0.025078370172698768,0.01,0.8413154540862023,0.925925912798354,0.17624520898020432,0.13225666032012992,0.01,0.26795978515976737,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-2.7967214,56.33978000000001
179,Galashiels,0.050156739254488464,0.01,0.7918263092216546,0.925925912798354,0.17624520898020432,0.15670012868693678,0.01,0.17863984382178916,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-2.814449,55.62373
180,Kirkcaldy,0.025078370172698768,0.01,0.8413154540862023,0.925925912798354,0.17624520898020432,0.13225666032012992,0.01,0.26795978515976737,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-3.158137,56.11682
181,Blairgowrie,0.025078370172698768,0.01,0.7918263092216546,0.925925912798354,0.17624520898020432,0.15670012868693678,0.01,0.26795978515976737,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-3.3378318,56.58941
182,Axminster,0.5792437645166387,0.01,0.02857669555754005,0.2994100143379221,0.17809734531508112,0.273104064442078,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-2.994937,50.78273
183,Cupar,0.025369978899865458,0.01,0.8260658910295879,0.9366924849368362,0.1782945741485788,0.13453046589090148,0.01,0.2710755785434078,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-3.010137,56.32023
184,Perth,0.025369978899865458,0.01,0.8260658910295879,0.9366924849368362,0.1782945741485788,0.13453046589090148,0.01,0.2710755785434078,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-3.4308381000000003,56.39499
185,Dalkeith,0.050739957799730916,0.01,0.8260658910295879,0.9366924849368362,0.1782945741485788,0.13453046589090148,0.01,0.1807170653136609,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-3.066606,55.89312
186,Sidmouth,0.5011363634541323,0.01,0.040364583336136434,0.24166666478703705,0.17968750014973955,0.362025316132671,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-3.23756,50.67865
187,Edinburgh,0.05133689889042295,0.01,0.8611111111709105,0.9477124204066812,0.18039215881699347,0.1118391630946021,0.01,0.1828431264938213,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-3.188267,55.95325
188,Dunfermline,0.025668449445211475,0.01,0.911764706452206,0.9477124204066812,0.18039215881699347,0.1118391630946021,0.01,0.1828431264938213,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-3.452151,56.07174000000001
189,Livingston,0.05133689889042295,0.01,0.8611111111709105,0.9477124204066812,0.18039215881699347,0.1118391630946021,0.01,0.1828431264938213,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-3.518068,55.90071
190,Aberfeldy,0.01293568144984157,0.01,0.7658102760948479,0.5922266209493484,0.1818181818181818,0.16365638134868676,0.035573121035573134,0.7141181085091987,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-3.866969,56.62175
191,Builth Wells,0.9046563193073976,0.01,0.01,0.01,0.1869918708224932,0.06637851193234354,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-3.404592,52.15002
192,Tywyn,0.7676767677208448,0.01,0.01,0.01,0.1893004114910836,0.19924988212620245,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-4.087249,52.58701
193,Bideford,0.7546524062710355,0.01,0.030392156738221675,0.13647058338300655,0.18941176599117648,0.15186894843132606,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-4.206666,51.01668
194,Tavistock,0.6656394455761312,0.01,0.03127522187717189,0.1872477785436284,0.194915255829096,0.21990989479489104,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-4.141654,50.55112
195,Okehampton,0.6656394455761312,0.01,0.03127522187717189,0.1872477785436284,0.194915255829096,0.21990989479489104,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-4.004263,50.73831
196,Llandrindod Wells,0.8951048953108708,0.01,0.01,0.01,0.19658119566381765,0.07302823902431807,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-3.377742,52.2417
197,Colne,0.045454545801652896,0.01,0.01,0.01,0.1996527766663773,0.9003164556457298,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-2.176991,53.85564
198,Burnley,0.0948616603291412,0.01,0.01,0.01,0.20833333317361108,0.8497523366327859,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-2.2405035,53.78929
199,Clitheroe,0.0991735537821187,0.01,0.01,0.01,0.2178030311815025,0.8429229027052775,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-2.3930830000000003,53.8711
200,Ballymena,0.01,0.5764705886305882,0.2532679742536992,0.18954248408133625,0.2254901946879085,0.3119880897782218,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-6.2802213,54.86529
201,Antrim,0.01,0.5764705886305882,0.2532679742536992,0.18954248408133625,0.2254901946879085,0.3119880897782218,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-6.2072498,54.719530000000006
202,Belfast,0.01,0.5764705886305882,0.2532679742536992,0.18954248408133625,0.2254901946879085,0.3119880897782218,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-5.93012,54.59728000000001
203,Banbridge,0.01,0.6588235292635294,0.2532679742536992,0.18954248408133625,0.2254901946879085,0.24944155151870456,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-6.2704803,54.34873
204,Coleraine,0.01,0.4941176465976471,0.2532679742536992,0.18954248408133625,0.2254901946879085,0.374534628037739,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-6.6646103000000005,55.13258
205,Magherafelt,0.01,0.5764705886305882,0.2532679742536992,0.18954248408133625,0.2254901946879085,0.3119880897782218,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-6.607980499999999,54.75536999999999
206,Antrim,0.01,0.5764705886305882,0.2532679742536992,0.18954248408133625,0.2254901946879085,0.3119880897782218,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-6.2072498,54.719530000000006
207,Shaftesbury,0.4254545452998347,0.01,0.01,0.515555551545679,0.23000000019166664,0.3513924047348822,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-2.198083,51.0046
208,Yeovil,0.4597141983782858,0.01,0.01,0.4526198487018456,0.2307692313589744,0.3385546740954707,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-2.633308,50.94206
209,Bristol,0.7297297295528256,0.01,0.01,0.3048047876292961,0.2331081090275901,0.12350325423974845,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-2.58791,51.45451
210,Wincanton,0.5173383314482406,0.01,0.01,0.4650630074939544,0.2371134018642612,0.27652355558304986,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-2.416007,51.05569000000001
211,Bridport,0.4333227751151554,0.01,0.045005806461458735,0.4715447007768746,0.2404181185336817,0.3331275085231025,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-2.758301,50.73358
212,Dartmouth,0.3084245595242093,0.01,0.0676265279908074,0.4048865579619934,0.2408376960340313,0.4655709465648461,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-3.578807,50.35252
213,Welshpool,0.06926406870208579,0.01,0.01,0.10229276253772296,0.24338624170282186,0.8312236272563158,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-3.146407,52.66035
214,Berwick,0.02346041017328712,0.01,0.4629629620460391,0.7968936682463825,0.2473118280394265,0.3025724766088974,0.3870967773870968,0.2506720508181425,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-2.005395,55.77024
215,Launceston,0.6592544146693621,0.01,0.04646283014211548,0.20863308726618707,0.24820143737350114,0.19679446642875667,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-4.360451599999998,50.63683
216,Bodmin,0.6592544146693621,0.01,0.04646283014211548,0.20863308726618707,0.24820143737350114,0.19679446642875667,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-4.7188629,50.4715
217,Liskeard,0.6592544146693621,0.01,0.04646283014211548,0.20863308726618707,0.24820143737350114,0.19679446642875667,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-4.4647190000000005,50.45552
218,Manchester,0.04708960143742196,0.015107913806043163,0.01,0.4172661745323741,0.24820143737350114,0.7054913001040463,0.06474820506474821,0.08385790020812235,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-2.2426305,53.48076
219,St Austell,0.6592544146693621,0.01,0.04646283014211548,0.20863308726618707,0.24820143737350114,0.19679446642875667,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-4.7834252,50.34038
220,Camelford,0.6827992153880731,0.01,0.04646283014211548,0.20863308726618707,0.24820143737350114,0.17384573021460542,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-4.682364,50.62206
221,Helston,0.6497326197637336,0.01,0.04748774611440887,0.2132352905637255,0.2536764723780637,0.2025316451658388,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-5.274996,50.10159
222,Truro,0.6497326197637336,0.01,0.04748774611440887,0.2132352905637255,0.2536764723780637,0.2025316451658388,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-5.0510410000000014,50.2632
223,Redruth,0.6978609619280506,0.01,0.04748774611440887,0.2132352905637255,0.2536764723780637,0.155621738812973,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-5.226666000000002,50.23302
224,Falmouth,0.6497326197637336,0.01,0.04748774611440887,0.2132352905637255,0.2536764723780637,0.2025316451658388,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-5.0662699999999985,50.15257
225,Carlow,0.14545454503801653,0.01,0.14351851924607767,0.01,0.2555555570462963,0.7164556925146611,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-6.9341358999999985,52.83651
226,Rosslare,0.14545454503801653,0.01,0.14351851924607767,0.01,0.2555555570462963,0.7164556925146611,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-6.3414908,52.25131
227,Wexford,0.14545454503801653,0.01,0.14351851924607767,0.01,0.2555555570462963,0.7164556925146611,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-6.4633381,52.33692
228,Wadebridge,0.6889952146585473,0.01,0.048558897295038816,0.14536340109161794,0.2593984967161654,0.1845436405997689,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-4.836456,50.51665
229,Penzance,0.6889952146585473,0.01,0.048558897295038816,0.14536340109161794,0.2593984967161654,0.1845436405997689,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-5.537592,50.1188
230,Bude,0.7136021866495992,0.01,0.048558897295038816,0.14536340109161794,0.2593984967161654,0.16055963096737194,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-4.543678,50.82664000000001
231,Scilly Isles,0.6889952146585473,0.01,0.048558897295038816,0.14536340109161794,0.2593984967161654,0.1845436405997689,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-6.327496599999999,49.92773
232,Newquay,0.6889952146585473,0.01,0.048558897295038816,0.14536340109161794,0.2593984967161654,0.1845436405997689,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-5.0737190000000005,50.4155
233,Stoke-on-Trent,0.03761755525904816,0.01,0.01,0.333333344074074,0.2643678153869732,0.7800087315341817,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-2.179404,53.00267
234,Saltash,0.5538461539804196,0.01,0.04967948701733885,0.2230769238205128,0.2653846147211538,0.2884128517916014,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-4.21643,50.40921
235,Plymouth,0.5538461539804196,0.01,0.04967948701733885,0.2230769238205128,0.2653846147211538,0.2884128517916014,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-4.1426565,50.37546
236,Newtown,0.4210526311196173,0.01,0.01,0.01,0.2690058497241715,0.5149900073493621,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-3.313106,52.51211
237,Newcastle-under-Lyme,0.03827751162244454,0.01,0.01,0.11306043023175222,0.2690058497241715,0.8507661528358309,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-2.2273002,53.01321
238,Buxton,0.01,0.012426036004970413,0.03821498951654271,0.3431952773307034,0.27218934872682443,0.7577709543077321,0.053254440053254436,0.06897189736360876,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-1.91483,53.25908
239,Down,0.01,0.40000000056,0.4613095232264798,0.2301587237654321,0.27380952239484124,0.31645569889440794,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-5.7156922,54.32875
240,Hereford,0.8132231397042825,0.01,0.01,0.01,0.2787878800656565,0.13003452006584024,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-2.715974,52.0564
241,Petersfield,0.01,0.01,0.01,0.3580246849931413,0.2839506172366255,0.8030942282547313,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-0.93899,51.00759
242,Guernsey,0.08130999378861455,0.01,0.08022774382501581,0.3602484371980677,0.28571428407142857,0.6829939416116425,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-2.585278,49.46569
243,Sark,0.08130999378861455,0.01,0.08022774382501581,0.3602484371980677,0.28571428407142857,0.6829939416116425,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-2.3666256000000003,49.43007
244,Telford,0.046920821437483336,0.01,0.01,0.3464754995274128,0.2885304654071087,0.759902002410077,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-2.4672611,52.67759
245,Burton upon Trent,0.036979969077461816,0.01,0.03648775993308944,0.3822975559154633,0.2923728799103107,0.7386826879689532,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-1.6371359,52.81403
246,Isle of Wight,0.01,0.01,0.01,0.25272330136770765,0.30065359675054465,0.8332092277636503,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-1.304734,50.69385
247,Isle of Wight,0.01,0.01,0.01,0.25272330136770765,0.30065359675054465,0.8332092277636503,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-1.304734,50.69385
248,Stevenage,0.2817579773520881,0.01,0.01,0.12803532122639194,0.3046357630871965,0.5986252028347471,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-0.196612,51.90376
249,Alderney,0.04392922471129847,0.01,0.0866890372282423,0.259507819092717,0.30872483342393736,0.7430974408825809,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-2.1973557,49.715
250,Halifax,0.025369978899865458,0.01,0.05006459958681004,0.07493538719494698,0.3120155047600129,0.8392699447287443,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-1.85754,53.72702
251,Stafford,0.050739957799730916,0.01,0.01,0.3746770004191789,0.3120155047600129,0.7403591365773969,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-2.12066,52.80669
252,Penrith,0.01,0.01,0.0878684817422131,0.01,0.31292517009410425,0.7830018110293681,0.7346938777346939,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-2.752708,54.6641
253,Southampton,0.01,0.01,0.01,0.2630385368430336,0.31292517009410425,0.8264014424437476,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-1.4043508999999998,50.9097
254,Carlisle,0.0464216628922103,0.01,0.18321513008216767,0.01,0.3262411351052009,0.6832749800927975,0.7659574477659575,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-2.932931,54.89247
255,Portsmouth,0.01,0.01,0.01,0.2742316667559759,0.3262411351052009,0.8190142697817794,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-1.0879769,50.81977
256,Cirencester,0.474308300554797,0.01,0.01,0.2801932289318304,0.33333333461111103,0.35277930853305284,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-1.968243,51.71849
257,Kendal,0.0948616603291412,0.01,0.01,0.01,0.33333333461111103,0.8150798054759898,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-2.74629,54.32801
258,Ambleside,0.0948616603291412,0.01,0.09359903410372217,0.01,0.33333333461111103,0.7688497568449872,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-2.961333,54.42874000000001
259,Selby,0.04363636362049587,0.01,0.043055555558545525,0.06444444394320988,0.34500000028749994,0.7767088606464351,0.18000000017999998,0.07770833458799915,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-1.067189,53.78352
260,Derby,0.01,0.01,0.043055555558545525,0.2577777757728395,0.34500000028749994,0.7979746834420126,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-1.4746186,52.92253
261,Castleford,0.04363636362049587,0.01,0.043055555558545525,0.06444444394320988,0.34500000028749994,0.8192405062375901,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-1.345968,53.72346999999999
262,Wetherby,0.04363636362049587,0.01,0.043055555558545525,0.06444444394320988,0.34500000028749994,0.8192405062375901,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-1.384816,53.92706
263,Barnsley,0.0440771345294265,0.01,0.0434904597252424,0.06509539727148024,0.3484848491237373,0.8174146545910961,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-1.479726,53.55263000000001
264,Otley,0.022263450537358745,0.01,0.04393423979471765,0.06575962615520291,0.3520408177933673,0.8372513609302539,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-1.691786,53.90583
265,Macclesfield,0.0202645647199038,0.013003096405201238,0.01,0.3591331294289645,0.3560371521300309,0.7267703927730483,0.05572755005572755,0.07217491835282422,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-2.119287,53.25866
