placename,jab,jag,shot,longitude,latitude
Midhurst,0.9569843,0.002775208,0.040240518, -0.7372740,50.98690
Kettering,0.9561856,0.005154639,0.038659794, -0.7302490,52.39632
Wellingborough,0.9405286,0.006607930,0.052863436, -0.6939640,52.30242
Corby,0.9594595,0.005405405,0.035135135, -0.6842333,52.49230
Bognor Regis,0.9645558,0.002835539,0.032608696, -0.6730610,50.78300
Scunthorpe,0.9618209,0.000000000,0.038179148, -0.6544130,53.58865
Grantham,0.9615385,0.000000000,0.038461538, -0.6435820,52.91252
Whitby,0.9565442,0.006207967,0.037247801, -0.6133470,54.48633
Slough,0.8960289,0.000000000,0.103971119, -0.5950406,51.51054
Guildford,0.9396285,0.000000000,0.060371517, -0.5704090,51.23622
Woking,0.9338983,0.000000000,0.066101695, -0.5600349,51.31677
Lincoln,0.9509728,0.000000000,0.049027237, -0.5405790,53.23069
Bedford,0.9357716,0.005352364,0.058876004, -0.4667782,52.13864
Heathrow,0.8532324,0.000000000,0.146767618, -0.4542955,51.47002
Driffield,0.9646365,0.000000000,0.035363458, -0.4433770,54.00600
Beverley,0.9616409,0.000000000,0.038359084, -0.4350930,53.84196
Luton,0.9616502,0.006972690,0.031377106, -0.4200255,51.87867
Scarborough,0.9649805,0.000000000,0.035019455, -0.3997520,54.28311
Worthing,0.9557985,0.002851711,0.041349810, -0.3728820,50.81787
Dorking,0.9143646,0.000000000,0.085635359, -0.3323780,51.23220
Hull,0.9619327,0.000000000,0.038067350, -0.3274198,53.76762
Horsham,0.9535211,0.002816901,0.043661972, -0.3258580,51.06288
Biggleswade,0.9403454,0.000000000,0.059654631, -0.2642200,52.08694
Peterborough,0.9369287,0.005484461,0.057586837, -0.2405299,52.56950
Welwyn Garden City,0.9161677,0.007984032,0.075848303, -0.2086610,51.80317
Bridlington,0.9596348,0.000000000,0.040365209, -0.1988020,54.08535
Stevenage,0.9653929,0.008651766,0.025955299, -0.1966120,51.90376
Crawley,0.9356568,0.000000000,0.064343164, -0.1872275,51.10914
Huntingdon,0.9375283,0.005432322,0.057039384, -0.1825520,52.33146
Hove,0.9365079,0.003174603,0.060317460, -0.1687490,50.82793
Spalding,0.9196172,0.005741627,0.074641148, -0.1537024,52.79010
Brighton,0.9305994,0.003154574,0.066246057, -0.1371630,50.82253
London,0.8688227,0.000000000,0.131177326, -0.1277583,51.50735
Grimsby,0.9586411,0.000000000,0.041358936, -0.0807840,53.56747
Boston,0.9410405,0.000000000,0.058959538, -0.0265770,52.97894
Royston,0.9457505,0.000000000,0.054249548, -0.0240660,52.04814
Louth_Lincs,0.9676724,0.000000000,0.032327586, -0.0077110,53.36596
Lewes,0.9294872,0.003205128,0.067307692,  0.0087800,50.87387
Chatteris,0.9331395,0.005813953,0.061046512,  0.0540120,52.45610
Uckfield,0.9419355,0.003225806,0.054838710,  0.0959130,50.96641
Cambridge,0.9331210,0.000000000,0.066878981,  0.1218170,52.20534
Bishop's Stortford,0.9496151,0.008397481,0.041987404,  0.1536502,51.87216
Wisbech,0.9334516,0.005323869,0.061224490,  0.1587970,52.66632
Sevenoaks,0.9285714,0.000000000,0.071428571,  0.1908980,51.27241
Tunbridge Wells,0.9405594,0.000000000,0.059440559,  0.2636950,51.13238
Eastbourne,0.9293478,0.002717391,0.067934783,  0.2904720,50.76803
Brentwood,0.9280000,0.000000000,0.072000000,  0.3071749,51.62047
Skegness,0.9497674,0.000000000,0.050232558,  0.3378810,53.14640
Downham Market,0.9363785,0.000000000,0.063621533,  0.3854720,52.60661
King's Lynn,0.9468171,0.000000000,0.053182917,  0.4022963,52.75168
Bexhill,0.9497041,0.000000000,0.050295858,  0.4662071,50.84991
Chelmsford,0.9476923,0.000000000,0.052307692,  0.4685497,51.73559
Mildenhall,0.9313559,0.000000000,0.068644068,  0.5156095,52.34757
Medway,0.9653846,0.000000000,0.034615385,  0.5417861,51.40474
Braintree,0.9449009,0.000000000,0.055099082,  0.5509269,51.88009
Gillingham,0.9675197,0.000000000,0.032480315,  0.5514380,51.38632
Hastings,0.9484848,0.000000000,0.051515152,  0.5734530,50.85426
Maldon,0.9377729,0.000000000,0.062227074,  0.6714480,51.73181
Southend,0.9516588,0.000000000,0.048341232,  0.7077123,51.54593
Bury St Edmunds,0.9309286,0.000000000,0.069071374,  0.7104932,52.24292
Thetford,0.9332273,0.000000000,0.066772655,  0.7516570,52.41286
Ashford,0.9335793,0.000000000,0.066420664,  0.8750190,51.14647
Faversham,0.9581994,0.000000000,0.041800643,  0.8893580,51.31599
Colchester,0.9411215,0.000000000,0.058878505,  0.8918740,51.89593
New Romney,0.9400749,0.000000000,0.059925094,  0.9394730,50.98512
Canterbury,0.9646302,0.000000000,0.035369775,  1.0789089,51.28023
Ipswich,0.9423520,0.000000000,0.057647963,  1.1482200,52.05674
Clacton,0.9485887,0.000000000,0.051411290,  1.1530350,51.78953
Folkestone,0.9340659,0.000000000,0.065934066,  1.1694560,51.08140
Sheringham,0.9453552,0.000000000,0.054644809,  1.2109589,52.94442
Harwich,0.9470260,0.000000000,0.052973978,  1.2602970,51.93473
Norwich,0.9245876,0.000000000,0.075412412,  1.2973550,52.63089
Cromer,0.9456522,0.000000000,0.054347826,  1.3018660,52.93145
Dover,0.9480519,0.000000000,0.051948052,  1.3134027,51.12788
Felixstowe,0.9467290,0.000000000,0.053271028,  1.3512550,51.96173
Margate,0.9605662,0.000000000,0.039433771,  1.3868339,51.38965
Ramsgate,0.9605662,0.000000000,0.039433771,  1.4198950,51.33555
Great Yarmouth,0.9249414,0.000000000,0.075058640,  1.7280470,52.59823
Lowestoft,0.9275093,0.000000000,0.072490706,  1.7534490,52.48114
Swaffham,0.9368421,0.000000000,0.063157895,  0.6874810,52.64747
Dereham,0.9407295,0.000000000,0.059270517,  0.9378270,52.68162
Ely,0.9242718,0.000000000,0.075728155,  0.2623630,52.39954
March,0.9350181,0.005415162,0.059566787,  0.0886220,52.55172
St Neots,0.9338129,0.005755396,0.060431655, -0.2651030,52.23008
Banham,0.9249414,0.000000000,0.075058640,  1.0402849,52.45125
Holt,0.9459459,0.000000000,0.054054054,  1.0867470,52.90936
Cromer,0.9456522,0.000000000,0.054347826,  1.3018660,52.93145
Hunstanton,0.9526022,0.000000000,0.047397770,  0.4910320,52.93891
Horncastle,0.9604396,0.000000000,0.039560440, -0.1124500,53.20731
Market Weighton,0.9560899,0.000000000,0.043910089, -0.6677465,53.86484
Hawes,0.9537200,0.007029877,0.039250146, -2.1968695,54.30383
Reeth,0.9611147,0.007777058,0.031108231, -1.9428115,54.38946
Aysgarth,0.9506775,0.006504065,0.042818428, -1.9967434,54.29159
Stanhope,0.9762611,0.005934718,0.017804154, -2.0113020,54.74946
Keswick,0.9578313,0.012048193,0.030120482, -3.1347060,54.60128
Oxenholme,0.9626943,0.006217617,0.031088083, -2.7243328,54.30134
