index,placename,longitude,latitude,dont_have,havent,havent_got
0,Dingle,-10.264013499999999,52.14094,0.5460023199052322,0.01,0.45893687916613624
1,Tralee,-9.6999325,52.27131,0.6512633052307862,0.3561877271154165,0.3351776128552505
2,Killarney,-9.5044265,52.059940000000005,0.5974402983599972,0.01,0.47833766058312815
3,Bantry,-9.4539805,51.68035,0.44341710394469547,0.01,0.5579557379867859
4,Mayo,-9.4289369,54.01526,0.7109176969064862,0.35545015677235975,0.27645490384702476
5,Ballycastle,-9.3724643,54.279669999999996,0.7412662670634311,0.3483876359430383,0.15609073774946153
6,Abbeyfeale,-9.2970823,52.386179999999996,0.57204901748478,0.3375005695698981,0.31387632747296623
7,Ennistymon,-9.2934951,52.940369999999994,0.6316596243218323,0.3375005695698981,0.2589173006533036
8,Galway,-9.0567905,53.270669999999996,0.7658332390392669,0.3678868875700962,0.28860618327744664
9,Claremorris,-9.0017356,53.72388,0.7379523293234489,0.361572693899874,0.28243691476850413
10,Clare,-8.9811351,52.90453,0.736543058964424,0.3612535362371117,0.282125082502802
11,Adare,-8.7925892,52.56363,0.6215453658970866,0.34917707499622225,0.3271862476011652
12,Charleville,-8.681017599999999,52.36206,0.556665665841983,0.01,0.3830183357635956
13,Mallow,-8.6539164,52.13898,0.4962724806697968,0.01,0.523997946604688
14,Limerick,-8.6267343,52.66384,0.6963702355794457,0.36682874072299804,0.3473071872466336
15,Loughrea,-8.5660931,53.19891,0.6316596243218323,0.3375005695698981,0.2589173006533036
16,Sligo,-8.476088800000001,54.27661,0.7926095390986414,0.37395087376117603,0.23363638366070905
17,Cork,-8.4756035,51.898509999999995,0.5167420835252767,0.01,0.5933669533045548
18,Nenagh,-8.19834,52.8635,0.7205404734317721,0.35762942836877576,0.2785841561845967
19,Roscommon,-8.1890955,53.627590000000005,0.7238348653709904,0.3583755097894276,0.27931311333319375
20,Tipperary,-8.161851400000002,52.47379,0.7356525107111871,0.01,0.34515946143658416
21,Donegal,-8.1096143,54.653830000000006,0.9225468050952976,0.3878632459320004,0.11864360811820221
22,Leitrim,-8.0020132,54.12469,0.8871382645704972,0.3801526918917703,0.11487681813137685
23,Athlone,-7.9406898,53.423930000000006,0.7177023721180894,0.356986683152319,0.2779561634383716
24,Longford,-7.7932573000000005,53.727630000000005,0.7730440623348408,0.369519877948016,0.2300286379280056
25,Offaly,-7.7122229,53.235690000000005,0.7372035911609267,0.3614031270595291,0.28227123987429964
26,Fermanagh,-7.6318728,54.343830000000004,0.8728511442958489,0.37704153251258654,0.11335694239536839
27,Enniskillen,-7.631533599999999,54.343819999999994,0.8905487545557667,0.3808953592523938,0.11523962889217855
28,Doon,-7.60964,54.185930000000006,0.85342208844051,0.37281066665641516,0.11129006327624452
29,Westmeath,-7.4653217000000005,53.534530000000004,0.8908561979733688,0.38096230804640224,0.11527233497861347
30,Strabane,-7.4633103,54.82739,0.8264221629379609,0.38160844706333463,0.17772959965512178
31,Balivanich,-7.3743509000000005,57.472269999999995,0.9085372657178697,0.4350055317449122,0.01
32,Cavan,-7.3633319,53.98972,0.9026525167833829,0.3835310711841173,0.11652723718345977
33,Mullingar,-7.340186800000001,53.525819999999996,0.8891956660231757,0.38060071106590754,0.11509568620885098
34,Laois,-7.332300699999999,52.9943,0.7350765366536861,0.36092141271653494,0.2818005819753259
35,Omagh,-7.309959700000001,54.59771,0.8308488780141259,0.382610965809015,0.17838260547177667
36,Derry,-7.308574799999999,54.99661,0.8624250225314305,0.3897620194120256,0.18304055288482754
37,Derry,-7.308574799999999,54.99661,0.8624250225314305,0.3897620194120256,0.18304055288482754
