placename,drank,drunk,longitude,latitude
Dunoon,0.8850174,0.11498258, -4.9262140,55.95097
Pembroke,0.7540984,0.24590164, -4.9086370,51.67404
Girvan,0.8679086,0.13209145, -4.8542179,55.24016
Wadebridge,0.8593750,0.14062500, -4.8364560,50.51665
Invergarry,0.9023596,0.09764036, -4.8002610,57.07095
St Austell,0.8756477,0.12435233, -4.7834252,50.34038
Greenock,0.8752166,0.12478336, -4.7719830,55.95648
Helensburgh,0.8752166,0.12478336, -4.7340140,56.00232
Bodmin,0.8593750,0.14062500, -4.7188629,50.47150
Tenby,0.7500000,0.25000000, -4.7035790,51.67274
Camelford,0.8593750,0.14062500, -4.6823640,50.62206
Irvine,0.8850174,0.11498258, -4.6696364,55.61157
Cardigan,0.7500000,0.25000000, -4.6608640,52.08370
Holyhead,0.9606557,0.03934426, -4.6330380,53.30944
Ayr,0.8679086,0.13209145, -4.6291790,55.45856
Dumbarton,0.8752166,0.12478336, -4.5645540,55.94529
Bude,0.8593750,0.14062500, -4.5436780,50.82664
Isle of Man,0.8934426,0.10655738, -4.5126331,54.27697
Kilmarnock,0.8847162,0.11528384, -4.4987920,55.61472
Newton Stewart,0.8028169,0.19718310, -4.4831640,54.96030
Liskeard,0.8756477,0.12435233, -4.4647190,50.45552
Altnaharra,0.9354839,0.06451613, -4.4426550,58.28023
Pwllheli,0.9550562,0.04494382, -4.4176339,52.88882
Lairg,0.9340659,0.06593407, -4.4024140,58.02206
Launceston,0.8756477,0.12435233, -4.3604516,50.63683
Carmarthen,0.7457627,0.25423729, -4.3121310,51.85762
Llangefni,0.9605911,0.03940887, -4.3114020,53.25578
Caernarfon,0.9449541,0.05504587, -4.2739110,53.13955
Cumnock,0.8665526,0.13344739, -4.2658289,55.45355
Aberaeron,0.7031250,0.29687500, -4.2581619,52.24279
Alness,0.9340659,0.06593407, -4.2568250,57.69595
Glasgow,0.8739054,0.12609457, -4.2518060,55.86424
Dalwhinnie,0.8933333,0.10666667, -4.2427830,56.93660
Inverness,0.9354839,0.06451613, -4.2247210,57.47777
Saltash,0.8757396,0.12426036, -4.2164300,50.40921
Bideford,0.8584071,0.14159292, -4.2066660,51.01668
Invergordon,0.9354839,0.06451613, -4.1728820,57.68811
Llanelli,0.7543860,0.24561404, -4.1602480,51.68089
Plymouth,0.8800000,0.12000000, -4.1426565,50.37546
Tavistock,0.8757396,0.12426036, -4.1416540,50.55112
Porthmadog,0.9412724,0.05872757, -4.1333840,52.92784
Bangor,0.9611021,0.03889789, -4.1292630,53.22739
Tywyn,0.8892989,0.11070111, -4.0872490,52.58701
Aberystwyth,0.8363636,0.16363636, -4.0829200,52.41530
Lampeter,0.7031250,0.29687500, -4.0785090,52.11290
Barnstaple,0.8123167,0.18768328, -4.0583380,51.07816
Tain,0.9354839,0.06451613, -4.0552300,57.81150
Okehampton,0.8934911,0.10650888, -4.0042630,50.73831
Llandeilo,0.7031250,0.29687500, -3.9914300,51.88469
Motherwell,0.8938053,0.10619469, -3.9810968,55.78321
Golspie,0.9354839,0.06451613, -3.9760860,57.97341
Airdrie,0.8938053,0.10619469, -3.9625660,55.86627
Swansea,0.7594168,0.24058323, -3.9436460,51.62144
Stirling,0.8819320,0.11806798, -3.9369029,56.11652
Tregaron,0.7727273,0.22727273, -3.9343850,52.22000
Tregaron,0.7727273,0.22727273, -3.9343850,52.22000
Castle Douglas,0.8072289,0.19277108, -3.9314140,54.94042
Dolgellau,0.9673321,0.03266788, -3.8844000,52.74215
Aberfeldy,0.8911565,0.10884354, -3.8669690,56.62175
Machynlleth,0.9291339,0.07086614, -3.8534850,52.59027
Brora,0.9354839,0.06451613, -3.8525480,58.01216
Llandudno,0.9656301,0.03436989, -3.8276090,53.32406
Llandudno,0.9656301,0.03436989, -3.8276090,53.32406
Aviemore,0.9354839,0.06451613, -3.8238120,57.19449
Dalbeattie,0.7882353,0.21176471, -3.8225270,54.93422
Falkirk,0.8832117,0.11678832, -3.7839131,56.00188
Kingsbridge,0.8706199,0.12938005, -3.7774930,50.28395
Pitlochry,0.8869110,0.11308901, -3.7297110,56.70436
Colwyn Bay,0.9507463,0.04925373, -3.7276400,53.29318
Totnes,0.8706199,0.12938005, -3.6857970,50.43374
Grantown-on-Spey,0.9354839,0.06451613, -3.6096280,57.33041
Dumfries,0.8908264,0.10917362, -3.6051200,55.07086
Whitehaven,0.8954248,0.10457516, -3.5892330,54.54970
Dartmouth,0.8706199,0.12938005, -3.5788070,50.35252
Bridgend,0.7780000,0.22200000, -3.5769450,51.50429
Paignton,0.8779070,0.12209302, -3.5642350,50.43508
Workington,0.8783784,0.12162162, -3.5427520,54.64357
Llanidloes,0.9342105,0.06578947, -3.5401950,52.44779
Exeter,0.9115044,0.08849558, -3.5338990,50.71841
Torquay,0.9068323,0.09316770, -3.5253150,50.46192
Thurso,0.9354839,0.06451613, -3.5220800,58.59357
Livingston,0.8430440,0.15695600, -3.5180680,55.90071
Rhyl,0.9474522,0.05254777, -3.4916340,53.31914
Tiverton,0.8447761,0.15522388, -3.4912070,50.90205
Tiverton,0.8447761,0.15522388, -3.4912070,50.90205
Minehead,0.7800253,0.21997472, -3.4811520,51.20428
Dunfermline,0.8573127,0.14268728, -3.4521510,56.07174
Perth,0.8869110,0.11308901, -3.4308381,56.39499
Prestatyn,0.9647651,0.03523490, -3.4076130,53.33651
Builth Wells,0.7857143,0.21428571, -3.4045920,52.15002
Braemar,0.9354839,0.06451613, -3.3979439,57.00647
Brecon,0.7916667,0.20833333, -3.3914630,51.94895
Merthyr Tydfil,0.7791411,0.22085890, -3.3816460,51.74873
Llandrindod Wells,0.8485437,0.15145631, -3.3777420,52.24170
Corwen,0.9472000,0.05280000, -3.3692420,52.98005
Cockermouth,0.8926174,0.10738255, -3.3679850,54.66326
Lockerbie,0.8695652,0.13043478, -3.3490080,55.12224
Blairgowrie,0.8869110,0.11308901, -3.3378318,56.58941
Elgin,0.9354839,0.06451613, -3.3184850,57.64945
Newtown,0.9694915,0.03050847, -3.3131060,52.51211
Ruthin,0.9477848,0.05221519, -3.3103108,53.11487
Ruthin,0.9477848,0.05221519, -3.3103108,53.11487
Sidmouth,0.9107143,0.08928571, -3.2375600,50.67865
Barrow-in-Furness,0.9458239,0.05417607, -3.2188940,54.10897
Peebles,0.8568019,0.14319809, -3.1936420,55.65307
Edinburgh,0.8547215,0.14527845, -3.1882670,55.95325
Cardiff,0.7713004,0.22869955, -3.1790900,51.48158
Llangollen,0.9529781,0.04702194, -3.1716600,52.96921
Kirkcaldy,0.8839957,0.11600430, -3.1581370,56.11682
Welshpool,0.9246575,0.07534247, -3.1464070,52.66035
Mold,0.9511401,0.04885993, -3.1419030,53.16720
Mold,0.9511401,0.04885993, -3.1419030,53.16720
Taunton,0.8409786,0.15902141, -3.1068490,51.01534
Wick,0.9354839,0.06451613, -3.0937160,58.43894
John o' Groats,0.9354839,0.06451613, -3.0688997,58.63734
Dalkeith,0.8692494,0.13075061, -3.0666060,55.89312
Oswestry,0.9479769,0.05202312, -3.0564120,52.85715
Blackpool,0.9497908,0.05020921, -3.0356748,53.81751
Birkenhead,0.9267176,0.07328244, -3.0230090,53.38999
Cupar,0.8865546,0.11344538, -3.0101370,56.32023
Southport,0.9463487,0.05365127, -3.0101130,53.64571
Bridgwater,0.8544699,0.14553015, -3.0036320,51.12789
Langholm,0.8877005,0.11229947, -2.9989130,55.15306
Newport,0.7861915,0.21380846, -2.9976640,51.58415
Axminster,0.9134615,0.08653846, -2.9949370,50.78273
Wrexham,0.9528302,0.04716981, -2.9924940,53.04304
Liverpool,0.9267176,0.07328244, -2.9915726,53.40837
Weston-super-Mare,0.8359375,0.16406250, -2.9772550,51.34741
Dundee,0.8994764,0.10052356, -2.9707210,56.46202
Kirkwall,0.9354839,0.06451613, -2.9622491,58.98467
Ambleside,0.9200000,0.08000000, -2.9613330,54.42874
Orkney Islands,0.9354839,0.06451613, -2.9605206,58.98094
Lyme Regis,0.9134615,0.08653846, -2.9366390,50.72516
Carlisle,0.9045936,0.09540636, -2.9329310,54.89247
Chester,0.9404959,0.05950413, -2.8930750,53.19339
Forfar,0.9083969,0.09160305, -2.8890620,56.64356
Morecambe,0.9475983,0.05240175, -2.8649680,54.07417
Selkirk,0.8448276,0.15517241, -2.8385240,55.55066
Galashiels,0.8568019,0.14319809, -2.8144490,55.62373
Lancaster,0.9443155,0.05568445, -2.8007399,54.04657
St Andrews,0.8865546,0.11344538, -2.7967214,56.33978
Hawick,0.8595745,0.14042553, -2.7809140,55.42706
Bridport,0.9237288,0.07627119, -2.7583010,50.73358
Shrewsbury,0.9337383,0.06626173, -2.7553268,52.70730
Penrith,0.9050967,0.09490334, -2.7527080,54.66410
Kendal,0.9350649,0.06493506, -2.7462900,54.32801
Street,0.8505051,0.14949495, -2.7429190,51.12468
Glastonbury,0.8477801,0.15221987, -2.7184540,51.14743
Hereford,0.9200000,0.08000000, -2.7159740,52.05640
Ludlow,0.9410029,0.05899705, -2.7139129,52.36775
Preston,0.9403579,0.05964215, -2.7030900,53.76320
Whitchurch,0.9132948,0.08670520, -2.6820450,52.96872
Wells,0.8638941,0.13610586, -2.6445979,51.20935
Yeovil,0.8978495,0.10215054, -2.6333080,50.94206
Wigan,0.8918919,0.10810811, -2.6325074,53.54506
Warrington,0.8532609,0.14673913, -2.5969501,53.39004
Arbroath,0.9083969,0.09160305, -2.5915430,56.55911
Bristol,0.8590078,0.14099217, -2.5879100,51.45451
Guernsey,0.9349593,0.06504065, -2.5852780,49.46569
Ross-on-Wye,0.9042821,0.09571788, -2.5824460,51.91445
Jedburgh,0.8993007,0.10069930, -2.5549369,55.47772
Sedbergh,0.9102564,0.08974359, -2.5281740,54.32363
Sedbergh,0.9102564,0.08974359, -2.5281740,54.32363
Nantwich,0.9126638,0.08733624, -2.5241020,53.06718
Banff,0.9351351,0.06486486, -2.5240380,57.66651
Dunbar,0.8991597,0.10084034, -2.5167370,56.00209
Cinderford,0.9125964,0.08740360, -2.5009579,51.82530
Banchory,0.9222942,0.07770583, -2.4909599,57.05386
Blackburn,0.9154930,0.08450704, -2.4875290,53.74858
Market Drayton,0.9113737,0.08862629, -2.4834850,52.90355
Telford,0.9184783,0.08152174, -2.4672611,52.67759
Montrose,0.9094340,0.09056604, -2.4661150,56.70692
Turriff,0.9351351,0.06486486, -2.4623000,57.53893
Weymouth,0.9232955,0.07670455, -2.4576210,50.61443
Crewe,0.8915289,0.10847107, -2.4438209,53.10040
Fortuneswell,0.9169231,0.08307692, -2.4422190,50.55919
Dorchester,0.8794643,0.12053571, -2.4411810,50.71116
Alston,0.9141324,0.08586762, -2.4386850,54.81217
Kelso,0.9044863,0.09551375, -2.4322070,55.60003
Wincanton,0.9100000,0.09000000, -2.4160070,51.05569
Clitheroe,0.9375000,0.06250000, -2.3930830,53.87110
Sark,0.9349593,0.06504065, -2.3666256,49.43007
Bath,0.9256435,0.07435653, -2.3590167,51.38106
Kidderminster,0.9349946,0.06500542, -2.2496839,52.38860
Manchester,0.9213710,0.07862903, -2.2426305,53.48076
Burnley,0.9186992,0.08130081, -2.2405035,53.78929
Gloucester,0.9307282,0.06927176, -2.2381560,51.86424
Newcastle-under-Lyme,0.8783314,0.12166860, -2.2273002,53.01321
Worcester,0.9396530,0.06034700, -2.2215750,52.19364
Trowbridge,0.9155722,0.08442777, -2.2088530,51.31966
Shaftesbury,0.8857868,0.11421320, -2.1980830,51.00460
Alderney,0.8755459,0.12445415, -2.1973557,49.71500
Stoke-on-Trent,0.8833981,0.11660189, -2.1794040,53.00267
Colne,0.8547009,0.14529915, -2.1769910,53.85564
Blandford Forum,0.8743842,0.12561576, -2.1653530,50.85691
Rochdale,0.9396985,0.06030151, -2.1561000,53.60971
Jersey,0.9529148,0.04708520, -2.1312500,49.21444
Wolverhampton,0.9211149,0.07888509, -2.1288200,52.58697
Stafford,0.9156777,0.08432230, -2.1206600,52.80669
Macclesfield,0.9328586,0.06714140, -2.1192870,53.25866
Hexham,0.9394958,0.06050420, -2.1121439,54.97266
Aberdeen,0.9222942,0.07770583, -2.0942780,57.14972
Dudley,0.9283249,0.07167507, -2.0811120,52.51225
Cheltenham,0.9817629,0.01823708, -2.0782533,51.89939
Bromsgrove,0.9357774,0.06422264, -2.0619060,52.33559
