placename,drank,drunk,longitude,latitude
Swaffham,0.8661972,0.13380282,  0.6874810,52.64747
Dereham,0.8827586,0.11724138,  0.9378270,52.68162
Ely,0.8235294,0.17647059,  0.2623630,52.39954
March,0.8181818,0.18181818,  0.0886220,52.55172
St Neots,0.8424658,0.15753425, -0.2651030,52.23008
Banham,0.8467153,0.15328467,  1.0402849,52.45125
Holt,0.8785714,0.12142857,  1.0867470,52.90936
Cromer,0.8802817,0.11971831,  1.3018660,52.93145
Hunstanton,0.8819444,0.11805556,  0.4910320,52.93891
Horncastle,0.9166667,0.08333333, -0.1124500,53.20731
Market Weighton,0.8770104,0.12298959, -0.6677465,53.86484
Hawes,0.8636364,0.13636364, -2.1968695,54.30383
Reeth,0.8383838,0.16161616, -1.9428115,54.38946
Aysgarth,0.8303571,0.16964286, -1.9967434,54.29159
Stanhope,0.9394958,0.06050420, -2.0113020,54.74946
Keswick,0.8926174,0.10738255, -3.1347060,54.60128
Oxenholme,0.9205298,0.07947020, -2.7243328,54.30134
