,"placename","himsel","himself","himsen","hissel","hisself","himseln","hissen","hisseln","longitude","latitude"
57,"Drogheda",0.01,1,0.01,0.01,0.01,0.01,0.01,0.01,-6.3560985,53.71786
58,"Rosslare",0.01,0.977553252615036,0.01,0.01,0.145286516068325,0.01,0.01,0.01,-6.3414908,52.25131
59,"Newry",0.01,1,0.01,0.01,0.01,0.01,0.01,0.01,-6.34023,54.1751
60,"Scilly Isles",0.01,0.917897170706045,0.01,0.01,0.531396193526126,0.01,0.01,0.01,-6.3274966,49.92773
61,"Ballymena",0.112017259833445,0.887984327082168,0.01,0.01,0.01,0.01,0.01,0.01,-6.2802213,54.86529
62,"Banbridge",0.01,1,0.01,0.01,0.01,0.01,0.01,0.01,-6.2704803,54.34873
63,"Dublin",0.01,0.980260015368316,0.01,0.01,0.106472135581969,0.01,0.01,0.01,-6.2603097,53.34981
64,"Antrim",0.023946866730663,0.976054495233743,0.01,0.01,0.01,0.01,0.01,0.01,-6.2072498,54.71953
65,"Antrim",0.023946866730663,0.976054495233743,0.01,0.01,0.01,0.01,0.01,0.01,-6.2072498,54.71953
66,"Portree",0.358654790140654,0.641343551189656,0.01,0.01,0.01,0.01,0.01,0.01,-6.1960231,57.41247
67,"Islay",0.277857556934472,0.722141457775193,0.01,0.01,0.01,0.01,0.01,0.01,-6.177067,55.73625
68,"Wicklow",0.01,0.903304188905735,0.01,0.01,0.62584065863091,0.01,0.01,0.01,-6.044589,52.98082
69,"Kilkeel",0.01,1,0.01,0.01,0.01,0.01,0.01,0.01,-6.007004,54.06312
70,"Mull",0.150144592423383,0.849854277862001,0.01,0.01,0.01,0.01,0.01,0.01,-6.000887,56.4392
71,"Belfast",0.015030432949541,0.984970890185741,0.01,0.01,0.01,0.01,0.01,0.01,-5.93012,54.59728
72,"Broadford",0.14903480450001,0.850965365897563,0.01,0.01,0.01,0.01,0.01,0.01,-5.9096592,57.24139
73,"Down",0.01,1,0.01,0.01,0.01,0.01,0.01,0.01,-5.7156922,54.32875
74,"Kyle of Lochalsh",0.366516812139746,0.633482862938113,0.01,0.01,0.01,0.01,0.01,0.01,-5.7143293,57.28261
75,"Campbeltown",0.575586122145638,0.424414861581269,0.01,0.01,0.01,0.01,0.01,0.01,-5.605374,55.42412
76,"Penzance",0.01,0.917897170706045,0.01,0.01,0.531396193526126,0.01,0.01,0.01,-5.537592,50.1188
77,"Oban",0.267552247231,0.732449308771716,0.01,0.01,0.01,0.01,0.01,0.01,-5.471047,56.41516
78,"Lochgilphead",0.235678620145503,0.764321267124946,0.01,0.01,0.01,0.01,0.01,0.01,-5.4323449,56.03829
79,"Helston",0.01,0.918475213391208,0.01,0.01,0.527641465587922,0.01,0.01,0.01,-5.274996,50.10159
80,"Redruth",0.01,0.918381757388217,0.01,0.01,0.528263568320698,0.01,0.01,0.01,-5.226666,50.23302
81,"Ullapool",0.36201100935771,0.637989519082332,0.01,0.01,0.01,0.01,0.01,0.01,-5.161313,57.89542
82,"Ballachulish",0.13244897953476,0.867552075761667,0.01,0.01,0.01,0.01,0.01,0.01,-5.13372,56.67393
83,"Fort William",0.150274963889536,0.849726208524567,0.01,0.01,0.01,0.01,0.01,0.01,-5.1052179,56.81982
84,"Achnasheen",0.35832909563447,0.641672377866845,0.01,0.01,0.01,0.01,0.01,0.01,-5.0787658,57.57859
85,"Newquay",0.01,0.919520536091325,0.01,0.01,0.520893883374097,0.01,0.01,0.01,-5.073719,50.4155
86,"Falmouth",0.01,0.919658989429088,0.01,0.01,0.519987108545625,0.01,0.01,0.01,-5.06627,50.15257
87,"Rothesay",0.169617772007215,0.813420282029448,0.01,0.01,0.109781653119782,0.01,0.01,0.01,-5.055793,55.83596
88,"Truro",0.01,0.918381757388217,0.01,0.01,0.528263568320698,0.01,0.01,0.01,-5.051041,50.2632
89,"Milford Haven",0.01,1,0.01,0.01,0.01,0.01,0.01,0.01,-5.0426971,51.71431
90,"Stranraer",0.343074254753161,0.656926474354978,0.01,0.01,0.01,0.01,0.01,0.01,-5.024055,54.90337
91,"Fishguard",0.01,1,0.01,0.01,0.01,0.01,0.01,0.01,-4.975989,51.99393
92,"Inchnadamph",0.598156682093686,0.401843506192325,0.01,0.01,0.01,0.01,0.01,0.01,-4.974295,58.15221
93,"Haverfordwest",0.01,1,0.01,0.01,0.01,0.01,0.01,0.01,-4.971319,51.80047
94,"Dunoon",0.237561892499396,0.745470845188399,0.01,0.01,0.109826503480652,0.01,0.01,0.01,-4.926214,55.95097
95,"Pembroke",0.01,1,0.01,0.01,0.01,0.01,0.01,0.01,-4.908637,51.67404
96,"Girvan",0.720715981909039,0.260316504330123,0.01,0.01,0.122754944841897,0.01,0.01,0.01,-4.8542179,55.24016
97,"Wadebridge",0.01,0.961312676095339,0.01,0.01,0.250403619643669,0.01,0.01,0.01,-4.836456,50.51665
98,"Invergarry",0.168571428593186,0.831429599939084,0.01,0.01,0.01,0.01,0.01,0.01,-4.800261,57.07095
99,"St Austell",0.01,0.946273182280745,0.01,0.01,0.347734234594091,0.01,0.01,0.01,-4.7834252,50.34038
100,"Greenock",0.237445487859378,0.72863491931632,0.01,0.01,0.219545384017437,0.01,0.01,0.01,-4.771983,55.95648
101,"Helensburgh",0.239795463901344,0.725948924563701,0.01,0.01,0.221718207019677,0.01,0.01,0.01,-4.734014,56.00232
102,"Bodmin",0.01,0.97327158314469,0.01,0.01,0.17299442829478,0.01,0.01,0.01,-4.7188629,50.4715
103,"Tenby",0.01,1,0.01,0.01,0.01,0.01,0.01,0.01,-4.703579,51.67274
104,"Camelford",0.01,0.97212934310814,0.01,0.01,0.180376636394092,0.01,0.01,0.01,-4.682364,50.62206
105,"Irvine",0.698084033829782,0.28529348646272,0.01,0.01,0.107576368492716,0.01,0.01,0.01,-4.6696364,55.61157
106,"Cardigan",0.01,1,0.01,0.01,0.01,0.01,0.01,0.01,-4.660864,52.0837
107,"Holyhead",0.066468234957018,0.933532013873021,0.01,0.01,0.01,0.01,0.01,0.01,-4.633038,53.30944
108,"Ayr",0.733519290189967,0.247672253258848,0.01,0.01,0.121732168430714,0.01,0.01,0.01,-4.629179,55.45856
109,"Dumbarton",0.281779459089216,0.684066789890137,0.01,0.01,0.221061872842641,0.01,0.01,0.01,-4.564554,55.94529
110,"Bude",0.04775350654077,0.928371165707877,0.01,0.01,0.154537451865952,0.01,0.01,0.01,-4.543678,50.82664
111,"Isle of Man",0.153285533667605,0.759122344291914,0.01,0.01,0.566919717988458,0.01,0.01,0.01,-4.5126331,54.27697
112,"Kilmarnock",0.626458674574361,0.355641627380529,0.01,0.01,0.115846465878934,0.01,0.01,0.01,-4.498792,55.61472
113,"Newton Stewart",0.596567325052372,0.310218548593659,0.01,0.01,0.603306399071163,0.01,0.01,0.01,-4.483164,54.9603
114,"Liskeard",0.01,0.970876340401372,0.01,0.01,0.188496231920006,0.01,0.01,0.01,-4.464719,50.45552
115,"Altnaharra",0.631921052821078,0.368078198445172,0.01,0.01,0.01,0.01,0.01,0.01,-4.442655,58.28023
116,"Pwllheli",0.01,1,0.01,0.01,0.01,0.01,0.01,0.01,-4.4176339,52.88882
117,"Lairg",0.639387585296374,0.360612102206251,0.01,0.01,0.01,0.01,0.01,0.01,-4.402414,58.02206
118,"Launceston",0.01,1,0.01,0.01,0.01,0.01,0.01,0.01,-4.3604516,50.63683
119,"Carmarthen",0.01,1,0.01,0.01,0.01,0.01,0.01,0.01,-4.312131,51.85762
120,"Llangefni",0.063598223695238,0.93640145929818,0.01,0.01,0.01,0.01,0.01,0.01,-4.311402,53.25579
121,"Caernarfon",0.069961259912762,0.930039528427933,0.01,0.01,0.01,0.01,0.01,0.01,-4.273911,53.13955
122,"Cumnock",0.604338183492516,0.379327532138481,0.01,0.01,0.105715033711028,0.01,0.01,0.01,-4.2658289,55.45355
123,"Aberaeron",0.01,0.974303060511026,0.01,0.01,0.166316093066694,0.01,0.01,0.01,-4.2581619,52.24279
124,"Alness",0.47307517098194,0.526925712861617,0.01,0.01,0.01,0.01,0.01,0.01,-4.256825,57.69595
