placename,bottoms,jeans,joggers,kecks,pants,slacks,strides,trackies,trens,trousers,longitude,latitude
Kildare,0.00000000,0.00000000,0.00000000,0.000000000,0.111111111,0.00000000,0,0.00000000,0.000000000,0.8888889, -6.8194708,53.21204
Dungannon,0.00000000,0.00000000,0.00000000,0.000000000,0.250000000,0.00000000,0,0.00000000,0.000000000,0.7500000, -6.7669352,54.50827
Cookstown,0.00000000,0.00000000,0.00000000,0.000000000,0.125000000,0.00000000,0,0.00000000,0.000000000,0.8750000, -6.7443895,54.64182
Coleraine,0.00000000,0.00000000,0.00000000,0.000000000,0.000000000,0.00000000,0,0.00000000,0.000000000,1.0000000, -6.6646103,55.13258
Meath,0.00000000,0.00000000,0.00000000,0.000000000,0.111111111,0.00000000,0,0.00000000,0.000000000,0.8888889, -6.6564169,53.60555
Armagh,0.00000000,0.00000000,0.00000000,0.000000000,0.250000000,0.00000000,0,0.00000000,0.000000000,0.7500000, -6.6527920,54.35028
Armagh,0.00000000,0.00000000,0.00000000,0.000000000,0.250000000,0.00000000,0,0.00000000,0.000000000,0.7500000, -6.6527920,54.35028
Magherafelt,0.00000000,0.00000000,0.00000000,0.000000000,0.000000000,0.00000000,0,0.00000000,0.000000000,1.0000000, -6.6079805,54.75537
Louth,0.00000000,0.00000000,0.00000000,0.000000000,0.111111111,0.00000000,0,0.00000000,0.000000000,0.8888889, -6.4889423,53.92523
Wexford,0.00000000,0.00000000,0.00000000,0.000000000,0.111111111,0.00000000,0,0.00000000,0.000000000,0.8888889, -6.4633381,52.33692
Craigavon,0.00000000,0.00000000,0.00000000,0.000000000,0.222222222,0.00000000,0,0.00000000,0.000000000,0.7777778, -6.4175653,54.44293
Drogheda,0.00000000,0.00000000,0.00000000,0.000000000,0.111111111,0.00000000,0,0.00000000,0.000000000,0.8888889, -6.3560985,53.71786
Rosslare,0.00000000,0.00000000,0.00000000,0.000000000,0.111111111,0.00000000,0,0.00000000,0.000000000,0.8888889, -6.3414908,52.25131
