index,placename,longitude,latitude,'ee,deesel,theesen,you,yoursel,yourself,yourselfs,yoursels,yourselves,yoursen,yoursens,yous
40,Monaghan,-6.9683132,54.2492,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.9325364963581843,0.01,0.01,0.01
41,Carlow,-6.934135899999999,52.83651,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.9427488109404583,0.01,0.01,0.01
42,Kildare,-6.8194707999999995,53.21204,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.956338039015605,0.01,0.01,0.01
43,Dungannon,-6.7669352,54.508269999999996,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.24405529146958685,0.7788556454088921,0.01,0.01,0.01
44,Cookstown,-6.7443895000000005,54.641819999999996,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.4923873778341095,0.6521016603290019,0.01,0.01,0.01
45,Coleraine,-6.6646103000000005,55.132580000000004,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,0.38985109010572,0.01,0.01,0.01
46,Meath,-6.656416900000001,53.60555,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.9483383652990575,0.01,0.01,0.01
47,Armagh,-6.652792,54.350280000000005,0.01,0.01,0.01,0.01,0.01,0.4301616613119282,0.01,0.01,0.47213058704750105,0.01,0.26017928768368376,0.01
48,Armagh,-6.652792,54.350280000000005,0.01,0.01,0.01,0.01,0.01,0.4301616613119282,0.01,0.01,0.47213058704750105,0.01,0.26017928768368376,0.01
49,Magherafelt,-6.607980499999999,54.75536999999999,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.9876880042274838,0.37953643371494095,0.01,0.01,0.01
50,Louth,-6.4889423,53.925230000000006,0.01,0.01,0.01,0.01,0.01,0.3265177604848191,0.01,0.01,0.6694755367258068,0.01,0.01,0.01
51,Wexford,-6.4633381,52.33692,0.01,0.01,0.01,0.01,0.01,0.3272251182910429,0.01,0.01,0.6718962311894168,0.01,0.01,0.01
52,Craigavon,-6.4175653,54.442930000000004,0.01,0.01,0.01,0.01,0.01,0.7571772355016427,0.01,0.01,0.19987441377442797,0.01,0.2616980711559322,0.01
53,Drogheda,-6.3560985,53.717859999999995,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.9315514541174682,0.01,0.01,0.01
54,Rosslare,-6.3414908,52.25131,0.01,0.01,0.01,0.01,0.01,0.30339547523704974,0.01,0.01,0.590347283113831,0.01,0.01,0.01
55,Newry,-6.34023,54.1751,0.01,0.01,0.01,0.01,0.01,0.7571408335548737,0.01,0.01,0.1998432704139187,0.01,0.26168548979610107,0.01
56,Ballymena,-6.2802213,54.86529,0.01,0.01,0.01,0.01,0.25081965503775505,0.08100359614721245,0.01,0.8685766028561368,0.3143990791404656,0.01,0.01,0.01
57,Banbridge,-6.2704803,54.34873,0.01,0.01,0.01,0.01,0.01,0.7510888542550345,0.01,0.01,0.19466555356471998,0.01,0.25959378492809315,0.01
58,Dublin,-6.2603097000000005,53.34981,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,0.01,0.01,0.01
