,placename,outside,outside_of,longitude,latitude
93,Girvan,0.6757472841034036,0.01,-4.8542179,55.24016
94,Wadebridge,0.01,0.6097155658234441,-4.836456,50.51665
95,Invergarry,0.17675497854745756,0.05653909043931915,-4.800261,57.07095
96,St Austell,0.01,0.6383353705810594,-4.7834252,50.34038
97,Greenock,0.9841833478214084,0.01,-4.7719830000000005,55.956480000000006
98,Helensburgh,0.8760234676197297,0.01,-4.734014,56.00232
99,Bodmin,0.01,0.616328806060839,-4.7188629,50.4715
100,Tenby,0.01,0.3831088950127189,-4.703579,51.67274000000001
101,Camelford,0.01,0.5951975908270518,-4.682364,50.62206
102,Irvine,0.9645392322270414,0.01,-4.6696364,55.61156999999999
103,Cardigan,0.01,0.3586941413453509,-4.660864,52.0837
104,Holyhead,0.01,0.30241505388443923,-4.633038,53.30944
105,Ayr,0.9721865949016326,0.01,-4.629179,55.45856
106,Dumbarton,0.8201697327145427,0.01,-4.564554,55.94529
107,Bude,0.01,0.5615336954781149,-4.543678,50.82664000000001
108,Isle of Man,0.01,0.3306628520678973,-4.5126331,54.27697
109,Kilmarnock,0.9954766341450072,0.01,-4.498792,55.61472
110,Newton Stewart,0.4500782257121221,0.01,-4.483164,54.9603
111,Liskeard,0.01,0.6387438219211898,-4.4647190000000005,50.45552
112,Altnaharra,0.01,0.2794702391113281,-4.442655,58.28023
113,Pwllheli,0.01,0.3876681352359807,-4.417633900000001,52.88882
114,Lairg,0.01,0.2604942593527111,-4.402414,58.02206
115,Launceston,0.01,0.6297192879825086,-4.360451599999998,50.63683
116,Carmarthen,0.01,0.3254188551861813,-4.312131,51.85762
117,Llangefni,0.01,0.3176137361208444,-4.311401999999998,53.25578
118,Caernarfon,0.01,0.32670414059950703,-4.273911,53.13955
119,Cumnock,0.9145855397414108,0.01,-4.265828900000002,55.45355
120,Aberaeron,0.01,0.3624532164845762,-4.2581619,52.24279
121,Alness,0.01,0.26523248387108633,-4.256825,57.69595
122,Glasgow,0.8373554973007521,0.01,-4.251806,55.86424
123,Dalwhinnie,0.01,0.12559166343203368,-4.242783,56.9366
124,Inverness,0.01,0.2594053707337972,-4.224721,57.47776999999999
125,Saltash,0.01,0.6553811275492377,-4.21643,50.40921
126,Bideford,0.01,0.5610454705946872,-4.206666,51.01668
127,Invergordon,0.01,0.26829492405776256,-4.172882,57.68811
128,Llanelli,0.01,0.3508470433088373,-4.160248,51.68089000000001
129,Plymouth,0.01,0.6286113670969201,-4.1426565,50.37546
130,Tavistock,0.01,0.6516790142294225,-4.141654,50.55112
131,Porthmadog,0.01,0.3491578958962813,-4.133384,52.92784
132,Bangor,0.01,0.3244963976652123,-4.129263,53.22739
133,Tywyn,0.01,0.3384803893497882,-4.087249,52.58701
134,Aberystwyth,0.01,0.33849442733371865,-4.08292,52.4153
135,Lampeter,0.01,0.31850258346874905,-4.078509,52.1129
136,Barnstaple,0.01,0.4946595746263019,-4.058338,51.07816
137,Tain,0.01,0.2819969412381967,-4.05523,57.8115
138,Okehampton,0.01,0.6056503546500429,-4.004263,50.73831
139,Llandeilo,0.01,0.3317648338064387,-3.99143,51.88469
140,Motherwell,0.6604525587542367,0.01,-3.9810968,55.78321
141,Golspie,0.01,0.269167708712516,-3.976086,57.97341
142,Airdrie,0.7026983753096812,0.01,-3.962566,55.86626999999999
143,Swansea,0.01,0.4798173761933619,-3.943646,51.62144
144,Stirling,0.6888710964084563,0.01,-3.9369029,56.11652
145,Tregaron,0.01,0.3538486072382765,-3.934385,52.22
146,Castle Douglas,0.01,0.12095831885129288,-3.931414,54.94042
147,Dolgellau,0.01,0.32927322663939634,-3.8844,52.74215
148,Aberfeldy,0.01,0.08985311603491222,-3.866969,56.62175
149,Machynlleth,0.01,0.3223279340898001,-3.853485,52.59027
150,Brora,0.01,0.2612533903298738,-3.852548000000001,58.01216
151,Llandudno,0.01,0.302571091475051,-3.827609,53.32406
152,Aviemore,0.01,0.2367572433518319,-3.823812,57.19449
153,Dalbeattie,0.01,0.13210083361548255,-3.822527,54.93422
154,Falkirk,0.5874054951058908,0.01,-3.7839131,56.00188000000001
155,Kingsbridge,0.01,0.6370800508642009,-3.777493,50.28395
156,Pitlochry,0.01,0.10151517118514372,-3.729711,56.70436
157,Colwyn Bay,0.01,0.3038427438462903,-3.72764,53.29318000000001
158,Totnes,0.01,0.6512758271332659,-3.685797,50.43374
159,Grantown-on-Spey,0.01,0.22984178151808785,-3.609628,57.33041
160,Dumfries,0.01,0.11121069375957808,-3.60512,55.07086
161,Whitehaven,0.01,0.46700825577927396,-3.589233,54.5497
162,Dartmouth,0.01,0.6513800321678266,-3.578807,50.35252
163,Bridgend,0.01,0.4481987071186017,-3.576945,51.50429000000001
164,Paignton,0.01,0.6745466200909163,-3.564235,50.43508
165,Workington,0.01,0.4218257896735487,-3.542752,54.64357
166,Llanidloes,0.01,0.36287827044031695,-3.540195,52.44779000000001
167,Exeter,0.01,0.6494091802123586,-3.533899,50.71841
168,Torquay,0.01,0.6666892635276843,-3.525315,50.46192
169,Thurso,0.01,0.2558038179719453,-3.5220800000000003,58.59356999999999
170,Livingston,0.01,0.12849293676473905,-3.518068,55.90071
171,Rhyl,0.01,0.2791026868974565,-3.4916339999999995,53.31914
172,Tiverton,0.01,0.5917505908690497,-3.491207,50.90205
173,Minehead,0.01,0.6015669210936552,-3.481152,51.20428
174,Dunfermline,0.01,0.1504789842315225,-3.452151,56.07174000000001
175,Perth,0.01,0.15727755285292236,-3.4308381000000003,56.39499
176,Prestatyn,0.01,0.2796527329024242,-3.407613,53.33651
177,Builth Wells,0.01,0.35773753372885864,-3.404592,52.15002
178,Braemar,0.01,0.2322557748316685,-3.3979439,57.00646999999999
179,Brecon,0.01,0.3894710713067421,-3.391463,51.94895
180,Merthyr Tydfil,0.01,0.4813634441543186,-3.381646,51.74873
