,placename,outside,outside_of,longitude,latitude
419,Sevenoaks,0.01,0.6045930514949724,0.190898,51.27241
420,Tunbridge Wells,0.01,0.601944326892401,0.263695,51.13238
421,Eastbourne,0.01,0.522835563122731,0.29047199999999995,50.76803
422,Brentwood,0.01,0.6792025064343146,0.30717490000000003,51.62047000000001
423,Skegness,0.01,0.5439113013238699,0.337881,53.1464
424,Downham Market,0.01,0.7482560242913321,0.385472,52.60661
425,King's Lynn,0.01,0.7346911474154492,0.4022963,52.75168000000001
426,Bexhill,0.01,0.4978787273066634,0.4662071,50.84991
427,Chelmsford,0.01,0.6596523191406958,0.4685497,51.73559
428,Mildenhall,0.01,0.7704693791132975,0.5156095,52.34757000000001
429,Medway,0.01,0.6009738162725928,0.5417860999999999,51.40474
430,Braintree,0.01,0.5954239533179305,0.5509269,51.88009
431,Gillingham,0.01,0.5811706753069962,0.551438,51.38632
432,Hastings,0.01,0.5220067821483747,0.573453,50.85426
433,Maldon,0.01,0.6102225530123173,0.6714479999999999,51.7318
434,Southend,0.01,0.6215790120508318,0.7077123000000001,51.54593
435,Bury St Edmunds,0.01,0.7159013059245257,0.7104931999999999,52.24292
436,Thetford,0.01,0.7015088628998192,0.751657,52.41286
437,Ashford,0.01,0.562176743126622,0.8750190000000001,51.14647
438,Faversham,0.01,0.5784178806504786,0.889358,51.31599
439,Colchester,0.01,0.5854683230989385,0.891874,51.89593
440,New Romney,0.01,0.5847568402787707,0.939473,50.98512
441,Canterbury,0.01,0.5944411594621833,1.0789089,51.28023
442,Ipswich,0.01,0.627532871985339,1.14822,52.05674000000001
443,Clacton,0.01,0.5908046467211201,1.153035,51.78953
444,Folkestone,0.01,0.5749839738121039,1.169456,51.0814
445,Sheringham,0.01,0.5931615432346761,1.2109589,52.94442
446,Harwich,0.01,0.6157253077324437,1.260297,51.93473
447,Norwich,0.01,0.6116980261117776,1.297355,52.63089
448,Cromer,0.01,0.5687556982878791,1.301866,52.93145
449,Dover,0.01,0.5920746793249829,1.3134027,51.12788
450,Felixstowe,0.01,0.5978434808367143,1.351255,51.96173
451,Margate,0.01,0.5893710176122217,1.3868339,51.38965
452,Ramsgate,0.01,0.5972818264988813,1.419895,51.33555
453,Great Yarmouth,0.01,0.6165945828912149,1.728047,52.59823000000001
454,Lowestoft,0.01,0.6263571908311633,1.7534490000000005,52.48114
455,Swaffham,0.01,0.7091656382695832,0.687481,52.64747
456,Dereham,0.01,0.6313281219293084,0.937827,52.68162
457,Ely,0.01,0.8301572670182459,0.262363,52.39954
458,March,0.01,0.8230937314501591,0.088622,52.55172
459,St Neots,0.01,0.7726368978244066,-0.26510300000000003,52.23008
460,Banham,0.01,0.6503035617654669,1.0402849,52.45125
461,Holt,0.01,0.5812365458469778,1.086747,52.90936
462,Hunstanton,0.01,0.6584297997132132,0.491032,52.93891
463,Horncastle,0.01,0.6408271127287165,-0.11245,53.20731
464,Market Weighton,0.01,0.515136943762405,-0.6677465,53.86484
465,Hawes,0.01,0.5312788705344452,-2.1968695,54.30383000000001
466,Reeth,0.01,0.7454256157813527,-1.9428115,54.38946
467,Aysgarth,0.01,0.5354054978875422,-1.9967434,54.29159
468,Stanhope,0.01,0.9828791938100401,-2.011302,54.74946
469,Keswick,0.01,0.4956620756517977,-3.134706,54.60128
470,Oxenholme,0.01,0.4354914970686242,-2.7243328,54.30134
