index,placename,longitude,latitude,emself,emselfs,emsels,emselves,emsens,theirsel,theirself,theirselfs,theirseln,theirselns,theirsels,theirselves,theirsen,theirsens,them,themsel,themself,themselfs,themseln,themselns,themsels,themselves,themsen,themsens,theyselves,theysens
84,Achnasheen,-5.078765799999999,57.578590000000005,0.01,0.01,0.051674015387266264,0.01,0.01,0.03188122891753461,0.043793057376232604,0.012858517770961388,0.01,0.01,0.07848855058330695,0.035315336144682144,0.03846107662711357,0.01,0.01,0.026024008057683727,0.010804089454584265,0.04091424442203494,0.01,0.01,0.03595109757466847,0.01,0.01,0.01,0.01,0.01
85,Newquay,-5.0737190000000005,50.4155,0.635275206676741,0.01,0.01,0.635275206676741,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.15853504421077927,0.01,0.01,0.01,0.01,0.16975328087187383,0.19678849012262392,0.01,0.01,0.01,0.2176986608999421,0.01,0.01,0.5936445925776516,0.01
86,Falmouth,-5.066269999999999,50.152570000000004,0.6848687906059883,0.01,0.01,0.6848687906059883,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.20256152750546083,0.01,0.01,0.01,0.01,0.1830052911718259,0.21215103913860067,0.01,0.01,0.01,0.2320610671830334,0.01,0.01,0.6399882285589068,0.01
87,Rothesay,-5.055793,55.83596,0.01,0.01,0.01,0.01,0.01,0.35499931874121343,0.01,0.11714755647892647,0.01,0.01,0.2941422931407596,0.08738628727635174,0.01,0.01,0.01,0.11854588414676152,0.19686135900864013,0.3549993187412135,0.01,0.01,0.07278500608093302,0.08961170598710128,0.01,0.01,0.01,0.01
88,Truro,-5.051041000000001,50.2632,0.946928841247957,0.01,0.01,0.9469288412479568,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.2363092469750609,0.01,0.01,0.01,0.01,0.2530309318931708,0.2933290878728918,0.01,0.01,0.01,0.3474092259023658,0.01,0.01,0.8848750592728781,0.01
89,Milford Haven,-5.0426971,51.71431,0.4688227535642854,0.01,0.01,0.055155620499722585,0.01,0.01,0.12090178710411376,0.07099837309439451,0.01,0.01,0.01,0.15310624326404468,0.01,0.01,0.01,0.01,0.2744122496121124,0.1452266999237585,0.01,0.01,0.01,0.14555571623525082,0.01,0.01,0.01,0.01
90,Stranraer,-5.024055000000001,54.903369999999995,0.01,0.01,0.01,0.01,0.01,0.2880472681679868,0.01,0.11006229202675404,0.01,0.01,0.3097049571070526,0.07463730089142623,0.01,0.01,0.01,0.01,0.18495488113651154,0.23346989053442574,0.01,0.01,0.1177704756726796,0.08580889012777368,0.01,0.01,0.01,0.01
91,Fishguard,-4.975989,51.99393,0.01,0.01,0.01,0.01,0.01,0.01,0.09695051270599536,0.056933225204235924,0.01,0.01,0.01,0.15057323288066524,0.01,0.01,0.01,0.01,0.1913476091104913,0.11645653346780885,0.01,0.01,0.01,0.10608956448042275,0.01,0.01,0.01,0.01
92,Inchnadamph,-4.974295,58.15221,0.01,0.01,0.051674015387266264,0.01,0.01,0.03188122891753461,0.043793057376232604,0.012858517770961388,0.01,0.01,0.07848855058330695,0.035315336144682144,0.03846107662711357,0.01,0.01,0.026024008057683727,0.010804089454584265,0.01,0.01,0.01,0.06790762859769499,0.01,0.01,0.01,0.01,0.01
93,Haverfordwest,-4.971319,51.80048,0.01,0.01,0.01,0.01,0.01,0.01,0.13281793292777577,0.07799601132042848,0.01,0.01,0.01,0.20627869814478914,0.01,0.01,0.01,0.01,0.262137797969127,0.15954032237079865,0.01,0.01,0.01,0.16261628339929599,0.01,0.01,0.01,0.01
94,Dunoon,-4.926214,55.95097,0.01,0.01,0.01,0.01,0.01,0.32506969184635803,0.01,0.10727096666041416,0.01,0.01,0.32506969184635803,0.08001883940861525,0.01,0.01,0.01,0.10855140276292606,0.01,0.325069691846358,0.01,0.01,0.06664857719068455,0.07811910825580687,0.01,0.01,0.01,0.01
95,Pembroke,-4.908637000000001,51.674040000000005,0.652994959286104,0.01,0.01,0.07682293977584763,0.01,0.01,0.16839681296919504,0.09888935508288343,0.01,0.01,0.01,0.2132524591150079,0.01,0.01,0.01,0.01,0.3822122847083592,0.20227751806625238,0.01,0.01,0.01,0.22108279013448695,0.01,0.01,0.01,0.01
96,Girvan,-4.8542179,55.240159999999996,0.01,0.01,0.01,0.01,0.01,0.31562617962687245,0.01,0.10415466664886941,0.01,0.01,0.33366196280392385,0.09182045779760431,0.01,0.01,0.01,0.03513263364350317,0.17502737436334634,0.2209383265910014,0.01,0.01,0.12223450875765583,0.061882884403931235,0.01,0.01,0.01,0.01
97,Wadebridge,-4.836456,50.51665,0.5318529890432309,0.01,0.01,0.5318529890432309,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.13272568525487646,0.01,0.01,0.01,0.01,0.1421176033358752,0.16475150545939574,0.01,0.01,0.01,0.17465422696769234,0.01,0.01,0.496999800517061,0.01
98,Invergarry,-4.800261,57.07095,0.01,0.01,0.01,0.01,0.01,0.07970307321839218,0.043793057376232604,0.012858517770961388,0.01,0.01,0.05343901327438652,0.04316318846955303,0.03846107662711357,0.01,0.01,0.03903601284122184,0.010804089454584265,0.04091424442203494,0.01,0.01,0.031956531023026515,0.01,0.01,0.01,0.01,0.01
99,St Austell,-4.7834252,50.340379999999996,0.5749367691880797,0.01,0.01,0.5749367691880796,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.17004727297143346,0.01,0.01,0.01,0.01,0.15363011469329088,0.17809751983926134,0.01,0.01,0.01,0.18731504156893394,0.01,0.01,0.5372602307085519,0.01
100,Greenock,-4.7719830000000005,55.956480000000006,0.01,0.01,0.01,0.01,0.01,0.49940714142658926,0.01,0.16480123543250774,0.01,0.01,0.49940714142658926,0.1229335765581542,0.01,0.01,0.01,0.16676837955505827,0.01,0.4994071414265892,0.01,0.01,0.10239273684942911,0.14506248127425936,0.01,0.01,0.01,0.01
101,Helensburgh,-4.734014,56.00232,0.01,0.01,0.01,0.01,0.01,0.3433548506487217,0.01,0.11330495478501547,0.01,0.01,0.3433548506487217,0.061469015008344535,0.01,0.01,0.01,0.1656162661410679,0.01,0.34335485064872173,0.01,0.01,0.08604145879965955,0.08361615853257516,0.01,0.01,0.01,0.01
102,Bodmin,-4.7188629,50.4715,0.49527449389108674,0.01,0.01,0.49527449389108674,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.12359739993040332,0.01,0.01,0.01,0.01,0.13234338344475954,0.15342062593459324,0.01,0.01,0.01,0.15943021945803873,0.01,0.01,0.4628183534473855,0.01
103,Tenby,-4.703579,51.672740000000005,0.01,0.01,0.01,0.01,0.01,0.01,0.13281793292777577,0.07799601132042848,0.01,0.01,0.01,0.15867592197939545,0.01,0.01,0.01,0.01,0.262137797969127,0.15954032237079865,0.01,0.01,0.01,0.17205927323456072,0.01,0.01,0.01,0.01
104,Camelford,-4.682364,50.62206,0.3794606516784,0.01,0.01,0.3794606516784,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.09469566977874755,0.01,0.01,0.01,0.01,0.10139651273525153,0.11754510158734521,0.01,0.01,0.01,0.11122837856124534,0.01,0.01,0.35459398005359216,0.01
105,Irvine,-4.6696364,55.61156999999999,0.01,0.01,0.01,0.01,0.01,0.5349652895761875,0.01,0.17653520208746265,0.01,0.01,0.443256954927734,0.13168653574758019,0.01,0.01,0.01,0.1389440921594821,0.01,0.5349652895761876,0.01,0.01,0.20717932666753655,0.15634154461830607,0.01,0.01,0.01,0.01
106,Cardigan,-4.660864,52.0837,0.01,0.01,0.01,0.01,0.01,0.01,0.11390055040868775,0.06688696641521974,0.01,0.01,0.01,0.17689823006849067,0.01,0.01,0.01,0.01,0.22480126601459047,0.136816844908247,0.01,0.01,0.01,0.13280266542160993,0.01,0.01,0.01,0.01
107,Holyhead,-4.633038,53.30944,0.01,0.01,0.01,0.29021935186231257,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.20520474986032194,0.01,0.01,0.01,0.01,0.09416803765519124,0.01,0.01,0.01,0.01,0.16135252548396536,0.01,0.01,0.01,0.01
108,Ayr,-4.629179,55.45856,0.01,0.01,0.01,0.01,0.01,0.5749890553992805,0.01,0.18974279466506433,0.01,0.01,0.47641950380551185,0.1415387470433654,0.01,0.01,0.01,0.1493392821193746,0.01,0.5749890553992805,0.01,0.01,0.2226795787689332,0.17153249057293216,0.01,0.01,0.01,0.01
109,Dumbarton,-4.564554,55.94529,0.01,0.01,0.01,0.01,0.01,0.4727081175692627,0.01,0.15599072442547562,0.01,0.01,0.4727081175692626,0.11636137079430228,0.01,0.01,0.01,0.1227743211229877,0.01,0.4727081175692627,0.01,0.01,0.11845615678722832,0.13271195065592636,0.01,0.01,0.01,0.01
110,Bude,-4.543678,50.826640000000005,0.5170473301042949,0.01,0.01,0.5170473301042948,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.1290308837424222,0.01,0.01,0.01,0.01,0.1381613507481156,0.1601651730522091,0.01,0.01,0.01,0.16849209640616433,0.01,0.01,0.4831643804089366,0.01
111,Isle of Man,-4.5126330999999995,54.27697,0.01,0.01,0.01,0.23263413496265228,0.01,0.01,0.15298105108913965,0.01,0.01,0.01,0.24112446580795016,0.20713315855881598,0.01,0.01,0.01,0.36363575593411807,0.0754832479686995,0.01,0.01,0.01,0.22946753330565436,0.2288355453204661,0.01,0.01,0.01,0.01
112,Kilmarnock,-4.498792,55.61472,0.01,0.01,0.01,0.01,0.01,0.5086553628497543,0.01,0.16785309070181217,0.01,0.01,0.42145730131961007,0.12521010975530422,0.01,0.01,0.01,0.1321107350146049,0.01,0.5086553628497543,0.01,0.01,0.1969901181150098,0.14635566081271933,0.01,0.01,0.01,0.01
113,Newton Stewart,-4.483164,54.9603,0.01,0.01,0.01,0.01,0.01,0.16312020395778382,0.01,0.09109463489239614,0.01,0.01,0.232670357836502,0.06177463279072604,0.01,0.01,0.01,0.01,0.01,0.19323470413855637,0.01,0.01,0.11634044154966759,0.07400112728183719,0.01,0.01,0.01,0.01
114,Liskeard,-4.4647190000000005,50.45552,0.5297507374978887,0.01,0.01,0.5297507374978887,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.15668273990083392,0.01,0.01,0.01,0.01,0.14155585609107615,0.16410029334987553,0.01,0.01,0.01,0.1689228087569626,0.01,0.01,0.49503531292331576,0.01
115,Altnaharra,-4.442655,58.28023,0.01,0.01,0.051674015387266264,0.01,0.01,0.03188122891753461,0.043793057376232604,0.012858517770961388,0.01,0.01,0.07848855058330695,0.035315336144682144,0.03846107662711357,0.01,0.01,0.01,0.010804089454584265,0.01,0.01,0.01,0.06790762859769499,0.01,0.01,0.01,0.01,0.01
116,Pwllheli,-4.417633900000001,52.888819999999996,0.01,0.01,0.01,0.26876710991615965,0.01,0.01,0.058914073909267936,0.01,0.01,0.01,0.01,0.17595977855953837,0.01,0.01,0.033347813594129395,0.01,0.11627651934590541,0.015726072932203076,0.01,0.01,0.01,0.1431811659280693,0.01,0.01,0.01,0.01
117,Lairg,-4.402414,58.022059999999996,0.01,0.01,0.051674015387266264,0.01,0.01,0.03188122891753461,0.043793057376232604,0.012858517770961388,0.01,0.01,0.07848855058330695,0.035315336144682144,0.03846107662711357,0.01,0.01,0.01,0.010804089454584265,0.01,0.01,0.01,0.06790762859769499,0.01,0.01,0.01,0.01,0.01
118,Launceston,-4.360451599999999,50.636829999999996,0.49124733738201276,0.01,0.01,0.49124733738201276,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.14529470813678644,0.01,0.01,0.01,0.01,0.1312672781240813,0.1521731381677498,0.01,0.01,0.01,0.15325063148237789,0.01,0.01,0.4590551030325268,0.01
119,Carmarthen,-4.312131,51.857620000000004,0.01,0.01,0.01,0.01,0.01,0.01,0.16360005803142308,0.09607250841029422,0.01,0.01,0.01,0.1954509415391591,0.01,0.01,0.01,0.01,0.32289132961660544,0.19651567693353422,0.01,0.01,0.01,0.22276013904979142,0.01,0.01,0.01,0.01
120,Llangefni,-4.311401999999999,53.25578,0.01,0.01,0.01,0.3670686202082618,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.2595423906368091,0.01,0.01,0.01,0.01,0.11910346924835581,0.01,0.01,0.01,0.01,0.21644518584802347,0.01,0.01,0.01,0.01
121,Caernarfon,-4.273911,53.13955,0.01,0.01,0.01,0.34825210051690914,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.24623783602413907,0.01,0.01,0.01,0.01,0.11299803650079875,0.01,0.01,0.01,0.01,0.20295576492181958,0.01,0.01,0.01,0.01
122,Cumnock,-4.265828900000001,55.45355,0.01,0.01,0.01,0.01,0.01,0.4032913870879286,0.01,0.13308363721336594,0.01,0.01,0.3341557212633303,0.09927381588536181,0.01,0.01,0.01,0.10474503065247988,0.01,0.40329138708792867,0.01,0.01,0.15618515753402828,0.10636495957693197,0.01,0.01,0.01,0.01
123,Aberaeron,-4.2581619,52.24279,0.01,0.01,0.01,0.01,0.01,0.01,0.10654823869774942,0.06256939442176386,0.01,0.01,0.01,0.1654794008889117,0.01,0.01,0.01,0.01,0.21029028275048528,0.12798528011366797,0.01,0.01,0.01,0.12121549090729182,0.01,0.01,0.01,0.01
124,Alness,-4.256825,57.69595,0.01,0.01,0.15970629396578515,0.01,0.01,0.09853371911076558,0.1353490113468635,0.039741177528067335,0.01,0.01,0.24258063629200713,0.10914734249997879,0.11886972521907105,0.02788828169433459,0.01,0.01,0.03339165871928108,0.01806451410778507,0.01,0.01,0.16049548503913955,0.11768857033674515,0.01,0.01,0.01,0.01
125,Glasgow,-4.251806,55.86424,0.01,0.01,0.01,0.01,0.01,1.0,0.01,0.32999375011286824,0.01,0.01,1.0,0.24615902809676765,0.01,0.01,0.01,0.2597254342792165,0.01,1.0,0.01,0.01,0.25059048572372306,0.33284460493246953,0.01,0.01,0.01,0.01
126,Dalwhinnie,-4.242783,56.9366,0.01,0.01,0.01,0.01,0.01,0.03188122891753461,0.043793057376232604,0.02571703777930504,0.01,0.01,0.051769044236688336,0.06932269697774837,0.03846107662711357,0.01,0.01,0.026024008057683727,0.010804089454584265,0.046759136046463694,0.01,0.01,0.03861414163351663,0.01,0.01,0.01,0.01,0.01
127,Inverness,-4.224721,57.47776999999999,0.01,0.01,0.2569658994108886,0.01,0.01,0.15853981158076433,0.21777526465282881,0.06394317452094544,0.01,0.01,0.3903099235262177,0.17561703009540788,0.19126025089648446,0.04487197849662829,0.01,0.01,0.05372685949033266,0.02906563041355247,0.01,0.01,0.2582357002993558,0.21780179135595237,0.01,0.01,0.01,0.01
128,Saltash,-4.21643,50.409209999999995,0.49762931243111813,0.01,0.01,0.4976293124311181,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.14718228519122437,0.01,0.01,0.01,0.01,0.13297261966998447,0.1541500754395246,0.01,0.01,0.01,0.15584830971418462,0.01,0.01,0.4650188569112371,0.01
129,Bideford,-4.206666,51.01668,0.5582905033345444,0.01,0.01,0.22988432026613692,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.19092446006887814,0.01,0.01,0.01,0.01,0.14918202949619153,0.17294102468713132,0.01,0.01,0.01,0.18565754775586144,0.01,0.01,0.5217048216406366,0.01
130,Invergordon,-4.1728819999999995,57.688109999999995,0.01,0.01,0.16158701111887952,0.01,0.01,0.0996940619569248,0.13694289472474055,0.04020917357509362,0.01,0.01,0.24543728991757222,0.11043267242754165,0.12026954688953705,0.028216696864773017,0.01,0.01,0.03378488220324145,0.01827724361706856,0.01,0.01,0.16238549578456438,0.11962446809368829,0.01,0.01,0.01,0.01
131,Llanelli,-4.160248,51.680890000000005,0.01,0.01,0.01,0.01,0.01,0.01,0.18346933942595423,0.10774054647123396,0.01,0.01,0.01,0.2849450797193946,0.01,0.01,0.01,0.01,0.3621065888604278,0.22038257117802892,0.01,0.01,0.01,0.24244242646350986,0.01,0.01,0.01,0.01
132,Plymouth,-4.1426565,50.37546,1.0,0.01,0.01,1.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.29576691226684393,0.01,0.01,0.01,0.01,0.26721219258640544,0.30976888135154235,0.01,0.01,0.01,0.3603300554675468,0.01,0.01,0.9344683789615088,0.01
133,Tavistock,-4.141654,50.551120000000004,0.5585356902992554,0.01,0.01,0.5585356902992554,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.16519637651064098,0.01,0.01,0.01,0.01,0.14924754644262556,0.17301697597891186,0.01,0.01,0.01,0.18063925150710722,0.01,0.01,0.5219339411060925,0.01
134,Porthmadog,-4.1333839999999995,52.92784,0.01,0.01,0.01,0.31916932525737685,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.2005994150154729,0.01,0.01,0.01,0.01,0.10356149183834497,0.01,0.01,0.01,0.01,0.18708068132057043,0.01,0.01,0.01,0.01
135,Bangor,-4.129263,53.22739,0.01,0.01,0.01,0.4543189646622577,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.3212342971000396,0.01,0.01,0.01,0.01,0.14741375823925074,0.01,0.01,0.01,0.01,0.27899429915919066,0.01,0.01,0.01,0.01
136,Tywyn,-4.087249,52.58701,0.01,0.01,0.01,0.4058782754026104,0.01,0.01,0.04448451039345888,0.01,0.01,0.01,0.01,0.14880623288696782,0.01,0.01,0.02518008112478895,0.01,0.28534158536043985,0.011874355453304161,0.01,0.01,0.01,0.08402260746381476,0.01,0.01,0.01,0.01
137,Aberystwyth,-4.08292,52.4153,0.01,0.01,0.01,0.01,0.01,0.01,0.26496674911918594,0.1037327238789093,0.01,0.01,0.01,0.34820769369502075,0.01,0.01,0.04999406594560609,0.01,0.653693715817016,0.1650324645895555,0.01,0.01,0.01,0.2023823081142663,0.01,0.01,0.01,0.01
138,Lampeter,-4.0785089999999995,52.1129,0.01,0.01,0.01,0.01,0.01,0.01,0.11500966628740811,0.06753828369388407,0.01,0.01,0.01,0.1786207909795881,0.01,0.01,0.01,0.01,0.22699028663651544,0.13814911006956251,0.01,0.01,0.01,0.1345506216765405,0.01,0.01,0.01,0.01
139,Barnstaple,-4.058338,51.07816,0.01,0.01,0.01,0.01,0.01,0.01,0.178289257314678,0.01,0.01,0.01,0.01,0.2555999324854121,0.01,0.01,0.01,0.01,0.08797071352449679,0.07138676113259514,0.01,0.01,0.01,0.2617430824401916,0.01,0.01,0.6460494288160338,0.01
140,Tain,-4.05523,57.8115,0.01,0.01,0.12016389378279263,0.01,0.01,0.07413731208230377,0.10183734040297028,0.029901480503384942,0.01,0.01,0.18251900466364748,0.08212306068320242,0.01,0.01,0.01,0.01,0.02512406763652389,0.013591839748974996,0.01,0.01,0.12075768548603759,0.0818128952885705,0.01,0.01,0.01,0.01
141,Okehampton,-4.004263,50.73831,0.4378493555432152,0.01,0.01,0.4378493555432152,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.10926676534698497,0.01,0.01,0.01,0.01,0.11699868631724714,0.1356321050671155,0.01,0.01,0.01,0.13552981749194942,0.01,0.01,0.40915637750380957,0.01
142,Llandeilo,-3.9914300000000003,51.88469,0.01,0.01,0.01,0.01,0.01,0.01,0.1426198404041831,0.083752084085899,0.01,0.01,0.01,0.17038613815044087,0.01,0.01,0.01,0.01,0.2814834569861196,0.17131433092644402,0.01,0.01,0.01,0.18820387644247086,0.01,0.01,0.01,0.01
143,Motherwell,-3.9810968,55.78321,0.01,0.01,0.01,0.01,0.01,0.5414954244298447,0.01,0.20690433175707634,0.01,0.01,0.6001234978537979,0.23852608058272542,0.01,0.01,0.01,0.16284647027853574,0.01,0.6269946981914309,0.01,0.01,0.13569360142504833,0.18709615811019037,0.01,0.01,0.01,0.01
144,Golspie,-3.976086,57.97341,0.01,0.01,0.051674015387266264,0.01,0.01,0.03188122891753461,0.043793057376232604,0.012858517770961388,0.01,0.01,0.07848855058330695,0.035315336144682144,0.01,0.01,0.01,0.01,0.010804089454584265,0.01,0.01,0.01,0.06790762859769499,0.01,0.01,0.01,0.01,0.01
145,Airdrie,-3.9625660000000003,55.86626999999999,0.01,0.01,0.01,0.01,0.01,0.47425073785803606,0.15428976187195675,0.01,0.01,0.01,0.4785296888375293,0.22733793248677317,0.01,0.01,0.01,0.1426236588582257,0.01,0.3843927024817796,0.01,0.01,0.25019520449567617,0.15440558239525914,0.01,0.01,0.01,0.01
146,Swansea,-3.9436459999999998,51.62144,0.01,0.01,0.01,0.01,0.01,0.01,0.267663568560713,0.15718277090549254,0.01,0.01,0.01,0.41570660863632375,0.01,0.01,0.01,0.01,0.528277597101426,0.32151631239672873,0.01,0.01,0.01,0.3751317443866787,0.01,0.01,0.01,0.01
147,Stirling,-3.9369029,56.116519999999994,0.01,0.01,0.01,0.01,0.01,0.34760399959091764,0.3856567196969142,0.06470659992136388,0.01,0.01,0.4285842745506189,0.32251748322066853,0.01,0.01,0.01,0.15278424592468207,0.3262098369592328,0.26471381567100344,0.01,0.01,0.281420210444879,0.16089869108300273,0.01,0.01,0.01,0.01
148,Tregaron,-3.934385,52.22,0.01,0.01,0.01,0.01,0.01,0.01,0.1693713799720801,0.06630777125823686,0.01,0.01,0.01,0.18211127557830828,0.01,0.01,0.03195708128574897,0.01,0.33428196735328686,0.15070234016908035,0.01,0.01,0.01,0.12054438406613235,0.01,0.01,0.01,0.01
149,Tregaron,-3.934385,52.22,0.01,0.01,0.01,0.01,0.01,0.01,0.1693713799720801,0.06630777125823686,0.01,0.01,0.01,0.18211127557830828,0.01,0.01,0.03195708128574897,0.01,0.33428196735328686,0.15070234016908035,0.01,0.01,0.01,0.12054438406613235,0.01,0.01,0.01,0.01
150,Castle Douglas,-3.9314139999999997,54.940419999999996,0.01,0.01,0.01,0.01,0.01,0.12455487568643814,0.01,0.1004723633170359,0.01,0.01,0.18703001907305736,0.05450721215481646,0.01,0.01,0.01,0.20334329626201383,0.01,0.18268048510404583,0.01,0.01,0.16993345242556782,0.08507549116379147,0.01,0.01,0.01,0.01
151,Dolgellau,-3.8844,52.74215,0.01,0.01,0.01,0.21642575616845183,0.01,0.01,0.047440794509684615,0.01,0.01,0.01,0.01,0.14169229514076528,0.01,0.01,0.02685346076224214,0.01,0.16385620775044482,0.012663483356624488,0.01,0.01,0.01,0.1062018601838689,0.01,0.01,0.01,0.01
152,Aberfeldy,-3.866969,56.62175,0.01,0.01,0.01,0.01,0.01,0.14277242224294287,0.13074445052199946,0.038389193145783436,0.01,0.01,0.174499626868547,0.21086832419006485,0.01,0.01,0.01,0.16833882841833045,0.01,0.12214973927913188,0.01,0.01,0.13118383948234108,0.10512426099560794,0.01,0.01,0.01,0.01
153,Machynlleth,-3.853485,52.59027,0.01,0.01,0.01,0.5081943921353612,0.01,0.01,0.05569842091599937,0.01,0.01,0.01,0.01,0.1863181594407343,0.01,0.01,0.03152762039601388,0.01,0.19237730150410134,0.014867711081778683,0.01,0.01,0.01,0.12093680262649589,0.01,0.01,0.01,0.01
154,Brora,-3.8525480000000005,58.012159999999994,0.01,0.01,0.10581146084558972,0.01,0.01,0.06528231607385951,0.08967383976542653,0.02633003337282127,0.01,0.01,0.16071884746388845,0.072314243042988,0.01,0.01,0.01,0.01,0.022123236983393073,0.011968423909579924,0.01,0.01,0.13905258437207707,0.060087253815322136,0.01,0.01,0.01,0.01
155,Llandudno,-3.827609,53.324059999999996,0.01,0.01,0.01,0.3946913024214501,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.2170571652457427,0.01,0.01,0.01,0.01,0.12806625467977995,0.01,0.01,0.01,0.01,0.24854992047435218,0.01,0.01,0.01,0.01
156,Llandudno,-3.827609,53.324059999999996,0.01,0.01,0.01,0.3946913024214501,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.2170571652457427,0.01,0.01,0.01,0.01,0.12806625467977995,0.01,0.01,0.01,0.01,0.24854992047435218,0.01,0.01,0.01,0.01
157,Aviemore,-3.823812,57.19449,0.01,0.01,0.1463142036145962,0.01,0.01,0.09027122402555159,0.12399938858691381,0.036408701224831995,0.01,0.01,0.2506101177417606,0.18887915577755676,0.01,0.01,0.01,0.01,0.0305916180982115,0.016549723431259742,0.01,0.01,0.07917388653206955,0.1009648666872817,0.01,0.01,0.01,0.01
158,Dalbeattie,-3.8225269999999996,54.934219999999996,0.01,0.01,0.01,0.01,0.01,0.09897957085044147,0.01,0.07984200818027598,0.01,0.01,0.14862646622204254,0.04331504838814699,0.01,0.01,0.01,0.16159007897849614,0.01,0.108877527846404,0.01,0.01,0.135040399675402,0.061238976750135544,0.01,0.01,0.01,0.01
159,Falkirk,-3.7839131,56.00188000000001,0.01,0.01,0.01,0.01,0.01,0.24107545300097358,0.16557439558115028,0.06482128679034206,0.01,0.01,0.39566987201291265,0.2967144960435382,0.01,0.01,0.01,0.15305504282663004,0.49018202855309756,0.265182998084103,0.01,0.01,0.32219314513361325,0.16649859684995824,0.01,0.01,0.01,0.01
160,Kingsbridge,-3.777493,50.28395,0.514690896507513,0.01,0.01,0.514690896507513,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.15222853723188084,0.01,0.01,0.01,0.01,0.13753168296003523,0.15943522325295476,0.01,0.01,0.01,0.16279294757540663,0.01,0.01,0.48096236772562134,0.01
161,Pitlochry,-3.729711,56.70436,0.01,0.01,0.01,0.01,0.01,0.1126490993787025,0.10315889000930138,0.030289519222577378,0.01,0.01,0.11407956341241066,0.1848639503090885,0.01,0.01,0.01,0.1328212907986904,0.01,0.0963775629936995,0.01,0.01,0.06586718219907019,0.07675753498406722,0.01,0.01,0.01,0.01
162,Colwyn Bay,-3.72764,53.29318000000001,0.01,0.01,0.01,0.36902006960344025,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.260922197608443,0.01,0.01,0.01,0.01,0.11973665982971492,0.01,0.01,0.01,0.01,0.21784416518849342,0.01,0.01,0.01,0.01
163,Totnes,-3.685797,50.43374,0.5312557354427941,0.01,0.01,0.5312557354427941,0.01,0.19947453741658863,0.01,0.01,0.01,0.01,0.01,0.13257663862916977,0.01,0.01,0.01,0.01,0.14195800989177237,0.1645664948797053,0.01,0.01,0.01,0.164665137552972,0.01,0.01,0.49644168591323207,0.01
164,Grantown-on-Spey,-3.609628,57.33041,0.01,0.01,0.11299681726559659,0.01,0.01,0.06971545313827208,0.09576333607438929,0.028118031315789674,0.01,0.01,0.17163280889313273,0.14586925208502174,0.01,0.01,0.01,0.01,0.0236255633062659,0.012781165656918236,0.01,0.01,0.09608516247392238,0.06393485140365977,0.01,0.01,0.01,0.01
165,Dumfries,-3.60512,55.070859999999996,0.01,0.01,0.01,0.01,0.01,0.19190914875496481,0.01,0.15480378115516308,0.01,0.01,0.3685874133965607,0.13647160047457668,0.01,0.01,0.01,0.06962292864512583,0.01,0.25801118820146357,0.01,0.01,0.31526064480025134,0.139676597334877,0.01,0.01,0.01,0.01
166,Whitehaven,-3.589233,54.5497,0.01,0.01,0.01,0.17762783787931913,0.01,0.01,0.11680871057823079,0.01,0.561487595327995,0.01,0.20192778881451953,0.08838160924888337,0.01,0.01,0.01,0.2776541504219015,0.05763524830498819,0.01,0.01,0.01,0.2604472652775775,0.15537959485431416,0.01,0.01,0.01,0.01
167,Dartmouth,-3.578807,50.35252,0.4568790618159856,0.01,0.01,0.45687906181598553,0.01,0.17154777526327952,0.01,0.01,0.01,0.01,0.01,0.11401569194378025,0.01,0.01,0.01,0.01,0.12208365585466939,0.14152691589168004,0.01,0.01,0.01,0.1350731766958451,0.01,0.01,0.426939036276639,0.01
168,Bridgend,-3.576945,51.504290000000005,0.01,0.01,0.01,0.01,0.01,0.01,0.21256638008702403,0.12482749446662146,0.01,0.01,0.01,0.29204295342248904,0.01,0.01,0.01,0.01,0.4195343322244106,0.2553338096499274,0.01,0.01,0.01,0.29585555574133154,0.01,0.01,0.01,0.01
