index,placename,longitude,latitude,emself,emselfs,emsels,emselves,emsens,theirsel,theirself,theirselfs,theirseln,theirselns,theirsels,theirselves,theirsen,theirsens,them,themsel,themself,themselfs,themseln,themselns,themsels,themselves,themsen,themsens,theyselves,theysens
23,Athlone,-7.9406898,53.423930000000006,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.23076044001698903,0.01,0.01,0.01,0.01
24,Longford,-7.7932573000000005,53.727630000000005,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.24649239124296823,0.01,0.01,0.01,0.01
25,Offaly,-7.7122229,53.235690000000005,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.3081134572656904,0.01,0.01,0.01,0.01
26,Fermanagh,-7.6318728,54.343830000000004,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.18100354012906514,0.01,0.01,0.01,0.01
27,Enniskillen,-7.631533599999999,54.343819999999994,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.2323620701130227,0.01,0.01,0.01,0.01
28,Doon,-7.60964,54.185930000000006,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.1349982850357203,0.01,0.01,0.01,0.01
29,Westmeath,-7.4653217000000005,53.534530000000004,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.23334471981458463,0.01,0.01,0.01,0.01
30,Strabane,-7.4633103,54.82739,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.148670025664813,0.21402873387917468,0.01,0.01,0.01,0.01
31,Cavan,-7.3633319,53.98972,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.2736309945897539,0.01,0.01,0.01,0.01
32,Mullingar,-7.340186800000001,53.525819999999996,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.22807613186197306,0.01,0.01,0.01,0.01
33,Laois,-7.332300699999999,52.99429,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.2987735625796539,0.01,0.01,0.01,0.01
34,Omagh,-7.309959700000001,54.59771,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.25860640606031676,0.01,0.01,0.01,0.01
35,Derry,-7.308574799999999,54.99661,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.9076411019618656,0.21859464555882632,0.01,0.01,0.01,0.01
36,Derry,-7.308574799999999,54.99661,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.9076411019618656,0.21859464555882632,0.01,0.01,0.01,0.01
37,Kilkenny,-7.2447879,52.65415,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.3432818109146166,0.01,0.01,0.01,0.01
38,Tyrone,-7.131232000000001,54.491209999999995,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.18813311850368789,0.01,0.01,0.01,0.01
39,Waterford,-7.110070200000001,52.25932,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.3835279255615345,0.01,0.01,0.01,0.01
40,Monaghan,-6.9683132,54.2492,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.2635548976829293,0.01,0.01,0.01,0.01
41,Carlow,-6.934135899999999,52.83651,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.31283323083778125,0.01,0.01,0.01,0.01
42,Kildare,-6.8194707999999995,53.21204,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.3900206878551324,0.01,0.01,0.01,0.01
43,Dungannon,-6.7669352,54.508269999999996,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.12359314587748353,0.17004978259855388,0.01,0.01,0.01,0.01
44,Cookstown,-6.7443895000000005,54.641819999999996,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.2943053338525538,0.18269306779118433,0.01,0.01,0.01,0.01
45,Coleraine,-6.6646103000000005,55.132580000000004,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,0.14815922829001218,0.01,0.01,0.01,0.01
46,Meath,-6.656416900000001,53.60555,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.34286577012395625,0.01,0.01,0.01,0.01
47,Armagh,-6.652792,54.350280000000005,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.15554498269238046,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.23099665955221677,0.01,0.01,0.01,0.01
48,Armagh,-6.652792,54.350280000000005,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.15554498269238046,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.23099665955221677,0.01,0.01,0.01,0.01
49,Magherafelt,-6.607980499999999,54.75536999999999,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.468324452000908,0.16623412447064803,0.01,0.01,0.01,0.01
