,placename,past_participle,past_participle_was,past_participle_were,present_participle,present_participle_was,present_participle_were,longitude,latitude
57,Antrim,0.06521295654016232,0.01,0.01,0.9360079864688794,0.01,0.01,-6.2072498,54.719530000000006
58,Wicklow,0.11853102311582366,0.01,0.01,0.8836882292693726,0.01,0.01,-6.044589,52.980819999999994
59,Kilkeel,0.17765140269902746,0.01,0.01,0.825674721580423,0.01,0.01,-6.007004,54.06312
60,Belfast,0.08295197230055469,0.01,0.01,0.9186011593698878,0.01,0.01,-5.93012,54.59728000000001
61,Down,0.09959869023294236,0.01,0.01,0.9022660187218318,0.01,0.01,-5.7156921999999994,54.32875
62,Balivanich,0.17874338633415307,0.01,0.01,0.8246031584535897,0.01,0.01,-7.3743509000000005,57.472269999999995
63,Western Isles,0.1836441165912968,0.01,0.01,0.8197942583997587,0.01,0.01,-7.0194034,57.75989000000001
64,Dunvegan,0.18455110345921585,0.01,0.01,0.8189042283518412,0.01,0.01,-6.5813982000000015,57.4366
65,Stornoway,0.2301893283559149,0.01,0.01,0.774120437085284,0.01,0.01,-6.3848692000000025,58.20943000000001
66,Scilly Isles,0.7715530345389217,0.01,0.01,0.24289273947845005,0.01,0.01,-6.327496599999999,49.92773
67,Portree,0.19954347020605706,0.01,0.01,0.8041925261894147,0.01,0.01,-6.1960231,57.41246999999999
68,Islay,0.12107252931476115,0.01,0.01,0.8811942459440243,0.01,0.01,-6.177067,55.73625
69,Mull,0.12337805152607376,0.01,0.01,0.8789318652832169,0.01,0.01,-6.0008870000000005,56.4392
70,Broadford,0.19115266031258069,0.01,0.01,0.8124262598944468,0.01,0.01,-5.9096592,57.24139
71,Kyle of Lochalsh,0.19576223431253176,0.01,0.01,0.807902978462062,0.01,0.01,-5.7143293,57.28261
72,Campbeltown,0.1178665428796994,0.01,0.01,0.8843402437994181,0.01,0.01,-5.605373999999999,55.424119999999995
73,Penzance,0.79654247828657,0.01,0.01,0.2183710982566288,0.01,0.01,-5.537592,50.1188
74,Oban,0.12268510541510425,0.01,0.01,0.8796118743845355,0.01,0.01,-5.471047,56.41516
75,Lochgilphead,0.11904206411751678,0.01,0.01,0.8831866701444063,0.01,0.01,-5.4323449,56.03829
